Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14
ADRA2C	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-56.351252889337815	-21.917175614199873	-15.224273877050633	-14.991775075253498	3.529098700481928	-2.988012600298203	-2.2977829765829556	24.373056465493526	7.672069797660426	7.806773804598499	-10.599970539608021	4.404503689835789	5.257777591918683	6.229351097766687
ADRB1	Not-coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-56.133303588341136	-21.72131689017525	-3.2766860946175	-14.031641014297472	1.1947718374132135	8.946394440899883	5.979451319900314	-2.8505408648440267	-1.8027314636278895	5.209499615258292	-8.233505613408113	8.190120168613195	-3.364814197367826	1.1827233163284705
ADRB2	Not-coupled	Coupled	Coupled	-	Adrenoceptors	classA	-44.18689114941179	-21.597352881095173	5.190955615091474	-10.6106159177688	4.771919770667709	3.7742909405493217	6.888805225206422	24.568389229699317	6.74178780484437	9.600022632005446	-4.070484367449855	2.3481665072820683	1.0689412626438288	7.405867103483655
ADRB3	Not-coupled	Not-coupled	-	-	Adrenoceptors	classA	72.21209452195845	-25.123649950649146	19.667838259442266	1.9844419352218425	13.739825462794801	-2.3503626346862707	0.5018721221282922	-12.640562421463397	-7.284537639547671	-2.4986928297789253	-7.711141544228768	-4.1517061819145065	-6.795904612077035	-1.0215743992792086
AGTR1	Coupled	Coupled	Coupled	-	Angiotensin receptors	classA	53.521931766144235	-31.94812923626291	7.10419072023077	0.2923370426099477	11.253780299737961	-4.9932362765630645	-0.6843176384120573	-6.0371862537629655	-3.296554702359415	-6.518119484996727	-7.826830118346683	-2.658644711664401	-5.248035075418913	-2.53303245169795
APLNR	Not-coupled	Not-coupled	Coupled	-	Apelin receptor	classA	-3.3153772593699014	2.198379355332899	-28.768701002821043	26.096109091442674	19.580819986880083	7.589219768411817	6.308366991786116	4.318832540021818	-17.881710323971923	-1.8766110497248396	1.0075624739319518	15.615030499531125	9.282721194513035	1.4435634660697314
AVPR1A	Coupled	Coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	-9.304864059102409	2.454845111359671	-35.10328063763017	27.39254297260395	19.517618969682015	7.778063737563811	12.063013796115243	9.679383988384565	-16.783003217695825	-7.129478299603351	0.7983354832481169	12.538197353149206	7.865692919839742	2.250833400633552
AVPR1B	Coupled	Coupled	-	-	Vasopressin and oxytocin receptors	classA	3.064143935898413	8.749846373726546	-18.151948862963394	32.850474984146054	23.12319308009931	15.117136821097178	15.979062108797411	18.082465757950807	-16.958153046598994	2.0331117996918726	0.43250181011556404	8.489103397755478	9.329328385145837	6.628259099864187
AVPR2	Not-coupled	Not-coupled	-	-	Vasopressin and oxytocin receptors	classA	55.89675540207763	-14.362733448040537	18.992448194064757	4.746604574133939	13.790797854488858	-3.642916773803459	2.066791473942576	-6.6925526614668955	-5.803540875720865	2.557471930689523	2.1679117144096414	-13.270092301183686	-5.282392118865958	2.2112784515431345
BDKRB1	Coupled	Coupled	Not-coupled	-	Bradykinin receptors	classA	35.54656884258658	-3.917804893961122	1.3588964434821984	1.6754699702367175	16.459810225734714	-8.681265084141353	-8.791056256417109	-11.149378120427732	-14.494022134161238	4.802594656545655	-1.4167713340155081	-11.484319900235956	-5.056739933308643	1.2771205808983948
BDKRB2	Coupled	Coupled	Coupled	-	Bradykinin receptors	classA	-1.7995617471615701	-33.01775393021342	-23.256495408688007	19.29196139231504	-9.256741696055082	0.7603367450558284	10.260862162322665	-7.214174366998669	-2.7826256598108214	-4.944402097408998	2.3157411784206654	1.4706394296270708	-0.5649307586066791	-0.9806553243011147
CCKAR	Coupled	Coupled	Coupled	-	Cholecystokinin receptors	classA	-4.501766961507653	-30.8685385801939	-29.636673703488285	20.1748291107543	-6.288993574930439	-6.371047520706681	6.223365895936808	7.8560359439227465	-0.14183892890696317	-5.756800997440692	3.7090993616235277	-1.1902067770453075	3.8755604622000006	-0.47832002071910373
CCKBR	Coupled	Coupled	-	-	Cholecystokinin receptors	classA	-44.22031869375641	-39.51988790576439	-14.258935663815386	-26.245929665389916	4.562077881007797	9.240731911010606	27.119058385399423	-7.5666655389222175	12.0125086124636	-2.8243230845528924	-0.362236845018092	-11.483717123523018	20.291732321213654	-7.089186961971313
CHRM1	Coupled	Coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-50.1703849570251	-32.68927101430199	-17.503329487709312	-26.63480309321104	0.47503046243746305	7.96232338192937	18.301231966082476	-18.811096850790516	6.585364343059826	-1.987254447786118	-13.329542000928505	-3.6995319823712918	20.220135759819378	-1.12847019163843
CHRM2	Coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-67.98440441038107	-22.088587548315935	-43.27768222557768	-23.197871294706566	1.3098369747636616	-8.17737649318511	8.82656453996505	-22.291080328402565	-2.132313690229846	-2.881957898269023	-2.6606676458529375	-8.828508063465133	18.754211189795964	-5.019101108486975
CHRM3	Coupled	Coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-51.48650071964181	-31.252187476877896	-17.801082919851464	-25.130084057523145	-0.4817609933627974	7.694477943702824	19.7118068729691	-12.36452490512057	5.747621448560224	0.2775468396112981	-7.972657735144902	-9.898394820562734	19.248293261137125	1.5946819077840388
CHRM4	Not-coupled	Not-coupled	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-64.04847309751658	-22.20166082725714	-35.38354916070711	-26.746496023546207	2.3384164676855526	-2.3742693894275115	17.80700539186728	-20.113360692300777	-0.3349802043740321	-8.092340331761417	-1.1591986456365957	-12.639481191594196	17.50909848126276	-3.899208897113681
CHRM5	Coupled	Coupled	-	-	Acetylcholine receptors (muscarinic)	classA	-88.49035520923448	39.80366307798989	5.5894553199271755	9.218694739870307	-3.100168300001062	-15.084095017826034	-28.455909296312313	-9.222384620644547	-11.490211803460868	4.867087630475259	-9.064541917490432	-6.627952873142142	3.016355788192454	10.137646759454544
CNR1	Not-coupled	Not-coupled	Coupled	-	Cannabinoid receptors	classA	-74.48149420962886	34.918751450717984	43.640718333199025	12.982110566899546	2.13348003859199	-6.666860679602584	-7.033938655014627	1.481243587446382	1.3122125455337927	-9.267131528955275	1.6376929180715512	-5.276531274293598	5.871303374493004	-3.6333098546467055
CNR2	Not-coupled	Not-coupled	Coupled	-	Cannabinoid receptors	classA	89.88223226934991	14.384054801040406	7.859578042622977	-12.669935617392579	-3.7506164080636992	5.640815197176752	-5.454439054503571	-3.9072717637352596	-1.1407203292683206	-4.708180205634487	-1.6214247714234409	6.0711883549224455	-0.9122556174796097	3.8801189242152243
CYSLTR1	Coupled	Coupled	Coupled	-	Leukotriene receptors	classA	84.05805504080854	12.64608271399191	6.115464599411895	-9.28759697172263	4.653940163447907	-0.8231836647119822	-7.348518139705783	-3.0401005712308145	-2.471543248940151	0.7958074687396819	2.6515197744166974	2.2905225824606252	-0.16063556846826968	2.103671478498209
CYSLTR2	Coupled	Coupled	Coupled	-	Leukotriene receptors	classA	-62.7230967559756	-17.739860712952016	-9.486735624583181	-15.531362592595764	-3.3957214231084514	5.444533670627026	1.8877535360255577	-4.551017953965037	-8.27768471861647	-3.666065065114264	-0.8217026952706368	8.685450688847652	-12.136174034951717	6.285185326636632
DRD1	Not-coupled	Coupled	Coupled	-	Dopamine receptors	classA	-58.151147181259226	-22.83735321323815	-5.879197449469669	-19.691829677739427	-1.5529812694118965	-3.4515528658375207	-0.416161650328678	-9.614044555639872	0.057184080517307216	-2.902700162549159	8.154877716585844	4.596249195761998	-2.934168838473359	3.4683229617634312
DRD2	Not-coupled	Not-coupled	Coupled	-	Dopamine receptors	classA	-45.963300161126064	-26.984227424090946	6.73499559401547	-16.578027327614098	-0.978026557400101	0.05597505195452538	6.020372427604865	-5.594850197010895	0.992503351666262	-0.9511534692423124	12.058283795712532	3.471683695720569	-5.928182428318377	3.078737971383721
DRD3	Not-coupled	Not-coupled	-	-	Dopamine receptors	classA	-26.65175268581209	-27.714514873263457	16.333748668946274	-15.785903826968122	6.993694935544325	-0.48242791398919166	-5.873220414189778	40.74164960087419	27.003505691772578	20.287718135630623	-11.474524090166446	8.796625387948172	5.481005171059824	19.663569158648382
DRD4	Not-coupled	Not-coupled	-	-	Dopamine receptors	classA	-64.86244368871277	-15.869096819765211	-15.05782810115938	-13.166316413025061	-1.9461996438645974	2.469331681940167	-2.1794687109297146	-4.924637551653747	-10.112724517950777	1.8464058527611773	4.199349428469398	3.381966674031845	-10.545289166888486	6.717116314967933
DRD5	Not-coupled	Coupled	Coupled	-	Dopamine receptors	classA	18.48949786883844	-14.517572317795333	-25.24571700221094	19.123584205308635	-26.493237383027907	-1.899106638929757	-8.76579095271655	-12.548334901658817	-2.86698066489673	6.0986396814401616	5.707159593021727	-8.098194217411008	0.5183303769179195	9.118758465999703
EDNRA	Coupled	Coupled	Coupled	-	Endothelin receptors	classA	9.402356692104336	-11.153079723560742	-33.342214116739484	18.51153336262709	-15.613001213961361	-9.545180335730075	-9.483141771405846	-5.842211191669744	-4.487569694643531	6.890548719915721	11.989820765607044	-11.914315120220865	5.455027013461678	6.048529841494074
EDNRB	Coupled	Coupled	-	-	Endothelin receptors	classA	39.40566068048851	39.92717853083394	-24.23587445430403	-16.10677394588478	-1.8327396058652285	-6.9610867193968184	-17.49411990161508	-4.00996905227829	-6.5163884256243785	13.013824436662095	6.701983172925064	-4.127801248233007	8.008132958185822	1.2937462889176417
F2R	-	Coupled	Coupled	-	NA	classA	47.800080525635856	35.44749490812651	-18.63739096783648	-12.018480646853497	-6.320267073403544	-0.21155527792510284	-10.982911369207532	-6.2264730126232495	-5.949714385452386	5.293847512328793	2.2479209674138505	0.6319975141561063	5.315339072025285	1.4571533099122187
F2RL1	-	Coupled	Coupled	-	NA	classA	52.59473059847645	38.24936828130708	-7.802122970866885	-15.036200335039446	7.6260458706971	0.13374802104491545	-13.30212314628293	-1.9428490482016165	-10.224544253419483	19.893110937398912	11.826308427897104	-10.281949791820498	6.633066397412298	5.6050838045037095
F2RL2	-	Not-coupled	-	-	NA	classA	46.8538141937249	32.870466511240984	-9.15831808160709	-13.522559584686107	8.079058469182165	-10.501121506874533	-3.5899335559014194	18.063397832040263	0.27429879722785094	7.730261083825972	11.320487263329328	-4.258469656410135	7.843929903558132	2.1891038357328427
F2RL3	-	Coupled	-	-	NA	classA	53.140329935677464	27.484390919922934	22.378659869033573	-6.5326471962070585	16.547525178824223	-6.554043160872015	19.344961404199466	13.556810025441573	3.0977056998153567	-5.72868805650067	20.758219705655005	-9.920935128754047	-3.0988392013370554	3.1555158086666086
FFAR1	Coupled	Coupled	-	-	Free fatty acid receptors	classA	47.83560369489914	47.44934947218055	10.721010791942337	-18.21541777775195	-11.405925833783458	1.0948735638882454	8.917829400901203	7.144563691710897	16.009651903498106	-11.59929823197324	1.2236290307346238	5.405868495298604	1.6782872192177534	-5.327289230429885
FFAR2	Coupled	Coupled	Not-coupled	-	Free fatty acid receptors	classA	42.91240895477574	44.54944778262809	7.705251460968881	-22.038402622192063	1.4216573710981963	-5.9426077639202886	9.401037761925984	5.983775504646245	9.565832907066916	-11.76115390785304	2.1385997547080207	3.5705196029387953	2.2162237687212363	-5.576867056906102
FFAR3	Not-coupled	Not-coupled	Not-coupled	-	Free fatty acid receptors	classA	5.538930662029534	-2.8655024218447926	7.017488746956238	18.802884253235103	9.692087318157228	3.170946953281438	5.398040559667355	2.660862050662285	-16.726531690998666	0.9741482493522993	5.220324233339315	-13.581355049231675	-9.00989506074711	2.3155910323672453
FFAR4	Coupled	Coupled	-	-	Free fatty acid receptors	classA	65.29552092609697	0.5772659152227778	21.460697042384812	3.5515365150941887	36.8889572037578	-14.042546800069628	24.317556961497896	-15.412308135163231	-0.31704810556725427	12.22494430401989	-14.585895255842583	-3.0215621266359634	-7.66455010902893	3.746388053235764
FPR1	Not-coupled	Not-coupled	-	-	Formylpeptide receptors	classA	69.03892199487422	-0.8295194132189034	18.26639588854007	4.164523179330555	34.59847565247156	-11.630848489586128	23.501268905996103	-16.329402530967574	-1.7129045270175314	10.602242551401808	-13.246631724435934	-3.90854883545392	-7.760829512755986	5.197004309036266
FPR2	Coupled	Not-coupled	-	-	Leukotriene receptors	classA	55.103490966711085	-43.78466598427826	15.949048620591517	19.696292621098166	5.239331096753554	10.652508651009896	5.210622066770352	4.863268186625856	-3.106391623024478	-3.0790318306041593	-2.0673350409250157	1.545222467090753	2.936916559690342	-6.785900714830882
GALR1	Not-coupled	Not-coupled	-	-	Galanin receptors	classA	34.78867551701915	-36.40522649940689	-1.795343647995063	16.114390034887236	-4.219077736305278	-5.306789809546695	0.6908551344211642	8.33251573828392	7.230960794768169	-15.510610470926078	-1.709242498835717	7.611992942290907	1.7036563712332917	-4.779744095878936
GALR2	Coupled	Coupled	-	-	Galanin receptors	classA	43.641925876748616	-36.91339027145439	7.205612075514784	14.407268980251457	1.9800217473969195	-4.051483846766284	6.4386998063478265	22.858041784097683	10.950353181739741	-13.426870512433034	-3.494680746932846	2.1165771246624225	3.218029435342441	-1.1095860666346917
GALR3	Not-coupled	Not-coupled	-	-	Galanin receptors	classA	42.58696063106463	-40.56950847820833	6.205580859849694	20.75863858453775	-39.5523145916542	-1.959297736194632	3.088540247802856	-5.7701147516864175	20.003929469364447	3.6903391931163307	8.831245527798668	-6.278468292809495	-1.1140152408683346	6.699833222884351
GHSR	Coupled	Coupled	Coupled	-	Ghrelin receptor	classA	-9.035526353380193	41.374186759211305	-46.97604337427253	24.857171363527517	46.76376676190301	48.69582037908339	-16.83884356274132	-2.262359682376343	39.19779024476809	-1.1382768084721695	4.535418398213596	-11.30200506286243	-9.206996968555098	-4.4447721620522085
GIPR	Not-coupled	Not-coupled	Coupled	-	Glucagon receptor family	classB	29.621622726244272	-3.8844269822390523	-2.614787230721866	31.094520634480194	16.109786062339897	38.68171988906163	12.61127101706913	11.080469055775398	-25.43161411964687	5.212411300618206	14.081580537028445	5.458080394560602	14.833265191189195	2.514099683219656
GNRHR	Coupled	Coupled	Not-coupled	-	Gonadotrophin-releasing hormone receptors	classA	63.69907537213093	25.475130554107956	-0.2654871987901384	-11.719971421540887	2.4081906611636392	-1.2651088184704582	-9.720422927616147	3.818227919094373	-0.708722888164312	6.308019374678124	2.821406782619652	3.3993310423486927	8.798928050421482	0.49638848572695227
GPR17	Coupled	Coupled	-	-	Class A Orphans	classA	37.049002238714436	44.07896936060241	-2.616156510778605	-12.318624603714394	-3.104460190326162	-0.569208179019403	-19.0259670870129	-6.017444118074689	-6.077789061451286	2.103114131177837	-7.845223559920573	2.24233303691517	3.0799034300381822	-4.266340018290451
GPR34	Not-coupled	Not-coupled	-	-	Class A Orphans	classA	82.44848829862677	39.8174324249633	0.824517896744633	-24.767174326151867	-20.43260777039202	10.987811277923262	11.791274853974773	4.238499823202132	20.925844398978178	0.5714916506489915	3.4490670556425402	11.35167454367835	0.4742198145611722	0.8264926012789133
GPR35	-	Not-coupled	-	-	NA	classA	70.1555676740817	45.753694588094454	1.1621421919549122	-25.948912810851017	-27.183600588860944	14.899915068181869	1.3256932807037483	1.1040324279084706	6.648475158005006	-0.861604934196421	5.560847770065509	6.104899952803107	-2.218355138829464	1.0662473600790456
GPR55	Coupled	Not-coupled	-	-	GPR18, GPR55 and GPR119	classA	-48.30886729119435	12.748690722911139	-0.07205325607707018	8.669908909581974	-2.629907110777444	-8.477544704587702	-2.82571705645583	-1.1614000564970475	-10.464513451239956	-11.146027544351965	-12.828723962772601	-11.419951876112291	-3.6274247852522943	5.482478862683696
GPR84	Not-coupled	Not-coupled	Not-coupled	-	Class A Orphans	classA	-58.17117134492888	16.90131741749567	42.928825962887515	6.5982486328091525	-3.4687236540550797	8.91025716664418	7.578520699486244	4.108972821161583	-3.780295558542795	-9.480999743909377	-4.069201411971784	-1.819498344963309	-3.8436737324286425	6.742895030460567
GPR119	Not-coupled	Coupled	-	-	GPR18, GPR55 and GPR119	classA	51.055298593392365	29.155887702992715	-13.903211031497811	-19.3907893967477	6.11725474556547	-2.898468703704132	-9.67209190243311	-4.977703567282566	-6.499619807984525	-6.255690397021913	0.10589769478207316	-0.0328060815783806	1.4509734239440162	3.4434004439341424
GPR132	Not-coupled	Coupled	-	-	Class A Orphans	classA	78.29380771612846	33.41760824541677	0.4492196201873686	-17.362792946583326	-1.7868420546482948	14.95897142407478	1.8606451579784853	-5.182819989822133	-7.694707167194407	-5.174479271254734	0.28461891251531	6.5118426404753444	0.8342333171601345	0.4400128682005743
GPR174	-	Not-coupled	-	-	NA	classA	64.94482054081246	23.412853549688737	4.434810082006792	-16.727146815278644	-10.55480977732719	6.145048885571298	-6.159061346645842	-2.2337287279656532	-2.1770045051658338	-1.8454962726555384	-10.654299049492689	7.554362464668547	1.4856519492239089	-2.3213673724563915
GPR183	Not-coupled	Not-coupled	Coupled	-	Class A Orphans	classA	31.316907085806005	-34.642286115154505	-11.949011205292777	24.644672580949983	-23.15335740709188	7.504959810083587	-1.9935557481063517	-8.55824974714774	-3.373852604962402	-4.7128676625386765	4.405033096666492	3.461470698215262	-1.2371503289737937	2.812455503729793
GRPR	Coupled	Coupled	-	-	Bombesin receptors	classA	4.026940908044981	-42.765829609109446	-22.287956408709842	23.294327084833927	-11.005623078687185	8.168270781010012	1.1048619169279716	-3.0941013303916547	0.3881239474758864	-11.47414695154397	10.818982449373745	4.7378877567545725	4.41835463994463	-9.031724627064568
HCRTR1	Coupled	Coupled	-	-	Orexin receptors	classA	-2.734900755098447	-39.742672473089584	-26.328869157585757	21.950767961336986	-15.288118936596891	7.0528589923516485	-3.136093210227411	-9.825289782918663	-1.647626148054974	-8.001977500426165	6.355561249805364	6.515271105036764	2.943421864826041	-6.070099587652732
HCRTR2	Coupled	Coupled	Coupled	-	Orexin receptors	classA	-62.67939884947029	-19.737876014893352	-25.15693042506096	-27.28034754009015	-0.879341160069055	-1.7009678876678374	8.138771271087501	-14.82015949761543	-5.879507349861989	-5.9027723521483315	3.266435506763479	-10.679553233184958	8.103899920905421	-1.3321255790763165
HRH1	Coupled	Coupled	Coupled	-	Histamine receptors	classA	-27.84576807452912	-40.12534925014803	25.898009716883102	-12.232295317300565	-5.527148177338722	13.486292992987886	9.595386879068485	1.4847215434402057	5.315506714245192	4.863788332611577	-3.857371020409845	9.4506581623686	-10.087133978297421	-0.5198565257129993
HRH2	Coupled	Coupled	Coupled	-	Histamine receptors	classA	-33.62187805081216	-31.350179545797378	-1.8113250792251194	-27.44652423024721	5.633673004588038	-0.46897774439249795	7.931326544519876	5.524768480375882	3.9232813355683636	-0.3091873532535793	1.813520510838502	-10.800197673244947	8.224468690057567	-2.7434033387533527
HRH3	Not-coupled	Not-coupled	-	-	Histamine receptors	classA	-32.2032166173197	-34.80986856723009	17.751793148382262	-24.57255060061287	-3.3490285178586454	15.443412968869772	17.38025277166395	-10.80559864675586	-3.780020865078496	-1.6061978920303375	0.8983400314533594	-11.082796541989765	6.380798847478088	0.08631349981534112
HRH4	Not-coupled	Not-coupled	-	-	Histamine receptors	classA	-57.79322421873798	-26.139432907412118	-4.415373557634203	-18.846264641719035	5.748831414274292	8.663181723632992	-3.9493666014688444	7.009125646376785	-2.1507924133554663	1.764723443918058	7.670358492131295	5.480006929838213	-7.37869288278878	-1.0758608298394452
HTR1A	Not-coupled	Coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	-47.865638673621845	-25.238549866034063	11.03156893064593	-17.520164066275516	5.492561226914488	20.476383709969472	-1.8499514255180018	4.988484396493592	-4.500002534939183	11.327588032203847	11.8641460261301	1.2570545723159112	-4.247546048323735	-0.9377739693345999
HTR1B	Not-coupled	Not-coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	-43.06606534689476	-28.255920902555143	15.340220949298907	-18.910012782389646	4.319599754305031	21.067034416472644	1.8314355506976656	4.219703925271983	-6.587748278844783	10.433942300222029	10.63132436721954	3.2347487018958034	-9.07230843053915	0.9050652848803296
HTR1D	Not-coupled	Not-coupled	Not-coupled	-	5-Hydroxytryptamine receptors	classA	-40.7908435735872	-33.8653588685403	18.62620638463059	-21.054091687424926	2.8602457338140073	25.23629984053091	8.782184858900756	-0.08713855592047064	-3.9040150012768935	8.725243390415196	8.222854482635665	3.464963655561893	-7.9975716012480165	1.411954735519154
HTR1E	Not-coupled	Not-coupled	-	-	5-Hydroxytryptamine receptors	classA	-43.49573595478626	-28.196121726121323	19.59601535031044	-22.51054674486693	2.6372785792787266	23.424529969104707	5.019907655048034	-0.7685888040586968	-5.7553906910980865	7.624566845450441	6.787646160048775	2.77163306683862	-8.412639441287993	1.6289146396046537
HTR1F	Not-coupled	Not-coupled	-	-	5-Hydroxytryptamine receptors	classA	-54.71072387942799	-15.968103563985592	-17.698937556576073	-7.9144717149984825	-5.545230998520537	-12.019729575121529	-6.698842862935578	-13.599593684123574	-8.726211531101194	4.837741414927743	7.543652215786954	6.218432955740022	-7.903359156770454	6.5635762738484535
HTR2A	Coupled	Coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	-56.41113231897658	-17.000819309900056	-23.596551149484657	-7.446842333152078	-6.950853032318353	-10.112963849059865	-0.9267094638717618	-19.062410756855048	-10.345445674597832	-1.5232339704510411	7.383206433754232	4.930848564005405	-9.681774918883436	6.786948127876494
HTR2B	Coupled	Coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	-50.07585099430188	-21.50107501011635	-10.568052142777221	-9.898968347868726	-7.86591210169362	-5.459248885130518	-0.18873814848918885	-11.469594453455294	-2.526804130481632	0.9390466146514573	3.226702440301843	6.619468092068889	-8.795657337252738	8.870683253644154
HTR2C	Coupled	Coupled	Coupled	-	5-Hydroxytryptamine receptors	classA	-43.94607964004658	-28.935364802246347	8.510515231413827	-11.505120836724	-3.517918549118326	15.795391639044148	3.6462775566762433	-0.25908272905689644	-4.3223788411399084	1.7160588788142068	0.07036000782675655	8.428803349026422	-13.586063237547487	1.5007022499558746
HTR4	Not-coupled	Coupled	-	-	5-Hydroxytryptamine receptors	classA	-67.5190319339388	-17.80786881034896	-5.867557826171909	-18.139973093906395	7.608675288660907	-3.6230188675243458	4.492530131748543	12.061413255611924	-2.6715811839832178	-8.306225571790106	8.734676407443116	1.6955981843572827	-6.824036987761604	-2.129616067034173
HTR6	Coupled	Coupled	-	-	5-Hydroxytryptamine receptors	classA	-65.55465298043141	-15.271882190133558	-13.154258068981223	-8.662807818228915	3.0650313175439536	-7.729133571447813	-10.149211995753092	-1.396077163842484	-8.375961115308934	10.244627028298922	4.165130086602706	4.67162287983119	-6.314088734057797	4.023288474590252
HTR7	Not-coupled	Coupled	-	-	5-Hydroxytryptamine receptors	classA	28.574723130617617	-43.36835335699043	-11.154723897265715	18.969838501610614	-4.942094256899216	-4.261621886949805	0.4648533857401113	17.17915018871411	4.754377974658651	-10.380250843171007	4.865565971389974	0.2507697327314244	5.177973203819679	-5.142865004246043
KISS1R	Coupled	Coupled	-	-	Kisspeptin receptor	classA	-67.11020434578747	31.557763911922823	41.26264293597837	14.74372880265171	3.5288344167635706	2.328944401178377	-13.502802104334645	-8.297640335983274	-0.1274941399506551	-0.10318670446094459	-3.9460435880244744	-1.1722368044953242	6.43803728736162	-1.424483543960665
LPAR1	Coupled	Coupled	Coupled	-	Lysophospholipid (LPA) receptors	classA	-59.07921001431161	24.360498032772814	44.98403071559506	14.982555602320911	6.943467798217292	-1.8577762988886137	-4.119753992586032	-1.8019829306209816	3.68960602149458	-9.584667866094119	2.168566657071647	-2.496529541062879	6.019126689411936	0.6255733765606055
LPAR2	Coupled	Coupled	Coupled	-	Lysophospholipid (LPA) receptors	classA	-61.339490776657826	29.118216728741338	40.51406085975541	12.473550117526223	2.137833048253702	1.7209251214061823	-6.068988543393857	-10.087772930256413	-0.40935574854625284	-5.75730395341323	-3.575577971998763	2.55652918783659	4.214536051387345	0.3778223452503093
LPAR3	Coupled	Coupled	-	-	Lysophospholipid (LPA) receptors	classA	72.22160979057817	31.043555454256545	-7.411567978214362	-19.35736798359532	-5.198308895742059	3.0457630474018553	-10.124184472349576	-5.346958093616813	-2.8733664934298706	1.4127408563790478	-8.449984244813564	11.274341232420218	1.61066434564002	2.926875738745594
