DimR	Assay	G-protein	Layer	Score
UMAP	ebBRET	GNAZ	27	0.027
UMAP	ebBRET	GNAZ	29	0.027
UMAP	ebBRET	GNAZ	24	0.018
UMAP	ebBRET	GNAZ	25	0.014
UMAP	ebBRET	GNAZ	31	0.014
UMAP	ebBRET	GNAZ	32	0.014
UMAP	ebBRET	GNAZ	33	0.011
UMAP	ebBRET	GNAZ	3	0.01
UMAP	ebBRET	GNAZ	10	0.009
UMAP	ebBRET	GNAZ	11	0.009
UMAP	ebBRET	GNAZ	12	0.009
UMAP	ebBRET	GNAZ	1	0.008
UMAP	ebBRET	GNAZ	2	0.008
UMAP	ebBRET	GNAZ	6	0.008
UMAP	ebBRET	GNAZ	4	0.005
UMAP	ebBRET	GNAZ	7	0.004
UMAP	ebBRET	GNAZ	5	0.003
UMAP	ebBRET	GNAZ	23	0.002
UMAP	ebBRET	GNAZ	14	0.001
UMAP	ebBRET	GNAZ	15	0.001
UMAP	ebBRET	GNAZ	22	0.001
UMAP	ebBRET	GNAZ	8	0.0
UMAP	ebBRET	GNAZ	9	0.0
UMAP	ebBRET	GNAZ	13	0.0
UMAP	ebBRET	GNAZ	16	0.0
UMAP	ebBRET	GNAZ	17	0.0
UMAP	ebBRET	GNAZ	18	0.0
UMAP	ebBRET	GNAZ	19	0.0
UMAP	ebBRET	GNAZ	20	0.0
UMAP	ebBRET	GNAZ	21	0.0
UMAP	ebBRET	GNAZ	26	0.0
UMAP	ebBRET	GNAZ	28	0.0
UMAP	ebBRET	GNAZ	30	0.0
UMAP	ebBRET	GNAS	0	0.027
UMAP	ebBRET	GNAS	27	0.027
UMAP	ebBRET	GNAS	29	0.027
UMAP	ebBRET	GNAS	24	0.018
UMAP	ebBRET	GNAS	25	0.014
UMAP	ebBRET	GNAS	31	0.014
UMAP	ebBRET	GNAS	32	0.014
UMAP	ebBRET	GNAS	33	0.011
UMAP	ebBRET	GNAS	3	0.01
UMAP	ebBRET	GNAS	10	0.009
UMAP	ebBRET	GNAS	11	0.009
UMAP	ebBRET	GNAS	12	0.009
UMAP	ebBRET	GNAS	1	0.008
UMAP	ebBRET	GNAS	2	0.008
UMAP	ebBRET	GNAS	6	0.008
UMAP	ebBRET	GNAS	4	0.005
UMAP	ebBRET	GNAS	7	0.004
UMAP	ebBRET	GNAS	5	0.003
UMAP	ebBRET	GNAS	23	0.002
UMAP	ebBRET	GNAS	14	0.001
UMAP	ebBRET	GNAS	15	0.001
UMAP	ebBRET	GNAS	22	0.001
UMAP	ebBRET	GNAS	8	0.0
UMAP	ebBRET	GNAS	9	0.0
UMAP	ebBRET	GNAS	13	0.0
UMAP	ebBRET	GNAS	16	0.0
UMAP	ebBRET	GNAS	17	0.0
UMAP	ebBRET	GNAS	18	0.0
UMAP	ebBRET	GNAS	19	0.0
UMAP	ebBRET	GNAS	20	0.0
UMAP	ebBRET	GNAS	21	0.0
UMAP	ebBRET	GNAS	26	0.0
UMAP	ebBRET	GNAS	28	0.0
UMAP	ebBRET	GNAS	30	0.0
UMAP	ebBRET	GNAQ	0	0.027
UMAP	ebBRET	GNAQ	27	0.027
UMAP	ebBRET	GNAQ	29	0.027
UMAP	ebBRET	GNAQ	24	0.018
UMAP	ebBRET	GNAQ	25	0.014
UMAP	ebBRET	GNAQ	31	0.014
UMAP	ebBRET	GNAQ	32	0.014
UMAP	ebBRET	GNAQ	33	0.011
UMAP	ebBRET	GNAQ	3	0.01
UMAP	ebBRET	GNAQ	10	0.009
UMAP	ebBRET	GNAQ	11	0.009
UMAP	ebBRET	GNAQ	12	0.009
UMAP	ebBRET	GNAQ	1	0.008
UMAP	ebBRET	GNAQ	2	0.008
UMAP	ebBRET	GNAQ	6	0.008
UMAP	ebBRET	GNAQ	4	0.005
UMAP	ebBRET	GNAQ	7	0.004
UMAP	ebBRET	GNAQ	5	0.003
UMAP	ebBRET	GNAQ	23	0.002
UMAP	ebBRET	GNAQ	14	0.001
UMAP	ebBRET	GNAQ	15	0.001
UMAP	ebBRET	GNAQ	22	0.001
UMAP	ebBRET	GNAQ	8	0.0
UMAP	ebBRET	GNAQ	9	0.0
UMAP	ebBRET	GNAQ	13	0.0
UMAP	ebBRET	GNAQ	16	0.0
UMAP	ebBRET	GNAQ	17	0.0
UMAP	ebBRET	GNAQ	18	0.0
UMAP	ebBRET	GNAQ	19	0.0
UMAP	ebBRET	GNAQ	20	0.0
UMAP	ebBRET	GNAQ	21	0.0
UMAP	ebBRET	GNAQ	26	0.0
UMAP	ebBRET	GNAQ	28	0.0
UMAP	ebBRET	GNAQ	30	0.0
UMAP	ebBRET	GNAI2	0	0.027
UMAP	ebBRET	GNAI2	27	0.027
UMAP	ebBRET	GNAI2	29	0.027
UMAP	ebBRET	GNAI2	24	0.018
UMAP	ebBRET	GNAI2	25	0.014
UMAP	ebBRET	GNAI2	31	0.014
UMAP	ebBRET	GNAI2	32	0.014
UMAP	ebBRET	GNAI2	33	0.011
UMAP	ebBRET	GNAI2	3	0.01
UMAP	ebBRET	GNAI2	10	0.009
UMAP	ebBRET	GNAI2	11	0.009
UMAP	ebBRET	GNAI2	12	0.009
UMAP	ebBRET	GNAI2	1	0.008
UMAP	ebBRET	GNAI2	2	0.008
UMAP	ebBRET	GNAI2	6	0.008
UMAP	ebBRET	GNAI2	4	0.005
UMAP	ebBRET	GNAI2	7	0.004
UMAP	ebBRET	GNAI2	5	0.003
UMAP	ebBRET	GNAI2	23	0.002
UMAP	ebBRET	GNAI2	14	0.001
UMAP	ebBRET	GNAI2	15	0.001
UMAP	ebBRET	GNAI2	22	0.001
UMAP	ebBRET	GNAI2	8	0.0
UMAP	ebBRET	GNAI2	9	0.0
UMAP	ebBRET	GNAI2	13	0.0
UMAP	ebBRET	GNAI2	16	0.0
UMAP	ebBRET	GNAI2	17	0.0
UMAP	ebBRET	GNAI2	18	0.0
UMAP	ebBRET	GNAI2	19	0.0
UMAP	ebBRET	GNAI2	20	0.0
UMAP	ebBRET	GNAI2	21	0.0
UMAP	ebBRET	GNAI2	26	0.0
UMAP	ebBRET	GNAI2	28	0.0
UMAP	ebBRET	GNAI2	30	0.0
UMAP	ebBRET	GNAI1	0	0.027
UMAP	ebBRET	GNAI1	27	0.027
UMAP	ebBRET	GNAI1	29	0.027
UMAP	ebBRET	GNAI1	24	0.018
UMAP	ebBRET	GNAI1	25	0.014
UMAP	ebBRET	GNAI1	31	0.014
UMAP	ebBRET	GNAI1	32	0.014
UMAP	ebBRET	GNAI1	33	0.011
UMAP	ebBRET	GNAI1	3	0.01
UMAP	ebBRET	GNAI1	10	0.009
UMAP	ebBRET	GNAI1	11	0.009
UMAP	ebBRET	GNAI1	12	0.009
UMAP	ebBRET	GNAI1	1	0.008
UMAP	ebBRET	GNAI1	2	0.008
UMAP	ebBRET	GNAI1	6	0.008
UMAP	ebBRET	GNAI1	4	0.005
UMAP	ebBRET	GNAI1	7	0.004
UMAP	ebBRET	GNAI1	5	0.003
UMAP	ebBRET	GNAI1	23	0.002
UMAP	ebBRET	GNAI1	14	0.001
UMAP	ebBRET	GNAI1	15	0.001
UMAP	ebBRET	GNAI1	22	0.001
UMAP	ebBRET	GNAI1	8	0.0
UMAP	ebBRET	GNAI1	9	0.0
UMAP	ebBRET	GNAI1	13	0.0
UMAP	ebBRET	GNAI1	16	0.0
UMAP	ebBRET	GNAI1	17	0.0
UMAP	ebBRET	GNAI1	18	0.0
UMAP	ebBRET	GNAI1	19	0.0
UMAP	ebBRET	GNAI1	20	0.0
UMAP	ebBRET	GNAI1	21	0.0
UMAP	ebBRET	GNAI1	26	0.0
UMAP	ebBRET	GNAI1	28	0.0
UMAP	ebBRET	GNAI1	30	0.0
UMAP	ebBRET	GNA15	0	0.027
UMAP	ebBRET	GNA15	27	0.027
UMAP	ebBRET	GNA15	29	0.027
UMAP	ebBRET	GNA15	24	0.018
UMAP	ebBRET	GNA15	25	0.014
UMAP	ebBRET	GNA15	31	0.014
UMAP	ebBRET	GNA15	32	0.014
UMAP	ebBRET	GNA15	33	0.011
UMAP	ebBRET	GNA15	3	0.01
UMAP	ebBRET	GNA15	10	0.009
UMAP	ebBRET	GNA15	11	0.009
UMAP	ebBRET	GNA15	12	0.009
UMAP	ebBRET	GNA15	1	0.008
UMAP	ebBRET	GNA15	2	0.008
UMAP	ebBRET	GNA15	6	0.008
UMAP	ebBRET	GNA15	4	0.005
UMAP	ebBRET	GNA15	7	0.004
UMAP	ebBRET	GNA15	5	0.003
UMAP	ebBRET	GNA15	23	0.002
UMAP	ebBRET	GNA15	14	0.001
UMAP	ebBRET	GNA15	15	0.001
UMAP	ebBRET	GNA15	22	0.001
UMAP	ebBRET	GNA15	8	0.0
UMAP	ebBRET	GNA15	9	0.0
UMAP	ebBRET	GNA15	13	0.0
UMAP	ebBRET	GNA15	16	0.0
UMAP	ebBRET	GNA15	17	0.0
UMAP	ebBRET	GNA15	18	0.0
UMAP	ebBRET	GNA15	19	0.0
UMAP	ebBRET	GNA15	20	0.0
UMAP	ebBRET	GNA15	21	0.0
UMAP	ebBRET	GNA15	26	0.0
UMAP	ebBRET	GNA15	28	0.0
UMAP	ebBRET	GNA15	30	0.0
UMAP	ebBRET	GNA14	0	0.027
UMAP	ebBRET	GNA14	27	0.027
UMAP	ebBRET	GNA14	29	0.027
UMAP	ebBRET	GNA14	24	0.018
UMAP	ebBRET	GNA14	25	0.014
UMAP	ebBRET	GNA14	31	0.014
UMAP	ebBRET	GNA14	32	0.014
UMAP	ebBRET	GNA14	33	0.011
UMAP	ebBRET	GNA14	3	0.01
UMAP	ebBRET	GNA14	10	0.009
UMAP	ebBRET	GNA14	11	0.009
UMAP	ebBRET	GNA14	12	0.009
UMAP	ebBRET	GNA14	1	0.008
UMAP	ebBRET	GNA14	2	0.008
UMAP	ebBRET	GNA14	6	0.008
UMAP	ebBRET	GNA14	4	0.005
UMAP	ebBRET	GNA14	7	0.004
UMAP	ebBRET	GNA14	5	0.003
UMAP	ebBRET	GNA14	23	0.002
UMAP	ebBRET	GNA14	14	0.001
UMAP	ebBRET	GNA14	15	0.001
UMAP	ebBRET	GNA14	22	0.001
UMAP	ebBRET	GNA14	8	0.0
UMAP	ebBRET	GNA14	9	0.0
UMAP	ebBRET	GNA14	13	0.0
UMAP	ebBRET	GNA14	16	0.0
UMAP	ebBRET	GNA14	17	0.0
UMAP	ebBRET	GNA14	18	0.0
UMAP	ebBRET	GNA14	19	0.0
UMAP	ebBRET	GNA14	20	0.0
UMAP	ebBRET	GNA14	21	0.0
UMAP	ebBRET	GNA14	26	0.0
UMAP	ebBRET	GNA14	28	0.0
UMAP	ebBRET	GNA14	30	0.0
UMAP	ebBRET	GNA13	0	0.027
UMAP	ebBRET	GNA13	27	0.027
UMAP	ebBRET	GNA13	29	0.027
UMAP	ebBRET	GNA13	24	0.018
UMAP	ebBRET	GNA13	25	0.014
UMAP	ebBRET	GNA13	31	0.014
UMAP	ebBRET	GNA13	32	0.014
UMAP	ebBRET	GNA13	33	0.011
UMAP	ebBRET	GNA13	3	0.01
UMAP	ebBRET	GNA13	10	0.009
UMAP	ebBRET	GNA13	11	0.009
UMAP	ebBRET	GNA13	12	0.009
UMAP	ebBRET	GNA13	1	0.008
UMAP	ebBRET	GNA13	2	0.008
UMAP	ebBRET	GNA13	6	0.008
UMAP	ebBRET	GNA13	4	0.005
UMAP	ebBRET	GNA13	7	0.004
UMAP	ebBRET	GNA13	5	0.003
UMAP	ebBRET	GNA13	23	0.002
UMAP	ebBRET	GNA13	14	0.001
UMAP	ebBRET	GNA13	15	0.001
UMAP	ebBRET	GNA13	22	0.001
UMAP	ebBRET	GNA13	8	0.0
UMAP	ebBRET	GNA13	9	0.0
UMAP	ebBRET	GNA13	13	0.0
UMAP	ebBRET	GNA13	16	0.0
UMAP	ebBRET	GNA13	17	0.0
UMAP	ebBRET	GNA13	18	0.0
UMAP	ebBRET	GNA13	19	0.0
UMAP	ebBRET	GNA13	20	0.0
UMAP	ebBRET	GNA13	21	0.0
UMAP	ebBRET	GNA13	26	0.0
UMAP	ebBRET	GNA13	28	0.0
UMAP	ebBRET	GNA13	30	0.0
UMAP	ebBRET	GNA12	0	0.027
UMAP	ebBRET	GNA12	27	0.027
UMAP	ebBRET	GNA12	29	0.027
UMAP	ebBRET	GNA12	24	0.018
UMAP	ebBRET	GNA12	25	0.014
UMAP	ebBRET	GNA12	31	0.014
UMAP	ebBRET	GNA12	32	0.014
UMAP	ebBRET	GNA12	33	0.011
UMAP	ebBRET	GNA12	3	0.01
UMAP	ebBRET	GNA12	10	0.009
UMAP	ebBRET	GNA12	11	0.009
UMAP	ebBRET	GNA12	12	0.009
UMAP	ebBRET	GNA12	1	0.008
UMAP	ebBRET	GNA12	2	0.008
UMAP	ebBRET	GNA12	6	0.008
UMAP	ebBRET	GNA12	4	0.005
UMAP	ebBRET	GNA12	7	0.004
UMAP	ebBRET	GNA12	5	0.003
UMAP	ebBRET	GNA12	23	0.002
UMAP	ebBRET	GNA12	14	0.001
UMAP	ebBRET	GNA12	15	0.001
UMAP	ebBRET	GNA12	22	0.001
UMAP	ebBRET	GNA12	8	0.0
UMAP	ebBRET	GNA12	9	0.0
UMAP	ebBRET	GNA12	13	0.0
UMAP	ebBRET	GNA12	16	0.0
UMAP	ebBRET	GNA12	17	0.0
UMAP	ebBRET	GNA12	18	0.0
UMAP	ebBRET	GNA12	19	0.0
UMAP	ebBRET	GNA12	20	0.0
UMAP	ebBRET	GNA12	21	0.0
UMAP	ebBRET	GNA12	26	0.0
UMAP	ebBRET	GNA12	28	0.0
UMAP	ebBRET	GNA12	30	0.0
UMAP	ebBRET	GNA11	0	0.027
UMAP	ebBRET	GNA11	27	0.027
UMAP	ebBRET	GNA11	29	0.027
UMAP	ebBRET	GNA11	24	0.018
UMAP	ebBRET	GNA11	25	0.014
UMAP	ebBRET	GNA11	31	0.014
UMAP	ebBRET	GNA11	32	0.014
UMAP	ebBRET	GNA11	33	0.011
UMAP	ebBRET	GNA11	3	0.01
UMAP	ebBRET	GNA11	10	0.009
UMAP	ebBRET	GNA11	11	0.009
UMAP	ebBRET	GNA11	12	0.009
UMAP	ebBRET	GNA11	1	0.008
UMAP	ebBRET	GNA11	2	0.008
UMAP	ebBRET	GNA11	6	0.008
UMAP	ebBRET	GNA11	4	0.005
UMAP	ebBRET	GNA11	7	0.004
UMAP	ebBRET	GNA11	5	0.003
UMAP	ebBRET	GNA11	23	0.002
UMAP	ebBRET	GNA11	14	0.001
UMAP	ebBRET	GNA11	15	0.001
UMAP	ebBRET	GNA11	22	0.001
UMAP	ebBRET	GNA11	8	0.0
UMAP	ebBRET	GNA11	9	0.0
UMAP	ebBRET	GNA11	13	0.0
UMAP	ebBRET	GNA11	16	0.0
UMAP	ebBRET	GNA11	17	0.0
UMAP	ebBRET	GNA11	18	0.0
UMAP	ebBRET	GNA11	19	0.0
UMAP	ebBRET	GNA11	20	0.0
UMAP	ebBRET	GNA11	21	0.0
UMAP	ebBRET	GNA11	26	0.0
UMAP	ebBRET	GNA11	28	0.0
UMAP	ebBRET	GNA11	30	0.0
UMAP	ebBRET	Barr2-GRK2	0	0.027
UMAP	ebBRET	Barr2-GRK2	27	0.027
UMAP	ebBRET	Barr2-GRK2	29	0.027
UMAP	ebBRET	Barr2-GRK2	24	0.018
UMAP	ebBRET	Barr2-GRK2	25	0.014
UMAP	ebBRET	Barr2-GRK2	31	0.014
UMAP	ebBRET	Barr2-GRK2	32	0.014
UMAP	ebBRET	Barr2-GRK2	33	0.011
UMAP	ebBRET	Barr2-GRK2	3	0.01
UMAP	ebBRET	Barr2-GRK2	10	0.009
UMAP	ebBRET	Barr2-GRK2	11	0.009
UMAP	ebBRET	Barr2-GRK2	12	0.009
UMAP	ebBRET	Barr2-GRK2	1	0.008
UMAP	ebBRET	Barr2-GRK2	2	0.008
UMAP	ebBRET	Barr2-GRK2	6	0.008
UMAP	ebBRET	Barr2-GRK2	4	0.005
UMAP	ebBRET	Barr2-GRK2	7	0.004
UMAP	ebBRET	Barr2-GRK2	5	0.003
UMAP	ebBRET	Barr2-GRK2	23	0.002
UMAP	ebBRET	Barr2-GRK2	14	0.001
UMAP	ebBRET	Barr2-GRK2	15	0.001
UMAP	ebBRET	Barr2-GRK2	22	0.001
UMAP	ebBRET	Barr2-GRK2	8	0.0
UMAP	ebBRET	Barr2-GRK2	9	0.0
UMAP	ebBRET	Barr2-GRK2	13	0.0
UMAP	ebBRET	Barr2-GRK2	16	0.0
UMAP	ebBRET	Barr2-GRK2	17	0.0
UMAP	ebBRET	Barr2-GRK2	18	0.0
UMAP	ebBRET	Barr2-GRK2	19	0.0
UMAP	ebBRET	Barr2-GRK2	20	0.0
UMAP	ebBRET	Barr2-GRK2	21	0.0
UMAP	ebBRET	Barr2-GRK2	26	0.0
UMAP	ebBRET	Barr2-GRK2	28	0.0
UMAP	ebBRET	Barr2-GRK2	30	0.0
UMAP	ebBRET	Barr2	27	0.037
UMAP	ebBRET	Barr2	29	0.037
UMAP	ebBRET	Barr2	31	0.022
UMAP	ebBRET	Barr2	32	0.022
UMAP	ebBRET	Barr2	33	0.018
UMAP	ebBRET	Barr2	7	0.013
UMAP	ebBRET	Barr2	25	0.012
UMAP	ebBRET	Barr2	0	0.009
UMAP	ebBRET	Barr2	10	0.007
UMAP	ebBRET	Barr2	11	0.007
UMAP	ebBRET	Barr2	12	0.007
UMAP	ebBRET	Barr2	23	0.006
UMAP	ebBRET	Barr2	3	0.005
UMAP	ebBRET	Barr2	8	0.005
UMAP	ebBRET	Barr2	13	0.005
UMAP	ebBRET	Barr2	16	0.005
UMAP	ebBRET	Barr2	17	0.005
UMAP	ebBRET	Barr2	18	0.005
UMAP	ebBRET	Barr2	19	0.005
UMAP	ebBRET	Barr2	20	0.005
UMAP	ebBRET	Barr2	21	0.005
UMAP	ebBRET	Barr2	1	0.004
UMAP	ebBRET	Barr2	26	0.002
UMAP	ebBRET	Barr2	6	0.001
UMAP	ebBRET	Barr2	9	0.001
UMAP	ebBRET	Barr2	14	0.001
UMAP	ebBRET	Barr2	15	0.001
UMAP	ebBRET	Barr2	22	0.001
UMAP	ebBRET	Barr2	2	0.0
UMAP	ebBRET	Barr2	4	0.0
UMAP	ebBRET	Barr2	5	0.0
UMAP	ebBRET	Barr2	24	0.0
UMAP	ebBRET	Barr2	28	0.0
UMAP	ebBRET	Barr2	30	0.0
UMAP	ebBRET	Barr1-GRK2	27	0.01
UMAP	ebBRET	Barr1-GRK2	28	0.01
UMAP	ebBRET	Barr1-GRK2	29	0.01
UMAP	ebBRET	Barr1-GRK2	25	0.007
UMAP	ebBRET	Barr1-GRK2	3	0.006
UMAP	ebBRET	Barr1-GRK2	30	0.006
UMAP	ebBRET	Barr1-GRK2	14	0.005
UMAP	ebBRET	Barr1-GRK2	15	0.005
UMAP	ebBRET	Barr1-GRK2	22	0.005
UMAP	ebBRET	Barr1-GRK2	23	0.005
UMAP	ebBRET	Barr1-GRK2	5	0.003
UMAP	ebBRET	Barr1-GRK2	6	0.003
UMAP	ebBRET	Barr1-GRK2	10	0.003
UMAP	ebBRET	Barr1-GRK2	11	0.003
UMAP	ebBRET	Barr1-GRK2	12	0.003
UMAP	ebBRET	Barr1-GRK2	26	0.003
UMAP	ebBRET	Barr1-GRK2	31	0.003
UMAP	ebBRET	Barr1-GRK2	32	0.003
UMAP	ebBRET	Barr1-GRK2	24	0.002
UMAP	ebBRET	Barr1-GRK2	33	0.002
UMAP	ebBRET	Barr1-GRK2	1	0.001
UMAP	ebBRET	Barr1-GRK2	8	0.001
UMAP	ebBRET	Barr1-GRK2	13	0.001
UMAP	ebBRET	Barr1-GRK2	16	0.001
UMAP	ebBRET	Barr1-GRK2	17	0.001
UMAP	ebBRET	Barr1-GRK2	18	0.001
UMAP	ebBRET	Barr1-GRK2	19	0.001
UMAP	ebBRET	Barr1-GRK2	20	0.001
UMAP	ebBRET	Barr1-GRK2	21	0.001
UMAP	ebBRET	Barr1-GRK2	0	0.0
UMAP	ebBRET	Barr1-GRK2	2	0.0
UMAP	ebBRET	Barr1-GRK2	4	0.0
UMAP	ebBRET	Barr1-GRK2	7	0.0
UMAP	ebBRET	Barr1-GRK2	9	0.0
UMAP	Shedding	GNAZ	3	0.009
UMAP	Shedding	GNAZ	30	0.006
UMAP	Shedding	GNAZ	31	0.006
UMAP	Shedding	GNAZ	10	0.005
UMAP	Shedding	GNAZ	11	0.005
UMAP	Shedding	GNAZ	12	0.005
UMAP	Shedding	GNAZ	7	0.004
UMAP	Shedding	GNAZ	8	0.004
UMAP	Shedding	GNAZ	25	0.004
UMAP	Shedding	GNAZ	32	0.004
UMAP	Shedding	GNAZ	27	0.003
UMAP	Shedding	GNAZ	28	0.003
UMAP	Shedding	GNAZ	33	0.003
UMAP	Shedding	GNAZ	9	0.002
UMAP	Shedding	GNAZ	13	0.002
UMAP	Shedding	GNAZ	14	0.002
UMAP	Shedding	GNAZ	17	0.002
UMAP	Shedding	GNAZ	19	0.002
UMAP	Shedding	GNAZ	21	0.002
UMAP	Shedding	GNAZ	26	0.002
UMAP	Shedding	GNAZ	29	0.002
UMAP	Shedding	GNAZ	1	0.001
UMAP	Shedding	GNAZ	5	0.001
UMAP	Shedding	GNAZ	6	0.001
UMAP	Shedding	GNAZ	15	0.001
UMAP	Shedding	GNAZ	16	0.001
UMAP	Shedding	GNAZ	18	0.001
UMAP	Shedding	GNAZ	20	0.001
UMAP	Shedding	GNAZ	22	0.001
UMAP	Shedding	GNAZ	23	0.001
UMAP	Shedding	GNAZ	0	0.0
UMAP	Shedding	GNAZ	2	0.0
UMAP	Shedding	GNAZ	4	0.0
UMAP	Shedding	GNAZ	24	0.0
UMAP	Shedding	GNAS	23	0.028
UMAP	Shedding	GNAS	24	0.024
UMAP	Shedding	GNAS	13	0.02
UMAP	Shedding	GNAS	14	0.02
UMAP	Shedding	GNAS	17	0.02
UMAP	Shedding	GNAS	19	0.02
UMAP	Shedding	GNAS	21	0.02
UMAP	Shedding	GNAS	15	0.015
UMAP	Shedding	GNAS	16	0.015
UMAP	Shedding	GNAS	18	0.015
UMAP	Shedding	GNAS	20	0.015
UMAP	Shedding	GNAS	22	0.015
UMAP	Shedding	GNAS	7	0.014
UMAP	Shedding	GNAS	8	0.014
UMAP	Shedding	GNAS	9	0.013
UMAP	Shedding	GNAS	1	0.012
UMAP	Shedding	GNAS	10	0.012
UMAP	Shedding	GNAS	11	0.012
UMAP	Shedding	GNAS	12	0.012
UMAP	Shedding	GNAS	28	0.012
UMAP	Shedding	GNAS	4	0.01
UMAP	Shedding	GNAS	0	0.006
UMAP	Shedding	GNAS	3	0.004
UMAP	Shedding	GNAS	6	0.003
UMAP	Shedding	GNAS	2	0.001
UMAP	Shedding	GNAS	5	0.001
UMAP	Shedding	GNAS	29	0.001
UMAP	Shedding	GNAS	33	0.001
UMAP	Shedding	GNAS	25	0.0
UMAP	Shedding	GNAS	26	0.0
UMAP	Shedding	GNAS	27	0.0
UMAP	Shedding	GNAS	30	0.0
UMAP	Shedding	GNAS	31	0.0
UMAP	Shedding	GNAS	32	0.0
UMAP	Shedding	GNAQ	24	0.067
UMAP	Shedding	GNAQ	1	0.038
UMAP	Shedding	GNAQ	0	0.03
UMAP	Shedding	GNAQ	23	0.029
UMAP	Shedding	GNAQ	4	0.024
UMAP	Shedding	GNAQ	13	0.024
UMAP	Shedding	GNAQ	14	0.024
UMAP	Shedding	GNAQ	17	0.024
UMAP	Shedding	GNAQ	19	0.024
UMAP	Shedding	GNAQ	21	0.024
UMAP	Shedding	GNAQ	28	0.022
UMAP	Shedding	GNAQ	9	0.02
UMAP	Shedding	GNAQ	6	0.019
UMAP	Shedding	GNAQ	15	0.019
UMAP	Shedding	GNAQ	16	0.019
UMAP	Shedding	GNAQ	18	0.019
UMAP	Shedding	GNAQ	20	0.019
UMAP	Shedding	GNAQ	22	0.019
UMAP	Shedding	GNAQ	7	0.016
UMAP	Shedding	GNAQ	8	0.016
UMAP	Shedding	GNAQ	5	0.011
UMAP	Shedding	GNAQ	10	0.011
UMAP	Shedding	GNAQ	11	0.011
UMAP	Shedding	GNAQ	12	0.011
UMAP	Shedding	GNAQ	26	0.009
UMAP	Shedding	GNAQ	29	0.009
UMAP	Shedding	GNAQ	27	0.007
UMAP	Shedding	GNAQ	32	0.003
UMAP	Shedding	GNAQ	30	0.002
UMAP	Shedding	GNAQ	31	0.002
UMAP	Shedding	GNAQ	3	0.001
UMAP	Shedding	GNAQ	25	0.001
UMAP	Shedding	GNAQ	33	0.001
UMAP	Shedding	GNAQ	2	0.0
UMAP	Shedding	GNAL	23	0.028
UMAP	Shedding	GNAL	24	0.024
UMAP	Shedding	GNAL	13	0.02
UMAP	Shedding	GNAL	14	0.02
UMAP	Shedding	GNAL	17	0.02
