DimR	Assay	G-protein	Layer	Score
PCA	ebBRET	GoA	7	0.0
PCA	ebBRET	GoA	24	0.0
PCA	ebBRET	GoA	25	0.0
PCA	ebBRET	GoA	26	0.0
PCA	ebBRET	GoA	27	0.0
PCA	ebBRET	GoA	28	0.0
PCA	ebBRET	GoA	29	0.0
PCA	ebBRET	GNAZ	0	0.04
PCA	ebBRET	GNAZ	19	0.022
PCA	ebBRET	GNAZ	32	0.014
PCA	ebBRET	GNAZ	27	0.011
PCA	ebBRET	GNAZ	28	0.011
PCA	ebBRET	GNAZ	9	0.01
PCA	ebBRET	GNAZ	4	0.009
PCA	ebBRET	GNAZ	7	0.008
PCA	ebBRET	GNAZ	5	0.007
PCA	ebBRET	GNAZ	10	0.007
PCA	ebBRET	GNAZ	26	0.006
PCA	ebBRET	GNAZ	33	0.006
PCA	ebBRET	GNAZ	1	0.005
PCA	ebBRET	GNAZ	8	0.005
PCA	ebBRET	GNAZ	29	0.005
PCA	ebBRET	GNAZ	30	0.005
PCA	ebBRET	GNAZ	2	0.004
PCA	ebBRET	GNAZ	22	0.004
PCA	ebBRET	GNAZ	6	0.003
PCA	ebBRET	GNAZ	31	0.003
PCA	ebBRET	GNAZ	11	0.002
PCA	ebBRET	GNAZ	12	0.002
PCA	ebBRET	GNAZ	21	0.002
PCA	ebBRET	GNAZ	14	0.001
PCA	ebBRET	GNAZ	16	0.001
PCA	ebBRET	GNAZ	25	0.001
PCA	ebBRET	GNAZ	3	0.0
PCA	ebBRET	GNAZ	13	0.0
PCA	ebBRET	GNAZ	15	0.0
PCA	ebBRET	GNAZ	17	0.0
PCA	ebBRET	GNAZ	18	0.0
PCA	ebBRET	GNAZ	20	0.0
PCA	ebBRET	GNAZ	23	0.0
PCA	ebBRET	GNAZ	24	0.0
PCA	ebBRET	GNAS	0	0.04
PCA	ebBRET	GNAS	19	0.022
PCA	ebBRET	GNAS	32	0.014
PCA	ebBRET	GNAS	27	0.011
PCA	ebBRET	GNAS	28	0.011
PCA	ebBRET	GNAS	9	0.01
PCA	ebBRET	GNAS	4	0.009
PCA	ebBRET	GNAS	7	0.008
PCA	ebBRET	GNAS	5	0.007
PCA	ebBRET	GNAS	10	0.007
PCA	ebBRET	GNAS	26	0.006
PCA	ebBRET	GNAS	33	0.006
PCA	ebBRET	GNAS	1	0.005
PCA	ebBRET	GNAS	8	0.005
PCA	ebBRET	GNAS	29	0.005
PCA	ebBRET	GNAS	30	0.005
PCA	ebBRET	GNAS	2	0.004
PCA	ebBRET	GNAS	22	0.004
PCA	ebBRET	GNAS	6	0.003
PCA	ebBRET	GNAS	31	0.003
PCA	ebBRET	GNAS	11	0.002
PCA	ebBRET	GNAS	12	0.002
PCA	ebBRET	GNAS	21	0.002
PCA	ebBRET	GNAS	14	0.001
PCA	ebBRET	GNAS	16	0.001
PCA	ebBRET	GNAS	25	0.001
PCA	ebBRET	GNAS	3	0.0
PCA	ebBRET	GNAS	13	0.0
PCA	ebBRET	GNAS	15	0.0
PCA	ebBRET	GNAS	17	0.0
PCA	ebBRET	GNAS	18	0.0
PCA	ebBRET	GNAS	20	0.0
PCA	ebBRET	GNAS	23	0.0
PCA	ebBRET	GNAS	24	0.0
PCA	ebBRET	GNAQ	0	0.04
PCA	ebBRET	GNAQ	19	0.022
PCA	ebBRET	GNAQ	32	0.014
PCA	ebBRET	GNAQ	27	0.011
PCA	ebBRET	GNAQ	28	0.011
PCA	ebBRET	GNAQ	9	0.01
PCA	ebBRET	GNAQ	4	0.009
PCA	ebBRET	GNAQ	7	0.008
PCA	ebBRET	GNAQ	5	0.007
PCA	ebBRET	GNAQ	10	0.007
PCA	ebBRET	GNAQ	26	0.006
PCA	ebBRET	GNAQ	33	0.006
PCA	ebBRET	GNAQ	1	0.005
PCA	ebBRET	GNAQ	8	0.005
PCA	ebBRET	GNAQ	29	0.005
PCA	ebBRET	GNAQ	30	0.005
PCA	ebBRET	GNAQ	2	0.004
PCA	ebBRET	GNAQ	22	0.004
PCA	ebBRET	GNAQ	6	0.003
PCA	ebBRET	GNAQ	31	0.003
PCA	ebBRET	GNAQ	11	0.002
PCA	ebBRET	GNAQ	12	0.002
PCA	ebBRET	GNAQ	21	0.002
PCA	ebBRET	GNAQ	14	0.001
PCA	ebBRET	GNAQ	16	0.001
PCA	ebBRET	GNAQ	25	0.001
PCA	ebBRET	GNAQ	3	0.0
PCA	ebBRET	GNAQ	13	0.0
PCA	ebBRET	GNAQ	15	0.0
PCA	ebBRET	GNAQ	17	0.0
PCA	ebBRET	GNAQ	18	0.0
PCA	ebBRET	GNAQ	20	0.0
PCA	ebBRET	GNAQ	23	0.0
PCA	ebBRET	GNAQ	24	0.0
PCA	ebBRET	GNAI2	0	0.04
PCA	ebBRET	GNAI2	19	0.022
PCA	ebBRET	GNAI2	32	0.014
PCA	ebBRET	GNAI2	27	0.011
PCA	ebBRET	GNAI2	28	0.011
PCA	ebBRET	GNAI2	9	0.01
PCA	ebBRET	GNAI2	4	0.009
PCA	ebBRET	GNAI2	7	0.008
PCA	ebBRET	GNAI2	5	0.007
PCA	ebBRET	GNAI2	10	0.007
PCA	ebBRET	GNAI2	26	0.006
PCA	ebBRET	GNAI2	33	0.006
PCA	ebBRET	GNAI2	1	0.005
PCA	ebBRET	GNAI2	8	0.005
PCA	ebBRET	GNAI2	29	0.005
PCA	ebBRET	GNAI2	30	0.005
PCA	ebBRET	GNAI2	2	0.004
PCA	ebBRET	GNAI2	22	0.004
PCA	ebBRET	GNAI2	6	0.003
PCA	ebBRET	GNAI2	31	0.003
PCA	ebBRET	GNAI2	11	0.002
PCA	ebBRET	GNAI2	12	0.002
PCA	ebBRET	GNAI2	21	0.002
PCA	ebBRET	GNAI2	14	0.001
PCA	ebBRET	GNAI2	16	0.001
PCA	ebBRET	GNAI2	25	0.001
PCA	ebBRET	GNAI2	3	0.0
PCA	ebBRET	GNAI2	13	0.0
PCA	ebBRET	GNAI2	15	0.0
PCA	ebBRET	GNAI2	17	0.0
PCA	ebBRET	GNAI2	18	0.0
PCA	ebBRET	GNAI2	20	0.0
PCA	ebBRET	GNAI2	23	0.0
PCA	ebBRET	GNAI2	24	0.0
PCA	ebBRET	GNAI1	0	0.04
PCA	ebBRET	GNAI1	19	0.022
PCA	ebBRET	GNAI1	32	0.014
PCA	ebBRET	GNAI1	27	0.011
PCA	ebBRET	GNAI1	28	0.011
PCA	ebBRET	GNAI1	9	0.01
PCA	ebBRET	GNAI1	4	0.009
PCA	ebBRET	GNAI1	7	0.008
PCA	ebBRET	GNAI1	5	0.007
PCA	ebBRET	GNAI1	10	0.007
PCA	ebBRET	GNAI1	26	0.006
PCA	ebBRET	GNAI1	33	0.006
PCA	ebBRET	GNAI1	1	0.005
PCA	ebBRET	GNAI1	8	0.005
PCA	ebBRET	GNAI1	29	0.005
PCA	ebBRET	GNAI1	30	0.005
PCA	ebBRET	GNAI1	2	0.004
PCA	ebBRET	GNAI1	22	0.004
PCA	ebBRET	GNAI1	6	0.003
PCA	ebBRET	GNAI1	31	0.003
PCA	ebBRET	GNAI1	11	0.002
PCA	ebBRET	GNAI1	12	0.002
PCA	ebBRET	GNAI1	21	0.002
PCA	ebBRET	GNAI1	14	0.001
PCA	ebBRET	GNAI1	16	0.001
PCA	ebBRET	GNAI1	25	0.001
PCA	ebBRET	GNAI1	3	0.0
PCA	ebBRET	GNAI1	13	0.0
PCA	ebBRET	GNAI1	15	0.0
PCA	ebBRET	GNAI1	17	0.0
PCA	ebBRET	GNAI1	18	0.0
PCA	ebBRET	GNAI1	20	0.0
PCA	ebBRET	GNAI1	23	0.0
PCA	ebBRET	GNAI1	24	0.0
PCA	ebBRET	GNA15	0	0.04
PCA	ebBRET	GNA15	19	0.022
PCA	ebBRET	GNA15	32	0.014
PCA	ebBRET	GNA15	27	0.011
PCA	ebBRET	GNA15	28	0.011
PCA	ebBRET	GNA15	9	0.01
PCA	ebBRET	GNA15	4	0.009
PCA	ebBRET	GNA15	7	0.008
PCA	ebBRET	GNA15	5	0.007
PCA	ebBRET	GNA15	10	0.007
PCA	ebBRET	GNA15	26	0.006
PCA	ebBRET	GNA15	33	0.006
PCA	ebBRET	GNA15	1	0.005
PCA	ebBRET	GNA15	8	0.005
PCA	ebBRET	GNA15	29	0.005
PCA	ebBRET	GNA15	30	0.005
PCA	ebBRET	GNA15	2	0.004
PCA	ebBRET	GNA15	22	0.004
PCA	ebBRET	GNA15	6	0.003
PCA	ebBRET	GNA15	31	0.003
PCA	ebBRET	GNA15	11	0.002
PCA	ebBRET	GNA15	12	0.002
PCA	ebBRET	GNA15	21	0.002
PCA	ebBRET	GNA15	14	0.001
PCA	ebBRET	GNA15	16	0.001
PCA	ebBRET	GNA15	25	0.001
PCA	ebBRET	GNA15	3	0.0
PCA	ebBRET	GNA15	13	0.0
PCA	ebBRET	GNA15	15	0.0
PCA	ebBRET	GNA15	17	0.0
PCA	ebBRET	GNA15	18	0.0
PCA	ebBRET	GNA15	20	0.0
PCA	ebBRET	GNA15	23	0.0
PCA	ebBRET	GNA15	24	0.0
PCA	ebBRET	GNA14	0	0.04
PCA	ebBRET	GNA14	19	0.022
PCA	ebBRET	GNA14	32	0.014
PCA	ebBRET	GNA14	27	0.011
PCA	ebBRET	GNA14	28	0.011
PCA	ebBRET	GNA14	9	0.01
PCA	ebBRET	GNA14	4	0.009
PCA	ebBRET	GNA14	7	0.008
PCA	ebBRET	GNA14	5	0.007
PCA	ebBRET	GNA14	10	0.007
PCA	ebBRET	GNA14	26	0.006
PCA	ebBRET	GNA14	33	0.006
PCA	ebBRET	GNA14	1	0.005
PCA	ebBRET	GNA14	8	0.005
PCA	ebBRET	GNA14	29	0.005
PCA	ebBRET	GNA14	30	0.005
PCA	ebBRET	GNA14	2	0.004
PCA	ebBRET	GNA14	22	0.004
PCA	ebBRET	GNA14	6	0.003
PCA	ebBRET	GNA14	31	0.003
PCA	ebBRET	GNA14	11	0.002
PCA	ebBRET	GNA14	12	0.002
PCA	ebBRET	GNA14	21	0.002
PCA	ebBRET	GNA14	14	0.001
PCA	ebBRET	GNA14	16	0.001
PCA	ebBRET	GNA14	25	0.001
PCA	ebBRET	GNA14	3	0.0
PCA	ebBRET	GNA14	13	0.0
PCA	ebBRET	GNA14	15	0.0
PCA	ebBRET	GNA14	17	0.0
PCA	ebBRET	GNA14	18	0.0
PCA	ebBRET	GNA14	20	0.0
PCA	ebBRET	GNA14	23	0.0
PCA	ebBRET	GNA14	24	0.0
PCA	ebBRET	GNA13	0	0.04
PCA	ebBRET	GNA13	19	0.022
PCA	ebBRET	GNA13	32	0.014
PCA	ebBRET	GNA13	27	0.011
PCA	ebBRET	GNA13	28	0.011
PCA	ebBRET	GNA13	9	0.01
PCA	ebBRET	GNA13	4	0.009
PCA	ebBRET	GNA13	7	0.008
PCA	ebBRET	GNA13	5	0.007
PCA	ebBRET	GNA13	10	0.007
PCA	ebBRET	GNA13	26	0.006
PCA	ebBRET	GNA13	33	0.006
PCA	ebBRET	GNA13	1	0.005
PCA	ebBRET	GNA13	8	0.005
PCA	ebBRET	GNA13	29	0.005
PCA	ebBRET	GNA13	30	0.005
PCA	ebBRET	GNA13	2	0.004
PCA	ebBRET	GNA13	22	0.004
PCA	ebBRET	GNA13	6	0.003
PCA	ebBRET	GNA13	31	0.003
PCA	ebBRET	GNA13	11	0.002
PCA	ebBRET	GNA13	12	0.002
PCA	ebBRET	GNA13	21	0.002
PCA	ebBRET	GNA13	14	0.001
PCA	ebBRET	GNA13	16	0.001
PCA	ebBRET	GNA13	25	0.001
PCA	ebBRET	GNA13	3	0.0
PCA	ebBRET	GNA13	13	0.0
PCA	ebBRET	GNA13	15	0.0
PCA	ebBRET	GNA13	17	0.0
PCA	ebBRET	GNA13	18	0.0
PCA	ebBRET	GNA13	20	0.0
PCA	ebBRET	GNA13	23	0.0
PCA	ebBRET	GNA13	24	0.0
PCA	ebBRET	GNA12	0	0.04
PCA	ebBRET	GNA12	19	0.022
PCA	ebBRET	GNA12	32	0.014
PCA	ebBRET	GNA12	27	0.011
PCA	ebBRET	GNA12	28	0.011
PCA	ebBRET	GNA12	9	0.01
PCA	ebBRET	GNA12	4	0.009
PCA	ebBRET	GNA12	7	0.008
PCA	ebBRET	GNA12	5	0.007
PCA	ebBRET	GNA12	10	0.007
PCA	ebBRET	GNA12	26	0.006
PCA	ebBRET	GNA12	33	0.006
PCA	ebBRET	GNA12	1	0.005
PCA	ebBRET	GNA12	8	0.005
PCA	ebBRET	GNA12	29	0.005
PCA	ebBRET	GNA12	30	0.005
PCA	ebBRET	GNA12	2	0.004
PCA	ebBRET	GNA12	22	0.004
PCA	ebBRET	GNA12	6	0.003
PCA	ebBRET	GNA12	31	0.003
PCA	ebBRET	GNA12	11	0.002
PCA	ebBRET	GNA12	12	0.002
PCA	ebBRET	GNA12	21	0.002
PCA	ebBRET	GNA12	14	0.001
PCA	ebBRET	GNA12	16	0.001
PCA	ebBRET	GNA12	25	0.001
PCA	ebBRET	GNA12	3	0.0
PCA	ebBRET	GNA12	13	0.0
PCA	ebBRET	GNA12	15	0.0
PCA	ebBRET	GNA12	17	0.0
PCA	ebBRET	GNA12	18	0.0
PCA	ebBRET	GNA12	20	0.0
PCA	ebBRET	GNA12	23	0.0
PCA	ebBRET	GNA12	24	0.0
PCA	ebBRET	GNA11	0	0.04
PCA	ebBRET	GNA11	19	0.022
PCA	ebBRET	GNA11	32	0.014
PCA	ebBRET	GNA11	27	0.011
PCA	ebBRET	GNA11	28	0.011
PCA	ebBRET	GNA11	9	0.01
PCA	ebBRET	GNA11	4	0.009
PCA	ebBRET	GNA11	7	0.008
PCA	ebBRET	GNA11	5	0.007
PCA	ebBRET	GNA11	10	0.007
PCA	ebBRET	GNA11	26	0.006
PCA	ebBRET	GNA11	33	0.006
PCA	ebBRET	GNA11	1	0.005
PCA	ebBRET	GNA11	8	0.005
PCA	ebBRET	GNA11	29	0.005
PCA	ebBRET	GNA11	30	0.005
PCA	ebBRET	GNA11	2	0.004
PCA	ebBRET	GNA11	22	0.004
PCA	ebBRET	GNA11	6	0.003
PCA	ebBRET	GNA11	31	0.003
PCA	ebBRET	GNA11	11	0.002
PCA	ebBRET	GNA11	12	0.002
PCA	ebBRET	GNA11	21	0.002
PCA	ebBRET	GNA11	14	0.001
PCA	ebBRET	GNA11	16	0.001
PCA	ebBRET	GNA11	25	0.001
PCA	ebBRET	GNA11	3	0.0
PCA	ebBRET	GNA11	13	0.0
PCA	ebBRET	GNA11	15	0.0
PCA	ebBRET	GNA11	17	0.0
PCA	ebBRET	GNA11	18	0.0
PCA	ebBRET	GNA11	20	0.0
PCA	ebBRET	GNA11	23	0.0
PCA	ebBRET	GNA11	24	0.0
PCA	ebBRET	Barr2-GRK2	0	0.04
PCA	ebBRET	Barr2-GRK2	19	0.022
PCA	ebBRET	Barr2-GRK2	32	0.014
PCA	ebBRET	Barr2-GRK2	27	0.011
PCA	ebBRET	Barr2-GRK2	28	0.011
PCA	ebBRET	Barr2-GRK2	9	0.01
PCA	ebBRET	Barr2-GRK2	4	0.009
PCA	ebBRET	Barr2-GRK2	7	0.008
PCA	ebBRET	Barr2-GRK2	5	0.007
PCA	ebBRET	Barr2-GRK2	10	0.007
PCA	ebBRET	Barr2-GRK2	26	0.006
PCA	ebBRET	Barr2-GRK2	33	0.006
PCA	ebBRET	Barr2-GRK2	1	0.005
PCA	ebBRET	Barr2-GRK2	8	0.005
PCA	ebBRET	Barr2-GRK2	29	0.005
PCA	ebBRET	Barr2-GRK2	30	0.005
PCA	ebBRET	Barr2-GRK2	2	0.004
PCA	ebBRET	Barr2-GRK2	22	0.004
PCA	ebBRET	Barr2-GRK2	6	0.003
PCA	ebBRET	Barr2-GRK2	31	0.003
PCA	ebBRET	Barr2-GRK2	11	0.002
PCA	ebBRET	Barr2-GRK2	12	0.002
PCA	ebBRET	Barr2-GRK2	21	0.002
PCA	ebBRET	Barr2-GRK2	14	0.001
PCA	ebBRET	Barr2-GRK2	16	0.001
PCA	ebBRET	Barr2-GRK2	25	0.001
PCA	ebBRET	Barr2-GRK2	3	0.0
PCA	ebBRET	Barr2-GRK2	13	0.0
PCA	ebBRET	Barr2-GRK2	15	0.0
PCA	ebBRET	Barr2-GRK2	17	0.0
PCA	ebBRET	Barr2-GRK2	18	0.0
PCA	ebBRET	Barr2-GRK2	20	0.0
PCA	ebBRET	Barr2-GRK2	23	0.0
PCA	ebBRET	Barr2-GRK2	24	0.0
PCA	ebBRET	Barr2	32	0.022
PCA	ebBRET	Barr2	27	0.018
PCA	ebBRET	Barr2	28	0.018
PCA	ebBRET	Barr2	0	0.016
PCA	ebBRET	Barr2	26	0.012
PCA	ebBRET	Barr2	21	0.009
PCA	ebBRET	Barr2	29	0.009
PCA	ebBRET	Barr2	30	0.009
PCA	ebBRET	Barr2	4	0.008
PCA	ebBRET	Barr2	31	0.007
PCA	ebBRET	Barr2	7	0.006
PCA	ebBRET	Barr2	17	0.005
PCA	ebBRET	Barr2	18	0.005
PCA	ebBRET	Barr2	20	0.005
PCA	ebBRET	Barr2	23	0.005
PCA	ebBRET	Barr2	15	0.004
PCA	ebBRET	Barr2	25	0.003
PCA	ebBRET	Barr2	3	0.002
PCA	ebBRET	Barr2	24	0.002
PCA	ebBRET	Barr2	8	0.001
PCA	ebBRET	Barr2	13	0.001
PCA	ebBRET	Barr2	16	0.001
PCA	ebBRET	Barr2	19	0.001
PCA	ebBRET	Barr2	1	0.0
PCA	ebBRET	Barr2	2	0.0
PCA	ebBRET	Barr2	5	0.0
PCA	ebBRET	Barr2	6	0.0
PCA	ebBRET	Barr2	9	0.0
PCA	ebBRET	Barr2	10	0.0
PCA	ebBRET	Barr2	11	0.0
PCA	ebBRET	Barr2	12	0.0
PCA	ebBRET	Barr2	14	0.0
PCA	ebBRET	Barr2	22	0.0
PCA	ebBRET	Barr2	33	0.0
PCA	ebBRET	Barr1-GRK2	24	0.021
PCA	ebBRET	Barr1-GRK2	23	0.019
PCA	ebBRET	Barr1-GRK2	9	0.016
PCA	ebBRET	Barr1-GRK2	8	0.013
PCA	ebBRET	Barr1-GRK2	10	0.011
PCA	ebBRET	Barr1-GRK2	11	0.008
PCA	ebBRET	Barr1-GRK2	12	0.008
PCA	ebBRET	Barr1-GRK2	4	0.006
PCA	ebBRET	Barr1-GRK2	14	0.005
PCA	ebBRET	Barr1-GRK2	16	0.005
PCA	ebBRET	Barr1-GRK2	2	0.004
PCA	ebBRET	Barr1-GRK2	0	0.003
PCA	ebBRET	Barr1-GRK2	3	0.003
PCA	ebBRET	Barr1-GRK2	13	0.003
PCA	ebBRET	Barr1-GRK2	32	0.003
PCA	ebBRET	Barr1-GRK2	1	0.002
PCA	ebBRET	Barr1-GRK2	5	0.002
PCA	ebBRET	Barr1-GRK2	25	0.002
PCA	ebBRET	Barr1-GRK2	27	0.002
PCA	ebBRET	Barr1-GRK2	28	0.002
PCA	ebBRET	Barr1-GRK2	6	0.001
PCA	ebBRET	Barr1-GRK2	15	0.001
PCA	ebBRET	Barr1-GRK2	17	0.001
PCA	ebBRET	Barr1-GRK2	18	0.001
PCA	ebBRET	Barr1-GRK2	20	0.001
PCA	ebBRET	Barr1-GRK2	22	0.001
PCA	ebBRET	Barr1-GRK2	7	0.0
PCA	ebBRET	Barr1-GRK2	19	0.0
PCA	ebBRET	Barr1-GRK2	21	0.0
PCA	ebBRET	Barr1-GRK2	26	0.0
PCA	ebBRET	Barr1-GRK2	29	0.0
PCA	ebBRET	Barr1-GRK2	30	0.0
PCA	ebBRET	Barr1-GRK2	31	0.0
PCA	ebBRET	Barr1-GRK2	33	0.0
PCA	Shedding	GNAZ	23	0.016
PCA	Shedding	GNAZ	31	0.009
PCA	Shedding	GNAZ	24	0.006
PCA	Shedding	GNAZ	33	0.006
PCA	Shedding	GNAZ	4	0.005
PCA	Shedding	GNAZ	5	0.005
PCA	Shedding	GNAZ	25	0.005
PCA	Shedding	GNAZ	29	0.005
PCA	Shedding	GNAZ	14	0.004
PCA	Shedding	GNAZ	6	0.003
PCA	Shedding	GNAZ	8	0.003
PCA	Shedding	GNAZ	11	0.003
PCA	Shedding	GNAZ	28	0.003
PCA	Shedding	GNAZ	32	0.003
PCA	Shedding	GNAZ	12	0.002
PCA	Shedding	GNAZ	13	0.002
PCA	Shedding	GNAZ	21	0.002
PCA	Shedding	GNAZ	27	0.002
PCA	Shedding	GNAZ	0	0.001
PCA	Shedding	GNAZ	2	0.001
PCA	Shedding	GNAZ	16	0.001
PCA	Shedding	GNAZ	22	0.001
PCA	Shedding	GNAZ	26	0.001
PCA	Shedding	GNAZ	1	0.0
PCA	Shedding	GNAZ	3	0.0
PCA	Shedding	GNAZ	7	0.0
PCA	Shedding	GNAZ	9	0.0
PCA	Shedding	GNAZ	10	0.0
PCA	Shedding	GNAZ	15	0.0
PCA	Shedding	GNAZ	17	0.0
PCA	Shedding	GNAZ	18	0.0
PCA	Shedding	GNAZ	19	0.0
PCA	Shedding	GNAZ	20	0.0
PCA	Shedding	GNAZ	30	0.0
PCA	Shedding	GNAS	13	0.019
PCA	Shedding	GNAS	15	0.018
PCA	Shedding	GNAS	20	0.018
PCA	Shedding	GNAS	21	0.017
PCA	Shedding	GNAS	18	0.016
PCA	Shedding	GNAS	19	0.016
PCA	Shedding	GNAS	22	0.016
PCA	Shedding	GNAS	14	0.014
PCA	Shedding	GNAS	16	0.014
PCA	Shedding	GNAS	7	0.013
PCA	Shedding	GNAS	1	0.011
PCA	Shedding	GNAS	17	0.011
PCA	Shedding	GNAS	12	0.01
PCA	Shedding	GNAS	3	0.008
PCA	Shedding	GNAS	10	0.008
PCA	Shedding	GNAS	25	0.007
PCA	Shedding	GNAS	4	0.006
PCA	Shedding	GNAS	11	0.006
PCA	Shedding	GNAS	0	0.005
PCA	Shedding	GNAS	6	0.005
PCA	Shedding	GNAS	24	0.005
PCA	Shedding	GNAS	23	0.004
PCA	Shedding	GNAS	9	0.003
PCA	Shedding	GNAS	8	0.002
PCA	Shedding	GNAS	27	0.002
PCA	Shedding	GNAS	2	0.001
PCA	Shedding	GNAS	5	0.001
PCA	Shedding	GNAS	26	0.001
PCA	Shedding	GNAS	29	0.001
PCA	Shedding	GNAS	30	0.001
PCA	Shedding	GNAS	28	0.0
PCA	Shedding	GNAS	31	0.0
PCA	Shedding	GNAS	32	0.0
PCA	Shedding	GNAS	33	0.0
PCA	Shedding	GNAQ	18	0.072
PCA	Shedding	GNAQ	15	0.058
PCA	Shedding	GNAQ	20	0.058
PCA	Shedding	GNAQ	17	0.05
PCA	Shedding	GNAQ	12	0.043
PCA	Shedding	GNAQ	7	0.042
PCA	Shedding	GNAQ	14	0.038
PCA	Shedding	GNAQ	22	0.037
PCA	Shedding	GNAQ	23	0.037
PCA	Shedding	GNAQ	24	0.035
PCA	Shedding	GNAQ	13	0.033
PCA	Shedding	GNAQ	11	0.032
PCA	Shedding	GNAQ	10	0.03
PCA	Shedding	GNAQ	25	0.03
PCA	Shedding	GNAQ	27	0.03
PCA	Shedding	GNAQ	3	0.029
PCA	Shedding	GNAQ	16	0.028
PCA	Shedding	GNAQ	0	0.024
PCA	Shedding	GNAQ	1	0.024
PCA	Shedding	GNAQ	6	0.024
PCA	Shedding	GNAQ	21	0.024
PCA	Shedding	GNAQ	26	0.019
PCA	Shedding	GNAQ	28	0.019
PCA	Shedding	GNAQ	4	0.017
PCA	Shedding	GNAQ	8	0.017
PCA	Shedding	GNAQ	30	0.017
PCA	Shedding	GNAQ	5	0.015
PCA	Shedding	GNAQ	9	0.015
PCA	Shedding	GNAQ	19	0.01
PCA	Shedding	GNAQ	29	0.009
PCA	Shedding	GNAQ	2	0.006
PCA	Shedding	GNAQ	31	0.006
PCA	Shedding	GNAQ	33	0.003
PCA	Shedding	GNAQ	32	0.002
PCA	Shedding	GNAL	13	0.019
PCA	Shedding	GNAL	15	0.018
PCA	Shedding	GNAL	20	0.018
PCA	Shedding	GNAL	21	0.017
PCA	Shedding	GNAL	18	0.016
PCA	Shedding	GNAL	14	0.014
PCA	Shedding	GNAL	16	0.014
PCA	Shedding	GNAL	7	0.013
PCA	Shedding	GNAL	17	0.011
PCA	Shedding	GNAL	19	0.011
PCA	Shedding	GNAL	12	0.01
PCA	Shedding	GNAL	22	0.01
PCA	Shedding	GNAL	10	0.008
PCA	Shedding	GNAL	11	0.006
PCA	Shedding	GNAL	0	0.005
PCA	Shedding	GNAL	24	0.005
PCA	Shedding	GNAL	3	0.004
PCA	Shedding	GNAL	23	0.004
PCA	Shedding	GNAL	1	0.003
PCA	Shedding	GNAL	9	0.003
PCA	Shedding	GNAL	25	0.003
PCA	Shedding	GNAL	8	0.002
PCA	Shedding	GNAL	27	0.002
PCA	Shedding	GNAL	2	0.001
PCA	Shedding	GNAL	4	0.001
PCA	Shedding	GNAL	5	0.001
PCA	Shedding	GNAL	26	0.001
PCA	Shedding	GNAL	29	0.001
PCA	Shedding	GNAL	31	0.001
PCA	Shedding	GNAL	6	0.0
PCA	Shedding	GNAL	28	0.0
PCA	Shedding	GNAL	30	0.0
PCA	Shedding	GNAL	32	0.0
PCA	Shedding	GNAL	33	0.0
PCA	Shedding	GNAI3	13	0.042
PCA	Shedding	GNAI3	14	0.036
