GPCR	393pos	398bip	398bin	428bip	428bin	439pos	500bip	500bin	507bip	507bin	544bip	544bin	599pos	658bip	658bin	662bip	662bin	674pos	885pos	886pos	887pos	888pos	966pos	967pos	998bip	998bin	IP_Z_6g79	N_TIL	O
HTR2A	1	1.30784	1.07403	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	2.98403	3.71129	1	2.53776	2.93996	2.6016	2.67282	1	1	1	1	1	1	1	0.43991	1.002	1.031	1	1
FPR1	1	1.30784	1.07403	1.52257	1.38952	0	1.35603	0.9796	1.06908	0.93475	1.71775	1.81136	1	2.99334	3.73957	0.86707	1.65376	0	0	0	0	0	1	1	0.43991	1.002	1.441	0	1
HRH1	0	1.25971	1.49504	1.17502	1.82016	1	3.7357	5.0858	1.06908	0.93475	1.93799	1.86406	1	2.34788	3.09635	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	2.285	6	1
MCHR2	1	2.04172	2.2531	1.52257	1.38952	0	0.53855	0.99721	2.73314	1.73174	1.71775	1.81136	1	1.93061	1.20994	0.86707	1.65376	1	1	1	1	1	0	1	0.43991	1.002	2.198	2	1
MCHR1	1	1.30784	1.07403	1.52257	1.38952	0	1.35603	0.9796	3.63882	3.4018	3.04949	2.13826	1	2.28081	3.23257	0.86707	1.65376	1	0	0	0	1	0	1	0.43991	1.002	1.448	0	1
HTR6	0	1.30784	1.07403	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	2.57868	2.58261	1	2.53776	2.93996	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	1.883	0	1
HTR7	1	2.04172	2.2531	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	1.71775	1.81136	0	3.31003	2.24872	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	1.693	3	1
HTR4	1	2.31494	2.52827	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	2.57868	2.58261	1	2.28081	3.23257	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	1.69	0	1
GALR3	1	1.25971	1.49504	1.52257	1.38952	1	0.53855	0.99721	1.06908	0.93475	1.92391	2.27318	0	2.28081	3.23257	2.6016	2.67282	1	1	1	1	1	1	1	0.43991	1.002	1.126	0	1
GALR2	1	1.25971	1.49504	1.52257	1.38952	1	0.53855	0.99721	0.74614	1.27184	2.78285	4.39467	0	2.53776	2.93996	2.6016	2.67282	1	0	0	1	1	1	1	0.43991	1.002	1.269	0	1
GALR1	1	1.30784	1.07403	1.52257	1.38952	1	0.53855	0.99721	0.74614	1.27184	2.97698	3.19244	1	1.93061	1.20994	2.14945	1.41943	0	0	0	1	1	0	1	0.43991	1.002	1.171	1	1
NMBR	1	2.04172	2.2531	1.52257	1.38952	1	0.53855	0.99721	0.74614	1.27184	1.93799	1.86406	1	3.75067	4.07413	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	2.06	2	1
GPR119	0	3.57098	2.84196	1.52257	1.38952	1	3.17674	2.58618	0.74614	1.27184	2.57868	2.58261	0	2.34788	3.09635	2.43348	2.40355	1	1	1	1	0	0	0	0.43991	1.002	1.606	0	1
HCRTR1	1	2.52446	3.41633	1.52257	1.38952	1	1.35603	0.9796	0.74614	1.27184	1.93799	1.86406	1	2.28081	3.23257	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	1.684	1	1
PTAFR	0	1.25971	1.49504	1.52257	1.38952	0	3.17674	2.58618	1.06908	0.93475	2.97698	3.19244	1	1.93061	1.20994	0.86707	1.65376	0	0	0	0	1	1	1	1.58504	0.81978	1.757	1	1
HCRTR2	1	2.52446	3.41633	1.52257	1.38952	1	1.35603	0.9796	0.74614	1.27184	2.22616	1.64351	1	2.28081	3.23257	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	1.621	0	1
GPR17	1	1.25971	1.49504	3.24441	2.80105	0	0.53855	0.99721	0.74614	1.27184	1.92391	2.27318	0	1.93061	1.20994	0.86707	1.65376	0	0	0	0	0	1	1	1.58504	0.81978	1.696	0	1
ADORA1	1	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	1.06908	0.93475	1.71775	1.81136	1	2.82939	2.81765	2.14945	1.41943	1	1	1	1	1	0	0	0.43991	1.002	2.071	1	1
ADORA3	1	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	1.06908	0.93475	1.71775	1.81136	1	2.82939	2.81765	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	0.988	3	1
EDNRA	1	1.25971	1.49504	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	2.22616	1.64351	1	2.34788	3.09635	2.43348	2.40355	0	1	1	1	1	1	1	0.43991	1.002	2.389	2	1
EDNRB	1	1.25971	1.49504	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	1.93799	1.86406	1	2.34788	3.09635	2.43348	2.40355	1	1	1	1	1	1	1	0.43991	1.002	1.481	1	1
MC4R	1	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	2.22616	1.64351	0	1.58265	2.0247	4.04814	4.25003	0	0	0	0	0	1	1	1.58504	0.81978	1.955	0	1
CYSLTR1	1	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	2.97698	3.19244	0	1.93061	1.20994	0.86707	1.65376	0	0	0	0	0	1	1	1.58504	0.81978	1.029	1	1
CCKBR	1	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	1.93799	1.86406	1	2.28081	3.23257	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	2.848	2	1
ADORA2A	1	2.52446	3.41633	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	1.71775	1.81136	1	2.28859	2.04519	0.86707	1.65376	1	1	1	1	1	0	1	0.43991	1.002	1.228	0	1
ADORA2B	1	2.52446	3.41633	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	1.71775	1.81136	1	2.82939	2.81765	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	2.184	0	1
F2R	0	1.30784	1.07403	3.24441	2.80105	0	0.53855	0.99721	1.06908	0.93475	1.93799	1.86406	1	1.93061	1.20994	0.86707	1.65376	0	0	0	0	0	1	1	1.58504	0.81978	0.341	1	1
HRH4	1	1.30784	1.07403	1.52257	1.38952	1	0.53855	0.99721	1.06908	0.93475	2.78285	4.39467	0	2.34788	3.09635	0.86707	1.65376	1	1	1	1	1	0	1	0.43991	1.002	2.197	3	1
HRH2	1	2.52446	3.41633	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	2.57868	2.58261	1	2.53776	2.93996	0.86707	1.65376	1	0	1	1	1	0	0	0.43991	1.002	1.074	1	1
HRH3	1	2.31494	2.52827	1.52257	1.38952	1	0.53855	0.99721	1.06908	0.93475	2.78285	4.39467	1	2.34788	3.09635	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	2.173	0	1
HTR2C	1	1.30784	1.07403	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	1.93799	1.86406	1	2.53776	2.93996	2.6016	2.67282	1	1	1	1	1	1	1	0.43991	1.002	1.808	7	1
HTR2B	1	1.30784	1.07403	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	2.22616	1.64351	1	2.53776	2.93996	2.6016	2.67282	1	1	1	1	1	1	1	0.43991	1.002	1.215	3	1
NPFFR2	1	2.52446	3.41633	1.52257	1.38952	1	1.35603	0.9796	1.06908	0.93475	2.97698	3.19244	1	3.31003	2.24872	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	1.71	1	1
NPFFR1	1	2.52446	3.41633	1.52257	1.38952	1	1.35603	0.9796	0.74614	1.27184	3.67382	4.59215	1	3.31003	2.24872	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	2.321	0	1
F2RL3	0	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	2.73314	1.73174	1.71775	1.81136	1	1.93061	1.20994	2.6016	2.67282	0	0	0	0	0	1	1	1.58504	0.81978	0.379	0	1
F2RL2	0	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	1.71775	1.81136	1	1.93061	1.20994	0.86707	1.65376	0	0	0	0	0	1	1	1.58504	0.81978	2.693	1	1
MTNR1B	1	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	1.71775	1.81136	0	1.93061	1.20994	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	1.785	0	1
MTNR1A	1	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	1.71775	1.81136	0	1.93061	1.20994	0.86707	1.65376	0	1	1	1	1	1	1	0.43991	1.002	2.663	0	1
TACR3	1	1.30784	1.07403	1.52257	1.38952	1	1.35603	0.9796	0.74614	1.27184	2.57868	2.58261	0	2.53776	2.93996	2.14945	1.41943	0	1	1	1	1	1	1	0.43991	1.002	1.574	0	1
TACR2	1	1.30784	1.07403	1.52257	1.38952	1	1.35603	0.9796	0.74614	1.27184	2.97698	3.19244	0	2.28081	3.23257	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	2.483	1	1
TACR1	1	2.31494	2.52827	1.52257	1.38952	1	1.35603	0.9796	0.74614	1.27184	2.57868	2.58261	0	2.28081	3.23257	2.14945	1.41943	0	1	1	1	1	1	1	0.43991	1.002	1.272	0	1
LPAR1	0	2.31494	2.52827	1.52257	1.38952	1	1.35603	0.9796	1.06908	0.93475	1.92391	2.27318	0	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	1.534	1	1
APLNR	1	1.25971	1.49504	1.17502	1.82016	0	0.53855	0.99721	0.74614	1.27184	2.98403	3.71129	1	1.93061	1.20994	0.86707	1.65376	1	0	0	0	1	1	1	0.43991	1.002	3.363	0	1
S1PR3	1	1.25971	1.49504	1.52257	1.38952	0	1.35603	0.9796	3.81177	3.4061	1.92391	2.27318	0	1.58265	2.0247	0.86707	1.65376	1	0	0	0	1	0	1	0.43991	1.002	0.744	3	1
NPBWR1	1	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	1.71775	1.81136	0	1.58265	2.0247	2.47531	2.42666	0	0	1	1	1	1	1	0.43991	1.002	1.591	0	1
AGTR1	1	2.04172	2.2531	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	1.71775	1.81136	1	2.99334	3.73957	0.86707	1.65376	0	0	0	0	0	1	1	0.43991	1.002	2.504	1	1
LTB4R	1	2.04172	2.2531	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	3.04949	2.13826	1	2.99334	3.73957	0.86707	1.65376	0	0	0	0	0	1	1	0.43991	1.002	-0.585	0	1
GNRHR	0	5.84043	5.47149	3.24441	2.80105	1	0.53855	0.99721	0.74614	1.27184	2.78285	4.39467	1	1.93061	1.20994	0.86707	1.65376	1	1	1	1	1	1	1	1.58504	0.81978	2.124	3	1
S1PR5	1	1.25971	1.49504	1.17502	1.82016	1	1.35603	0.9796	3.81177	3.4061	1.71775	1.81136	0	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	0	1	0.43991	1.002	1.232	1	1
FFAR3	0	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	2.97698	3.19244	1	1.93061	1.20994	2.47531	2.42666	0	0	0	0	0	1	1	1.58504	0.81978	1.424	0	1
PTGER3	0	2.31494	2.52827	4.6569	6.00601	1	1.35603	0.9796	0.74614	1.27184	1.71775	1.81136	1	1.93061	1.20994	2.6016	2.67282	1	0	1	1	1	1	1	1.58504	0.81978	2.266	0	1
CNR1	1	1.25971	1.49504	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	1.93799	1.86406	0	2.28081	3.23257	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	2.801	0	1
CNR2	1	1.25971	1.49504	1.17502	1.82016	1	1.35603	0.9796	2.73314	1.73174	3.84837	4.05339	0	2.53776	2.93996	2.14945	1.41943	1	1	1	1	1	0	0	0.43991	1.002	1.828	0	1
P2RY14	0	5.84043	5.47149	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	1.93799	1.86406	1	2.34788	3.09635	0.86707	1.65376	0	0	0	1	1	1	1	1.58504	0.81978	1.935	1	1
S1PR2	1	1.25971	1.49504	1.52257	1.38952	1	1.35603	0.9796	0.74614	1.27184	2.78285	4.39467	0	1.58265	2.0247	0.86707	1.65376	0	0	0	0	0	0	1	0.43991	1.002	1.012	1	1
S1PR1	1	1.25971	1.49504	1.52257	1.38952	1	1.35603	0.9796	3.81177	3.4061	2.78285	4.39467	0	1.58265	2.0247	0.86707	1.65376	1	0	0	0	0	0	1	0.43991	1.002	1.516	1	1
P2RY10	0	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	2.73314	1.73174	1.71775	1.81136	0	1.93061	1.20994	2.6016	2.67282	0	0	0	0	0	1	1	1.58504	0.81978	1.293	0	1
P2RY11	0	1.25971	1.49504	3.03849	3.22528	1	0.53855	0.99721	0.74614	1.27184	2.98403	3.71129	1	2.28081	3.23257	2.47531	2.42666	0	0	0	0	0	0	0	7.58179	7.35899	1.439	0	1
P2RY12	0	5.84043	5.47149	1.52257	1.38952	0	3.17674	2.58618	3.63882	3.4018	1.71775	1.81136	1	1.93061	1.20994	0.86707	1.65376	1	0	0	0	0	1	1	1.58504	0.81978	1.114	0	1
MRGPRX1	1	1.25971	1.49504	1.52257	1.38952	1	0.53855	0.99721	1.06908	0.93475	2.22616	1.64351	1	2.99334	3.73957	2.47531	2.42666	0	0	0	0	0	1	1	0.43991	1.002	2.196	0	1
P2RY4	0	1.25971	1.49504	3.24441	2.80105	0	0.53855	0.99721	0.74614	1.27184	1.93799	1.86406	0	1.93061	1.20994	2.43348	2.40355	0	0	0	0	0	1	1	1.58504	0.81978	1.824	0	1
MRGPRX2	1	1.25971	1.49504	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	2.22616	1.64351	1	1.58265	2.0247	0.86707	1.65376	0	0	0	0	0	0	0	0.43991	1.002	2.078	0	1
OXGR1	1	1.30784	1.07403	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	2.22616	1.64351	0	1.93061	1.20994	0.86707	1.65376	0	0	0	0	0	1	1	0.43991	1.002	1.249	0	1
GPR84	1	1.25971	1.49504	1.52257	1.38952	1	1.35603	0.9796	0.74614	1.27184	1.92391	2.27318	0	2.34788	3.09635	0.86707	1.65376	1	1	1	1	1	0	1	0.43991	1.002	1.842	2	1
TBXA2R	0	1.25971	1.49504	3.20678	2.62903	1	1.35603	0.9796	0.74614	1.27184	1.71775	1.81136	1	1.58265	2.0247	3.55945	2.70316	0	1	1	1	1	1	1	1.58504	0.81978	0.679	0	1
OPRM1	1	2.31494	2.52827	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	1.71775	1.81136	0	1.93061	1.20994	2.43348	2.40355	0	0	1	1	1	1	1	0.43991	1.002	2.593	1	1
P2RY1	1	1.30784	1.07403	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	2.97698	3.19244	1	1.93061	1.20994	0.86707	1.65376	0	0	0	0	0	1	1	1.58504	0.81978	1.135	1	1
GHSR	1	2.31494	2.52827	1.17502	1.82016	0	0.53855	0.99721	0.74614	1.27184	2.78285	4.39467	1	1.58265	2.0247	0.86707	1.65376	1	0	0	1	1	1	1	0.43991	1.002	1.951	1	1
MC5R	1	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	2.22616	1.64351	0	1.58265	2.0247	2.43348	2.40355	1	1	1	1	1	1	1	1.58504	0.81978	2.223	0	1
BDKRB1	1	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	2.73314	1.73174	2.22616	1.64351	1	2.34788	3.09635	0.86707	1.65376	0	0	1	1	1	1	1	0.43991	1.002	1.86	0	1
BDKRB2	1	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	2.73314	1.73174	2.97698	3.19244	1	1.93061	1.20994	0.86707	1.65376	0	0	0	0	1	1	1	0.43991	1.002	1.504	2	1
CCKAR	1	1.30784	1.07403	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	3.04949	2.13826	1	2.28081	3.23257	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	2.418	3	1
SSTR1	1	1.30784	1.07403	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	1.71775	1.81136	1	1.93061	1.20994	0.86707	1.65376	0	0	1	1	1	0	0	0.43991	1.002	2.06	0	1
SSTR3	1	1.30784	1.07403	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	1.71775	1.81136	0	1.93061	1.20994	0.86707	1.65376	0	1	1	1	1	1	1	0.43991	1.002	1.666	0	1
SSTR2	1	1.30784	1.07403	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	1.71775	1.81136	1	1.93061	1.20994	0.86707	1.65376	0	0	1	1	1	1	1	0.43991	1.002	1.267	0	1
SSTR5	1	1.30784	1.07403	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	1.71775	1.81136	0	1.93061	1.20994	0.86707	1.65376	0	0	0	1	1	1	1	0.43991	1.002	1.205	0	1
SSTR4	1	1.30784	1.07403	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	1.71775	1.81136	1	1.93061	1.20994	0.86707	1.65376	0	0	1	1	1	0	0	0.43991	1.002	1.994	0	1
OXTR	1	1.25971	1.49504	3.24441	2.80105	1	0.53855	0.99721	0.74614	1.27184	1.92391	2.27318	1	1.93061	1.20994	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	2.211	1	1
LPAR2	1	1.30784	1.07403	1.52257	1.38952	1	1.35603	0.9796	1.06908	0.93475	1.71775	1.81136	0	2.28859	2.04519	0.86707	1.65376	1	0	0	1	1	0	0	0.43991	1.002	1.263	0	1
LPAR3	0	1.30784	1.07403	1.52257	1.38952	1	1.35603	0.9796	0.74614	1.27184	1.92391	2.27318	0	2.28859	2.04519	0.86707	1.65376	1	1	1	1	1	0	1	0.43991	1.002	1.597	1	1
F2RL1	0	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	2.22616	1.64351	1	2.28081	3.23257	2.43348	2.40355	0	0	0	0	0	1	1	1.58504	0.81978	1.844	1	1
MLNR	1	2.04172	2.2531	1.17502	1.82016	0	0.53855	0.99721	0.74614	1.27184	2.78285	4.39467	1	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	1.192	0	1
LPAR6	0	1.30784	1.07403	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	1.92391	2.27318	1	1.93061	1.20994	2.14945	1.41943	0	0	0	0	0	1	1	1.58504	0.81978	2.029	1	1
LPAR4	1	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	2.22616	1.64351	0	1.93061	1.20994	2.14945	1.41943	0	0	0	0	0	1	1	1.58504	0.81978	1.861	1	1
LPAR5	0	1.25971	1.49504	1.52257	1.38952	0	4.41827	4.63568	0.74614	1.27184	1.93799	1.86406	1	2.99334	3.73957	2.14945	1.41943	0	0	0	0	0	1	1	1.58504	0.81978	0.909	0	1
OPRL1	1	2.31494	2.52827	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	1.93799	1.86406	0	1.93061	1.20994	2.43348	2.40355	0	0	1	1	1	1	1	0.43991	1.002	2.794	1	1
PRLHR	1	2.04172	2.2531	1.52257	1.38952	1	1.35603	0.9796	2.73314	1.73174	1.71775	1.81136	1	2.99334	3.73957	2.14945	1.41943	1	0	0	0	1	1	1	0.43991	1.002	2.202	1	1
CHRM5	1	2.31494	2.52827	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	1.92391	2.27318	1	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	1.781	8	1
CHRM4	1	2.31494	2.52827	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	1.92391	2.27318	1	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	1.437	7	1
CHRM3	1	1.30784	1.07403	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	1.92391	2.27318	1	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	1.712	9	1
CHRM2	1	2.31494	2.52827	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	1.92391	2.27318	1	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	1.497	15	1
CHRM1	1	1.25971	1.49504	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	1.92391	2.27318	1	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	1.669	2	1
OPRK1	1	2.31494	2.52827	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	2.22616	1.64351	1	1.93061	1.20994	2.43348	2.40355	0	0	1	1	1	1	1	0.43991	1.002	2.07	1	1
GRPR	1	1.30784	1.07403	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	2.22616	1.64351	1	3.75067	4.07413	0.86707	1.65376	1	0	1	1	1	1	1	0.43991	1.002	1.586	2	1
FFAR1	0	1.30784	1.07403	1.52257	1.38952	0	0.53855	0.99721	3.77938	3.95451	2.78285	4.39467	1	1.93061	1.20994	4.18801	4.4811	0	0	0	0	0	0	0	7.58179	7.35899	1.185	0	1
FFAR4	1	1.25971	1.49504	1.52257	1.38952	0	0.53855	0.99721	0.74614	1.27184	1.71775	1.81136	1	2.99334	3.73957	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	0.646	0	1
NMUR2	1	2.52446	3.41633	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	1.71775	1.81136	1	1.58265	2.0247	2.43348	2.40355	0	1	1	1	1	1	1	0.43991	1.002	0.945	2	1
DRD4	1	2.52446	3.41633	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	1.92391	2.27318	0	1.58265	2.0247	2.6016	2.67282	0	1	1	1	1	0	0	0.43991	1.002	2.332	1	1
DRD5	1	2.52446	3.41633	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	2.57868	2.58261	1	2.53776	2.93996	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	1.101	0	1
DRD2	1	2.52446	3.41633	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	3.67382	4.59215	0	2.28859	2.04519	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	1.703	6	1
DRD3	1	2.52446	3.41633	1.17502	1.82016	1	0.53855	0.99721	1.06908	0.93475	3.67382	4.59215	0	2.28859	2.04519	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	2.163	4	1
DRD1	1	2.52446	3.41633	1.17502	1.82016	1	0.53855	0.99721	0.74614	1.27184	2.57868	2.58261	1	2.53776	2.93996	0.86707	1.65376	1	1	1	1	1	1	1	0.43991	1.002	1.496	2	1
OPRD1	1	2.31494	2.52827	1.52257	1.38952	0	0.53855	0.99721	1.06908	0.93475	1.93799	1.86406	0	1.93061	1.20994	2.43348	2.40355	0	0	1	1	1	1	1	0.43991	1.002	2.088	0	1
HTR1D	0	1.25971	1.49504	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	2.22616	1.64351	0	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	0	1	0.43991	1.002	2.317	4	1
HTR1E	0	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	2.98403	3.71129	1	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	2.3	3	1
HTR1F	0	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	2.98403	3.71129	0	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	0	0	0.43991	1.002	1.816	1	1
HTR1A	1	2.04172	2.2531	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	2.22616	1.64351	1	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	0	1	0.43991	1.002	2.314	6	1
HTR1B	0	1.30784	1.07403	1.17502	1.82016	1	1.35603	0.9796	0.74614	1.27184	1.71775	1.81136	0	1.58265	2.0247	0.86707	1.65376	1	1	1	1	1	0	1	0.43991	1.002	1.772	3	1
PTGFR	0	5.84043	5.47149	3.20678	2.62903	1	1.35603	0.9796	1.06908	0.93475	1.71775	1.81136	1	1.93061	1.20994	2.6016	2.67282	0	1	1	1	1	1	1	1.58504	0.81978	1.676	0	0
AVPR1A	1	1.25971	1.49504	3.24441	2.80105	1	3.17674	2.58618	1.06908	0.93475	3.04949	2.13826	1	1.93061	1.20994	0.86707	1.65376	1	0	0	1	1	1	1	0.43991	1.002	2.235	1	0
MC1R	1	2.04172	2.2531	5.60562	3.32512	1	1.35603	0.9796	0.74614	1.27184	3.04949	2.13826	0	1.58265	2.0247	2.43348	2.40355	1	1	1	1	1	1	1	1.58504	0.81978	2.371	0	0
