GPCR	401bip	401bin	655bip	655bin	919bip	919bin	966pos	967pos	IP_Z_6cmo	IP_Z_6dde	TILL	A_TIL	C_TIL	E_TIL	F_TIL	G_TIL	K_TIL	L_TIL	P_TIL	R_TIL	S_TIL	M_CTL	T_CTL	O
P2RY10	1.79869	1.76651	1.52361	1.47491	3.85552	5.1469	1	1	-1.464	-0.277	12	1	0	1	1	1	0	0	2	1	1	3	1	1
P2RY11	1.64441	2.30656	2.07461	2.40793	3.44061	5.2349	0	0	-2.192	-0.475	10	1	0	1	0	1	0	1	1	1	1	3	2	1
P2RY13	1.64441	2.30656	1.6661	1.47003	1.38992	1.20265	1	1	-1.247	2.108	14	0	0	0	0	0	4	0	0	2	3	2	8	1
HRH2	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	0	1.019	-0.251	19	3	0	0	0	0	2	0	0	3	2	0	6	1
P2RY4	1.64441	2.30656	2.07461	2.40793	1.38992	1.20265	1	1	-1.215	0.392	12	1	0	0	0	1	0	1	2	0	4	0	4	1
HTR2C	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	1	1	1.343	-0.538	64	5	2	6	1	3	5	6	4	9	2	1	3	1
MRGPRX2	1.79869	1.76651	2.78694	3.61896	2.98176	3.2982	0	0	-1.587	1.274	0	0	0	0	0	0	0	0	0	0	0	1	1	1
MRGPRX1	1.79869	1.76651	2.25998	2.15492	2.98176	3.2982	1	1	-2.097	1.403	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CNR1	1.25678	1.48779	1.52361	1.47491	1.92308	1.19234	0	0	0.94	-0.1	36	2	0	1	0	2	2	0	1	4	3	3	5	1
BDKRB1	1.64441	2.30656	1.52361	1.47491	1.40172	1.57085	1	1	0.351	-0.116	15	0	1	2	0	2	1	0	0	5	1	0	2	1
MC3R	1.52791	1.30788	1.6661	1.47003	1.40172	1.57085	1	1	-0.41	1.716	22	4	0	0	0	1	1	2	3	2	1	1	1	1
LPAR1	1.25678	1.48779	1.6661	1.47003	1.38992	1.20265	0	0	0.361	1.618	20	0	0	0	0	1	0	0	1	7	3	1	4	1
HTR6	1.25678	1.48779	1.52361	1.47491	1.40172	1.57085	0	0	0.518	0.89	44	6	0	2	0	2	2	3	3	5	5	1	5	1
F2RL3	1.79869	1.76651	1.6661	1.47003	1.38992	1.20265	1	1	-2.858	-1.811	6	2	0	0	0	1	0	0	0	2	1	1	2	1
TACR3	1.25678	1.48779	1.6661	1.47003	1.38992	1.20265	1	1	1.164	0.016	19	1	1	2	0	3	2	1	1	0	0	3	10	1
LPAR3	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	1	-0.061	1.809	20	0	0	0	0	1	2	1	1	4	4	3	4	1
FFAR2	1.64441	2.30656	2.07461	2.40793	2.98176	3.2982	0	0	-1.991	-0.656	10	1	0	0	0	1	0	2	1	1	1	1	4	1
GRPR	1.64441	2.30656	1.52361	1.47491	3.31643	3.94176	1	1	-0.051	1.352	21	1	0	2	0	1	2	1	1	0	2	1	7	1
GHSR	1.52791	1.30788	2.25998	2.15492	1.38992	1.20265	1	1	0.61	0.754	18	2	0	0	0	2	0	1	0	5	1	1	3	1
P2RY1	1.64441	2.30656	1.52361	1.47491	1.38992	1.20265	1	1	-2.362	-0.115	10	0	0	0	0	0	1	2	1	0	1	1	4	1
P2RY6	1.25678	1.48779	2.25998	2.15492	1.38992	1.20265	1	1	0.661	1.385	14	2	1	2	0	1	0	0	2	2	0	0	2	1
MC5R	1.25678	1.48779	2.25998	2.15492	1.40172	1.57085	1	1	0.946	2.324	20	4	0	0	0	1	1	1	1	4	2	1	1	1
FFAR4	1.52791	1.30788	1.52361	1.47491	1.40172	1.57085	1	1	-0.848	-0.402	24	2	0	1	0	0	2	2	0	3	5	1	4	1
ADRA1A	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	0	0	0.109	0.352	55	4	0	2	2	5	8	5	1	6	8	2	9	1
BDKRB2	1.64441	2.30656	1.52361	1.47491	1.38992	1.20265	1	1	-1.427	-0.071	13	0	0	2	1	0	2	0	0	1	0	2	2	1
HTR7	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	1	1	1.472	0.414	55	4	1	5	3	2	8	5	3	5	4	3	5	1
DRD5	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	1	1	-1.184	0.3	38	7	2	2	0	0	2	2	1	5	7	3	6	1
LPAR2	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	0	-0.371	1.672	20	1	1	2	0	0	0	0	1	6	1	3	5	1
GALR2	1.79869	1.76651	2.25998	2.15492	1.38992	1.20265	1	1	0.902	-0.229	16	5	0	0	0	2	0	0	1	3	1	1	3	1
NMBR	1.64441	2.30656	1.52361	1.47491	3.31643	3.94176	1	1	1.021	1.281	21	1	0	3	0	1	3	1	1	0	1	4	3	1
PRLHR	1.25678	1.48779	1.52361	1.47491	1.92308	1.19234	1	1	0.867	-0.612	20	2	1	0	0	1	0	0	1	4	1	1	1	1
GPR132	3.35082	2.91766	1.52361	1.47491	1.38992	1.20265	1	1	-2.104	-0.091	10	2	0	0	0	1	1	1	0	0	2	1	6	1
HCRTR1	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	1	1	-0.112	-0.307	50	5	0	3	1	5	2	5	4	6	3	0	3	1
F2RL2	1.79869	1.76651	1.52361	1.47491	1.92308	1.19234	1	1	-1.974	0.761	2	1	0	0	0	0	0	0	0	0	0	1	3	1
F2RL1	1.64441	2.30656	2.07461	2.40793	1.38992	1.20265	1	1	-0.711	-0.077	29	1	0	2	0	0	6	1	0	2	8	0	3	1
HCRTR2	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	1	1	-0.304	-0.452	48	4	1	1	0	3	4	1	6	5	5	0	7	1
LPAR6	1.64441	2.30656	3.7469	4.68158	3.95597	5.68408	1	1	-0.865	0.455	12	0	0	0	0	0	2	1	1	1	2	1	3	1
GPR174	1.64441	2.30656	2.49765	2.05813	3.85552	5.1469	1	1	-1.642	0.236	12	1	0	1	0	1	1	1	1	0	0	1	4	1
LPAR4	1.64441	2.30656	3.7469	4.68158	3.95597	5.68408	1	1	-1.096	0.566	12	1	0	0	0	1	1	1	1	1	1	2	8	1
LPAR5	1.64441	2.30656	2.49765	2.05813	3.81779	5.40165	1	1	-1.561	-1.455	10	2	0	0	0	0	0	0	1	2	1	0	9	1
AVPR1B	1.79869	1.76651	2.25998	2.15492	1.92308	1.19234	1	1	2.037	1.802	49	4	1	0	0	5	3	3	3	6	6	2	7	0
AVPR1A	1.79869	1.76651	2.25998	2.15492	1.92308	1.19234	1	1	0.786	1.602	42	6	2	1	2	4	4	2	1	3	6	4	5	0
LTB4R2	1.79869	1.76651	1.6661	1.47003	1.92308	1.19234	1	1	-2.048	-0.142	10	1	0	0	0	3	0	0	0	3	1	2	7	0
UTS2R	4.07055	3.47852	1.52361	1.47491	1.92308	1.19234	1	1	0.562	0.95	14	2	0	0	1	0	1	0	1	6	2	0	3	0
GPR34	1.64441	2.30656	1.52361	1.47491	1.38992	1.20265	1	1	-0.893	0.381	15	0	0	0	1	1	3	1	1	3	3	2	3	0
PTGER4	1.79869	1.76651	2.07461	2.40793	2.98176	3.2982	1	1	1.582	2.061	52	11	0	1	3	3	0	3	3	11	6	2	10	0
GPR183	1.25678	1.48779	1.52361	1.47491	1.92308	1.19234	1	1	-0.096	0.092	15	1	0	1	1	1	2	1	1	1	1	5	2	0
PTGER1	5.99371	5.44913	3.16326	3.18125	1.92308	1.19234	0	0	-0.179	0.721	62	11	0	0	2	6	0	1	5	15	15	0	1	0
PTGER2	5.99371	5.44913	2.49765	2.05813	3.74755	3.27	0	1	0.505	1.477	33	2	1	2	0	7	0	1	2	10	5	1	4	0
ADRA2C	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	1	1.297	1.8	139	25	2	9	2	23	3	7	10	25	14	0	1	0
MC1R	1.25678	1.48779	1.6661	1.47003	1.40172	1.57085	1	1	0.742	1.18	21	2	1	0	1	2	1	1	1	3	0	0	2	0
FPR1	3.35082	2.91766	2.49765	2.05813	1.38992	1.20265	1	1	-0.813	-0.434	7	0	0	0	0	1	2	1	0	0	0	1	6	0
FPR2	3.35082	2.91766	2.49765	2.05813	1.38992	1.20265	1	1	-0.998	-0.547	7	0	0	0	0	1	3	0	0	0	0	1	4	0
HRH1	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	0	0	1.406	1.962	192	8	2	13	5	15	17	14	11	14	23	0	1	0
MCHR2	1.25678	1.48779	1.52361	1.47491	1.40172	1.57085	0	1	0.646	0.306	21	1	2	1	0	0	2	0	2	2	1	1	2	0
MCHR1	1.52791	1.30788	1.52361	1.47491	1.92308	1.19234	0	1	-0.62	0.23	15	2	0	0	0	0	0	1	1	3	4	0	4	0
HTR4	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	0	0	1.997	1.384	34	4	0	2	0	1	1	1	1	4	5	0	7	0
ADRA1B	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	0	0	0.393	0.303	58	3	0	4	3	2	9	5	1	4	8	1	6	0
ADRA1D	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	0	0	0.356	0.763	61	7	1	3	2	7	4	5	0	10	8	1	7	0
AVPR2	1.79869	1.76651	1.52361	1.47491	1.92308	1.19234	0	0	-1.982	-0.098	33	4	0	2	0	7	0	1	4	6	4	1	5	0
GALR3	1.79869	1.76651	2.49765	2.05813	1.38992	1.20265	1	1	0.462	0.725	18	9	0	1	0	2	0	0	1	3	0	0	0	0
GALR1	1.79869	1.76651	1.52361	1.47491	1.38992	1.20265	0	1	-1.111	-0.18	14	1	0	1	0	0	5	1	0	0	3	0	4	0
GPR119	1.52791	1.30788	3.6572	3.57772	1.40172	1.57085	0	0	-0.368	0.975	27	3	0	1	0	3	1	0	2	3	4	1	2	0
GPR17	1.64441	2.30656	2.07461	2.40793	1.38992	1.20265	1	1	-1.938	-0.314	10	0	0	1	0	1	1	2	0	3	0	1	4	0
ADORA1	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	0	0	0.817	1.832	21	1	0	0	0	2	5	1	1	1	3	0	1	0
ADORA3	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	0	-0.67	0.549	20	1	0	1	1	2	2	3	0	2	3	0	2	0
PTGDR	5.99371	5.44913	2.07461	2.40793	3.74755	3.27	1	1	-0.018	1.439	34	4	2	3	0	1	0	2	4	7	2	1	1	0
CYSLTR2	1.64441	2.30656	2.25998	2.15492	2.98176	3.2982	1	1	0.424	1.286	13	0	0	2	0	1	1	2	1	1	2	0	2	0
MC4R	1.25678	1.48779	1.6661	1.47003	1.40172	1.57085	1	1	1.075	1.802	10	2	0	0	0	3	0	0	1	1	0	0	1	0
CYSLTR1	1.79869	1.76651	1.52361	1.47491	1.38992	1.20265	1	1	-0.381	0.409	11	0	0	0	0	0	4	2	0	0	3	0	2	0
ADORA2A	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	0	1	-0.493	0.145	23	1	0	2	0	1	2	3	2	4	2	0	3	0
ADORA2B	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	1	1	1.33	0.098	19	0	1	1	0	0	0	3	0	4	1	0	1	0
SSTR3	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	1	1	1.501	1.61	18	2	1	0	0	1	0	0	1	7	3	2	6	0
HRH4	1.64441	2.30656	2.49765	2.05813	1.40172	1.57085	0	1	0.13	1.088	96	5	2	4	4	4	4	8	2	12	22	0	0	0
SSTR2	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	1	1	-0.668	1.182	15	0	0	0	0	2	4	0	0	2	5	0	6	0
HTR2A	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	1	1	0.033	-0.493	56	3	1	3	3	3	3	6	2	5	11	2	5	0
HRH3	1.64441	2.30656	2.49765	2.05813	1.92308	1.19234	0	0	1.423	1.74	127	13	2	9	2	20	5	7	14	14	18	0	1	0
HTR2B	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	1	1	0.946	0.133	74	3	1	3	1	3	9	6	5	5	8	3	9	0
S1PR5	1.79869	1.76651	1.52361	1.47491	1.38992	1.20265	0	1	0.116	1.129	26	5	0	0	0	2	1	1	3	8	1	0	6	0
NPFFR2	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	1	1	0.256	-1.221	22	2	0	1	1	1	2	0	1	3	1	6	7	0
NPFFR1	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	1	1	0.561	-0.762	21	5	1	2	0	3	0	0	4	3	1	0	1	0
MTNR1B	1.52791	1.30788	2.49765	2.05813	1.38992	1.20265	1	1	0.311	1.938	18	2	1	1	0	0	3	3	2	3	2	0	0	0
MTNR1A	1.52791	1.30788	2.49765	2.05813	1.38992	1.20265	1	1	0.075	1.675	18	0	0	0	0	0	4	2	3	3	0	1	2	0
TACR2	1.25678	1.48779	1.6661	1.47003	1.38992	1.20265	1	1	2.684	1.556	20	4	0	0	0	2	0	2	1	3	0	1	12	0
APLNR	1.52791	1.30788	1.6661	1.47003	1.40172	1.57085	1	1	0.034	1.529	14	1	0	2	1	2	2	1	0	3	0	3	3	0
NPBWR1	1.79869	1.76651	1.52361	1.47491	1.92308	1.19234	1	1	-0.61	-0.429	15	4	0	1	0	0	1	2	0	2	1	0	1	0
AGTR1	1.25678	1.48779	1.52361	1.47491	1.92308	1.19234	1	1	-0.819	1.446	12	1	0	1	0	0	4	0	1	1	0	1	3	0
PTGFR	5.99371	5.44913	2.78694	3.61896	1.92308	1.19234	1	1	-1.079	0.174	16	0	0	0	1	1	2	1	0	3	2	0	1	0
ADRA2A	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	0	1.619	3.546	145	19	0	11	0	24	5	6	24	22	9	0	1	0
LTB4R	1.25678	1.48779	2.49765	2.05813	1.92308	1.19234	1	1	-1.056	-0.12	7	1	0	0	1	0	0	0	0	4	0	0	4	0
GNRHR	5.99371	5.44913	1.6661	1.47003	3.31643	3.94176	1	1	-0.525	-0.46	23	1	0	1	0	0	1	3	2	2	1	0	0	0
ADRA2B	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	1	1.376	1.957	163	19	3	20	0	22	7	11	16	14	14	0	3	0
PTGER3	1.52791	1.30788	2.07461	2.40793	1.92308	1.19234	1	1	-0.174	0.825	20	4	1	0	0	1	1	0	0	3	4	1	3	0
CNR2	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	0	0	-0.123	-0.193	23	2	0	0	0	2	0	2	1	3	2	0	3	0
P2RY14	5.99371	5.44913	2.25998	2.15492	1.92308	1.19234	1	1	-0.136	0.599	14	0	0	0	1	0	2	1	0	1	5	0	4	0
S1PR1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	0	1	0.398	1.617	22	1	0	1	1	0	3	1	0	6	5	4	3	0
P2RY12	5.99371	5.44913	2.49765	2.05813	1.92308	1.19234	1	1	-1.115	0.332	14	0	0	0	0	2	1	0	1	3	1	2	2	0
OXGR1	4.84622	3.9533	2.49765	2.05813	1.40172	1.57085	1	1	-2.806	-0.264	10	0	1	0	0	1	0	2	0	0	1	0	1	0
GPR84	1.79869	1.76651	2.49765	2.05813	1.38992	1.20265	0	1	2.26	0.841	108	16	0	9	1	7	7	5	7	8	16	1	0	0
OPRM1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	1	1	1.543	1.521	15	0	0	1	0	1	3	1	0	2	3	0	7	0
CCKAR	1.79869	1.76651	1.6661	1.47003	1.92308	1.19234	1	1	-0.029	1.14	67	6	1	4	1	3	8	5	3	7	13	3	3	0
SSTR1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	0	0	0.831	1.025	15	2	0	0	0	1	2	1	0	3	1	1	5	0
ADRB1	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	0	-1.017	0.019	67	12	1	1	1	5	4	4	16	9	5	0	2	0
ADRB2	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	0	-0.983	0.664	41	0	1	2	2	4	5	4	0	5	4	0	4	0
ADRB3	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	0	-0.113	0.433	55	6	2	4	1	5	0	8	12	9	3	0	0	0
SSTR5	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	1	1	-0.485	0.609	14	2	1	0	0	2	0	0	0	5	1	1	3	0
SSTR4	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	0	0	0.804	0.989	15	3	0	0	0	1	0	1	0	5	1	1	5	0
OXTR	1.79869	1.76651	2.25998	2.15492	1.92308	1.19234	0	0	0.803	1.876	42	13	0	2	0	4	3	4	1	3	3	1	3	0
MLNR	1.25678	1.48779	2.25998	2.15492	1.38992	1.20265	1	1	0.704	0.641	18	2	0	1	0	3	0	1	2	5	3	1	6	0
OPRL1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	1	1	1.601	1.893	15	0	0	1	0	2	1	2	0	4	2	0	2	0
KISS1R	1.25678	1.48779	2.07461	2.40793	1.38992	1.20265	1	1	0.442	0.634	26	7	0	1	0	3	0	2	2	3	1	0	0	0
CHRM5	1.64441	2.30656	1.6661	1.47003	1.92308	1.19234	0	0	0.387	0.324	216	19	6	17	5	8	23	12	18	14	23	1	2	0
CHRM4	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	0	-0.856	1.041	172	24	1	13	2	6	17	9	24	15	12	0	3	0
CHRM3	1.64441	2.30656	1.6661	1.47003	1.92308	1.19234	0	0	-0.059	0.361	227	16	2	17	7	10	21	19	8	12	37	1	3	0
CHRM2	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	0	-1.68	0.703	168	6	3	11	0	9	20	3	13	7	20	1	3	0
CHRM1	1.64441	2.30656	1.6661	1.47003	1.92308	1.19234	0	0	-0.731	0.292	144	10	4	19	1	15	13	7	15	13	17	0	2	0
PTGIR	1.79869	1.76651	1.52361	1.47491	3.74755	3.27	1	1	1.497	1.407	23	0	1	1	0	3	1	1	2	5	1	0	3	0
OPRK1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	1	1	1.281	1.76	15	0	0	1	0	1	2	2	0	3	3	3	2	0
FFAR3	1.64441	2.30656	2.07461	2.40793	2.98176	3.2982	1	1	-1.756	-0.847	8	0	0	0	0	3	0	0	0	3	1	1	2	0
FFAR1	3.35082	2.91766	2.07461	2.40793	3.25062	3.56974	0	0	-1.833	-0.633	9	1	0	0	0	1	0	1	0	3	1	0	4	0
NMUR2	1.25678	1.48779	1.52361	1.47491	1.40172	1.57085	1	1	1.594	-0.483	19	2	1	2	0	1	3	1	1	1	1	2	4	0
NMUR1	1.25678	1.48779	1.6661	1.47003	1.40172	1.57085	1	1	0.889	0.283	33	4	1	2	0	3	1	4	0	8	2	2	5	0
DRD4	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	0	-0.284	0.155	169	23	14	1	0	19	2	9	54	16	3	0	1	0
DRD2	1.52791	1.30788	2.07461	2.40793	1.38992	1.20265	0	0	0.654	0.549	151	9	2	8	3	5	14	10	15	19	15	0	2	0
DRD3	1.52791	1.30788	2.07461	2.40793	1.38992	1.20265	0	0	1.696	1.074	108	3	2	6	2	9	8	15	10	14	10	0	2	0
DRD1	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	1	1	0.03	0.903	45	5	2	3	2	2	5	1	2	4	4	1	6	0
OPRD1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	1	1	1.153	1.545	15	0	0	1	0	1	2	2	0	3	4	0	3	0
HTR1D	1.25678	1.48779	2.25998	2.15492	1.92308	1.19234	0	1	0.148	0.211	71	7	1	2	3	5	4	9	3	6	12	0	1	0
HTR1E	1.25678	1.48779	1.52361	1.47491	1.92308	1.19234	0	0	1.325	0.435	76	2	2	3	6	2	4	4	4	6	14	0	2	0
HTR1F	1.25678	1.48779	1.52361	1.47491	1.92308	1.19234	0	0	1.395	0.306	79	2	0	7	2	3	10	6	1	7	14	0	1	0
HTR1A	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	1	0.95	1.028	117	16	2	10	2	12	11	6	8	12	8	0	0	0
HTR1B	1.52791	1.30788	2.25998	2.15492	1.92308	1.19234	0	1	0.51	-0.355	73	4	0	2	0	3	6	6	5	8	11	1	2	0
