GPCR	395bip	395bin	398bip	398bin	400bip	400bin	425bip	425bin	493bip	493bin	497bip	497bin	501bip	501bin	635bip	635bin	654bip	654bin	655bip	655bin	657bip	657bin	966pos	967pos	997bip	997bin	TILL	G_TIL	N_TIL	R_TIL	A_CTL	O
CHRM3	1.87632	2.05345	1.51175	1.17966	2.24722	2.1644	1.10511	1.01039	1.13356	1.62839	1.70044	1.90843	2.12908	2.6383	2.28038	2.52075	1.49195	1.35423	1.48274	1.54807	1.83815	1.97914	0	0	1.40593	1.786	227	10	9	12	3	1
MCHR2	1.87632	2.05345	2.22018	1.94715	3.08456	2.79128	0.93905	2.10849	3.2283	3.44707	1.77669	1.84741	1.75195	1.31697	1.99755	1.5333	1.51537	1.77224	1.76794	1.46588	1.69866	1.62879	0	1	1.50393	1.90572	21	0	2	2	1	1
HTR7	3.35562	3.87384	2.22018	1.94715	2.24722	2.1644	1.72923	1.75265	1.20509	1.18123	2.35002	1.67523	1.61845	1.90761	2.17325	1.75719	1.43161	1.7739	1.48274	1.54807	2.13803	2.51296	1	1	1.50393	1.90572	55	2	3	5	7	1
LPAR3	2.36911	2.35256	1.51175	1.17966	1.85998	1.50689	1.72923	1.75265	2.42492	2.06646	1.70044	1.90843	1.75195	1.31697	1.92053	1.83223	1.49195	1.35423	1.48274	1.54807	1.69866	1.62879	0	1	1.40593	1.786	20	1	1	4	1	1
FFAR2	1.88429	1.84258	1.02279	1.59683	1.85998	1.50689	1.72923	1.75265	2.59828	2.85149	2.51817	2.56818	1.61845	1.90761	1.99755	1.5333	1.43161	1.7739	2.01974	2.41467	2.13803	2.51296	0	0	1.59235	1.21382	10	1	0	1	2	1
GHSR	1.88429	1.84258	2.49796	2.14072	1.60086	1.67241	0.93905	2.10849	1.13356	1.62839	1.77669	1.84741	1.75195	1.31697	1.92053	1.83223	3.31311	3.43685	2.23242	2.18879	1.69866	1.62879	1	1	1.50393	1.90572	18	2	1	5	2	1
P2RY1	2.36911	2.35256	1.51175	1.17966	3.08509	3.76289	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	2.90343	2.74673	2.9224	2.8745	1.51537	1.77224	1.76794	1.46588	3.53416	3.78692	1	1	1.40593	1.786	10	0	1	0	4	1
P2RY6	1.87632	2.05345	1.51175	1.17966	3.64627	4.36423	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	2.12908	2.6383	2.9224	2.8745	2.88389	2.27833	2.23242	2.18879	2.36356	2.43643	1	1	1.59235	1.21382	14	1	0	2	1	1
AGTR1	2.36911	2.35256	2.22018	1.94715	1.60086	1.67241	1.10511	1.01039	1.13356	1.62839	1.77669	1.84741	1.61845	1.90761	1.99755	1.5333	1.49195	1.35423	1.76794	1.46588	2.85092	2.92488	1	1	1.59235	1.21382	12	0	1	1	2	1
P2RY4	5.04795	5.18695	1.02279	1.59683	2.28219	2.21309	0.93905	2.10849	1.13356	1.62839	1.77669	1.84741	1.75195	1.31697	2.28038	2.52075	1.43161	1.7739	2.01974	2.41467	1.69866	1.62879	1	1	1.59235	1.21382	12	1	0	0	6	1
BDKRB1	1.88429	1.84258	1.02279	1.59683	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	2.31636	2.41648	3.89623	4.57715	1.92053	1.83223	2.88389	2.27833	1.76794	1.46588	2.13803	2.51296	1	1	1.59235	1.21382	15	2	0	5	1	1
NMUR2	2.19422	1.70175	3.36635	2.378	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	1.75195	1.31697	2.17325	1.75719	1.43161	1.7739	1.76794	1.46588	1.69866	1.62879	1	1	1.40593	1.786	19	1	2	1	5	1
BDKRB2	1.87632	2.05345	1.02279	1.59683	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	3.31144	3.45455	1.61845	1.90761	2.9224	2.8745	1.43161	1.7739	1.76794	1.46588	2.13803	2.51296	1	1	1.59235	1.21382	13	0	2	1	1	1
CCKAR	2.51184	2.71945	1.51175	1.17966	1.60086	1.67241	1.10511	1.01039	2.59828	2.85149	2.31636	2.41648	1.86719	1.45269	2.81456	2.69182	1.43161	1.7739	1.48274	1.54807	1.69866	1.62879	1	1	1.40593	1.786	67	3	3	7	4	1
LPAR2	1.88429	1.84258	1.51175	1.17966	1.85998	1.50689	1.72923	1.75265	1.13356	1.62839	1.70044	1.90843	1.75195	1.31697	2.4437	2.72715	1.51537	1.77224	1.48274	1.54807	2.36356	2.43643	0	0	1.40593	1.786	20	0	0	6	4	1
GALR2	2.51184	2.71945	1.02279	1.59683	1.60086	1.67241	1.10511	1.01039	3.2283	3.44707	2.51817	2.56818	1.86719	1.45269	2.17325	1.75719	1.43161	1.7739	2.23242	2.18879	2.36698	1.60904	1	1	1.40593	1.786	16	2	0	3	13	1
GPR132	3.35562	3.87384	3.10145	3.52519	2.28219	2.21309	0.93905	2.10849	1.20509	1.18123	2.35002	1.67523	3.73946	4.66603	2.97334	3.69972	1.49195	1.35423	1.76794	1.46588	2.13803	2.51296	1	1	2.4282	2.69852	10	1	0	0	4	1
HCRTR1	2.51184	2.71945	3.36635	2.378	1.85998	1.50689	1.10511	1.01039	1.13356	1.62839	2.87401	3.08436	1.86719	1.45269	3.02324	3.54221	1.51537	1.77224	1.48274	1.54807	3.22395	3.70804	1	1	2.4282	2.69852	50	5	1	6	4	1
F2RL2	2.31561	2.19242	1.02279	1.59683	3.08509	3.76289	1.10511	1.01039	1.20509	1.18123	2.51817	2.56818	1.61845	1.90761	2.17325	1.75719	1.51537	1.77224	1.76794	1.46588	3.40868	2.94979	1	1	1.59235	1.21382	2	0	1	0	1	1
F2RL1	2.63692	2.66127	1.02279	1.59683	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	1.75195	1.31697	2.97334	3.69972	1.51537	1.77224	2.01974	2.41467	3.07325	3.25922	1	1	1.50393	1.90572	29	0	1	2	0	1
LPAR1	1.88429	1.84258	2.49796	2.14072	1.85998	1.50689	1.72923	1.75265	1.13356	1.62839	1.70044	1.90843	1.61845	1.90761	1.92053	1.83223	1.43161	1.7739	1.48274	1.54807	1.69866	1.62879	0	0	2.86709	3.04627	20	1	1	7	3	1
LPAR4	2.36911	2.35256	1.02279	1.59683	1.60086	1.67241	1.10511	1.01039	3.53765	3.21293	1.77669	1.84741	1.75195	1.31697	2.17325	1.75719	1.51537	1.77224	3.86056	4.30169	3.07325	3.25922	1	1	3.18172	2.96574	12	1	1	1	2	1
AVPR1B	1.88429	1.84258	1.02279	1.59683	3.08456	2.79128	1.10511	1.01039	2.59828	2.85149	1.70044	1.90843	1.86719	1.45269	2.81456	2.69182	3.73335	3.59769	2.23242	2.18879	2.36356	2.43643	1	1	4.72646	3.85506	49	5	2	6	4	0
AVPR1A	2.36911	2.35256	1.02279	1.59683	1.85998	1.50689	1.10511	1.01039	3.40925	2.85662	2.31636	2.41648	2.90343	2.74673	2.81456	2.69182	1.49195	1.35423	2.23242	2.18879	2.85092	2.92488	1	1	4.72646	3.85506	42	4	1	3	0	0
LTB4R2	2.63692	2.66127	2.22018	1.94715	2.24722	2.1644	1.72923	1.75265	1.13356	1.62839	3.42611	3.21147	1.86719	1.45269	3.02324	3.54221	1.51537	1.77224	1.48274	1.54807	3.53416	3.78692	1	1	1.40593	1.786	10	3	0	3	11	0
GPR35	2.36911	2.35256	1.02279	1.59683	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	1.75195	1.31697	2.9224	2.8745	1.43161	1.7739	2.67881	2.06082	2.13803	2.51296	1	1	1.59235	1.21382	13	1	0	1	8	0
GPR34	1.87632	2.05345	1.02279	1.59683	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	3.42611	3.21147	1.86719	1.45269	3.8309	3.98403	1.51537	1.77224	1.76794	1.46588	2.36698	1.60904	1	1	1.59235	1.21382	15	1	1	3	1	0
PTGER4	1.88429	1.84258	1.51175	1.17966	1.60086	1.67241	1.72923	1.75265	2.42492	2.06646	2.35002	1.67523	1.75195	1.31697	2.9224	2.8745	2.88389	2.27833	2.01974	2.41467	2.36698	1.60904	1	1	1.59235	1.21382	52	3	0	11	6	0
GPR183	1.88429	1.84258	1.02279	1.59683	1.60086	1.67241	0.93905	2.10849	1.13356	1.62839	1.77669	1.84741	1.61845	1.90761	1.99755	1.5333	1.49195	1.35423	1.76794	1.46588	1.83815	1.97914	1	1	2.86709	3.04627	15	1	1	1	3	0
ADRA2A	2.19422	1.70175	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	2.17325	1.75719	1.49195	1.35423	1.48274	1.54807	2.36698	1.60904	0	0	1.59235	1.21382	145	24	3	22	1	0
ADRA2B	2.31561	2.19242	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	1.99755	1.5333	1.49195	1.35423	1.48274	1.54807	2.36698	1.60904	0	1	1.59235	1.21382	163	22	3	14	2	0
ADRA2C	2.19422	1.70175	2.22018	1.94715	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	1.99755	1.5333	1.49195	1.35423	1.48274	1.54807	2.36698	1.60904	0	1	1.59235	1.21382	139	23	2	25	0	0
HTR2A	1.87632	2.05345	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	1.99755	1.5333	1.49195	1.35423	1.48274	1.54807	1.83815	1.97914	1	1	1.40593	1.786	56	3	1	5	6	0
MC1R	2.31561	2.19242	2.22018	1.94715	3.08456	2.79128	1.10511	1.01039	2.42492	2.06646	3.42611	3.21147	1.75195	1.31697	1.99755	1.5333	1.51537	1.77224	1.48274	1.54807	1.69866	1.62879	1	1	1.50393	1.90572	21	2	0	3	1	0
FPR1	2.63692	2.66127	1.51175	1.17966	1.60086	1.67241	5.0981	3.63461	1.13356	1.62839	2.51817	2.56818	1.86719	1.45269	2.17325	1.75719	1.49195	1.35423	2.67881	2.06082	1.69866	1.62879	1	1	1.59235	1.21382	7	1	0	0	6	0
FPR2	2.63692	2.66127	1.51175	1.17966	1.60086	1.67241	6.06094	3.74251	1.13356	1.62839	3.42611	3.21147	1.86719	1.45269	2.17325	1.75719	1.49195	1.35423	2.67881	2.06082	1.83815	1.97914	1	1	1.59235	1.21382	7	1	0	0	7	0
MCHR1	2.36911	2.35256	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	2.59828	2.85149	1.77669	1.84741	1.61845	1.90761	1.99755	1.5333	1.43161	1.7739	1.76794	1.46588	2.36356	2.43643	0	1	1.59235	1.21382	15	0	0	3	5	0
HTR6	2.36911	2.35256	1.51175	1.17966	2.28219	2.21309	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	1.99755	1.5333	2.88389	2.27833	1.76794	1.46588	2.13803	2.51296	0	0	2.86709	3.04627	44	2	0	5	11	0
HTR4	1.88429	1.84258	2.49796	2.14072	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.86719	1.45269	2.17325	1.75719	1.51537	1.77224	1.48274	1.54807	2.36698	1.60904	0	0	1.59235	1.21382	34	1	0	4	6	0
ADRA1A	1.87632	2.05345	1.51175	1.17966	2.24722	2.1644	0.93905	2.10849	1.20509	1.18123	2.35002	1.67523	1.61845	1.90761	1.99755	1.5333	1.49195	1.35423	1.76794	1.46588	1.69866	1.62879	0	0	1.50393	1.90572	55	5	1	6	5	0
ADRA1B	1.87632	2.05345	1.51175	1.17966	2.24722	2.1644	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.61845	1.90761	1.99755	1.5333	1.43161	1.7739	1.76794	1.46588	1.69866	1.62879	0	0	1.59235	1.21382	58	2	4	4	14	0
ADRA1D	1.88429	1.84258	1.51175	1.17966	2.24722	2.1644	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.75195	1.31697	1.92053	1.83223	1.43161	1.7739	1.76794	1.46588	1.69866	1.62879	0	0	1.40593	1.786	61	7	0	10	22	0
AVPR2	2.63692	2.66127	1.02279	1.59683	1.85998	1.50689	1.10511	1.01039	3.2283	3.44707	1.70044	1.90843	1.86719	1.45269	2.81456	2.69182	4.48359	3.92657	1.76794	1.46588	2.36356	2.43643	0	0	5.47466	5.21044	33	7	0	6	7	0
GALR3	2.63692	2.66127	1.02279	1.59683	1.60086	1.67241	1.10511	1.01039	3.2283	3.44707	2.51817	2.56818	1.75195	1.31697	1.92053	1.83223	1.43161	1.7739	2.67881	2.06082	2.36698	1.60904	1	1	1.59235	1.21382	18	2	0	3	10	0
GALR1	2.36911	2.35256	1.51175	1.17966	1.60086	1.67241	1.10511	1.01039	1.20509	1.18123	2.51817	2.56818	1.75195	1.31697	1.92053	1.83223	1.51537	1.77224	1.76794	1.46588	2.13803	2.51296	0	1	1.40593	1.786	14	0	1	0	2	0
NMBR	1.87632	2.05345	2.22018	1.94715	2.229	2.17983	1.10511	1.01039	1.13356	1.62839	1.77669	1.84741	2.90343	2.74673	1.92053	1.83223	1.49195	1.35423	1.76794	1.46588	1.83815	1.97914	1	1	1.40593	1.786	21	1	2	0	4	0
GPR119	2.51184	2.71945	3.10145	3.52519	1.85998	1.50689	1.10511	1.01039	1.13356	1.62839	3.31144	3.45455	2.12908	2.6383	1.99755	1.5333	1.51537	1.77224	3.57188	3.56739	2.13803	2.51296	0	0	1.59235	1.21382	27	3	0	3	3	0
HCRTR2	2.19422	1.70175	3.36635	2.378	1.85998	1.50689	1.10511	1.01039	1.13356	1.62839	2.87401	3.08436	1.86719	1.45269	2.17325	1.75719	1.51537	1.77224	1.48274	1.54807	2.36698	1.60904	1	1	2.4282	2.69852	48	3	0	5	5	0
GPR17	2.51184	2.71945	1.02279	1.59683	2.28219	2.21309	1.10511	1.01039	1.20509	1.18123	1.77669	1.84741	2.90343	2.74673	1.99755	1.5333	3.21045	3.21664	2.01974	2.41467	2.85092	2.92488	1	1	1.59235	1.21382	10	1	0	3	7	0
ADORA1	2.19422	1.70175	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	1.70044	1.90843	1.75195	1.31697	1.92053	1.83223	1.51537	1.77224	1.48274	1.54807	2.36698	1.60904	0	0	2.86709	3.04627	21	2	1	1	2	0
ADORA3	2.19422	1.70175	1.51175	1.17966	1.60086	1.67241	1.10511	1.01039	1.20509	1.18123	1.70044	1.90843	1.75195	1.31697	1.92053	1.83223	1.43161	1.7739	1.48274	1.54807	2.36356	2.43643	0	0	2.86709	3.04627	20	2	3	2	2	0
PTGDR	5.04795	5.18695	5.50857	5.87148	5.09986	5.27159	1.72923	1.75265	2.59828	2.85149	1.70044	1.90843	1.86719	1.45269	1.99755	1.5333	2.88389	2.27833	2.01974	2.41467	2.36698	1.60904	1	1	1.40593	1.786	34	1	0	7	0	0
CYSLTR2	2.63692	2.66127	1.51175	1.17966	1.60086	1.67241	1.10511	1.01039	1.20509	1.18123	1.77669	1.84741	1.75195	1.31697	2.97334	3.69972	3.21045	3.21664	2.23242	2.18879	1.83815	1.97914	1	1	3.18172	2.96574	13	1	0	1	3	0
MC4R	1.87632	2.05345	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	1.70044	1.90843	1.75195	1.31697	2.9224	2.8745	1.51537	1.77224	1.48274	1.54807	4.16772	4.05132	1	1	1.50393	1.90572	10	3	0	1	1	0
ADORA2A	2.19422	1.70175	3.36635	2.378	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	1.70044	1.90843	1.61845	1.90761	1.92053	1.83223	1.51537	1.77224	1.48274	1.54807	3.53416	3.78692	0	1	1.40593	1.786	23	1	0	4	12	0
ADORA2B	2.19422	1.70175	3.36635	2.378	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	1.70044	1.90843	1.75195	1.31697	1.92053	1.83223	1.49195	1.35423	1.48274	1.54807	1.69866	1.62879	1	1	1.40593	1.786	19	0	0	4	4	0
SSTR3	2.36911	2.35256	1.51175	1.17966	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	1.75195	1.31697	2.17325	1.75719	1.43161	1.7739	1.76794	1.46588	2.36698	1.60904	1	1	2.4282	2.69852	18	1	0	7	2	0
HRH4	2.31561	2.19242	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	1.13356	1.62839	2.31636	2.41648	3.50686	3.57413	2.4437	2.72715	1.51537	1.77224	2.67881	2.06082	3.40868	2.94979	0	1	1.40593	1.786	96	4	3	12	1	0
SSTR2	2.51184	2.71945	1.51175	1.17966	1.60086	1.67241	0.93905	2.10849	1.20509	1.18123	1.77669	1.84741	1.61845	1.90761	2.17325	1.75719	1.49195	1.35423	1.76794	1.46588	2.36698	1.60904	1	1	2.4282	2.69852	15	2	0	2	1	0
HRH2	2.19422	1.70175	3.36635	2.378	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.84373	2.64658	1.86719	1.45269	1.99755	1.5333	1.49195	1.35423	1.48274	1.54807	1.83815	1.97914	0	0	1.59235	1.21382	19	0	1	3	6	0
HRH3	2.31561	2.19242	2.49796	2.14072	1.85998	1.50689	1.10511	1.01039	3.40925	2.85662	2.31636	2.41648	3.50686	3.57413	2.17325	1.75719	3.46681	3.0853	2.67881	2.06082	2.13803	2.51296	0	0	1.40593	1.786	127	20	0	14	1	0
HTR2B	2.51184	2.71945	1.51175	1.17966	1.85998	1.50689	1.10511	1.01039	1.20509	1.18123	2.35002	1.67523	1.75195	1.31697	1.99755	1.5333	1.49195	1.35423	1.48274	1.54807	1.69866	1.62879	1	1	1.40593	1.786	74	3	3	5	4	0
S1PR5	1.88429	1.84258	1.02279	1.59683	1.60086	1.67241	1.72923	1.75265	1.13356	1.62839	1.70044	1.90843	1.86719	1.45269	1.92053	1.83223	2.88389	2.27833	1.76794	1.46588	2.36356	2.43643	0	1	1.59235	1.21382	26	2	1	8	10	0
NPFFR2	2.51184	2.71945	3.36635	2.378	2.229	2.17983	1.10511	1.01039	1.13356	1.62839	2.31636	2.41648	1.75195	1.31697	2.81456	2.69182	1.51537	1.77224	1.76794	1.46588	1.83815	1.97914	1	1	1.40593	1.786	22	1	1	3	12	0
NPFFR1	2.51184	2.71945	3.36635	2.378	2.229	2.17983	1.10511	1.01039	1.13356	1.62839	2.31636	2.41648	1.75195	1.31697	2.81456	2.69182	1.51537	1.77224	1.76794	1.46588	1.69866	1.62879	1	1	2.4282	2.69852	21	3	0	3	7	0
MTNR1B	1.88429	1.84258	1.51175	1.17966	2.24722	2.1644	1.10511	1.01039	1.13356	1.62839	1.77669	1.84741	1.61845	1.90761	2.4437	2.72715	1.43161	1.7739	2.67881	2.06082	2.13803	2.51296	1	1	1.59235	1.21382	18	0	0	3	6	0
MTNR1A	1.88429	1.84258	1.51175	1.17966	2.24722	2.1644	1.10511	1.01039	1.20509	1.18123	1.77669	1.84741	1.61845	1.90761	2.17325	1.75719	1.49195	1.35423	2.67881	2.06082	2.13803	2.51296	1	1	1.59235	1.21382	18	0	0	3	2	0
TACR3	1.88429	1.84258	1.51175	1.17966	2.229	2.17983	1.10511	1.01039	1.20509	1.18123	1.77669	1.84741	1.75195	1.31697	2.17325	1.75719	1.49195	1.35423	1.48274	1.54807	1.83815	1.97914	1	1	4.31706	3.33953	19	3	0	0	6	0
TACR2	2.31561	2.19242	1.51175	1.17966	2.229	2.17983	1.10511	1.01039	1.20509	1.18123	1.77669	1.84741	2.90343	2.74673	1.99755	1.5333	1.43161	1.7739	1.48274	1.54807	1.69866	1.62879	1	1	4.31706	3.33953	20	2	1	3	6	0
TACR1	2.19422	1.70175	2.49796	2.14072	2.229	2.17983	1.10511	1.01039	1.20509	1.18123	1.77669	1.84741	2.12908	2.6383	2.17325	1.75719	1.43161	1.7739	1.76794	1.46588	3.40868	2.94979	1	1	4.31706	3.33953	19	1	0	1	4	0
APLNR	2.63692	2.66127	1.02279	1.59683	3.08456	2.79128	1.10511	1.01039	1.13356	1.62839	1.77669	1.84741	2.12908	2.6383	1.92053	1.83223	1.49195	1.35423	1.48274	1.54807	2.85092	2.92488	1	1	1.59235	1.21382	14	2	0	3	4	0
NPBWR1	2.36911	2.35256	1.02279	1.59683	1.60086	1.67241	1.10511	1.01039	2.42492	2.06646	1.77669	1.84741	2.90343	2.74673	1.99755	1.5333	3.21045	3.21664	1.76794	1.46588	1.69866	1.62879	1	1	1.59235	1.21382	15	0	0	2	5	0
GPR174	1.87632	2.05345	1.02279	1.59683	1.60086	1.67241	1.10511	1.01039	1.20509	1.18123	2.31636	2.41648	1.75195	1.31697	2.81456	2.69182	1.49195	1.35423	2.67881	2.06082	3.40868	2.94979	1	1	1.59235	1.21382	12	1	0	0	2	0
PTGFR	5.04795	5.18695	5.50857	5.87148	5.09986	5.27159	1.72923	1.75265	2.42492	2.06646	2.87401	3.08436	1.61845	1.90761	1.99755	1.5333	1.43161	1.7739	2.97408	3.38743	2.36698	1.60904	1	1	1.59235	1.21382	16	1	0	3	6	0
PTGER1	5.04795	5.18695	5.50857	5.87148	5.09986	5.27159	1.10511	1.01039	2.42492	2.06646	2.35002	1.67523	1.75195	1.31697	2.4437	2.72715	2.88389	2.27833	3.05715	3.14797	1.69866	1.62879	0	0	1.59235	1.21382	62	6	0	15	6	0
LTB4R	2.36911	2.35256	2.22018	1.94715	2.24722	2.1644	4.96072	3.67876	1.13356	1.62839	1.77669	1.84741	1.86719	1.45269	2.17325	1.75719	2.88389	2.27833	2.67881	2.06082	2.36356	2.43643	1	1	1.40593	1.786	7	0	0	4	9	0
GNRHR	5.04795	5.18695	5.50857	5.87148	5.09986	5.27159	1.72923	1.75265	3.40925	2.85662	2.31636	2.41648	1.86719	1.45269	2.28038	2.52075	1.49195	1.35423	1.48274	1.54807	1.83815	1.97914	1	1	3.18172	2.96574	23	0	3	2	0	0
PTGER2	5.04795	5.18695	5.50857	5.87148	5.09986	5.27159	1.72923	1.75265	3.53765	3.21293	2.84373	2.64658	1.86719	1.45269	1.99755	1.5333	3.46681	3.0853	2.67881	2.06082	2.36356	2.43643	0	1	1.50393	1.90572	33	7	0	10	4	0
FFAR3	1.88429	1.84258	1.02279	1.59683	1.60086	1.67241	1.72923	1.75265	3.40925	2.85662	2.51817	2.56818	1.61845	1.90761	1.99755	1.5333	1.49195	1.35423	2.01974	2.41467	3.40868	2.94979	1	1	1.40593	1.786	8	3	0	3	5	0
