GPCR	169bip	169bin	194bip	194bin	269bip	269bin	312bip	312bin	378bip	378bin	390bip	390bin	655bip	655bin	658bip	658bin	661bip	661bin	673bip	673bin	730bip	730bin	K_TIL	F_CTL	K_CTL	O
PTGER4	1.36196	1.62764	2.10452	1.87074	0.67008	1.39222	1.93204	1.74864	2.65139	2.80855	1.46345	1.68221	2.69887	2.78777	1.23259	2.11531	1.33396	2.04172	1.57671	1.46063	1.15922	2.23296	0	3	7	1
S1PR1	1.39925	1.24148	1.38381	1.1702	1.23561	1.02789	1.93204	1.74864	1.9185	1.31841	3.30837	3.48457	0.98349	1.4606	1.23259	2.11531	2.77131	4.03227	1.22042	1.63914	3.4265	2.75288	3	3	6	1
GPR183	1.39925	1.24148	3.53188	4.51882	0.67008	1.39222	1.09166	1.90439	1.9185	1.31841	2.14564	1.31441	0.97486	1.54098	1.23259	2.11531	1.33593	0.85418	1.57671	1.46063	3.24756	2.7884	2	2	7	1
ADRA2A	1.36196	1.62764	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	1.6493	2.31492	2.09327	2.85052	0.98349	1.4606	1.23259	2.11531	1.77048	1.14062	2.79869	2.98074	1.15922	2.23296	5	0	1	1
ADRA2B	1.36196	1.62764	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	1.9185	1.31841	2.09327	2.85052	0.98349	1.4606	1.23259	2.11531	1.33593	0.85418	2.79869	2.98074	1.15922	2.23296	7	2	0	1
ADRA2C	2.16561	2.43601	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	1.9185	1.31841	2.09327	2.85052	0.98349	1.4606	1.23259	2.11531	1.33593	0.85418	2.79869	2.98074	1.15922	2.23296	3	5	1	1
LTB4R2	2.16561	2.43601	2.10452	1.87074	0.67008	1.39222	1.09166	1.90439	3.30809	3.75041	2.14564	1.31441	0.97486	1.54098	1.74992	2.2715	1.33593	0.85418	2.6361	2.40286	1.59766	1.94718	0	5	3	1
HTR2A	1.36196	1.62764	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	1.9185	1.31841	2.09327	2.85052	0.98349	1.4606	2.06708	2.00465	1.77048	1.14062	1.22042	1.63914	1.59766	1.94718	3	2	12	1
GPR68	1.39925	1.24148	1.34858	1.33804	0.67008	1.39222	3.80058	3.94314	3.20552	4.06552	1.46345	1.68221	2.69887	2.78777	2.30814	2.21689	2.77131	4.03227	1.57671	1.46063	2.76492	2.52717	1	4	2	1
HTR2C	1.36196	1.62764	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	1.9185	1.31841	2.09327	2.85052	0.98349	1.4606	1.23259	2.11531	1.33396	2.04172	1.22042	1.63914	1.6951	1.43415	5	2	5	1
HTR2B	1.36196	1.62764	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	1.9185	1.31841	2.09327	2.85052	0.98349	1.4606	2.06708	2.00465	1.33593	0.85418	1.22042	1.63914	1.59766	1.94718	9	6	9	1
HRH2	2.43803	2.54233	1.38381	1.1702	0.67008	1.39222	1.93204	1.74864	1.9185	1.31841	1.89157	2.03803	0.98349	1.4606	1.74992	2.2715	1.33396	2.04172	2.77302	3.64395	1.15922	2.23296	2	2	3	1
MTNR1A	1.36196	1.62764	2.10452	1.87074	1.23561	1.02789	1.09166	1.90439	1.6493	2.31492	1.46345	1.68221	0.98349	1.4606	2.06708	2.00465	1.33396	2.04172	2.79869	2.98074	1.15922	2.23296	4	3	4	1
CHRM4	2.43933	2.71015	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	2.26244	2.73811	1.89157	2.03803	0.97486	1.54098	1.74992	2.2715	1.33593	0.85418	1.57671	1.46063	1.6951	1.43415	17	2	2	1
CXCR5	1.39925	1.24148	1.34858	1.33804	1.23561	1.02789	1.09166	1.90439	2.26244	2.73811	1.46345	1.68221	0.98349	1.4606	2.30814	2.21689	1.33593	0.85418	1.22042	1.63914	1.15922	2.23296	0	4	2	1
NPFFR2	2.43803	2.54233	1.38381	1.1702	1.23561	1.02789	1.09166	1.90439	2.62	1.89494	1.46345	1.68221	0.98349	1.4606	2.06708	2.00465	1.33593	0.85418	2.77302	3.64395	1.59766	1.94718	2	6	7	1
CXCR4	1.36196	1.62764	4.06962	5.06242	0.67008	1.39222	1.09166	1.90439	2.26244	2.73811	2.15176	2.02618	2.23544	1.98857	1.74992	2.2715	2.77131	4.03227	1.22042	1.63914	1.15922	2.23296	1	3	5	1
CHRM3	1.36196	1.62764	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	2.26244	2.73811	1.89157	2.03803	0.97486	1.54098	1.74992	2.2715	1.33396	2.04172	1.22042	1.63914	1.59766	1.94718	21	3	7	1
CHRM2	2.43933	2.71015	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	2.26244	2.73811	1.89157	2.03803	0.97486	1.54098	1.74992	2.2715	1.33396	2.04172	1.57671	1.46063	1.6951	1.43415	20	2	4	1
CHRM1	1.39925	1.24148	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	2.26244	2.73811	1.89157	2.03803	0.97486	1.54098	1.74992	2.2715	1.33593	0.85418	1.22042	1.63914	1.6951	1.43415	13	2	4	1
NPFFR1	2.43803	2.54233	1.38381	1.1702	1.23561	1.02789	1.09166	1.90439	2.62	1.89494	1.46345	1.68221	0.98349	1.4606	3.31823	3.48036	1.33593	0.85418	2.6361	2.40286	2.76492	2.52717	0	5	1	1
HCAR3	1.39925	1.24148	1.34858	1.33804	1.23561	1.02789	3.69399	4.34043	3.63966	4.55929	2.09327	2.85052	0.98349	1.4606	1.23259	2.11531	1.33396	2.04172	1.22042	1.63914	1.15922	2.23296	1	4	5	1
HCAR2	1.39925	1.24148	1.34858	1.33804	1.23561	1.02789	3.69399	4.34043	3.63966	4.55929	2.09327	2.85052	0.98349	1.4606	1.23259	2.11531	1.33396	2.04172	1.57671	1.46063	1.15922	2.23296	1	4	2	1
HRH1	1.39925	1.24148	1.38381	1.1702	3.42913	4.94813	2.45195	2.26018	2.09419	1.77069	1.89157	2.03803	0.97486	1.54098	1.74992	2.2715	1.33593	0.85418	1.22042	1.63914	1.15922	2.23296	17	2	3	1
GPR65	1.39925	1.24148	1.34858	1.33804	1.23561	1.02789	2.23687	2.77025	1.9185	1.31841	3.00061	3.2532	0.97486	1.54098	2.67643	2.32666	1.33593	0.85418	1.57671	1.46063	2.76492	2.52717	2	2	3	1
OPRK1	2.43933	2.71015	1.38381	1.1702	0.67008	1.39222	3.3433	3.2778	1.6493	2.31492	2.14564	1.31441	0.98349	1.4606	1.23259	2.11531	1.77048	1.14062	1.22042	1.63914	1.15922	2.23296	2	5	3	1
FFAR3	1.39925	1.24148	1.34858	1.33804	0.67008	1.39222	2.23687	2.77025	1.9185	1.31841	2.14564	1.31441	2.69887	2.78777	4.11759	3.2158	1.77048	1.14062	1.57671	1.46063	1.59766	1.94718	0	3	3	1
GHSR	2.43933	2.71015	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	2.09419	1.77069	2.09327	2.85052	0.98349	1.4606	1.74992	2.2715	1.33593	0.85418	1.57671	1.46063	1.6951	1.43415	0	3	4	1
OPRM1	2.43933	2.71015	1.38381	1.1702	0.67008	1.39222	1.09166	1.90439	1.6493	2.31492	2.15176	2.02618	0.98349	1.4606	1.23259	2.11531	1.77048	1.14062	1.22042	1.63914	1.15922	2.23296	3	4	1	1
F2RL1	1.39925	1.24148	2.65007	2.31415	0.67008	1.39222	1.09166	1.90439	3.20552	4.06552	1.46345	1.68221	0.98349	1.4606	3.42018	3.49844	1.33396	2.04172	2.12435	1.31946	1.6951	1.43415	2	2	6	1
FFAR4	1.39925	1.24148	2.10452	1.87074	0.67008	1.39222	1.09166	1.90439	2.09419	1.77069	1.46345	1.68221	2.23544	1.98857	3.3456	2.73077	1.33396	2.04172	1.22042	1.63914	1.15922	2.23296	2	3	4	1
BDKRB1	1.39925	1.24148	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	2.09419	1.77069	1.46345	1.68221	2.23544	1.98857	1.74992	2.2715	1.77048	1.14062	2.79869	2.98074	1.15922	2.23296	1	4	4	1
BDKRB2	1.39925	1.24148	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	2.65139	2.80855	1.46345	1.68221	0.98349	1.4606	2.06708	2.00465	1.33396	2.04172	1.22042	1.63914	1.15922	2.23296	2	1	5	1
APLNR	1.39925	1.24148	1.38381	1.1702	0.67008	1.39222	1.09166	1.90439	2.09419	1.77069	2.14564	1.31441	2.23544	1.98857	2.67643	2.32666	1.33593	0.85418	2.12435	1.31946	1.15922	2.23296	2	3	3	1
MC3R	1.36196	1.62764	1.34858	1.33804	1.23561	1.02789	2.23687	2.77025	5.1712	5.21507	2.09327	2.85052	2.23544	1.98857	1.23259	2.11531	3.2326	3.9885	2.12435	1.31946	1.6951	1.43415	1	2	0	1
F2R	1.36196	1.62764	2.65007	2.31415	0.67008	1.39222	1.09166	1.90439	2.70426	3.22506	2.09327	2.85052	0.98349	1.4606	2.30814	2.21689	1.33396	2.04172	1.57671	1.46063	1.6951	1.43415	1	0	4	1
DRD5	2.43803	2.54233	1.38381	1.1702	0.67008	1.39222	2.45195	2.26018	1.6493	2.31492	1.89157	2.03803	0.97486	1.54098	1.23259	2.11531	3.41469	5.22184	1.22042	1.63914	1.15922	2.23296	2	9	3	1
DRD2	2.43803	2.54233	1.38381	1.1702	0.67008	1.39222	1.09166	1.90439	2.09419	1.77069	1.89157	2.03803	0.98349	1.4606	1.23259	2.11531	1.33396	2.04172	1.22042	1.63914	1.59766	1.94718	14	3	2	1
CCKAR	1.36196	1.62764	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	2.62	1.89494	1.46345	1.68221	0.97486	1.54098	2.06708	2.00465	1.33593	0.85418	3.5022	4.03514	1.59766	1.94718	8	5	1	1
LPAR2	1.36196	1.62764	1.34858	1.33804	1.23561	1.02789	1.93204	1.74864	2.70426	3.22506	1.46345	1.68221	0.97486	1.54098	1.74992	2.2715	1.77048	1.14062	1.57671	1.46063	1.59766	1.94718	0	1	0	1
DRD1	2.43803	2.54233	2.10452	1.87074	0.67008	1.39222	2.45195	2.26018	1.6493	2.31492	1.89157	2.03803	0.97486	1.54098	1.23259	2.11531	3.41469	5.22184	1.22042	1.63914	1.15922	2.23296	5	4	6	1
ADRB1	1.36196	1.62764	1.38381	1.1702	1.23561	1.02789	1.93204	1.74864	1.6493	2.31492	1.89157	2.03803	0.97486	1.54098	1.23259	2.11531	1.33593	0.85418	2.12435	1.31946	3.23352	2.36793	4	3	2	1
SSTR2	1.36196	1.62764	1.38381	1.1702	0.67008	1.39222	1.09166	1.90439	1.6493	2.31492	1.46345	1.68221	0.98349	1.4606	1.23259	2.11531	3.2326	3.9885	1.22042	1.63914	2.76492	2.52717	4	3	5	1
OPRD1	2.43933	2.71015	1.38381	1.1702	0.67008	1.39222	1.09166	1.90439	1.6493	2.31492	2.14564	1.31441	0.98349	1.4606	1.74992	2.2715	1.77048	1.14062	1.22042	1.63914	1.15922	2.23296	2	4	2	1
HTR1D	1.39925	1.24148	1.38381	1.1702	1.23561	1.02789	1.09166	1.90439	1.6493	2.31492	1.89157	2.03803	0.97486	1.54098	1.74992	2.2715	1.33396	2.04172	1.57671	1.46063	1.6951	1.43415	4	4	2	1
AGTR1	2.16561	2.43601	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	1.9185	1.31841	1.46345	1.68221	0.97486	1.54098	3.31823	3.48036	3.2326	3.9885	1.22042	1.63914	1.15922	2.23296	4	4	9	1
HCRTR2	2.43803	2.54233	1.38381	1.1702	1.23561	1.02789	1.09166	1.90439	1.6493	2.31492	3.49722	3.53333	0.98349	1.4606	1.23259	2.11531	1.33396	2.04172	1.22042	1.63914	2.76492	2.52717	4	5	4	1
HTR1A	2.16561	2.43601	1.38381	1.1702	1.23561	1.02789	1.09166	1.90439	1.6493	2.31492	1.89157	2.03803	0.97486	1.54098	2.67643	2.32666	1.33593	0.85418	1.22042	1.63914	1.15922	2.23296	11	4	5	1
HTR1B	1.36196	1.62764	1.38381	1.1702	1.23561	1.02789	1.09166	1.90439	2.09419	1.77069	1.89157	2.03803	0.97486	1.54098	1.74992	2.2715	1.77048	1.14062	1.22042	1.63914	1.6951	1.43415	6	3	3	1
ADRA1A	1.36196	1.62764	1.38381	1.1702	0.67008	1.39222	4.35271	2.77716	1.9185	1.31841	1.89157	2.03803	0.98349	1.4606	4.58137	2.16935	1.33593	0.85418	2.12435	1.31946	1.6951	1.43415	8	6	11	0
ADORA2A	2.43803	2.54233	2.10452	1.87074	1.23561	1.02789	3.16958	2.34023	2.09419	1.77069	2.14564	1.31441	0.97486	1.54098	2.06708	2.00465	1.33593	0.85418	1.22042	1.63914	1.59766	1.94718	2	3	3	0
ADORA2B	2.43803	2.54233	1.34858	1.33804	1.23561	1.02789	3.16958	2.34023	2.09419	1.77069	2.14564	1.31441	0.97486	1.54098	2.30814	2.21689	1.33593	0.85418	2.6361	2.40286	1.59766	1.94718	0	2	2	0
GPR4	1.39925	1.24148	1.34858	1.33804	0.67008	1.39222	3.05575	2.52197	1.9185	1.31841	1.46345	1.68221	2.23544	1.98857	2.30814	2.21689	1.77048	1.14062	1.57671	1.46063	2.76492	2.52717	0	1	5	0
AVPR2	1.39925	1.24148	1.38381	1.1702	3.34165	2.72677	1.09166	1.90439	2.62	1.89494	2.14564	1.31441	0.97486	1.54098	1.23259	2.11531	1.33593	0.85418	2.12435	1.31946	3.4265	2.75288	0	1	1	0
OXTR	1.39925	1.24148	2.65007	2.31415	0.67008	1.39222	1.09166	1.90439	2.62	1.89494	2.15176	2.02618	0.97486	1.54098	1.74992	2.2715	1.77048	1.14062	2.79869	2.98074	4.18937	3.2978	3	4	3	0
PTGER2	5.57721	5.18794	2.10452	1.87074	1.23561	1.02789	1.93204	1.74864	1.9185	1.31841	1.46345	1.68221	4.47915	2.8021	2.67643	2.32666	1.77048	1.14062	1.22042	1.63914	1.6951	1.43415	0	1	1	0
ADRB2	1.36196	1.62764	1.38381	1.1702	1.23561	1.02789	1.93204	1.74864	1.6493	2.31492	1.89157	2.03803	0.97486	1.54098	2.67643	2.32666	1.33593	0.85418	1.22042	1.63914	3.23352	2.36793	5	3	3	0
GNRHR	5.57721	5.18794	1.34858	1.33804	0.67008	1.39222	1.09166	1.90439	2.26244	2.73811	2.15176	2.02618	4.74444	2.77811	3.3456	2.73077	1.77048	1.14062	1.57671	1.46063	3.23352	2.36793	1	1	0	0
GPBAR1	2.70731	2.60637	3.54317	2.83399	6.11056	3.10227	1.93204	1.74864	1.9185	1.31841	1.46345	1.68221	4.12635	2.63213	2.06708	2.00465	1.33593	0.85418	2.6361	2.40286	5.44883	5.00273	0	0	0	0
FFAR2	1.39925	1.24148	1.34858	1.33804	0.67008	1.39222	2.45195	2.26018	1.9185	1.31841	2.09327	2.85052	2.69887	2.78777	4.11759	3.2158	1.77048	1.14062	1.57671	1.46063	1.15922	2.23296	0	4	1	0
LPAR1	2.43933	2.71015	2.65007	2.31415	1.23561	1.02789	2.45195	2.26018	2.09419	1.77069	2.14564	1.31441	0.98349	1.4606	1.74992	2.2715	1.33396	2.04172	1.57671	1.46063	3.24756	2.7884	0	1	1	0
GPR84	1.39925	1.24148	1.38381	1.1702	1.23561	1.02789	1.09166	1.90439	2.62	1.89494	2.14564	1.31441	0.98349	1.4606	4.58137	2.16935	1.33593	0.85418	2.12435	1.31946	1.6951	1.43415	7	2	1	0
MC4R	1.36196	1.62764	1.38381	1.1702	1.23561	1.02789	1.93204	1.74864	2.65139	2.80855	1.89157	2.03803	2.23544	1.98857	1.23259	2.11531	1.77048	1.14062	2.12435	1.31946	1.6951	1.43415	0	1	2	0
