GPCR	169bip	169bin	172bip	172bin	194bip	194bin	196bip	196bin	269bip	269bin	276bip	276bin	308bip	308bin	398bip	398bin	633pos	655bip	655bin	684bip	684bin	702pos	703pos	730bip	730bin	734bip	734bin	H_TIL	C_CTL	O
ADRA2B	1.14099	2.3807	1.23543	1.73703	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.98114	0.85509	1.45392	2.72909	1.183	2.61271	1	1.13194	0.94615	1.62866	0.96869	0	0	1.3067	1.33054	0.84516	1.16863	2	1	1
ADRA2C	2.13658	2.23899	1.23543	1.73703	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.98114	0.85509	1.45392	2.72909	1.183	2.61271	1	1.13194	0.94615	1.62866	0.96869	0	0	1.3067	1.33054	0.84516	1.16863	1	0	1
AVPR1A	1.36103	1.11736	1.98469	1.60517	1.25409	1.34181	2.89857	1.71804	3.12428	3.42624	0.98114	0.85509	1.45392	2.72909	2.32571	1.5137	1	0.95384	1.6525	3.40019	5.27243	1	1	3.95107	4.84125	0.84516	1.16863	0	3	1
CXCR2	2.20056	3.63194	1.38836	1.51607	1.23506	1.63831	1.785	1.44202	0.58956	1.55377	0.72712	1.28301	1.40997	1.7485	1.183	2.61271	0	1.13194	0.94615	2.54789	3.27296	1	1	1.3067	1.33054	0.84516	1.16863	1	0	1
HTR2A	1.14099	2.3807	1.23543	1.73703	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.72712	1.28301	2.94927	2.62185	1.183	2.61271	1	1.13194	0.94615	2.65236	3.48238	1	1	1.78704	1.05724	1.56182	1.65681	1	3	1
GPR68	1.36103	1.11736	4.20653	4.39601	1.23506	1.63831	1.785	1.44202	0.58956	1.55377	0.98114	0.85509	1.40997	1.7485	2.32571	1.5137	0	2.83874	2.58961	1.52816	1.61238	1	1	2.72625	2.87577	1.78679	1.0206	1	3	1
HTR2C	1.14099	2.3807	1.23543	1.73703	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.72712	1.28301	2.94927	2.62185	1.183	2.61271	1	1.13194	0.94615	1.62866	0.96869	1	1	1.57766	1.6619	1.56182	1.65681	2	1	1
HTR2B	1.14099	2.3807	1.23543	1.73703	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.72712	1.28301	2.94927	2.62185	1.183	2.61271	1	1.13194	0.94615	3.20117	3.50416	0	1	1.78704	1.05724	1.56182	1.65681	0	1	1
HRH2	2.62866	2.19538	1.23543	1.73703	1.25409	1.34181	1.11743	1.47864	0.58956	1.55377	0.98114	0.85509	3.13938	1.58993	1.183	2.61271	1	1.13194	0.94615	3.10633	4.11238	0	0	1.3067	1.33054	1.78679	1.0206	1	2	1
BDKRB1	1.36103	1.11736	2.11887	2.23497	1.23506	1.63831	1.785	1.44202	0.58956	1.55377	2.89857	1.65848	1.40997	1.7485	1.78607	1.47668	1	2.19761	2.00015	1.62866	0.96869	1	1	1.3067	1.33054	0.84516	1.16863	0	1	1
CHRM4	2.20056	3.63194	1.38836	1.51607	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.98114	0.85509	1.45392	2.72909	1.183	2.61271	1	0.95384	1.6525	1.52816	1.61238	0	0	1.57766	1.6619	2.4998	5.09953	2	2	1
HRH1	1.36103	1.11736	1.23543	1.73703	1.25409	1.34181	1.11743	1.47864	3.35018	5.01969	0.98114	0.85509	1.40997	1.7485	1.183	2.61271	1	0.95384	1.6525	1.52816	1.61238	0	0	1.3067	1.33054	0.84516	1.16863	7	1	1
CHRM3	1.14099	2.3807	2.11887	2.23497	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.72712	1.28301	1.45392	2.72909	1.183	2.61271	1	0.95384	1.6525	1.52816	1.61238	0	0	1.78704	1.05724	2.4998	5.09953	4	3	1
CHRM2	2.20056	3.63194	1.38836	1.51607	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.98114	0.85509	2.34604	2.60865	1.183	2.61271	1	0.95384	1.6525	2.26766	2.10692	0	0	1.57766	1.6619	2.4998	5.09953	2	2	1
CHRM1	1.36103	1.11736	2.11887	2.23497	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.98114	0.85509	1.45392	2.72909	1.183	2.61271	1	0.95384	1.6525	1.52816	1.61238	0	0	1.57766	1.6619	2.4998	5.09953	0	3	1
NPFFR1	2.62866	2.19538	1.23543	1.73703	1.25409	1.34181	1.785	1.44202	1.27766	0.99594	0.72712	1.28301	1.40997	1.7485	1.78607	1.47668	1	1.13194	0.94615	1.62866	0.96869	1	1	2.72625	2.87577	0.84516	1.16863	0	2	1
OPRM1	2.20056	3.63194	1.38836	1.51607	1.25409	1.34181	1.785	1.44202	0.58956	1.55377	0.98114	0.85509	2.2111	2.00818	1.78607	1.47668	1	1.13194	0.94615	2.26766	2.10692	1	1	1.3067	1.33054	1.78679	1.0206	0	2	1
OPRK1	2.20056	3.63194	1.38836	1.51607	1.25409	1.34181	1.785	1.44202	0.58956	1.55377	0.98114	0.85509	3.36466	3.36899	1.78607	1.47668	1	1.13194	0.94615	1.52816	1.61238	0	1	1.3067	1.33054	1.78679	1.0206	0	2	1
GHSR	2.20056	3.63194	1.23543	1.73703	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.72712	1.28301	4.10636	3.33793	2.32571	1.5137	1	1.13194	0.94615	3.18703	3.80463	1	1	1.57766	1.6619	1.78679	1.0206	0	0	1
MTNR1A	1.14099	2.3807	1.23543	1.73703	1.88809	2.38388	1.11743	1.47864	1.27766	0.99594	0.72712	1.28301	2.2111	2.00818	2.29043	2.13391	1	1.13194	0.94615	2.54789	3.27296	1	1	1.3067	1.33054	0.84516	1.16863	0	1	1
HCRTR2	2.62866	2.19538	1.23543	1.73703	1.25409	1.34181	1.785	1.44202	1.27766	0.99594	0.72712	1.28301	2.34604	2.60865	1.183	2.61271	1	1.13194	0.94615	1.62866	0.96869	1	1	2.72625	2.87577	0.84516	1.16863	0	3	1
F2RL1	1.36103	1.11736	2.11887	2.23497	2.33769	3.50596	1.785	1.44202	0.58956	1.55377	0.72712	1.28301	1.40997	1.7485	2.37321	2.10789	1	1.13194	0.94615	1.52816	1.61238	1	1	1.57766	1.6619	1.56182	1.65681	0	1	1
FFAR4	1.36103	1.11736	1.23543	1.73703	1.88809	2.38388	1.785	1.44202	0.58956	1.55377	0.72712	1.28301	1.45392	2.72909	1.78607	1.47668	1	2.19761	2.00015	1.62866	0.96869	1	1	1.3067	1.33054	1.78679	1.0206	3	3	1
ADRA1A	1.14099	2.3807	1.23543	1.73703	1.25409	1.34181	1.785	1.44202	0.58956	1.55377	0.98114	0.85509	1.45392	2.72909	1.78607	1.47668	1	1.13194	0.94615	2.26766	2.10692	0	0	1.57766	1.6619	0.84516	1.16863	2	8	1
BDKRB2	1.36103	1.11736	2.11887	2.23497	1.23506	1.63831	1.785	1.44202	0.58956	1.55377	2.89857	1.65848	1.40997	1.7485	1.78607	1.47668	1	1.13194	0.94615	1.62866	0.96869	1	1	1.3067	1.33054	1.56182	1.65681	0	2	1
APLNR	1.36103	1.11736	1.23543	1.73703	1.25409	1.34181	1.11743	1.47864	0.58956	1.55377	0.72712	1.28301	1.40997	1.7485	1.183	2.61271	1	2.19761	2.00015	1.62866	0.96869	1	1	1.3067	1.33054	1.78679	1.0206	1	4	1
MC3R	1.14099	2.3807	1.23543	1.73703	1.23506	1.63831	1.11743	1.47864	1.27766	0.99594	0.72712	1.28301	1.45392	2.72909	1.183	2.61271	1	2.19761	2.00015	1.62866	0.96869	1	1	1.57766	1.6619	0.84516	1.16863	2	2	1
GPR4	1.36103	1.11736	3.28105	3.19054	1.23506	1.63831	1.785	1.44202	0.58956	1.55377	0.98114	0.85509	2.94927	2.62185	1.183	2.61271	0	2.19761	2.00015	3.18703	3.80463	1	1	2.72625	2.87577	1.78679	1.0206	0	1	1
AVPR2	1.36103	1.11736	1.98469	1.60517	1.25409	1.34181	2.89857	1.71804	3.12428	3.42624	0.72712	1.28301	1.40997	1.7485	1.78607	1.47668	1	0.95384	1.6525	3.40019	5.27243	0	0	3.20905	3.83985	0.84516	1.16863	2	3	1
DRD5	2.62866	2.19538	1.38836	1.51607	1.25409	1.34181	1.11743	1.47864	0.58956	1.55377	0.72712	1.28301	1.40997	1.7485	1.183	2.61271	1	0.95384	1.6525	2.65236	3.48238	1	1	1.3067	1.33054	0.84516	1.16863	1	3	1
CCKAR	1.14099	2.3807	1.98469	1.60517	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.72712	1.28301	3.13938	1.58993	1.183	2.61271	1	0.95384	1.6525	3.40019	5.27243	1	1	1.78704	1.05724	0.84516	1.16863	0	3	1
DRD1	2.62866	2.19538	1.23543	1.73703	1.88809	2.38388	1.11743	1.47864	0.58956	1.55377	0.72712	1.28301	1.40997	1.7485	1.183	2.61271	1	0.95384	1.6525	2.26766	2.10692	1	1	1.3067	1.33054	0.84516	1.16863	1	3	1
ADRB1	1.14099	2.3807	1.38836	1.51607	1.25409	1.34181	1.11743	1.47864	1.27766	0.99594	0.72712	1.28301	1.40997	1.7485	1.183	2.61271	1	0.95384	1.6525	1.52816	1.61238	0	0	2.8946	4.01523	0.84516	1.16863	0	6	1
ADRB2	1.14099	2.3807	1.38836	1.51607	1.25409	1.34181	1.11743	1.47864	1.27766	0.99594	0.72712	1.28301	1.40997	1.7485	1.183	2.61271	1	0.95384	1.6525	1.52816	1.61238	0	0	2.8946	4.01523	0.84516	1.16863	2	4	1
SSTR2	1.14099	2.3807	1.38836	1.51607	1.25409	1.34181	1.785	1.44202	0.58956	1.55377	0.98114	0.85509	1.40997	1.7485	1.78607	1.47668	1	1.13194	0.94615	3.18703	3.80463	0	1	2.72625	2.87577	1.78679	1.0206	0	1	1
OPRD1	2.20056	3.63194	1.38836	1.51607	1.25409	1.34181	1.785	1.44202	0.58956	1.55377	0.98114	0.85509	2.94927	2.62185	1.78607	1.47668	1	1.13194	0.94615	1.52816	1.61238	1	1	1.3067	1.33054	1.78679	1.0206	0	4	1
OXTR	1.36103	1.11736	1.98469	1.60517	2.33769	3.50596	2.89857	1.71804	0.58956	1.55377	0.72712	1.28301	1.45392	2.72909	2.32571	1.5137	1	0.95384	1.6525	3.40019	5.27243	0	0	3.95107	4.84125	0.84516	1.16863	0	3	1
LPAR2	1.14099	2.3807	1.38836	1.51607	1.23506	1.63831	1.785	1.44202	1.27766	0.99594	0.98114	0.85509	2.94927	2.62185	1.183	2.61271	1	0.95384	1.6525	1.62866	0.96869	0	0	1.78704	1.05724	1.56182	1.65681	2	4	1
AGTR1	2.13658	2.23899	1.38836	1.51607	1.23506	1.63831	1.785	1.44202	0.58956	1.55377	0.72712	1.28301	1.40997	1.7485	1.78607	1.47668	1	0.95384	1.6525	1.62866	0.96869	1	1	1.3067	1.33054	4.06549	3.92257	0	1	1
LPAR1	2.20056	3.63194	1.38836	1.51607	2.33769	3.50596	1.785	1.44202	1.27766	0.99594	0.98114	0.85509	1.45392	2.72909	1.183	2.61271	1	1.13194	0.94615	1.62866	0.96869	0	0	3.02724	3.82057	0.84516	1.16863	1	2	1
HTR1A	2.13658	2.23899	1.38836	1.51607	1.25409	1.34181	1.11743	1.47864	1.27766	0.99594	0.72712	1.28301	1.40997	1.7485	1.183	2.61271	1	0.95384	1.6525	1.52816	1.61238	0	0	1.3067	1.33054	0.84516	1.16863	3	2	1
HTR1B	1.14099	2.3807	1.23543	1.73703	1.25409	1.34181	1.11743	1.47864	1.27766	0.99594	0.72712	1.28301	3.36466	3.36899	2.32571	1.5137	1	0.95384	1.6525	1.52816	1.61238	0	0	1.57766	1.6619	0.84516	1.16863	0	1	1
CNR2	1.36103	1.11736	1.38836	1.51607	1.25409	1.34181	1.11743	1.47864	1.27766	0.99594	2.89857	1.65848	1.40997	1.7485	1.78607	1.47668	1	1.13194	0.94615	4.67494	3.3515	0	0	1.78704	1.05724	0.84516	1.16863	3	3	0
HCAR2	1.36103	1.11736	2.11887	2.23497	1.23506	1.63831	1.785	1.44202	1.27766	0.99594	0.98114	0.85509	2.94927	2.62185	1.78607	1.47668	0	1.13194	0.94615	1.62866	0.96869	1	1	1.3067	1.33054	1.56182	1.65681	1	1	0
LTB4R2	2.13658	2.23899	1.98469	1.60517	1.88809	2.38388	2.89857	1.71804	0.58956	1.55377	0.98114	0.85509	1.40997	1.7485	1.183	2.61271	0	0.95384	1.6525	1.62866	0.96869	1	1	1.78704	1.05724	1.78679	1.0206	1	0	0
NPFFR2	2.62866	2.19538	1.23543	1.73703	1.25409	1.34181	1.785	1.44202	1.27766	0.99594	0.98114	0.85509	3.13938	1.58993	1.78607	1.47668	1	1.13194	0.94615	1.62866	0.96869	1	1	1.78704	1.05724	0.84516	1.16863	2	1	0
GPBAR1	3.82503	1.92964	1.38836	1.51607	3.71653	2.92716	1.11743	1.47864	6.06089	3.20635	0.98114	0.85509	1.40997	1.7485	3.10205	2.73003	1	3.91675	2.75672	1.62866	0.96869	0	0	5.32103	5.94037	6.38124	6.11708	1	1	0
DRD2	2.62866	2.19538	1.23543	1.73703	1.25409	1.34181	1.11743	1.47864	0.58956	1.55377	0.98114	0.85509	3.13938	1.58993	2.37321	2.10789	1	1.13194	0.94615	1.62866	0.96869	0	0	1.78704	1.05724	0.84516	1.16863	9	1	0
NPY5R	1.36103	1.11736	1.98469	1.60517	1.25409	1.34181	1.785	1.44202	1.27766	0.99594	0.72712	1.28301	2.2111	2.00818	2.32571	1.5137	1	2.19761	2.00015	1.52816	1.61238	1	1	1.3067	1.33054	1.78679	1.0206	5	1	0
HCAR3	1.36103	1.11736	2.11887	2.23497	1.23506	1.63831	1.785	1.44202	1.27766	0.99594	0.98114	0.85509	2.94927	2.62185	1.78607	1.47668	0	1.13194	0.94615	1.62866	0.96869	1	1	1.3067	1.33054	1.56182	1.65681	1	4	0
FFAR2	1.36103	1.11736	2.11887	2.23497	1.23506	1.63831	1.11743	1.47864	0.58956	1.55377	0.98114	0.85509	2.94927	2.62185	2.37321	2.10789	0	2.83874	2.58961	1.52816	1.61238	0	0	1.3067	1.33054	1.78679	1.0206	0	0	0
GPR65	1.36103	1.11736	4.05356	3.08062	1.23506	1.63831	1.11743	1.47864	1.27766	0.99594	0.98114	0.85509	2.34604	2.60865	1.78607	1.47668	0	0.95384	1.6525	2.26766	2.10692	1	1	2.72625	2.87577	1.78679	1.0206	1	3	0
CXCR5	1.36103	1.11736	1.98469	1.60517	1.23506	1.63831	2.89857	1.71804	1.27766	0.99594	0.72712	1.28301	1.40997	1.7485	1.183	2.61271	0	1.13194	0.94615	1.62866	0.96869	1	1	1.3067	1.33054	1.78679	1.0206	0	2	0
CXCR4	1.14099	2.3807	3.89782	3.00952	4.88394	3.34666	2.89857	1.71804	0.58956	1.55377	0.72712	1.28301	1.40997	1.7485	1.78607	1.47668	0	2.19761	2.00015	2.26766	2.10692	1	1	1.3067	1.33054	1.78679	1.0206	2	0	0
HTR1D	1.36103	1.11736	1.38836	1.51607	1.25409	1.34181	1.11743	1.47864	1.27766	0.99594	0.72712	1.28301	4.10636	3.33793	2.32571	1.5137	1	0.95384	1.6525	1.52816	1.61238	0	0	1.57766	1.6619	0.84516	1.16863	5	0	0
FFAR3	1.36103	1.11736	2.11887	2.23497	1.23506	1.63831	1.785	1.44202	0.58956	1.55377	0.98114	0.85509	2.2111	2.00818	2.37321	2.10789	0	2.83874	2.58961	1.52816	1.61238	1	1	1.78704	1.05724	1.56182	1.65681	1	3	0
GPR84	1.36103	1.11736	1.98469	1.60517	1.25409	1.34181	1.785	1.44202	1.27766	0.99594	0.72712	1.28301	2.2111	2.00818	2.29043	2.13391	1	1.13194	0.94615	1.62866	0.96869	0	0	1.57766	1.6619	1.78679	1.0206	2	0	0
