GPCR	166bip	166bin	169bip	169bin	249bip	249bin	269bip	269bin	270bip	270bin	302bip	302bin	655bip	655bin	660bip	660bin	661bip	661bin	C_CTL	T_CTL	O
HTR2B	2.606	2.5835	1.16789	1.83082	2.69945	2.11321	0.54101	1.2805	1.11709	1.59794	1.42345	1.47186	0.94728	1.45152	1.80643	2.17455	1.41298	0.98215	1	9	1
CHRM3	1.72937	2.19633	1.16789	1.83082	1.40153	1.60788	0.54101	1.2805	2.35013	2.35742	1.82341	2.02797	1.14915	0.99859	1.32369	1.71208	1.33103	1.54273	3	3	1
CHRM2	1.72937	2.19633	2.34507	2.85567	1.40153	1.60788	0.54101	1.2805	2.35013	2.35742	1.82341	2.02797	1.14915	0.99859	1.32369	1.71208	1.33103	1.54273	2	3	1
NPFFR1	2.606	2.5835	2.51646	2.39263	3.32809	3.3166	1.45905	0.81634	1.11709	1.59794	1.3931	1.98436	0.94728	1.45152	2.94402	2.90916	1.41298	0.98215	2	1	1
HCAR3	2.69084	3.39892	1.34496	1.22632	1.40153	1.60788	1.45905	0.81634	1.11709	1.59794	2.44951	2.55739	0.94728	1.45152	1.56104	2.19891	1.33103	1.54273	4	6	1
HCAR2	2.69084	3.39892	1.34496	1.22632	1.40153	1.60788	1.45905	0.81634	1.11709	1.59794	2.44951	2.55739	0.94728	1.45152	1.56104	2.19891	1.33103	1.54273	1	6	1
HRH1	1.86712	1.1446	1.34496	1.22632	2.48777	1.87993	3.33201	5.20467	1.61638	1.49305	1.82341	2.02797	1.14915	0.99859	1.32369	1.71208	1.41298	0.98215	1	1	1
GPR65	1.72937	2.19633	1.34496	1.22632	3.93555	4.69986	1.45905	0.81634	1.11709	1.59794	1.3931	1.98436	1.14915	0.99859	1.56104	2.19891	1.41298	0.98215	3	6	1
OPRK1	2.94904	3.62641	2.34507	2.85567	2.04167	1.60139	0.54101	1.2805	1.11709	1.59794	1.3931	1.98436	0.94728	1.45152	1.56104	2.19891	1.89694	1.14651	2	2	1
GHSR	1.86712	1.1446	2.34507	2.85567	1.40153	1.60788	0.54101	1.2805	1.11709	1.59794	1.3931	1.98436	0.94728	1.45152	1.32369	1.71208	1.41298	0.98215	0	3	1
MTNR1A	1.86712	1.1446	1.16789	1.83082	1.78111	1.88856	1.45905	0.81634	1.61638	1.49305	1.3931	1.98436	0.94728	1.45152	2.34173	1.57821	1.33103	1.54273	1	2	1
HCRTR2	1.8201	1.80357	2.51646	2.39263	1.78111	1.88856	1.45905	0.81634	1.52502	1.6146	1.3931	1.98436	0.94728	1.45152	2.34173	1.57821	1.33103	1.54273	3	7	1
F2RL1	2.69084	3.39892	1.34496	1.22632	1.78111	1.88856	0.54101	1.2805	1.11709	1.59794	1.3931	1.98436	0.94728	1.45152	1.80643	2.17455	1.33103	1.54273	1	5	1
FFAR4	1.8201	1.80357	1.34496	1.22632	1.40153	1.60788	0.54101	1.2805	1.52502	1.6146	1.3931	1.98436	2.19445	2.00719	2.68594	3.59861	1.33103	1.54273	3	3	1
BDKRB2	1.72937	2.19633	1.34496	1.22632	1.78111	1.88856	0.54101	1.2805	1.61638	1.49305	1.3931	1.98436	0.94728	1.45152	1.32369	1.71208	1.33103	1.54273	2	2	1
APLNR	2.69084	3.39892	1.34496	1.22632	1.40153	1.60788	0.54101	1.2805	2.35013	2.35742	2.44951	2.55739	2.19445	2.00719	2.34173	1.57821	1.41298	0.98215	4	3	1
MC3R	1.72937	2.19633	1.16789	1.83082	2.04167	1.60139	1.45905	0.81634	1.11709	1.59794	1.3931	1.98436	2.19445	2.00719	1.32369	1.71208	3.1343	4.32985	2	1	1
GPR4	3.64235	4.52503	1.34496	1.22632	1.40153	1.60788	0.54101	1.2805	1.11709	1.59794	1.42345	1.47186	2.19445	2.00719	1.80643	2.17455	1.89694	1.14651	1	6	1
AVPR2	2.69084	3.39892	1.34496	1.22632	2.69945	2.11321	3.01653	3.71359	1.52502	1.6146	1.82341	2.02797	1.14915	0.99859	1.56104	2.19891	1.41298	0.98215	3	4	1
DRD5	1.8201	1.80357	2.51646	2.39263	1.78111	1.88856	0.54101	1.2805	1.11709	1.59794	1.82341	2.02797	1.14915	0.99859	1.56104	2.19891	3.19177	5.3907	3	6	1
DRD2	1.8201	1.80357	2.51646	2.39263	2.04167	1.60139	0.54101	1.2805	1.61638	1.49305	1.42345	1.47186	0.94728	1.45152	1.32369	1.71208	1.33103	1.54273	1	2	1
CCKAR	2.606	2.5835	1.16789	1.83082	2.9692	3.7032	0.54101	1.2805	1.52502	1.6146	2.89035	2.55906	1.14915	0.99859	2.68594	3.59861	1.41298	0.98215	3	3	1
DRD1	2.606	2.5835	2.51646	2.39263	2.04167	1.60139	0.54101	1.2805	1.11709	1.59794	1.82341	2.02797	1.14915	0.99859	1.56104	2.19891	3.19177	5.3907	3	6	1
ADRB1	1.8201	1.80357	1.16789	1.83082	1.40153	1.60788	1.45905	0.81634	1.52502	1.6146	1.42345	1.47186	1.14915	0.99859	2.94402	2.90916	1.41298	0.98215	6	2	1
ADRB2	1.8201	1.80357	1.16789	1.83082	2.48777	1.87993	1.45905	0.81634	1.11709	1.59794	1.42345	1.47186	1.14915	0.99859	2.94402	2.90916	1.41298	0.98215	4	4	1
SSTR2	2.606	2.5835	1.16789	1.83082	1.78111	1.88856	0.54101	1.2805	1.61638	1.49305	1.42345	1.47186	0.94728	1.45152	1.32369	1.71208	3.1343	4.32985	1	6	1
OPRD1	1.8201	1.80357	2.34507	2.85567	2.69945	2.11321	0.54101	1.2805	1.11709	1.59794	1.3931	1.98436	0.94728	1.45152	1.56104	2.19891	1.89694	1.14651	4	3	1
OXTR	2.2848	2.37688	1.34496	1.22632	1.40153	1.60788	0.54101	1.2805	1.52502	1.6146	2.89035	2.55906	1.14915	0.99859	1.32369	1.71208	1.89694	1.14651	3	3	1
LPAR2	1.86712	1.1446	1.16789	1.83082	1.40153	1.60788	1.45905	0.81634	1.11709	1.59794	1.42345	1.47186	1.14915	0.99859	1.56104	2.19891	1.89694	1.14651	4	5	1
AGTR1	2.94904	3.62641	2.1091	2.342	2.04167	1.60139	0.54101	1.2805	1.61638	1.49305	1.3931	1.98436	1.14915	0.99859	2.68594	3.59861	3.1343	4.32985	1	3	1
LPAR1	1.86712	1.1446	2.34507	2.85567	5.1095	5.48962	1.45905	0.81634	1.61638	1.49305	1.3931	1.98436	0.94728	1.45152	1.32369	1.71208	1.33103	1.54273	2	4	1
HTR1A	2.2848	2.37688	2.1091	2.342	1.40153	1.60788	1.45905	0.81634	1.52502	1.6146	2.89035	2.55906	1.14915	0.99859	1.32369	1.71208	1.41298	0.98215	2	0	1
HTR1B	2.2848	2.37688	1.16789	1.83082	2.48777	1.87993	1.45905	0.81634	1.52502	1.6146	1.42345	1.47186	1.14915	0.99859	1.32369	1.71208	1.89694	1.14651	1	2	1
PTGFR	5.11074	5.19314	5.84685	5.30089	2.04167	1.60139	1.45905	0.81634	1.61638	1.49305	1.42345	1.47186	1.14915	0.99859	4.71515	3.04648	1.33103	1.54273	2	1	0
ADORA1	1.8201	1.80357	1.16789	1.83082	3.32809	3.3166	1.45905	0.81634	1.11709	1.59794	4.12592	2.6956	1.14915	0.99859	2.34173	1.57821	1.41298	0.98215	1	1	0
ADORA3	1.8201	1.80357	1.16789	1.83082	2.48777	1.87993	1.45905	0.81634	1.11709	1.59794	4.12592	2.6956	0.94728	1.45152	2.34173	1.57821	1.41298	0.98215	2	2	0
GPR39	5.11074	5.19314	5.84685	5.30089	1.40153	1.60788	0.54101	1.2805	2.35013	2.35742	1.42345	1.47186	1.14915	0.99859	2.34173	1.57821	1.89694	1.14651	2	5	0
FFAR2	1.86712	1.1446	1.34496	1.22632	1.40153	1.60788	0.54101	1.2805	1.61638	1.49305	1.82341	2.02797	2.63798	2.84986	1.80643	2.17455	1.89694	1.14651	0	4	0
GNRHR	5.11074	5.19314	5.84685	5.30089	1.78111	1.88856	0.54101	1.2805	1.52502	1.6146	1.82341	2.02797	4.44905	3.23178	2.94402	2.90916	1.89694	1.14651	0	0	0
GPBAR1	1.86712	1.1446	3.76728	2.14818	1.40153	1.60788	5.90485	3.48516	5.0814	3.48419	2.89035	2.55906	3.90826	2.97394	4.61843	2.96038	1.41298	0.98215	1	2	0
MC4R	1.72937	2.19633	1.16789	1.83082	1.78111	1.88856	1.45905	0.81634	1.11709	1.59794	1.3931	1.98436	2.19445	2.00719	1.56104	2.19891	1.89694	1.14651	3	1	0
CNR1	1.86712	1.1446	1.34496	1.22632	2.48777	1.87993	1.45905	0.81634	1.61638	1.49305	3.47587	2.91596	1.14915	0.99859	1.32369	1.71208	1.33103	1.54273	3	5	0
ADORA2A	1.8201	1.80357	2.51646	2.39263	2.48777	1.87993	1.45905	0.81634	1.61638	1.49305	4.12592	2.6956	1.14915	0.99859	2.34173	1.57821	1.41298	0.98215	1	3	0
ADORA2B	1.8201	1.80357	2.51646	2.39263	2.48777	1.87993	1.45905	0.81634	1.11709	1.59794	2.44951	2.55739	1.14915	0.99859	2.34173	1.57821	1.41298	0.98215	1	1	0
PTGER1	5.11074	5.19314	5.84685	5.30089	2.48777	1.87993	1.45905	0.81634	1.11709	1.59794	1.82341	2.02797	1.14915	0.99859	4.71515	3.04648	1.33103	1.54273	0	1	0
PTGER3	2.2848	2.37688	2.34507	2.85567	2.48777	1.87993	1.45905	0.81634	1.11709	1.59794	1.42345	1.47186	1.14915	0.99859	3.94402	2.87215	1.89694	1.14651	3	3	0
LTB4R2	2.69084	3.39892	2.1091	2.342	2.69945	2.11321	0.54101	1.2805	1.52502	1.6146	1.42345	1.47186	1.14915	0.99859	4.61843	2.96038	1.41298	0.98215	0	7	0
GPR84	1.8201	1.80357	1.34496	1.22632	1.78111	1.88856	1.45905	0.81634	1.52502	1.6146	2.89035	2.55906	0.94728	1.45152	2.34173	1.57821	1.41298	0.98215	0	0	0
BDKRB1	1.86712	1.1446	1.34496	1.22632	1.78111	1.88856	0.54101	1.2805	5.14413	3.61723	1.3931	1.98436	2.19445	2.00719	1.80643	2.17455	1.89694	1.14651	1	2	0
NPFFR2	2.606	2.5835	2.51646	2.39263	2.04167	1.60139	1.45905	0.81634	1.11709	1.59794	1.3931	1.98436	0.94728	1.45152	1.32369	1.71208	1.41298	0.98215	1	5	0
CHRM1	1.86712	1.1446	1.34496	1.22632	1.40153	1.60788	0.54101	1.2805	2.35013	2.35742	1.82341	2.02797	1.14915	0.99859	1.32369	1.71208	1.41298	0.98215	3	2	0
MTNR1B	1.86712	1.1446	1.16789	1.83082	2.69945	2.11321	1.45905	0.81634	1.61638	1.49305	1.3931	1.98436	0.94728	1.45152	2.34173	1.57821	1.33103	1.54273	1	0	0
FFAR3	1.86712	1.1446	1.34496	1.22632	1.40153	1.60788	0.54101	1.2805	1.61638	1.49305	4.12592	2.6956	2.63798	2.84986	1.80643	2.17455	1.89694	1.14651	3	2	0
ADRA1A	1.72937	2.19633	1.16789	1.83082	2.04167	1.60139	0.54101	1.2805	1.61638	1.49305	1.42345	1.47186	0.94728	1.45152	1.56104	2.19891	1.41298	0.98215	8	9	0
NPY5R	1.86712	1.1446	1.34496	1.22632	2.04167	1.60139	1.45905	0.81634	1.61638	1.49305	1.42345	1.47186	2.19445	2.00719	2.34173	1.57821	1.89694	1.14651	1	0	0
HTR1D	2.2848	2.37688	1.34496	1.22632	2.04167	1.60139	1.45905	0.81634	1.52502	1.6146	1.42345	1.47186	1.14915	0.99859	1.32369	1.71208	1.33103	1.54273	0	1	0
