GPCR	169bip	169bin	194bip	194bin	207bip	207bin	397bip	397bin	661bip	661bin	733bip	733bin	CTLL	S_CTL	O
GPR183	0.78683	1.63144	4.90769	3.47357	5.24652	5.04142	2.51809	1.04926	1.21694	1.26213	2.963	2.91631	53	9	0
ADORA1	1.50985	1.37921	1.11425	1.40184	1.71218	1.36961	1.49985	1.88994	1.21694	1.26213	1.39408	1.44638	38	0	0
ADORA3	1.50985	1.37921	1.11425	1.40184	1.71218	1.36961	2.08601	1.85829	1.21694	1.26213	1.39408	1.44638	36	4	0
MTNR1B	1.50985	1.37921	1.45656	1.3208	4.07022	3.47226	2.08601	1.85829	1.10321	1.52051	1.39408	1.44638	54	3	0
NPY5R	0.78683	1.63144	1.11425	1.40184	2.90104	1.93036	2.86993	3.96107	1.79611	1.58098	1.39408	1.44638	20	1	0
OPRK1	2.97729	2.33633	1.11425	1.40184	5.24652	5.04142	2.51809	1.04926	1.79611	1.58098	1.39408	1.44638	50	2	0
C5AR1	2.3197	2.16012	4.00007	3.24603	5.24652	5.04142	2.93641	3.15067	1.10321	1.52051	1.39408	1.44638	50	6	0
GNRHR	5.72542	5.48507	1.45656	1.3208	1.44715	2.15162	2.51809	1.04926	1.79611	1.58098	1.16418	1.86746	5	1	0
CCR5	1.50985	1.37921	1.45656	1.3208	5.24652	5.04142	2.08601	1.85829	1.21694	1.26213	1.39408	1.44638	55	5	0
CCR6	2.3197	2.16012	1.45656	1.3208	5.24652	5.04142	2.6477	3.46136	2.48664	3.04658	2.16924	1.51012	58	8	0
GPBAR1	3.72847	2.51431	4.00007	3.24603	5.24652	5.04142	2.00364	2.92934	1.21694	1.26213	5.52754	5.22175	80	11	0
PTGER3	2.97729	2.33633	1.11425	1.40184	1.71218	1.36961	2.08601	1.85829	1.79611	1.58098	2.40383	2.90176	44	7	0
OPRL1	2.97729	2.33633	1.11425	1.40184	5.24652	5.04142	2.08601	1.85829	5.19691	4.23669	1.39408	1.44638	51	4	0
MC4R	1.50985	1.37921	1.11425	1.40184	3.71576	3.09398	1.49985	1.88994	1.79611	1.58098	1.16418	1.86746	30	3	0
CYSLTR1	0.78683	1.63144	1.99227	2.83322	5.24652	5.04142	2.51809	1.04926	1.79611	1.58098	1.16418	1.86746	42	6	0
ADORA2A	3.4357	2.25511	1.61744	2.24438	1.71218	1.36961	1.49985	1.88994	1.21694	1.26213	2.963	2.91631	124	10	0
ADORA2B	3.4357	2.25511	1.45656	1.3208	2.90104	1.93036	2.51809	1.04926	1.21694	1.26213	1.39408	1.44638	42	2	0
CNR2	0.78683	1.63144	1.11425	1.40184	1.50877	2.55612	4.17962	3.73549	1.10321	1.52051	2.16924	1.51012	61	8	0
CXCR2	2.97729	2.33633	1.45656	1.3208	5.24652	5.04142	2.51809	1.04926	1.21694	1.26213	1.16418	1.86746	46	8	0
PTGER2	5.72542	5.48507	1.61744	2.24438	1.71218	1.36961	2.50627	3.12319	1.79611	1.58098	2.40383	2.90176	44	6	0
ADRA2A	1.50985	1.37921	1.45656	1.3208	1.71218	1.36961	2.51809	1.04926	1.79611	1.58098	2.16924	1.51012	9	0	0
ADRA2B	1.50985	1.37921	1.45656	1.3208	1.71218	1.36961	2.51809	1.04926	1.21694	1.26213	2.16924	1.51012	21	0	0
ADRA2C	2.3197	2.16012	1.45656	1.3208	1.71218	1.36961	2.51809	1.04926	1.21694	1.26213	2.16924	1.51012	25	1	0
AVPR1A	0.78683	1.63144	1.11425	1.40184	2.90104	1.93036	2.51809	1.04926	1.79611	1.58098	2.40383	2.90176	70	12	0
LTB4R2	2.3197	2.16012	1.61744	2.24438	1.71218	1.36961	1.49985	1.88994	1.21694	1.26213	2.16924	1.51012	101	5	0
HTR2A	1.50985	1.37921	1.45656	1.3208	1.71218	1.36961	2.51809	1.04926	1.79611	1.58098	1.16418	1.86746	91	10	0
CXCR5	0.78683	1.63144	1.45656	1.3208	5.24652	5.04142	2.08601	1.85829	1.21694	1.26213	3.51726	3.2297	50	9	0
HTR2B	1.50985	1.37921	1.45656	1.3208	2.90104	1.93036	2.51809	1.04926	1.21694	1.26213	1.16418	1.86746	101	11	0
HRH2	3.4357	2.25511	1.11425	1.40184	1.71218	1.36961	2.51809	1.04926	1.10321	1.52051	1.39408	1.44638	71	7	0
GPR84	0.78683	1.63144	1.11425	1.40184	1.71218	1.36961	2.50627	3.12319	1.21694	1.26213	2.16924	1.51012	26	2	0
BDKRB1	0.78683	1.63144	1.45656	1.3208	5.24652	5.04142	2.00364	2.92934	1.79611	1.58098	2.16924	1.51012	41	4	0
CHRM4	2.97729	2.33633	1.45656	1.3208	2.90104	1.93036	2.51809	1.04926	1.21694	1.26213	3.55865	2.66648	26	0	0
NPFFR2	3.4357	2.25511	1.11425	1.40184	2.90104	1.93036	1.49985	1.88994	1.21694	1.26213	1.39408	1.44638	87	6	0
CXCR4	1.50985	1.37921	5.45393	4.01325	5.24652	5.04142	2.08601	1.85829	2.48664	3.04658	1.39408	1.44638	50	15	0
CHRM3	1.50985	1.37921	1.45656	1.3208	1.44715	2.15162	2.51809	1.04926	1.10321	1.52051	2.16924	1.51012	46	1	0
CHRM2	2.97729	2.33633	1.45656	1.3208	2.90104	1.93036	2.51809	1.04926	1.10321	1.52051	3.55865	2.66648	26	0	0
CHRM1	0.78683	1.63144	1.45656	1.3208	2.90104	1.93036	2.08601	1.85829	1.21694	1.26213	3.51726	3.2297	42	2	0
NPFFR1	3.4357	2.25511	1.11425	1.40184	2.90104	1.93036	1.49985	1.88994	1.21694	1.26213	1.39408	1.44638	101	10	0
HCAR3	0.78683	1.63144	1.45656	1.3208	5.24652	5.04142	2.51809	1.04926	1.10321	1.52051	2.16924	1.51012	93	12	0
HCAR2	0.78683	1.63144	1.45656	1.3208	5.24652	5.04142	2.51809	1.04926	1.10321	1.52051	2.16924	1.51012	69	10	0
OPRM1	2.97729	2.33633	1.11425	1.40184	5.24652	5.04142	2.51809	1.04926	1.79611	1.58098	2.16924	1.51012	62	4	0
GPR65	0.78683	1.63144	1.45656	1.3208	5.24652	5.04142	2.93641	3.15067	1.21694	1.26213	1.39408	1.44638	47	3	0
FFAR2	0.78683	1.63144	1.45656	1.3208	5.24652	5.04142	2.08601	1.85829	1.79611	1.58098	1.16418	1.86746	58	7	0
FFAR3	0.78683	1.63144	1.45656	1.3208	5.24652	5.04142	2.51809	1.04926	1.79611	1.58098	2.963	2.91631	70	8	0
MTNR1A	1.50985	1.37921	1.61744	2.24438	4.07022	3.47226	2.51809	1.04926	1.10321	1.52051	1.39408	1.44638	55	5	0
FFAR4	0.78683	1.63144	1.61744	2.24438	5.24652	5.04142	2.08601	1.85829	1.10321	1.52051	1.39408	1.44638	40	3	0
ADRA1A	1.50985	1.37921	1.11425	1.40184	2.82341	2.90929	2.51809	1.04926	1.21694	1.26213	1.39408	1.44638	140	19	0
APLNR	0.78683	1.63144	1.11425	1.40184	5.24652	5.04142	2.51809	1.04926	1.21694	1.26213	2.963	2.91631	71	13	0
MC3R	1.50985	1.37921	1.45656	1.3208	3.71576	3.09398	1.49985	1.88994	4.12823	3.24164	1.16418	1.86746	24	1	0
F2R	1.50985	1.37921	1.99227	2.83322	5.24652	5.04142	2.51809	1.04926	1.10321	1.52051	1.16418	1.86746	54	13	0
AVPR2	0.78683	1.63144	1.11425	1.40184	2.90104	1.93036	4.17962	3.73549	1.21694	1.26213	2.40383	2.90176	46	14	0
DRD5	3.4357	2.25511	1.11425	1.40184	1.71218	1.36961	2.51809	1.04926	5.01341	3.33354	2.16924	1.51012	118	7	0
DRD2	3.4357	2.25511	1.11425	1.40184	1.71218	1.36961	2.08601	1.85829	1.10321	1.52051	1.39408	1.44638	17	0	0
LPAR2	1.50985	1.37921	1.45656	1.3208	2.71066	2.18155	1.49985	1.88994	1.79611	1.58098	3.55865	2.66648	56	7	0
DRD1	3.4357	2.25511	1.61744	2.24438	1.71218	1.36961	2.51809	1.04926	5.01341	3.33354	1.39408	1.44638	115	11	0
ADRB1	1.50985	1.37921	1.11425	1.40184	1.71218	1.36961	2.51809	1.04926	1.21694	1.26213	1.39408	1.44638	100	9	0
ADRB2	1.50985	1.37921	1.11425	1.40184	2.71066	2.18155	2.51809	1.04926	1.21694	1.26213	1.16418	1.86746	87	10	0
SSTR2	1.50985	1.37921	1.11425	1.40184	5.24652	5.04142	2.51809	1.04926	4.12823	3.24164	1.39408	1.44638	57	7	0
OPRD1	2.97729	2.33633	1.11425	1.40184	5.24652	5.04142	2.51809	1.04926	1.79611	1.58098	2.16924	1.51012	54	4	0
OXTR	0.78683	1.63144	1.99227	2.83322	2.90104	1.93036	2.08601	1.85829	1.79611	1.58098	2.40383	2.90176	60	15	0
HTR1D	0.78683	1.63144	1.11425	1.40184	1.71218	1.36961	1.49985	1.88994	1.10321	1.52051	1.39408	1.44638	21	1	0
AGTR1	2.3197	2.16012	1.45656	1.3208	5.24652	5.04142	2.51809	1.04926	4.12823	3.24164	1.16418	1.86746	57	9	0
LPAR1	2.97729	2.33633	1.99227	2.83322	2.71066	2.18155	2.08601	1.85829	1.10321	1.52051	1.39408	1.44638	53	9	0
HTR1A	2.3197	2.16012	1.11425	1.40184	1.71218	1.36961	1.49985	1.88994	1.21694	1.26213	2.16924	1.51012	22	0	0
HTR1B	1.50985	1.37921	1.11425	1.40184	1.71218	1.36961	1.49985	1.88994	1.79611	1.58098	1.39408	1.44638	21	2	0
