GPCR	169bip	169bin	172bip	172bin	193bip	193bin	194bip	194bin	196bip	196bin	249bip	249bin	254bip	254bin	269bip	269bin	270bip	270bin	398bip	398bin	633bip	633bin	655bip	655bin	658bip	658bin	660bip	660bin	661bip	661bin	671bip	671bin	673bip	673bin	C_CTL	T_CTL	O
F2R	1.20034	1.77968	2.08489	2.28607	1.44328	2.40942	2.31859	3.14323	2.82245	2.10221	2.26593	2.17875	2.44998	2.22705	0.601	1.34233	1.566	1.43402	3.24001	3.07182	4.64168	5.85296	1.0296	1.29619	2.23564	2.22918	1.33566	1.96281	1.27188	1.6621	3.01626	4.38284	1.42714	1.72371	4	2	1
PTGER4	1.20034	1.77968	1.86927	1.49841	1.78817	1.23809	1.85732	2.2204	2.87114	3.24341	2.77925	4.40773	2.15566	2.11076	0.601	1.34233	1.11164	1.60967	2.28855	2.35991	2.2179	2.13578	2.75838	2.4874	1.19396	1.79505	1.85892	2.10042	1.27188	1.6621	1.82229	1.1437	1.42714	1.72371	4	10	1
S1PR1	1.21286	1.43916	1.43281	1.59782	0.76665	1.56249	1.2602	1.26899	1.64052	1.51429	1.34584	2.06924	2.67391	2.46863	1.26903	0.9111	1.566	1.43402	1.69297	1.80471	1.97459	2.17931	1.0296	1.29619	1.19396	1.79505	1.33566	1.96281	2.81835	3.15408	1.82229	1.1437	1.12401	1.87129	3	3	1
PTGER2	5.89818	5.25998	5.29979	5.87148	1.78817	1.23809	1.85732	2.2204	2.79859	2.8776	2.77925	4.40773	2.67391	2.46863	1.26903	0.9111	1.64399	1.3344	2.27712	2.11951	2.2179	2.13578	3.7196	3.75448	2.42546	3.25278	2.14734	1.61264	1.77661	1.22287	1.60191	1.57625	1.12401	1.87129	3	4	1
ADRA2A	1.20034	1.77968	1.48324	1.14827	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	2.18331	1.24411	1.5432	2.57424	0.601	1.34233	1.64399	1.3344	1.24858	2.01712	1.97459	2.17931	1.0296	1.29619	1.19396	1.79505	1.63413	2.27815	1.77661	1.22287	1.60191	1.57625	2.78533	3.10074	1	0	1
ADRA2B	1.20034	1.77968	1.48324	1.14827	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	1.80779	1.80085	1.5432	2.57424	0.601	1.34233	1.64399	1.3344	1.24858	2.01712	4.3018	5.85296	1.0296	1.29619	1.19396	1.79505	1.63413	2.27815	1.40492	1.01397	1.60191	1.57625	2.78533	3.10074	1	2	1
ADRA2C	2.15051	2.31135	1.48324	1.14827	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	1.80779	1.80085	1.5432	2.57424	0.601	1.34233	1.64399	1.3344	1.24858	2.01712	4.38965	5.42115	1.0296	1.29619	1.19396	1.79505	1.63413	2.27815	1.40492	1.01397	1.60191	1.57625	2.78533	3.10074	0	1	1
AVPR1A	1.21286	1.43916	1.86927	1.49841	0.76665	1.56249	1.2602	1.26899	2.82245	2.10221	1.80779	1.80085	2.80808	2.28183	3.08357	3.57982	3.3688	3.26559	2.34814	1.56843	1.97459	2.17931	0.98117	1.46444	1.80778	1.97993	1.33566	1.96281	1.77661	1.22287	1.60191	1.57625	1.12401	1.87129	3	5	1
CXCR2	2.35342	2.83969	1.43281	1.59782	1.44328	2.40942	1.14997	1.78374	1.64052	1.51429	1.80779	1.80085	3.7071	3.10014	0.601	1.34233	1.11164	1.60967	1.24858	2.01712	4.64168	5.85296	1.0296	1.29619	2.23564	2.22918	1.85892	2.10042	1.40492	1.01397	1.90948	1.30637	2.07128	1.66457	0	3	1
HTR2A	1.20034	1.77968	1.48324	1.14827	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	1.80779	1.80085	1.5432	2.57424	0.601	1.34233	1.64399	1.3344	1.24858	2.01712	2.2179	2.13578	1.0296	1.29619	2.26137	1.72517	1.63413	2.27815	1.77661	1.22287	1.60191	1.57625	1.12401	1.87129	3	5	1
GPR68	1.21286	1.43916	4.04614	5.2067	1.44328	2.40942	1.14997	1.78374	1.64052	1.51429	1.80779	1.80085	2.15566	2.11076	0.601	1.34233	1.11164	1.60967	2.34814	1.56843	4.64168	5.85296	2.75838	2.4874	2.23564	2.22918	1.85892	2.10042	2.81835	3.15408	1.90948	1.30637	1.42714	1.72371	3	7	1
HTR2C	1.20034	1.77968	1.48324	1.14827	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	1.80779	1.80085	1.5432	2.57424	0.601	1.34233	1.64399	1.3344	1.24858	2.01712	2.2179	2.13578	1.0296	1.29619	1.19396	1.79505	1.85892	2.10042	1.27188	1.6621	1.60191	1.57625	1.12401	1.87129	1	3	1
HTR2B	1.20034	1.77968	1.48324	1.14827	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	2.82349	1.87725	1.5432	2.57424	0.601	1.34233	1.11164	1.60967	1.24858	2.01712	2.15543	2.44354	1.0296	1.29619	2.26137	1.72517	1.85892	2.10042	1.40492	1.01397	1.60191	1.57625	1.12401	1.87129	1	9	1
CHRM4	2.35342	2.83969	1.43281	1.59782	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	1.34584	2.06924	1.5432	2.57424	0.601	1.34233	2.1288	3.71946	1.24858	2.01712	2.2179	2.13578	0.98117	1.46444	1.80778	1.97993	1.33566	1.96281	1.40492	1.01397	1.90948	1.30637	1.42714	1.72371	2	3	1
CXCR5	1.21286	1.43916	1.86927	1.49841	0.76665	1.56249	1.14997	1.78374	2.82245	2.10221	3.00658	3.70483	4.15966	4.41165	1.26903	0.9111	1.11164	1.60967	1.24858	2.01712	4.64168	5.85296	1.0296	1.29619	2.23564	2.22918	2.87655	2.77453	1.40492	1.01397	1.90948	1.30637	1.12401	1.87129	2	6	1
HRH1	1.21286	1.43916	1.48324	1.14827	1.44328	2.40942	1.2602	1.26899	0.96179	1.72918	2.26593	2.17875	1.5432	2.57424	3.37641	5.1182	1.566	1.43402	1.24858	2.01712	3.39934	4.44421	0.98117	1.46444	1.80778	1.97993	1.33566	1.96281	1.40492	1.01397	1.90948	1.30637	1.12401	1.87129	1	1	1
CHRM3	1.20034	1.77968	2.08489	2.28607	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	1.34584	2.06924	1.5432	2.57424	0.601	1.34233	2.1288	3.71946	1.24858	2.01712	2.15543	2.44354	0.98117	1.46444	1.80778	1.97993	1.33566	1.96281	1.27188	1.6621	1.90948	1.30637	1.12401	1.87129	3	3	1
CHRM2	2.35342	2.83969	1.43281	1.59782	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	1.34584	2.06924	1.5432	2.57424	0.601	1.34233	2.1288	3.71946	1.24858	2.01712	2.43522	2.91548	0.98117	1.46444	1.80778	1.97993	1.33566	1.96281	1.27188	1.6621	1.90948	1.30637	1.42714	1.72371	2	3	1
CHRM1	1.21286	1.43916	2.08489	2.28607	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	1.34584	2.06924	1.5432	2.57424	0.601	1.34233	2.1288	3.71946	1.24858	2.01712	2.15543	2.44354	0.98117	1.46444	1.80778	1.97993	1.33566	1.96281	1.40492	1.01397	1.90948	1.30637	1.12401	1.87129	3	2	1
NPFFR1	2.69752	2.14156	1.48324	1.14827	0.76665	1.56249	1.2602	1.26899	1.64052	1.51429	3.19001	3.81091	2.80808	2.28183	1.26903	0.9111	1.11164	1.60967	1.69297	1.80471	2.43522	2.91548	1.0296	1.29619	3.29132	3.52131	2.96574	2.80959	1.40492	1.01397	1.82229	1.1437	2.6368	2.25887	2	1	1
HCAR3	1.21286	1.43916	2.08489	2.28607	0.76665	1.56249	1.14997	1.78374	1.64052	1.51429	1.34584	2.06924	2.44998	2.22705	1.26903	0.9111	1.11164	1.60967	1.69297	1.80471	4.64168	5.85296	1.0296	1.29619	1.19396	1.79505	1.63413	2.27815	1.27188	1.6621	2.39365	3.48973	1.12401	1.87129	4	6	1
HCAR2	1.21286	1.43916	2.08489	2.28607	0.76665	1.56249	1.14997	1.78374	1.64052	1.51429	1.34584	2.06924	2.15566	2.11076	1.26903	0.9111	1.11164	1.60967	1.69297	1.80471	4.64168	5.85296	1.0296	1.29619	1.19396	1.79505	1.63413	2.27815	1.27188	1.6621	3.15108	4.55614	1.42714	1.72371	1	6	1
OPRM1	2.35342	2.83969	1.43281	1.59782	1.44328	2.40942	1.2602	1.26899	1.64052	1.51429	2.18331	1.24411	1.5432	2.57424	0.601	1.34233	1.11164	1.60967	1.69297	1.80471	1.97459	2.17931	1.0296	1.29619	1.19396	1.79505	1.33566	1.96281	1.77661	1.22287	2.39365	3.48973	1.12401	1.87129	2	7	1
GPR65	1.21286	1.43916	3.54545	4.56793	1.44328	2.40942	1.14997	1.78374	0.96179	1.72918	3.97159	4.74329	2.67391	2.46863	1.26903	0.9111	1.11164	1.60967	1.69297	1.80471	4.64168	5.85296	0.98117	1.46444	2.42546	3.25278	1.63413	2.27815	1.40492	1.01397	1.60191	1.57625	1.42714	1.72371	3	6	1
OPRK1	2.35342	2.83969	1.43281	1.59782	1.44328	2.40942	1.2602	1.26899	1.64052	1.51429	2.18331	1.24411	1.5432	2.57424	0.601	1.34233	1.11164	1.60967	1.69297	1.80471	1.97459	2.17931	1.0296	1.29619	1.19396	1.79505	1.63413	2.27815	1.77661	1.22287	2.39365	3.48973	1.12401	1.87129	2	2	1
GHSR	2.35342	2.83969	1.48324	1.14827	1.44328	2.40942	1.14997	1.78374	0.96179	1.72918	1.34584	2.06924	3.33953	3.39691	0.601	1.34233	1.11164	1.60967	2.34814	1.56843	2.80178	3.30809	1.0296	1.29619	1.80778	1.97993	1.33566	1.96281	1.40492	1.01397	1.60191	1.57625	1.42714	1.72371	0	3	1
MTNR1A	1.20034	1.77968	1.48324	1.14827	0.76665	1.56249	1.85732	2.2204	0.96179	1.72918	1.80779	1.80085	2.67391	2.46863	1.26903	0.9111	1.566	1.43402	2.27712	2.11951	3.05421	2.85347	1.0296	1.29619	2.26137	1.72517	2.14734	1.61264	1.27188	1.6621	1.82229	1.1437	2.78533	3.10074	1	2	1
HCRTR2	2.69752	2.14156	1.48324	1.14827	0.76665	1.56249	1.2602	1.26899	1.64052	1.51429	1.80779	1.80085	2.80808	2.28183	1.26903	0.9111	1.64399	1.3344	1.24858	2.01712	2.43522	2.91548	1.0296	1.29619	1.19396	1.79505	2.14734	1.61264	1.27188	1.6621	2.39365	3.48973	1.12401	1.87129	3	7	1
F2RL1	1.21286	1.43916	2.08489	2.28607	1.44328	2.40942	2.31859	3.14323	1.64052	1.51429	1.80779	1.80085	2.44998	2.22705	0.601	1.34233	1.11164	1.60967	2.28855	2.35991	2.43522	2.91548	1.0296	1.29619	3.40244	3.54158	1.85892	2.10042	1.27188	1.6621	3.15108	4.55614	2.07128	1.66457	1	5	1
FFAR4	1.21286	1.43916	1.48324	1.14827	1.78817	1.23809	1.85732	2.2204	1.64052	1.51429	1.34584	2.06924	2.67391	2.46863	0.601	1.34233	1.64399	1.3344	1.69297	1.80471	1.97459	2.17931	2.25613	1.85963	3.33243	2.95388	2.87655	2.77453	1.27188	1.6621	2.39365	3.48973	1.12401	1.87129	3	3	1
BDKRB2	1.21286	1.43916	2.08489	2.28607	1.44328	2.40942	1.14997	1.78374	1.64052	1.51429	1.80779	1.80085	2.46092	2.77457	0.601	1.34233	1.566	1.43402	1.69297	1.80471	4.05214	4.46298	1.0296	1.29619	2.26137	1.72517	1.33566	1.96281	1.27188	1.6621	1.60191	1.57625	1.12401	1.87129	2	2	1
APLNR	1.21286	1.43916	1.48324	1.14827	0.76665	1.56249	1.2602	1.26899	0.96179	1.72918	1.34584	2.06924	2.46092	2.77457	0.601	1.34233	2.1288	3.71946	1.24858	2.01712	2.15543	2.44354	2.25613	1.85963	2.42546	3.25278	2.14734	1.61264	1.40492	1.01397	1.90948	1.30637	2.07128	1.66457	4	3	1
MC3R	1.20034	1.77968	1.48324	1.14827	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	2.18331	1.24411	2.46092	2.77457	1.26903	0.9111	1.11164	1.60967	1.24858	2.01712	3.05421	2.85347	2.25613	1.85963	1.19396	1.79505	1.33566	1.96281	3.24886	4.18671	1.60191	1.57625	2.07128	1.66457	2	1	1
GPR4	1.21286	1.43916	3.12351	3.84551	1.44328	2.40942	1.14997	1.78374	1.64052	1.51429	1.34584	2.06924	2.44998	2.22705	0.601	1.34233	1.11164	1.60967	1.24858	2.01712	4.64168	5.85296	2.25613	1.85963	2.23564	2.22918	1.85892	2.10042	1.77661	1.22287	1.90948	1.30637	1.42714	1.72371	1	6	1
AVPR2	1.21286	1.43916	1.86927	1.49841	0.76665	1.56249	1.2602	1.26899	2.82245	2.10221	2.82349	1.87725	2.80808	2.28183	3.08357	3.57982	1.64399	1.3344	1.69297	1.80471	3.0611	3.68317	0.98117	1.46444	1.19396	1.79505	1.63413	2.27815	1.40492	1.01397	1.60191	1.57625	2.07128	1.66457	3	4	1
DRD5	2.69752	2.14156	1.43281	1.59782	0.76665	1.56249	1.2602	1.26899	0.96179	1.72918	1.80779	1.80085	1.5432	2.57424	0.601	1.34233	1.11164	1.60967	1.24858	2.01712	2.94498	3.14658	0.98117	1.46444	1.19396	1.79505	1.63413	2.27815	3.35546	5.08175	1.60191	1.57625	1.12401	1.87129	3	6	1
DRD2	2.69752	2.14156	1.48324	1.14827	1.78817	1.23809	1.2602	1.26899	0.96179	1.72918	2.18331	1.24411	1.5432	2.57424	0.601	1.34233	1.566	1.43402	2.28855	2.35991	1.97459	2.17931	1.0296	1.29619	1.19396	1.79505	1.33566	1.96281	1.27188	1.6621	1.60191	1.57625	1.12401	1.87129	1	2	1
CCKAR	1.20034	1.77968	1.86927	1.49841	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	3.00658	3.70483	2.67391	2.46863	0.601	1.34233	1.64399	1.3344	1.24858	2.01712	3.04139	3.15106	0.98117	1.46444	2.26137	1.72517	2.87655	2.77453	1.40492	1.01397	2.39365	3.48973	3.65769	3.59178	3	3	1
DRD1	2.69752	2.14156	1.48324	1.14827	0.76665	1.56249	1.85732	2.2204	0.96179	1.72918	2.18331	1.24411	1.5432	2.57424	0.601	1.34233	1.11164	1.60967	1.24858	2.01712	1.97459	2.17931	0.98117	1.46444	1.19396	1.79505	1.63413	2.27815	3.35546	5.08175	1.60191	1.57625	1.12401	1.87129	3	6	1
ADRB1	1.20034	1.77968	1.43281	1.59782	0.76665	1.56249	1.2602	1.26899	0.96179	1.72918	1.34584	2.06924	1.5432	2.57424	1.26903	0.9111	1.64399	1.3344	1.24858	2.01712	2.2179	2.13578	0.98117	1.46444	1.19396	1.79505	2.96574	2.80959	1.40492	1.01397	1.60191	1.57625	2.07128	1.66457	6	2	1
ADRB2	1.20034	1.77968	1.43281	1.59782	0.76665	1.56249	1.2602	1.26899	0.96179	1.72918	2.26593	2.17875	1.5432	2.57424	1.26903	0.9111	1.11164	1.60967	1.24858	2.01712	3.69521	3.87223	0.98117	1.46444	2.42546	3.25278	2.96574	2.80959	1.40492	1.01397	1.60191	1.57625	1.12401	1.87129	4	4	1
SSTR2	1.20034	1.77968	1.43281	1.59782	1.44328	2.40942	1.2602	1.26899	1.64052	1.51429	1.80779	1.80085	1.5432	2.57424	0.601	1.34233	1.566	1.43402	1.69297	1.80471	2.80178	3.30809	1.0296	1.29619	1.19396	1.79505	1.33566	1.96281	3.24886	4.18671	1.60191	1.57625	1.12401	1.87129	1	6	1
OPRD1	2.35342	2.83969	1.43281	1.59782	1.44328	2.40942	1.2602	1.26899	1.64052	1.51429	2.82349	1.87725	1.5432	2.57424	0.601	1.34233	1.11164	1.60967	1.69297	1.80471	1.97459	2.17931	1.0296	1.29619	1.80778	1.97993	1.63413	2.27815	1.77661	1.22287	2.39365	3.48973	1.12401	1.87129	4	3	1
OXTR	1.21286	1.43916	1.86927	1.49841	0.76665	1.56249	2.31859	3.14323	2.82245	2.10221	1.34584	2.06924	2.80808	2.28183	0.601	1.34233	1.64399	1.3344	2.34814	1.56843	1.97459	2.17931	0.98117	1.46444	1.80778	1.97993	1.33566	1.96281	1.77661	1.22287	1.60191	1.57625	2.78533	3.10074	3	3	1
LPAR2	1.20034	1.77968	1.43281	1.59782	1.78817	1.23809	1.14997	1.78374	1.64052	1.51429	1.34584	2.06924	2.15566	2.11076	1.26903	0.9111	1.11164	1.60967	1.24858	2.01712	1.97459	2.17931	0.98117	1.46444	1.80778	1.97993	1.63413	2.27815	1.77661	1.22287	3.59879	5.20201	1.42714	1.72371	4	5	1
AGTR1	2.15051	2.31135	1.43281	1.59782	0.76665	1.56249	1.14997	1.78374	1.64052	1.51429	2.18331	1.24411	2.35544	2.35102	0.601	1.34233	1.566	1.43402	1.69297	1.80471	3.39934	4.44421	0.98117	1.46444	3.29132	3.52131	2.87655	2.77453	3.24886	4.18671	3.90624	4.61809	1.12401	1.87129	1	3	1
LPAR1	2.35342	2.83969	1.43281	1.59782	1.78817	1.23809	2.31859	3.14323	1.64052	1.51429	5.15687	5.57807	2.46092	2.77457	1.26903	0.9111	1.566	1.43402	1.24858	2.01712	1.97459	2.17931	1.0296	1.29619	1.80778	1.97993	1.33566	1.96281	1.27188	1.6621	3.59879	5.20201	1.42714	1.72371	2	4	1
HTR1A	2.15051	2.31135	1.43281	1.59782	1.78817	1.23809	1.2602	1.26899	0.96179	1.72918	1.34584	2.06924	1.5432	2.57424	1.26903	0.9111	1.64399	1.3344	1.24858	2.01712	2.43522	2.91548	0.98117	1.46444	2.42546	3.25278	1.33566	1.96281	1.40492	1.01397	1.60191	1.57625	1.12401	1.87129	2	0	1
HTR1B	1.20034	1.77968	1.48324	1.14827	1.78817	1.23809	1.2602	1.26899	0.96179	1.72918	2.26593	2.17875	1.5432	2.57424	1.26903	0.9111	1.64399	1.3344	2.34814	1.56843	2.70888	1.65204	0.98117	1.46444	1.80778	1.97993	1.33566	1.96281	1.77661	1.22287	1.60191	1.57625	1.12401	1.87129	1	2	1
ADRA1A	1.20034	1.77968	1.48324	1.14827	1.44328	2.40942	1.2602	1.26899	1.64052	1.51429	2.18331	1.24411	1.5432	2.57424	0.601	1.34233	1.566	1.43402	1.69297	1.80471	1.97459	2.17931	1.0296	1.29619	4.58898	2.54024	1.63413	2.27815	1.40492	1.01397	1.60191	1.57625	2.07128	1.66457	8	9	0
BDKRB1	1.21286	1.43916	2.08489	2.28607	1.44328	2.40942	1.14997	1.78374	1.64052	1.51429	1.80779	1.80085	2.46092	2.77457	0.601	1.34233	5.22994	3.59792	1.69297	1.80471	1.97459	2.17931	2.25613	1.85963	1.80778	1.97993	1.85892	2.10042	1.77661	1.22287	1.90948	1.30637	2.78533	3.10074	1	2	0
ADORA2B	2.69752	2.14156	1.48324	1.14827	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	2.26593	2.17875	2.35544	2.35102	1.26903	0.9111	1.11164	1.60967	1.24858	2.01712	3.05421	2.85347	0.98117	1.46444	2.23564	2.22918	2.14734	1.61264	1.40492	1.01397	2.64763	2.94815	2.6368	2.25887	1	1	0
HRH2	2.69752	2.14156	1.48324	1.14827	0.76665	1.56249	1.2602	1.26899	0.96179	1.72918	2.18331	1.24411	1.5432	2.57424	0.601	1.34233	1.64399	1.3344	1.24858	2.01712	1.97459	2.17931	1.0296	1.29619	1.80778	1.97993	1.33566	1.96281	1.27188	1.6621	1.90948	1.30637	3.66069	2.1689	2	6	0
NPFFR2	2.69752	2.14156	1.48324	1.14827	0.76665	1.56249	1.2602	1.26899	1.64052	1.51429	2.18331	1.24411	2.80808	2.28183	1.26903	0.9111	1.11164	1.60967	1.69297	1.80471	2.70888	1.65204	1.0296	1.29619	2.26137	1.72517	1.33566	1.96281	1.40492	1.01397	1.82229	1.1437	3.66069	2.1689	1	5	0
ADORA2A	2.69752	2.14156	1.48324	1.14827	0.76665	1.56249	1.85732	2.2204	0.96179	1.72918	2.26593	2.17875	2.35544	2.35102	1.26903	0.9111	1.566	1.43402	1.24858	2.01712	2.70888	1.65204	0.98117	1.46444	2.26137	1.72517	2.14734	1.61264	1.40492	1.01397	1.82229	1.1437	1.12401	1.87129	1	3	0
LTB4R2	2.15051	2.31135	1.86927	1.49841	1.78817	1.23809	1.85732	2.2204	2.82245	2.10221	2.82349	1.87725	4.19419	3.58381	0.601	1.34233	1.64399	1.3344	1.24858	2.01712	4.64168	5.85296	0.98117	1.46444	1.80778	1.97993	4.53637	2.88654	1.40492	1.01397	1.90948	1.30637	2.6368	2.25887	0	7	0
GPR84	1.21286	1.43916	1.86927	1.49841	1.78817	1.23809	1.2602	1.26899	1.64052	1.51429	1.80779	1.80085	2.15566	2.11076	1.26903	0.9111	1.64399	1.3344	2.27712	2.11951	2.2179	2.13578	1.0296	1.29619	4.58898	2.54024	2.14734	1.61264	1.40492	1.01397	1.60191	1.57625	2.07128	1.66457	0	0	0
ADORA3	1.20034	1.77968	1.48324	1.14827	0.76665	1.56249	1.2602	1.26899	0.96179	1.72918	2.26593	2.17875	2.15566	2.11076	1.26903	0.9111	1.11164	1.60967	1.24858	2.01712	2.15543	2.44354	1.0296	1.29619	2.26137	1.72517	2.14734	1.61264	1.40492	1.01397	1.82229	1.1437	1.12401	1.87129	2	2	0
GPBAR1	3.83559	2.07178	1.43281	1.59782	0.76665	1.56249	3.70633	3.02103	0.96179	1.72918	1.34584	2.06924	4.61948	3.48985	6.02243	3.34818	5.16243	3.40368	3.06862	2.73719	2.70888	1.65204	4.01314	2.80569	2.26137	1.72517	4.53637	2.88654	1.40492	1.01397	1.90948	1.30637	2.6368	2.25887	1	2	0
MTNR1B	1.20034	1.77968	1.48324	1.14827	0.76665	1.56249	1.14997	1.78374	0.96179	1.72918	2.82349	1.87725	2.67391	2.46863	1.26903	0.9111	1.566	1.43402	2.27712	2.11951	2.70888	1.65204	1.0296	1.29619	2.23564	2.22918	2.14734	1.61264	1.27188	1.6621	1.82229	1.1437	4.76187	3.56113	1	0	0
