GPCR	169bip	169bin	194bip	194bin	269bip	269bin	276bip	276bin	301bip	301bin	309bip	309bin	381bip	381bin	655bip	655bin	658bip	658bin	671bip	671bin	702neg	730bip	730bin	O
P2RY2	1.07836	1.60796	1.77563	3.67818	0.45622	1.03245	0.81598	0.98907	1.81071	1.92012	3.86845	3.94301	2.28127	2.34237	1.09378	0.97821	1.85774	1.09435	1.68245	1.52163	1	1.63133	1.04804	1
F2R	1.11091	1.56768	1.77563	3.67818	0.45622	1.03245	0.81598	0.98907	1.81071	1.92012	3.19288	4.3354	1.32245	2.61718	1.09378	0.97821	2.04804	2.515	2.7634	3.46995	1	1.46825	1.67416	1
PTGER1	5.83935	5.46869	2.27836	1.95849	1.87541	0.927	0.81598	0.98907	1.81892	1.75762	1.47478	1.81458	2.3419	2.32157	0.98186	1.16934	1.85774	1.09435	3.27097	3.71158	0	1.63133	1.04804	1
HTR2A	1.11091	1.56768	0.99369	1.52637	0.45622	1.03245	0.94938	0.83219	1.81071	1.92012	1.80749	1.35924	2.26793	2.00339	1.09378	0.97821	2.13295	1.98822	1.68245	1.52163	1	1.76177	1.61108	1
FFAR4	1.07836	1.60796	2.27836	1.95849	0.45622	1.03245	0.94938	0.83219	1.81892	1.75762	2.52169	2.79442	2.53935	2.66939	2.169	2.25922	2.98795	3.40004	2.46091	2.51989	1	1.63133	1.04804	1
HTR2B	1.11091	1.56768	0.99369	1.52637	0.45622	1.03245	0.94938	0.83219	1.91116	2.10492	1.80749	1.35924	2.26793	2.00339	1.09378	0.97821	2.13295	1.98822	1.68245	1.52163	0	1.76177	1.61108	1
BDKRB1	1.07836	1.60796	0.99369	1.52637	0.45622	1.03245	2.62079	2.25542	1.81892	1.75762	1.47478	1.81458	3.20487	3.16001	2.169	2.25922	1.56225	2.21309	1.65689	1.99301	1	1.63133	1.04804	1
CHRM4	2.48331	2.31762	0.99369	1.52637	0.45622	1.03245	0.81598	0.98907	1.81071	1.92012	1.47478	1.81458	1.32245	2.61718	0.98186	1.16934	1.56225	2.21309	1.65689	1.99301	0	1.46825	1.67416	1
HRH1	1.07836	1.60796	1.46861	1.23113	2.99175	5.2198	0.81598	0.98907	2.51343	3.16054	3.3897	5.16669	1.32245	2.61718	0.98186	1.16934	1.56225	2.21309	1.65689	1.99301	0	1.63133	1.04804	1
CHRM3	1.11091	1.56768	0.99369	1.52637	0.45622	1.03245	0.94938	0.83219	1.81892	1.75762	1.47478	1.81458	1.32245	2.61718	0.98186	1.16934	1.56225	2.21309	1.65689	1.99301	0	1.76177	1.61108	1
CHRM1	1.07836	1.60796	0.99369	1.52637	0.45622	1.03245	0.81598	0.98907	1.81892	1.75762	1.47478	1.81458	1.32245	2.61718	0.98186	1.16934	1.56225	2.21309	1.65689	1.99301	0	1.46825	1.67416	1
FFAR2	1.07836	1.60796	0.99369	1.52637	0.45622	1.03245	0.81598	0.98907	1.91116	2.10492	3.92468	4.07611	3.31149	3.53144	2.98806	2.73713	3.81942	3.93697	1.65689	1.99301	0	1.63133	1.04804	1
GHSR	2.48331	2.31762	0.99369	1.52637	0.45622	1.03245	0.94938	0.83219	1.91116	2.10492	3.07458	3.0651	2.26793	2.00339	1.09378	0.97821	1.56225	2.21309	1.68245	1.52163	1	1.46825	1.67416	1
F2RL1	1.07836	1.60796	1.77563	3.67818	0.45622	1.03245	0.94938	0.83219	1.81071	1.92012	2.07591	2.23303	2.26793	2.00339	1.09378	0.97821	3.21785	3.64666	3.16473	3.37605	1	1.46825	1.67416	1
GPR68	1.07836	1.60796	0.99369	1.52637	0.45622	1.03245	0.81598	0.98907	1.91116	2.10492	2.91028	3.14058	2.3419	2.32157	2.98806	2.73713	2.04804	2.515	1.65689	1.99301	1	2.5344	3.0165	1
ADRA1A	1.11091	1.56768	1.46861	1.23113	0.45622	1.03245	0.81598	0.98907	3.16671	3.2769	1.80749	1.35924	1.32245	2.61718	1.09378	0.97821	3.16544	3.7336	1.68245	1.52163	0	1.46825	1.67416	1
BDKRB2	1.07836	1.60796	0.99369	1.52637	0.45622	1.03245	2.62079	2.25542	1.91116	2.10492	1.47478	1.81458	3.20487	3.16001	1.09378	0.97821	2.13295	1.98822	1.68245	1.52163	1	1.63133	1.04804	1
GPR4	1.07836	1.60796	0.99369	1.52637	0.45622	1.03245	0.81598	0.98907	1.91116	2.10492	2.52169	2.79442	2.53935	2.66939	2.169	2.25922	2.04804	2.515	1.65689	1.99301	1	2.5344	3.0165	1
AVPR2	1.07836	1.60796	1.46861	1.23113	2.90573	3.4042	0.94938	0.83219	1.91116	2.10492	1.47478	1.81458	1.32245	2.61718	0.98186	1.16934	1.85774	1.09435	1.68245	1.52163	0	3.16125	3.42578	1
CCKAR	1.11091	1.56768	0.99369	1.52637	0.45622	1.03245	0.94938	0.83219	1.81071	1.92012	1.80749	1.35924	2.28127	2.34237	0.98186	1.16934	2.13295	1.98822	2.46091	2.51989	1	1.76177	1.61108	1
ADRB1	1.11091	1.56768	1.46861	1.23113	1.87541	0.927	0.94938	0.83219	2.71444	2.60148	2.07591	2.23303	2.26793	2.00339	0.98186	1.16934	1.85774	1.09435	1.68245	1.52163	0	2.65122	3.42122	1
SSTR2	1.11091	1.56768	1.46861	1.23113	0.45622	1.03245	0.81598	0.98907	1.81071	1.92012	2.07591	2.23303	2.3419	2.32157	1.09378	0.97821	1.85774	1.09435	1.68245	1.52163	0	2.5344	3.0165	1
OXTR	1.07836	1.60796	1.77563	3.67818	0.45622	1.03245	0.94938	0.83219	1.81071	1.92012	2.52169	2.79442	2.92804	2.28604	0.98186	1.16934	1.56225	2.21309	1.68245	1.52163	0	3.55576	4.86784	1
LPAR2	1.11091	1.56768	0.99369	1.52637	1.87541	0.927	0.81598	0.98907	2.51343	3.16054	1.47478	1.81458	1.32245	2.61718	0.98186	1.16934	1.56225	2.21309	3.31575	4.39539	0	1.76177	1.61108	1
AGTR1	2.31719	2.07666	0.99369	1.52637	0.45622	1.03245	0.94938	0.83219	2.49844	1.75509	2.52169	2.79442	3.20487	3.16001	0.98186	1.16934	3.31671	3.33539	3.98462	3.97951	1	1.63133	1.04804	1
LPAR1	2.48331	2.31762	1.77563	3.67818	1.87541	0.927	0.81598	0.98907	1.91116	2.10492	3.20021	3.66353	1.32245	2.61718	1.09378	0.97821	1.56225	2.21309	3.31575	4.39539	0	3.23551	3.06161	1
GPR183	1.07836	1.60796	4.7487	3.41755	0.45622	1.03245	0.81598	0.98907	2.91926	3.39489	4.33525	3.94811	3.31149	3.53144	0.98186	1.16934	1.85774	1.09435	1.65689	1.99301	1	3.23551	3.06161	0
ADORA1	1.11091	1.56768	1.46861	1.23113	1.87541	0.927	0.81598	0.98907	2.51343	3.16054	2.07591	2.23303	3.20487	3.16001	0.98186	1.16934	2.13295	1.98822	2.43132	1.4422	0	3.23551	3.06161	0
ADORA3	1.11091	1.56768	1.46861	1.23113	1.87541	0.927	0.81598	0.98907	1.81892	1.75762	2.07591	2.23303	2.26793	2.00339	1.09378	0.97821	2.13295	1.98822	2.43132	1.4422	0	3.23551	3.06161	0
LTB4R2	2.31719	2.07666	2.27836	1.95849	0.45622	1.03245	0.81598	0.98907	1.81071	1.92012	1.47478	1.81458	2.92804	2.28604	0.98186	1.16934	1.56225	2.21309	1.65689	1.99301	1	1.76177	1.61108	0
MTNR1B	1.11091	1.56768	0.99369	1.52637	1.87541	0.927	0.94938	0.83219	1.81892	1.75762	2.52169	2.79442	2.53935	2.66939	1.09378	0.97821	2.04804	2.515	2.43132	1.4422	1	1.63133	1.04804	0
C5AR1	2.31719	2.07666	3.9213	3.14975	0.45622	1.03245	0.81598	0.98907	1.91116	2.10492	1.47478	1.81458	2.28127	2.34237	1.09378	0.97821	2.98795	3.40004	1.65689	1.99301	1	1.46825	1.67416	0
CCR5	1.11091	1.56768	0.99369	1.52637	2.90573	3.4042	0.81598	0.98907	2.49844	1.75509	2.52169	2.79442	2.53935	2.66939	0.98186	1.16934	1.85774	1.09435	1.65689	1.99301	1	1.46825	1.67416	0
CCR6	2.31719	2.07666	0.99369	1.52637	0.45622	1.03245	0.94938	0.83219	1.91116	2.10492	1.80749	1.35924	2.28127	2.34237	1.09378	0.97821	1.85774	1.09435	3.98462	3.97951	1	1.63133	1.04804	0
GPBAR1	3.82294	2.45829	3.9213	3.14975	5.82872	3.93268	0.81598	0.98907	1.81892	1.75762	3.20473	1.97497	3.96948	3.36798	3.83554	3.32905	2.13295	1.98822	1.65689	1.99301	0	5.20928	5.59961	0
PTGER3	2.48331	2.31762	1.46861	1.23113	1.87541	0.927	0.94938	0.83219	2.51343	3.16054	3.20473	1.97497	2.26793	2.00339	0.98186	1.16934	1.85774	1.09435	2.43132	1.4422	1	1.63133	1.04804	0
OPRL1	2.48331	2.31762	1.46861	1.23113	0.45622	1.03245	0.94938	0.83219	1.81071	1.92012	2.07591	2.23303	2.3419	2.32157	1.09378	0.97821	1.85774	1.09435	2.75593	2.53366	0	1.63133	1.04804	0
MC4R	1.11091	1.56768	1.46861	1.23113	1.87541	0.927	0.94938	0.83219	3.16671	3.2769	3.07458	3.0651	2.28127	2.34237	2.169	2.25922	1.85774	1.09435	1.68245	1.52163	1	1.46825	1.67416	0
CNR1	1.07836	1.60796	1.46861	1.23113	1.87541	0.927	0.94938	0.83219	1.81892	1.75762	1.80749	1.35924	3.00595	2.71701	0.98186	1.16934	1.85774	1.09435	2.43132	1.4422	0	1.76177	1.61108	0
ADORA2A	3.84496	2.08197	2.27836	1.95849	1.87541	0.927	0.94938	0.83219	2.49844	1.75509	1.80749	1.35924	3.20487	3.16001	0.98186	1.16934	2.13295	1.98822	2.43132	1.4422	0	1.76177	1.61108	0
ADORA2B	3.84496	2.08197	0.99369	1.52637	1.87541	0.927	0.94938	0.83219	1.91116	2.10492	1.80749	1.35924	3.20487	3.16001	0.98186	1.16934	2.04804	2.515	2.75593	2.53366	0	1.76177	1.61108	0
CNR2	1.07836	1.60796	1.46861	1.23113	1.87541	0.927	2.62079	2.25542	2.49844	1.75509	2.07591	2.23303	2.28127	2.34237	1.09378	0.97821	1.85774	1.09435	2.75593	2.53366	0	1.76177	1.61108	0
PTGER4	1.11091	1.56768	2.27836	1.95849	0.45622	1.03245	0.94938	0.83219	1.81071	1.92012	3.20473	1.97497	4.16895	3.00237	2.98806	2.73713	1.85774	1.09435	2.43132	1.4422	1	1.63133	1.04804	0
S1PR1	1.07836	1.60796	1.46861	1.23113	1.87541	0.927	3.73495	3.79586	1.81071	1.92012	1.47478	1.81458	2.92804	2.28604	1.09378	0.97821	1.85774	1.09435	2.43132	1.4422	0	3.16125	3.42578	0
PTGER2	5.83935	5.46869	2.27836	1.95849	1.87541	0.927	0.94938	0.83219	1.91116	2.10492	3.20473	1.97497	2.92804	2.28604	4.15044	3.51363	2.63367	2.47575	1.68245	1.52163	0	1.46825	1.67416	0
ADRA2B	1.11091	1.56768	0.99369	1.52637	0.45622	1.03245	0.81598	0.98907	2.71444	2.60148	1.80749	1.35924	2.26793	2.00339	1.09378	0.97821	1.85774	1.09435	1.68245	1.52163	0	1.63133	1.04804	0
ADRA2C	2.31719	2.07666	0.99369	1.52637	0.45622	1.03245	0.81598	0.98907	1.81071	1.92012	1.80749	1.35924	3.31149	3.53144	1.09378	0.97821	1.85774	1.09435	1.68245	1.52163	0	1.63133	1.04804	0
CXCR2	2.48331	2.31762	0.99369	1.52637	0.45622	1.03245	0.94938	0.83219	3.00442	2.95154	1.47478	1.81458	4.06574	3.66775	1.09378	0.97821	2.04804	2.515	1.65689	1.99301	1	1.63133	1.04804	0
HRH2	3.84496	2.08197	1.46861	1.23113	0.45622	1.03245	0.81598	0.98907	1.81892	1.75762	1.47478	1.81458	4.16895	3.00237	1.09378	0.97821	1.56225	2.21309	1.65689	1.99301	0	1.63133	1.04804	0
CXCR5	1.07836	1.60796	0.99369	1.52637	1.87541	0.927	0.94938	0.83219	2.71444	2.60148	1.47478	1.81458	4.49149	3.99704	1.09378	0.97821	2.04804	2.515	1.65689	1.99301	1	1.63133	1.04804	0
CXCR4	1.11091	1.56768	5.29131	3.9119	0.45622	1.03245	0.94938	0.83219	2.51343	3.16054	1.47478	1.81458	3.00595	2.71701	2.169	2.25922	1.56225	2.21309	1.65689	1.99301	1	1.63133	1.04804	0
GPR84	1.07836	1.60796	1.46861	1.23113	1.87541	0.927	0.94938	0.83219	3.00442	2.95154	3.07458	3.0651	3.67419	3.38422	1.09378	0.97821	3.16544	3.7336	1.68245	1.52163	0	1.46825	1.67416	0
HTR2C	1.11091	1.56768	0.99369	1.52637	0.45622	1.03245	0.94938	0.83219	2.49844	1.75509	2.07591	2.23303	2.26793	2.00339	1.09378	0.97821	1.85774	1.09435	1.68245	1.52163	1	1.46825	1.67416	0
MC3R	1.11091	1.56768	0.99369	1.52637	1.87541	0.927	0.94938	0.83219	1.81071	1.92012	3.86845	3.94301	5.17086	5.31895	2.169	2.25922	1.85774	1.09435	1.68245	1.52163	1	1.46825	1.67416	0
NPFFR2	3.84496	2.08197	1.46861	1.23113	1.87541	0.927	0.81598	0.98907	2.49844	1.75509	1.80749	1.35924	2.3419	2.32157	1.09378	0.97821	2.13295	1.98822	2.43132	1.4422	1	1.76177	1.61108	0
CHRM2	2.48331	2.31762	0.99369	1.52637	0.45622	1.03245	0.81598	0.98907	1.81071	1.92012	1.47478	1.81458	1.32245	2.61718	0.98186	1.16934	1.56225	2.21309	1.65689	1.99301	0	1.46825	1.67416	0
NPFFR1	3.84496	2.08197	1.46861	1.23113	1.87541	0.927	0.94938	0.83219	1.91116	2.10492	1.80749	1.35924	2.3419	2.32157	1.09378	0.97821	3.31671	3.33539	2.43132	1.4422	1	2.5344	3.0165	0
HCAR3	1.07836	1.60796	0.99369	1.52637	1.87541	0.927	0.81598	0.98907	1.81892	1.75762	1.47478	1.81458	2.3419	2.32157	1.09378	0.97821	1.85774	1.09435	2.46091	2.51989	1	1.63133	1.04804	0
HCAR2	1.07836	1.60796	0.99369	1.52637	1.87541	0.927	0.81598	0.98907	1.81892	1.75762	1.47478	1.81458	2.3419	2.32157	1.09378	0.97821	1.85774	1.09435	3.16473	3.37605	1	1.63133	1.04804	0
OPRM1	2.48331	2.31762	1.46861	1.23113	0.45622	1.03245	0.81598	0.98907	3.16671	3.2769	1.80749	1.35924	2.3419	2.32157	1.09378	0.97821	1.85774	1.09435	2.46091	2.51989	1	1.63133	1.04804	0
GPR65	1.07836	1.60796	0.99369	1.52637	1.87541	0.927	0.81598	0.98907	3.00442	2.95154	3.20473	1.97497	2.92804	2.28604	0.98186	1.16934	2.63367	2.47575	1.68245	1.52163	1	2.5344	3.0165	0
OPRK1	2.48331	2.31762	1.46861	1.23113	0.45622	1.03245	0.81598	0.98907	3.16671	3.2769	2.07591	2.23303	2.3419	2.32157	1.09378	0.97821	1.85774	1.09435	2.46091	2.51989	0	1.63133	1.04804	0
FFAR3	1.07836	1.60796	0.99369	1.52637	0.45622	1.03245	0.81598	0.98907	1.81071	1.92012	3.92468	4.07611	1.32245	2.61718	2.98806	2.73713	3.81942	3.93697	1.65689	1.99301	1	1.76177	1.61108	0
MTNR1A	1.11091	1.56768	2.27836	1.95849	1.87541	0.927	0.94938	0.83219	1.81892	1.75762	2.52169	2.79442	2.53935	2.66939	1.09378	0.97821	2.13295	1.98822	2.43132	1.4422	1	1.63133	1.04804	0
APLNR	1.07836	1.60796	1.46861	1.23113	0.45622	1.03245	0.94938	0.83219	1.91116	2.10492	1.47478	1.81458	2.92804	2.28604	2.169	2.25922	2.63367	2.47575	1.65689	1.99301	1	1.63133	1.04804	0
NPY5R	1.07836	1.60796	1.46861	1.23113	1.87541	0.927	0.94938	0.83219	2.71444	2.60148	1.80749	1.35924	2.28127	2.34237	2.169	2.25922	1.85774	1.09435	2.43132	1.4422	1	1.63133	1.04804	0
DRD5	3.84496	2.08197	1.46861	1.23113	0.45622	1.03245	0.94938	0.83219	1.81892	1.75762	1.80749	1.35924	2.26793	2.00339	0.98186	1.16934	1.85774	1.09435	1.68245	1.52163	1	1.63133	1.04804	0
DRD2	3.84496	2.08197	1.46861	1.23113	0.45622	1.03245	0.81598	0.98907	2.49844	1.75509	1.80749	1.35924	2.26793	2.00339	1.09378	0.97821	1.85774	1.09435	1.68245	1.52163	0	1.76177	1.61108	0
DRD1	3.84496	2.08197	2.27836	1.95849	0.45622	1.03245	0.94938	0.83219	1.91116	2.10492	1.80749	1.35924	2.26793	2.00339	0.98186	1.16934	1.85774	1.09435	1.68245	1.52163	1	1.63133	1.04804	0
ADRB2	1.11091	1.56768	1.46861	1.23113	1.87541	0.927	0.94938	0.83219	3.58655	3.33975	2.91028	3.14058	2.26793	2.00339	0.98186	1.16934	2.63367	2.47575	1.68245	1.52163	0	2.65122	3.42122	0
OPRD1	2.48331	2.31762	1.46861	1.23113	0.45622	1.03245	0.81598	0.98907	3.16671	3.2769	2.07591	2.23303	2.3419	2.32157	1.09378	0.97821	1.56225	2.21309	2.46091	2.51989	1	1.63133	1.04804	0
HTR1D	1.07836	1.60796	1.46861	1.23113	1.87541	0.927	0.94938	0.83219	2.49844	1.75509	1.80749	1.35924	2.92804	2.28604	0.98186	1.16934	1.56225	2.21309	1.68245	1.52163	0	1.46825	1.67416	0
HTR1A	2.31719	2.07666	1.46861	1.23113	1.87541	0.927	0.94938	0.83219	1.81892	1.75762	1.80749	1.35924	2.92804	2.28604	0.98186	1.16934	2.63367	2.47575	1.68245	1.52163	0	1.63133	1.04804	0
HTR1B	1.11091	1.56768	1.46861	1.23113	1.87541	0.927	0.94938	0.83219	1.81892	1.75762	1.80749	1.35924	2.92804	2.28604	0.98186	1.16934	1.56225	2.21309	1.68245	1.52163	0	1.46825	1.67416	0
