GPCR	166bip	166bin	169bip	169bin	171bip	171bin	186bip	186bin	194bip	194bin	262bip	262bin	267bip	267bin	269bip	269bin	378bip	378bin	413bip	413bin	418bip	418bin	655bip	655bin	671bip	671bin	730bip	730bin	IP_Z_6qno	IP_Z_6vms	D_CTL	L_CTL	O
EDNRA	2.19068	2.7804	1.16765	1.86124	1.93411	4.90416	1.7621	1.73431	1.26125	1.56935	1.11891	2.41179	1.32589	1.50096	0.63659	1.22679	3.86271	5.62377	3.08046	2.9253	4.51167	5.058	2.2919	1.95273	1.52283	2.35256	1.602	1.86256	-0.558	0.899	3	3	1
PTGER3	2.19068	2.7804	2.31836	2.97814	2.38341	4.63094	1.78788	2.34888	1.26125	1.56935	1.93103	2.21029	1.32589	1.50096	1.18634	1.15449	2.25383	3.07621	1.18171	1.52418	2.99379	4.40647	1.09607	1.05952	1.52283	2.35256	1.19262	1.78966	-1.149	0.263	1	8	1
CYSLTR2	2.67928	3.47455	1.3451	1.34415	1.46291	3.03692	2.9733	3.3842	2.43702	2.72619	1.18669	1.09707	1.94264	1.27405	0.63659	1.22679	3.12563	4.49461	1.18171	1.52418	4.51167	5.058	2.41422	3.77658	1.77956	1.90446	3.42841	2.34734	-0.707	-0.982	1	3	1
OPRL1	3.83318	3.44684	2.31836	2.97814	1.46291	3.03692	1.78788	2.34888	1.26125	1.56935	2.99975	2.66065	1.32589	1.50096	0.63659	1.22679	1.92038	1.35394	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	2.62696	2.84717	1.19262	1.78966	-0.821	-1.054	4	3	1
CYSLTR1	2.67928	3.47455	1.16765	1.86124	1.46291	3.03692	1.78788	2.34888	2.43702	2.72619	1.18669	1.09707	1.32589	1.50096	0.63659	1.22679	3.12563	4.49461	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	1.77956	1.90446	3.42841	2.34734	0.03	-1.301	0	3	1
CNR1	1.60559	1.60941	1.16765	1.86124	1.46291	3.03692	1.7621	1.73431	1.26125	1.56935	1.11891	2.41179	2.11249	2.28361	1.18634	1.15449	2.4484	3.11757	2.22621	1.2848	1.86807	2.05187	1.09607	1.05952	1.52283	2.35256	1.5769	1.76604	0.904	1.999	5	5	1
CNR2	2.01515	1.53351	1.16765	1.86124	2.38341	4.63094	1.7621	1.73431	1.26125	1.56935	1.11891	2.41179	2.11249	2.28361	1.18634	1.15449	2.04059	1.14967	2.22621	1.2848	2.1864	1.92033	0.93514	1.4328	2.62696	2.84717	1.5769	1.76604	1.088	2.006	5	5	1
P2RY2	2.19068	2.7804	1.16765	1.86124	1.93411	4.90416	3.81189	6.11878	2.43702	2.72619	1.18669	1.09707	2.77072	3.00502	0.63659	1.22679	3.24054	4.21506	1.18171	1.52418	1.86807	2.05187	0.93514	1.4328	2.10057	0.77293	1.19262	1.78966	0.668	-0.483	6	6	1
F2R	1.95851	1.72982	1.3451	1.34415	1.46291	3.03692	1.78788	2.34888	2.43702	2.72619	1.18669	1.09707	1.94264	1.27405	0.63659	1.22679	2.61368	3.61104	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	3.07558	3.90487	1.602	1.86256	-4.029	-2.57	2	5	1
PTGER4	1.60559	1.60941	1.3451	1.34415	1.46291	3.03692	2.3534	2.72467	1.96457	2.05732	1.93103	2.21029	1.32589	1.50096	0.63659	1.22679	2.4484	3.11757	3.03315	5.07728	2.55937	3.53002	2.41422	3.77658	1.52283	2.35256	1.19262	1.78966	2.267	0.873	7	21	1
S1PR1	1.95851	1.72982	1.16765	1.86124	2.75657	3.60488	2.37737	1.49604	1.26125	1.56935	1.11891	2.41179	1.32589	1.50096	1.18634	1.15449	2.04059	1.14967	2.13352	1.84212	3.14606	2.40809	0.93514	1.4328	1.52283	2.35256	3.4035	2.89334	1.219	1.382	4	1	1
GPR183	1.60559	1.60941	1.16765	1.86124	1.46291	3.03692	4.07104	4.62446	3.70124	3.65372	1.11891	2.41179	2.77072	3.00502	0.63659	1.22679	2.04059	1.14967	1.18171	1.52418	4.51167	5.058	1.09607	1.05952	1.77956	1.90446	3.3669	2.66358	-0.443	-0.331	0	1	1
ADRA2A	2.01515	1.53351	1.3451	1.34415	1.85598	0.36776	1.78788	2.34888	1.29217	1.53124	1.18669	1.09707	1.32589	1.50096	0.63659	1.22679	1.92038	1.35394	2.22621	1.2848	2.35475	2.72605	0.93514	1.4328	2.10057	0.77293	1.19262	1.78966	-0.923	2.46	1	0	1
ADRA2B	2.19068	2.7804	1.3451	1.34415	1.85598	0.36776	1.7621	1.73431	1.29217	1.53124	1.18669	1.09707	1.32589	1.50096	0.63659	1.22679	2.04059	1.14967	2.22621	1.2848	3.51365	4.22497	0.93514	1.4328	2.10057	0.77293	1.19262	1.78966	-0.471	1.392	1	1	1
ADRA2C	2.01515	1.53351	2.09446	2.52805	1.85598	0.36776	1.7621	1.73431	1.29217	1.53124	1.18669	1.09707	1.32589	1.50096	0.63659	1.22679	2.04059	1.14967	2.22621	1.2848	2.35475	2.72605	0.93514	1.4328	2.10057	0.77293	1.19262	1.78966	-1.381	2.433	1	1	1
CXCR2	2.94619	3.61852	2.31836	2.97814	1.46291	3.03692	1.7621	1.73431	1.29217	1.53124	1.18669	1.09707	2.77072	3.00502	0.63659	1.22679	1.92038	1.35394	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	1.77956	1.90446	1.19262	1.78966	-1.066	-1.435	2	6	1
GPR68	3.83318	3.44684	1.16765	1.86124	3.41557	5.48256	1.7621	1.73431	1.29217	1.53124	1.11891	2.41179	2.77072	3.00502	0.63659	1.22679	3.12563	4.49461	2.13352	1.84212	4.51167	5.058	2.41422	3.77658	1.77956	1.90446	2.77302	2.40681	-1.621	0.262	1	9	1
HTR2C	1.95851	1.72982	1.3451	1.34415	1.85598	0.36776	2.37737	1.49604	1.29217	1.53124	1.18669	1.09707	1.32589	1.50096	0.63659	1.22679	2.04059	1.14967	1.18171	1.52418	1.86807	2.05187	0.93514	1.4328	2.10057	0.77293	1.602	1.86256	0.186	1.479	1	6	1
CXCR4	2.67928	3.47455	1.3451	1.34415	1.46291	3.03692	1.7621	1.73431	4.18551	4.3058	1.11891	2.41179	3.45844	3.67087	0.63659	1.22679	2.25383	3.07621	1.18171	1.52418	4.51167	5.058	2.2919	1.95273	1.77956	1.90446	1.19262	1.78966	-2.195	-0.612	0	4	1
GPR84	2.01515	1.53351	1.16765	1.86124	1.85598	0.36776	1.7621	1.73431	1.26125	1.56935	1.18669	1.09707	2.11249	2.28361	1.18634	1.15449	2.34842	2.8147	2.13352	1.84212	1.86807	2.05187	0.93514	1.4328	2.10057	0.77293	1.602	1.86256	0.024	0.202	0	2	1
CHRM4	1.95851	1.72982	2.31836	2.97814	2.2426	2.50377	2.2757	1.75222	1.29217	1.53124	1.11891	2.41179	2.40681	2.4542	0.63659	1.22679	2.25383	3.07621	2.91984	4.03071	2.1864	1.92033	1.09607	1.05952	1.77956	1.90446	1.602	1.86256	-0.277	1.555	0	4	1
OPRK1	2.94619	3.61852	2.31836	2.97814	1.46291	3.03692	1.78788	2.34888	1.26125	1.56935	1.18669	1.09707	3.39204	3.23527	0.63659	1.22679	1.92038	1.35394	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	2.36784	3.43097	1.19262	1.78966	-0.747	-1.233	5	3	1
CXCR5	2.01515	1.53351	1.16765	1.86124	1.93411	4.90416	1.7621	1.73431	1.29217	1.53124	3.94905	3.1593	2.77072	3.00502	1.18634	1.15449	2.25383	3.07621	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	1.77956	1.90446	1.19262	1.78966	-1.191	-0.833	1	8	1
NPFFR2	2.43695	2.43646	2.55889	2.12748	1.93411	4.90416	2.37737	1.49604	1.26125	1.56935	1.11891	2.41179	1.32589	1.50096	1.18634	1.15449	2.34842	2.8147	1.18171	1.52418	1.86807	2.05187	0.93514	1.4328	1.52283	2.35256	1.5769	1.76604	0.436	-1.207	0	9	1
HRH1	1.60559	1.60941	1.16765	1.86124	1.85598	0.36776	2.37737	1.49604	1.26125	1.56935	1.18669	1.09707	2.40681	2.4542	3.41095	5.15995	2.08742	1.8818	2.13352	1.84212	2.99379	4.40647	1.09607	1.05952	1.77956	1.90446	1.19262	1.78966	0.171	2.456	0	2	1
CHRM3	1.95851	1.72982	1.3451	1.34415	2.2426	2.50377	1.78788	2.34888	1.29217	1.53124	1.11891	2.41179	1.94264	1.27405	0.63659	1.22679	2.25383	3.07621	2.61122	3.67703	2.35475	2.72605	1.09607	1.05952	1.77956	1.90446	1.5769	1.76604	0.874	2.685	1	5	1
CHRM2	1.95851	1.72982	2.31836	2.97814	2.2426	2.50377	2.2757	1.75222	1.29217	1.53124	1.11891	2.41179	2.40681	2.4542	0.63659	1.22679	2.25383	3.07621	2.91984	4.03071	2.38215	2.11849	1.09607	1.05952	1.77956	1.90446	1.602	1.86256	0.427	1.762	0	3	1
CHRM1	1.60559	1.60941	1.16765	1.86124	2.2426	2.50377	1.78788	2.34888	1.29217	1.53124	1.11891	2.41179	2.11249	2.28361	0.63659	1.22679	2.25383	3.07621	2.61122	3.67703	1.86807	2.05187	1.09607	1.05952	1.77956	1.90446	1.602	1.86256	-0.717	2.309	2	5	1
NPFFR1	2.43695	2.43646	2.55889	2.12748	1.93411	4.90416	2.37737	1.49604	1.26125	1.56935	1.11891	2.41179	1.32589	1.50096	1.18634	1.15449	2.34842	2.8147	1.18171	1.52418	3.76904	4.50912	0.93514	1.4328	1.52283	2.35256	2.77302	2.40681	0.709	-0.693	2	9	1
HCAR3	2.67928	3.47455	1.16765	1.86124	1.93411	4.90416	3.81189	6.11878	1.29217	1.53124	1.18669	1.09707	1.94264	1.27405	1.18634	1.15449	3.56843	5.01461	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	2.36784	3.43097	1.19262	1.78966	-3.382	-1.589	2	7	1
HCAR2	2.67928	3.47455	1.16765	1.86124	1.93411	4.90416	3.81189	6.11878	1.29217	1.53124	1.18669	1.09707	1.94264	1.27405	1.18634	1.15449	3.56843	5.01461	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	3.151	4.05372	1.19262	1.78966	-3.318	-1.604	2	5	1
OPRM1	3.41943	3.60509	2.31836	2.97814	1.46291	3.03692	1.78788	2.34888	1.26125	1.56935	1.18669	1.09707	2.7421	3.41645	0.63659	1.22679	1.92038	1.35394	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	2.36784	3.43097	1.19262	1.78966	-0.85	-1.208	3	4	1
FFAR2	1.60559	1.60941	1.16765	1.86124	1.85598	0.36776	2.2757	1.75222	1.29217	1.53124	2.99975	2.66065	3.28606	4.36483	0.63659	1.22679	2.04059	1.14967	3.08046	2.9253	4.51167	5.058	2.41422	3.77658	1.77956	1.90446	1.19262	1.78966	-1.398	0.364	3	4	1
FFAR3	1.60559	1.60941	1.16765	1.86124	1.46291	3.03692	1.7621	1.73431	1.29217	1.53124	3.20477	2.75416	1.32589	1.50096	0.63659	1.22679	2.04059	1.14967	1.18171	1.52418	4.51167	5.058	2.41422	3.77658	1.77956	1.90446	1.5769	1.76604	-1.855	-0.198	2	5	1
GHSR	1.60559	1.60941	2.31836	2.97814	1.46291	3.03692	1.7621	1.73431	1.29217	1.53124	1.11891	2.41179	1.32589	1.50096	0.63659	1.22679	2.08742	1.8818	1.18171	1.52418	3.24275	4.06286	0.93514	1.4328	2.10057	0.77293	1.602	1.86256	-1.13	1.318	1	4	1
MTNR1A	1.60559	1.60941	1.3451	1.34415	2.2426	2.50377	1.7621	1.73431	1.96457	2.05732	1.18669	1.09707	3.28606	4.36483	1.18634	1.15449	1.92038	1.35394	2.13352	1.84212	2.1864	1.92033	0.93514	1.4328	1.52283	2.35256	1.19262	1.78966	-0.305	0.848	4	4	1
F2RL1	2.67928	3.47455	1.16765	1.86124	1.46291	3.03692	1.78788	2.34888	2.43702	2.72619	1.18669	1.09707	2.77072	3.00502	0.63659	1.22679	3.12563	4.49461	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	3.151	4.05372	1.602	1.86256	-2.912	-0.399	2	3	1
FFAR4	2.01515	1.53351	1.16765	1.86124	2.38341	4.63094	1.7621	1.73431	1.96457	2.05732	1.18669	1.09707	1.32589	1.50096	0.63659	1.22679	2.08742	1.8818	2.91984	4.03071	2.27971	1.50942	2.2919	1.95273	2.36784	3.43097	1.19262	1.78966	0.01	-0.044	2	3	1
BDKRB1	1.60559	1.60941	1.16765	1.86124	1.46291	3.03692	3.70188	3.15383	1.29217	1.53124	1.18669	1.09707	1.32589	1.50096	0.63659	1.22679	2.08742	1.8818	1.18171	1.52418	4.51167	5.058	2.2919	1.95273	1.77956	1.90446	1.19262	1.78966	-1.53	-0.185	0	4	1
BDKRB2	1.95851	1.72982	1.16765	1.86124	1.46291	3.03692	4.75333	5.7934	1.29217	1.53124	1.18669	1.09707	2.11249	2.28361	0.63659	1.22679	2.4484	3.11757	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	2.10057	0.77293	1.19262	1.78966	-0.043	-0.181	1	2	1
APLNR	2.67928	3.47455	1.16765	1.86124	2.75657	3.60488	1.7621	1.73431	1.26125	1.56935	1.11891	2.41179	3.28606	4.36483	0.63659	1.22679	2.08742	1.8818	2.46469	2.02538	4.51167	5.058	2.2919	1.95273	1.77956	1.90446	1.19262	1.78966	0.122	-0.818	2	2	1
NPY5R	1.60559	1.60941	1.16765	1.86124	1.85598	0.36776	1.78788	2.34888	1.26125	1.56935	2.99975	2.66065	3.33492	3.16575	1.18634	1.15449	1.92038	1.35394	2.46469	2.02538	2.27971	1.50942	2.2919	1.95273	1.52283	2.35256	1.19262	1.78966	0.923	0.755	1	4	1
DRD2	2.01515	1.53351	2.55889	2.12748	1.85598	0.36776	2.2757	1.75222	1.26125	1.56935	1.18669	1.09707	1.32589	1.50096	0.63659	1.22679	2.08742	1.8818	1.18171	1.52418	3.24275	4.06286	0.93514	1.4328	2.10057	0.77293	1.5769	1.76604	-0.32	2.489	0	2	1
CCKAR	2.43695	2.43646	1.3451	1.34415	1.46291	3.03692	1.7621	1.73431	1.29217	1.53124	2.99975	2.66065	1.32589	1.50096	0.63659	1.22679	2.34842	2.8147	2.46469	2.02538	1.86807	2.05187	1.09607	1.05952	2.36784	3.43097	1.5769	1.76604	1.301	1.049	0	2	1
LPAR2	1.60559	1.60941	1.3451	1.34415	1.85598	0.36776	2.37737	1.49604	1.29217	1.53124	1.11891	2.41179	1.32589	1.50096	1.18634	1.15449	2.61368	3.61104	2.13352	1.84212	2.1864	1.92033	1.09607	1.05952	3.95731	3.22674	1.5769	1.76604	0.044	1.826	2	6	1
SSTR2	2.43695	2.43646	1.3451	1.34415	1.46291	3.03692	1.78788	2.34888	1.26125	1.56935	1.18669	1.09707	1.94264	1.27405	0.63659	1.22679	1.92038	1.35394	2.13352	1.84212	4.51167	5.058	0.93514	1.4328	2.10057	0.77293	2.77302	2.40681	-0.693	-0.995	6	7	1
OPRD1	2.01515	1.53351	2.31836	2.97814	4.06725	2.8836	1.78788	2.34888	1.26125	1.56935	1.18669	1.09707	3.39204	3.23527	0.63659	1.22679	1.92038	1.35394	1.18171	1.52418	4.51167	5.058	0.93514	1.4328	2.36784	3.43097	1.19262	1.78966	-0.441	-1.71	3	2	1
HTR1D	2.19068	2.7804	1.16765	1.86124	2.75657	3.60488	2.37737	1.49604	1.26125	1.56935	1.18669	1.09707	1.94264	1.27405	1.18634	1.15449	1.92038	1.35394	2.22621	1.2848	2.38215	2.11849	1.09607	1.05952	2.10057	0.77293	1.602	1.86256	-1.335	2.287	0	0	1
AGTR1	2.94619	3.61852	2.09446	2.52805	1.46291	3.03692	1.78788	2.34888	1.29217	1.53124	1.11891	2.41179	2.77072	3.00502	0.63659	1.22679	2.04059	1.14967	1.18171	1.52418	4.51167	5.058	1.09607	1.05952	3.90194	4.43497	1.19262	1.78966	-0.765	0.078	1	6	1
HCRTR2	2.01515	1.53351	2.55889	2.12748	1.85598	0.36776	1.7621	1.73431	1.26125	1.56935	1.11891	2.41179	2.77072	3.00502	1.18634	1.15449	1.92038	1.35394	1.18171	1.52418	3.60927	4.14367	0.93514	1.4328	2.36784	3.43097	2.77302	2.40681	0.0	0.482	2	8	1
HTR1A	2.19068	2.7804	2.09446	2.52805	1.85598	0.36776	2.2757	1.75222	1.26125	1.56935	1.18669	1.09707	1.32589	1.50096	1.18634	1.15449	1.92038	1.35394	2.22621	1.2848	2.38215	2.11849	1.09607	1.05952	2.10057	0.77293	1.19262	1.78966	-1.172	2.002	1	0	1
HTR1B	2.19068	2.7804	1.3451	1.34415	2.75657	3.60488	2.37737	1.49604	1.26125	1.56935	1.18669	1.09707	1.94264	1.27405	1.18634	1.15449	2.08742	1.8818	2.22621	1.2848	2.38215	2.11849	1.09607	1.05952	2.10057	0.77293	1.602	1.86256	-1.571	2.162	1	1	1
PTGFR	5.12144	5.15467	5.84066	5.33092	5.17281	6.85744	1.78788	2.34888	3.44008	2.75204	1.93103	2.21029	1.94264	1.27405	1.18634	1.15449	2.04059	1.14967	1.18171	1.52418	4.51167	5.058	1.09607	1.05952	2.10057	0.77293	1.19262	1.78966	0.233	1.541	0	8	0
ADORA1	2.01515	1.53351	1.3451	1.34415	1.85598	0.36776	1.7621	1.73431	1.26125	1.56935	1.18669	1.09707	1.32589	1.50096	1.18634	1.15449	2.08742	1.8818	2.46469	2.02538	2.27971	1.50942	1.09607	1.05952	1.52283	2.35256	3.3669	2.66358	2.521	1.448	5	2	0
GNRHR	5.12144	5.15467	5.84066	5.33092	5.17281	6.85744	4.91206	6.11878	1.29217	1.53124	3.20477	2.75416	1.94264	1.27405	0.63659	1.22679	2.25383	3.07621	1.18171	1.52418	2.27971	1.50942	4.65172	3.06747	1.77956	1.90446	3.42841	2.34734	-0.109	0.237	0	1	0
GPBAR1	1.60559	1.60941	3.7879	1.88875	4.06725	2.8836	1.7621	1.73431	3.57659	3.05688	1.93103	2.21029	2.11249	2.28361	5.99638	3.39908	2.04059	1.14967	2.22621	1.2848	2.27971	1.50942	4.03761	2.91206	1.77956	1.90446	5.46603	5.05471	-1.007	-0.786	4	11	0
MC4R	1.95851	1.72982	1.3451	1.34415	1.85598	0.36776	2.37737	1.49604	1.26125	1.56935	1.18669	1.09707	3.33492	3.16575	1.18634	1.15449	2.4484	3.11757	1.18171	1.52418	4.51167	5.058	2.2919	1.95273	2.10057	0.77293	1.602	1.86256	0.207	1.206	1	5	0
ADORA2A	2.01515	1.53351	2.55889	2.12748	1.85598	0.36776	2.2757	1.75222	1.96457	2.05732	1.18669	1.09707	1.32589	1.50096	1.18634	1.15449	2.08742	1.8818	2.22621	1.2848	2.27971	1.50942	1.09607	1.05952	1.52283	2.35256	1.5769	1.76604	0.431	1.47	5	12	0
ADORA2B	2.01515	1.53351	2.55889	2.12748	1.85598	0.36776	2.2757	1.75222	1.29217	1.53124	1.18669	1.09707	1.32589	1.50096	1.18634	1.15449	2.08742	1.8818	2.22621	1.2848	4.51167	5.058	1.09607	1.05952	2.62696	2.84717	1.5769	1.76604	0.453	1.977	2	4	0
PTGER2	5.12144	5.15467	5.84066	5.33092	5.17281	6.85744	3.70188	3.15383	1.96457	2.05732	3.72476	3.00012	1.32589	1.50096	1.18634	1.15449	2.04059	1.14967	3.08046	2.9253	3.14606	2.40809	4.40258	2.94695	2.10057	0.77293	1.602	1.86256	1.264	1.714	3	6	0
HRH2	2.01515	1.53351	2.55889	2.12748	1.85598	0.36776	1.7621	1.73431	1.26125	1.56935	1.18669	1.09707	3.39204	3.23527	0.63659	1.22679	2.04059	1.14967	2.22621	1.2848	1.86807	2.05187	0.93514	1.4328	1.77956	1.90446	1.19262	1.78966	0.431	1.598	2	7	0
HTR2B	2.43695	2.43646	1.3451	1.34415	1.85598	0.36776	2.2757	1.75222	1.29217	1.53124	1.18669	1.09707	1.32589	1.50096	0.63659	1.22679	2.04059	1.14967	1.18171	1.52418	1.86807	2.05187	0.93514	1.4328	2.10057	0.77293	1.5769	1.76604	0.265	0.466	3	8	0
HTR2A	1.95851	1.72982	1.3451	1.34415	1.85598	0.36776	2.2757	1.75222	1.29217	1.53124	1.18669	1.09707	1.32589	1.50096	0.63659	1.22679	2.04059	1.14967	1.18171	1.52418	1.86807	2.05187	0.93514	1.4328	2.10057	0.77293	1.5769	1.76604	0.266	0.553	5	7	0
MC3R	1.95851	1.72982	1.3451	1.34415	1.85598	0.36776	2.37737	1.49604	1.29217	1.53124	1.18669	1.09707	1.32589	1.50096	1.18634	1.15449	5.09413	5.62377	2.22621	1.2848	2.1864	1.92033	2.2919	1.95273	2.10057	0.77293	1.602	1.86256	-0.985	1.94	0	4	0
GPR65	1.95851	1.72982	1.16765	1.86124	1.46291	3.03692	2.3534	2.72467	1.29217	1.53124	2.99975	2.66065	2.77072	3.00502	1.18634	1.15449	2.04059	1.14967	2.13352	1.84212	4.51167	5.058	1.09607	1.05952	2.10057	0.77293	2.77302	2.40681	-1.406	0.51	2	4	0
ADRA1A	1.95851	1.72982	1.3451	1.34415	2.2426	2.50377	2.37737	1.49604	1.26125	1.56935	1.18669	1.09707	2.40681	2.4542	0.63659	1.22679	2.04059	1.14967	2.22621	1.2848	3.14606	2.40809	0.93514	1.4328	2.10057	0.77293	1.602	1.86256	1.037	0.342	4	7	0
GPR4	3.83318	3.44684	1.16765	1.86124	1.85598	0.36776	1.7621	1.73431	1.29217	1.53124	1.18669	1.09707	2.77072	3.00502	0.63659	1.22679	2.04059	1.14967	2.13352	1.84212	2.1864	1.92033	2.2919	1.95273	1.77956	1.90446	2.77302	2.40681	-1.318	-0.053	3	10	0
AVPR2	2.67928	3.47455	1.16765	1.86124	1.85598	0.36776	2.37737	1.49604	1.26125	1.56935	3.94905	3.1593	1.32589	1.50096	3.23275	3.01307	2.34842	2.8147	2.46469	2.02538	2.27971	1.50942	1.09607	1.05952	2.10057	0.77293	3.4035	2.89334	-0.922	0.46	2	5	0
DRD5	2.01515	1.53351	2.55889	2.12748	1.85598	0.36776	1.7621	1.73431	1.26125	1.56935	1.18669	1.09707	1.94264	1.27405	0.63659	1.22679	1.92038	1.35394	2.22621	1.2848	2.38215	2.11849	1.09607	1.05952	2.10057	0.77293	1.19262	1.78966	0.238	1.498	9	5	0
DRD1	2.43695	2.43646	2.55889	2.12748	1.85598	0.36776	1.7621	1.73431	1.96457	2.05732	1.18669	1.09707	1.94264	1.27405	0.63659	1.22679	1.92038	1.35394	2.22621	1.2848	2.38215	2.11849	1.09607	1.05952	2.10057	0.77293	1.19262	1.78966	0.235	1.978	5	11	0
ADRB1	2.01515	1.53351	1.3451	1.34415	1.85598	0.36776	2.2757	1.75222	1.26125	1.56935	1.18669	1.09707	1.94264	1.27405	1.18634	1.15449	1.92038	1.35394	2.22621	1.2848	2.1864	1.92033	1.09607	1.05952	2.10057	0.77293	3.42841	2.34734	-1.375	2.134	11	6	0
ADRB2	2.01515	1.53351	1.3451	1.34415	1.85598	0.36776	2.2757	1.75222	1.26125	1.56935	1.18669	1.09707	1.94264	1.27405	1.18634	1.15449	1.92038	1.35394	2.22621	1.2848	2.27971	1.50942	1.09607	1.05952	2.10057	0.77293	3.42841	2.34734	0.145	1.589	6	9	0
OXTR	2.19068	2.7804	1.16765	1.86124	1.85598	0.36776	2.37737	1.49604	2.43702	2.72619	2.99975	2.66065	2.11249	2.28361	0.63659	1.22679	2.34842	2.8147	2.46469	2.02538	2.27971	1.50942	1.09607	1.05952	2.10057	0.77293	4.1575	3.50271	0.253	1.395	0	7	0
LPAR1	1.60559	1.60941	2.31836	2.97814	1.85598	0.36776	2.37737	1.49604	2.43702	2.72619	1.11891	2.41179	1.32589	1.50096	1.18634	1.15449	2.08742	1.8818	2.13352	1.84212	2.35475	2.72605	0.93514	1.4328	3.95731	3.22674	3.3669	2.66358	-0.454	2.191	3	3	0
