GPCR	169bip	169bin	172bip	172bin	194bip	194bin	249bip	249bin	262bip	262bin	378bip	378bin	391bip	391bin	420neg	656bip	656bin	671bip	671bin	730bip	730bin	733bip	733bin	G_CTL	L_CTL	Q_CTL	Y_CTL	O
GPR183	1.34838	1.39335	1.29856	1.7785	3.49401	4.80392	1.88839	1.99645	1.2285	2.58381	2.03773	1.12776	1.15455	1.4657	0	2.25283	2.36556	1.73301	1.63901	2.93674	3.60506	2.92925	2.96437	2	1	2	1	1
ADRA2A	1.55096	1.19103	1.36251	1.2661	1.39744	1.11963	1.88839	1.99645	1.26442	0.9871	1.60984	1.97963	2.17221	2.59484	1	2.25283	2.36556	1.97624	0.67507	1.29172	1.61526	1.57316	1.88262	1	0	0	0	1
ADRA2B	1.55096	1.19103	1.36251	1.2661	1.39744	1.11963	1.92469	1.5301	1.26442	0.9871	2.03773	1.12776	2.17221	2.59484	1	2.25283	2.36556	1.97624	0.67507	1.29172	1.61526	1.57316	1.88262	0	1	2	0	1
ADRA2C	2.12584	2.35894	1.36251	1.2661	1.39744	1.11963	1.92469	1.5301	1.26442	0.9871	2.03773	1.12776	2.17221	2.59484	1	2.14627	2.05826	1.97624	0.67507	1.29172	1.61526	1.57316	1.88262	1	1	2	0	1
AVPR1A	1.34838	1.39335	2.0018	1.56011	1.3735	1.24943	1.92469	1.5301	3.07268	2.68797	2.54201	2.10446	2.17221	2.59484	1	1.60952	1.8041	1.97624	0.67507	4.09718	3.5496	3.12318	2.11413	2	2	4	1	1
LTB4R2	2.12584	2.35894	2.0018	1.56011	2.41182	1.59728	2.25337	2.40978	1.2285	2.58381	3.26706	3.93206	1.15455	1.4657	0	1.60952	1.8041	1.73301	1.63901	1.62642	1.71045	1.57316	1.88262	20	11	3	1	1
GPR68	1.34838	1.39335	4.1427	4.40295	1.39744	1.11963	1.92469	1.5301	1.2285	2.58381	3.14068	4.21976	2.87749	3.15606	0	1.60952	1.8041	1.73301	1.63901	2.72866	2.49681	1.57316	1.88262	10	9	2	1	1
HTR2C	1.55096	1.19103	1.36251	1.2661	1.39744	1.11963	1.92469	1.5301	1.26442	0.9871	2.03773	1.12776	2.32727	1.20428	1	2.90444	2.01945	1.97624	0.67507	1.6553	1.56644	1.83157	1.24751	2	6	2	4	1
CXCR4	1.55096	1.19103	3.65745	3.63149	4.02398	5.33372	2.25337	2.40978	1.2285	2.58381	2.22633	2.9126	1.15455	1.4657	0	2.25283	2.36556	1.73301	1.63901	1.29172	1.61526	1.33789	1.63075	5	4	1	0	1
CHRM4	2.25394	3.76674	1.29856	1.7785	1.39744	1.11963	1.28512	1.92568	1.2285	2.58381	2.22633	2.9126	1.15455	1.4657	1	1.34999	2.20818	1.73301	1.63901	1.6553	1.56644	2.69385	3.49759	1	4	1	1	1
CXCR5	1.34838	1.39335	2.0018	1.56011	1.39744	1.11963	3.06995	3.2781	3.71546	3.11153	2.22633	2.9126	1.15455	1.4657	0	3.20811	2.53295	1.73301	1.63901	1.29172	1.61526	3.24079	3.53007	3	8	1	0	1
NPFFR2	2.75029	2.01683	1.36251	1.2661	1.3735	1.24943	1.88839	1.99645	1.2285	2.58381	2.54201	2.10446	2.17221	2.59484	0	2.40371	2.64512	1.71314	2.02567	1.62642	1.71045	1.33789	1.63075	3	9	9	2	1
HRH1	1.34838	1.39335	1.36251	1.2661	1.3735	1.24943	2.26562	2.47126	1.26442	0.9871	1.98162	2.22748	1.15455	1.4657	1	2.14627	2.05826	1.73301	1.63901	1.29172	1.61526	1.83157	1.24751	0	2	0	0	1
CHRM3	1.55096	1.19103	1.97094	3.06299	1.39744	1.11963	1.28512	1.92568	1.2285	2.58381	2.22633	2.9126	2.55332	3.73231	1	1.34999	2.20818	1.73301	1.63901	1.62642	1.71045	1.57316	1.88262	0	5	7	1	1
CHRM2	2.25394	3.76674	1.29856	1.7785	1.39744	1.11963	1.28512	1.92568	1.2285	2.58381	2.22633	2.9126	1.15455	1.4657	1	1.34999	2.20818	1.73301	1.63901	1.6553	1.56644	2.69385	3.49759	1	3	0	1	1
CHRM1	1.34838	1.39335	1.97094	3.06299	1.39744	1.11963	1.28512	1.92568	1.2285	2.58381	2.22633	2.9126	1.15455	1.4657	1	1.34999	2.20818	1.73301	1.63901	1.6553	1.56644	3.24079	3.53007	1	5	1	0	1
NPFFR1	2.75029	2.01683	1.36251	1.2661	1.3735	1.24943	3.22889	3.53787	1.2285	2.58381	2.54201	2.10446	2.17221	2.59484	0	2.40371	2.64512	1.71314	2.02567	2.72866	2.49681	1.33789	1.63075	13	9	1	2	1
HCAR3	1.34838	1.39335	1.97094	3.06299	1.39744	1.11963	1.28512	1.92568	1.26442	0.9871	3.58286	4.7467	1.15455	1.4657	0	2.40371	2.64512	2.33819	3.88747	1.29172	1.61526	1.57316	1.88262	7	7	3	2	1
HCAR2	1.34838	1.39335	1.97094	3.06299	1.39744	1.11963	1.28512	1.92568	1.26442	0.9871	3.58286	4.7467	1.15455	1.4657	0	2.40371	2.64512	3.13057	4.7663	1.29172	1.61526	1.57316	1.88262	5	5	1	2	1
OPRM1	2.25394	3.76674	1.29856	1.7785	1.3735	1.24943	1.88839	1.99645	1.26442	0.9871	1.60984	1.97963	2.55332	3.73231	0	1.60952	1.8041	2.33819	3.88747	1.29172	1.61526	1.57316	1.88262	0	4	4	0	1
OPRK1	2.25394	3.76674	1.29856	1.7785	1.3735	1.24943	1.88839	1.99645	1.26442	0.9871	1.60984	1.97963	2.32727	1.20428	0	1.60952	1.8041	2.33819	3.88747	1.29172	1.61526	1.33789	1.63075	1	3	2	1	1
FFAR3	1.34838	1.39335	1.97094	3.06299	1.39744	1.11963	1.28512	1.92568	3.07268	2.68797	2.03773	1.12776	1.76098	1.92428	0	1.34999	2.20818	1.73301	1.63901	1.62642	1.71045	2.92925	2.96437	9	5	8	1	1
GHSR	2.25394	3.76674	1.36251	1.2661	1.39744	1.11963	1.28512	1.92568	1.2285	2.58381	1.98162	2.22748	1.15455	1.4657	1	1.60952	1.8041	1.97624	0.67507	1.6553	1.56644	1.33789	1.63075	1	4	1	1	1
MTNR1A	1.55096	1.19103	1.36251	1.2661	2.41182	1.59728	1.92469	1.5301	1.26442	0.9871	1.60984	1.97963	1.76098	1.92428	0	2.90444	2.01945	1.71314	2.02567	1.29172	1.61526	1.33789	1.63075	1	4	1	1	1
F2RL1	1.34838	1.39335	1.97094	3.06299	2.39744	3.0535	1.92469	1.5301	1.26442	0.9871	3.14068	4.21976	2.87749	3.15606	0	1.34999	2.20818	3.13057	4.7663	1.6553	1.56644	2.92925	2.96437	0	3	2	3	1
FFAR4	1.34838	1.39335	1.36251	1.2661	2.41182	1.59728	1.28512	1.92568	1.26442	0.9871	1.98162	2.22748	1.76098	1.92428	1	2.14627	2.05826	2.33819	3.88747	1.29172	1.61526	1.33789	1.63075	2	3	0	0	1
BDKRB1	1.34838	1.39335	1.97094	3.06299	1.39744	1.11963	1.92469	1.5301	1.26442	0.9871	1.98162	2.22748	1.15455	1.4657	0	1.60952	1.8041	1.73301	1.63901	1.29172	1.61526	1.57316	1.88262	1	4	2	1	1
BDKRB2	1.34838	1.39335	1.97094	3.06299	1.39744	1.11963	1.92469	1.5301	1.26442	0.9871	3.10642	2.34785	1.15455	1.4657	0	1.34999	2.20818	1.97624	0.67507	1.29172	1.61526	1.83157	1.24751	6	2	6	1	1
APLNR	1.34838	1.39335	1.36251	1.2661	1.3735	1.24943	1.28512	1.92568	1.2285	2.58381	1.98162	2.22748	1.76098	1.92428	0	1.60952	1.8041	1.73301	1.63901	1.29172	1.61526	2.92925	2.96437	9	2	5	2	1
F2R	1.55096	1.19103	1.97094	3.06299	2.39744	3.0535	2.26562	2.47126	1.26442	0.9871	2.67293	3.39403	1.76098	1.92428	0	2.90444	2.01945	3.09489	4.71658	1.6553	1.56644	1.83157	1.24751	1	5	2	6	1
NPY5R	1.34838	1.39335	2.0018	1.56011	1.3735	1.24943	1.88839	1.99645	3.01293	2.4109	1.60984	1.97963	1.15455	1.4657	1	2.25283	2.36556	1.71314	2.02567	1.29172	1.61526	1.33789	1.63075	2	4	0	0	1
DRD2	2.75029	2.01683	1.36251	1.2661	1.3735	1.24943	1.88839	1.99645	1.26442	0.9871	1.98162	2.22748	1.76098	1.92428	1	1.34999	2.20818	1.97624	0.67507	1.62642	1.71045	1.33789	1.63075	0	2	0	0	1
CCKAR	1.55096	1.19103	2.0018	1.56011	1.39744	1.11963	3.06995	3.2781	3.01293	2.4109	2.54201	2.10446	2.32727	1.20428	1	1.60952	1.8041	2.33819	3.88747	1.62642	1.71045	1.33789	1.63075	8	2	1	1	1
LPAR2	1.55096	1.19103	1.29856	1.7785	1.39744	1.11963	1.28512	1.92568	1.2285	2.58381	2.67293	3.39403	1.76098	1.92428	1	1.34999	2.20818	3.54397	5.39699	1.62642	1.71045	2.69385	3.49759	3	6	2	1	1
ADRB1	1.55096	1.19103	1.29856	1.7785	1.3735	1.24943	1.28512	1.92568	1.26442	0.9871	1.60984	1.97963	1.76098	1.92428	1	2.14627	2.05826	1.97624	0.67507	3.11003	2.63194	1.33789	1.63075	9	6	1	0	1
SSTR2	1.55096	1.19103	1.29856	1.7785	1.3735	1.24943	1.92469	1.5301	1.26442	0.9871	1.60984	1.97963	1.76098	1.92428	0	1.60952	1.8041	1.97624	0.67507	2.72866	2.49681	1.33789	1.63075	3	7	4	0	1
OPRD1	2.25394	3.76674	1.29856	1.7785	1.3735	1.24943	2.25337	2.40978	1.26442	0.9871	1.60984	1.97963	1.76098	1.92428	0	1.60952	1.8041	2.33819	3.88747	1.29172	1.61526	1.57316	1.88262	5	2	1	0	1
HTR1D	1.34838	1.39335	1.29856	1.7785	1.3735	1.24943	1.88839	1.99645	1.26442	0.9871	1.60984	1.97963	2.32727	1.20428	1	1.34999	2.20818	1.97624	0.67507	1.6553	1.56644	1.33789	1.63075	0	0	2	0	1
AGTR1	2.12584	2.35894	1.29856	1.7785	1.39744	1.11963	1.88839	1.99645	1.2285	2.58381	2.03773	1.12776	2.87749	3.15606	0	1.60952	1.8041	3.86326	4.49534	1.29172	1.61526	1.83157	1.24751	2	6	1	3	1
LPAR1	2.25394	3.76674	1.29856	1.7785	2.39744	3.0535	5.34918	5.04726	1.2285	2.58381	1.98162	2.22748	5.30745	5.4302	1	1.34999	2.20818	3.54397	5.39699	2.93674	3.60506	1.33789	1.63075	3	3	2	1	1
HTR1A	2.12584	2.35894	1.29856	1.7785	1.3735	1.24943	1.28512	1.92568	1.26442	0.9871	1.60984	1.97963	2.32727	1.20428	1	2.14627	2.05826	1.97624	0.67507	1.29172	1.61526	1.57316	1.88262	0	0	2	1	1
HTR1B	1.55096	1.19103	1.36251	1.2661	1.3735	1.24943	2.26562	2.47126	1.26442	0.9871	1.98162	2.22748	2.87749	3.15606	1	1.34999	2.20818	1.97624	0.67507	1.6553	1.56644	1.33789	1.63075	0	1	1	0	1
ADRA1A	1.55096	1.19103	1.36251	1.2661	1.3735	1.24943	1.88839	1.99645	1.26442	0.9871	2.03773	1.12776	1.15455	1.4657	1	1.60952	1.8041	1.97624	0.67507	1.6553	1.56644	1.33789	1.63075	7	7	9	2	0
ADORA2A	2.75029	2.01683	1.36251	1.2661	2.41182	1.59728	2.26562	2.47126	1.26442	0.9871	1.98162	2.22748	1.15455	1.4657	1	1.60952	1.8041	1.71314	2.02567	1.62642	1.71045	2.92925	2.96437	16	12	7	2	0
ADORA2B	2.75029	2.01683	1.36251	1.2661	1.39744	1.11963	2.26562	2.47126	1.26442	0.9871	1.98162	2.22748	1.15455	1.4657	0	1.60952	1.8041	2.6298	3.11531	1.62642	1.71045	1.33789	1.63075	5	4	3	3	0
HRH2	2.75029	2.01683	1.36251	1.2661	1.3735	1.24943	1.88839	1.99645	1.26442	0.9871	2.03773	1.12776	1.15455	1.4657	1	2.14627	2.05826	1.73301	1.63901	1.29172	1.61526	1.33789	1.63075	3	7	8	1	0
GPR4	1.34838	1.39335	3.5098	2.78694	1.39744	1.11963	1.28512	1.92568	1.26442	0.9871	2.03773	1.12776	2.87749	3.15606	0	2.25283	2.36556	1.73301	1.63901	2.72866	2.49681	1.33789	1.63075	3	10	5	0	0
PTGER4	1.55096	1.19103	2.0018	1.56011	2.41182	1.59728	4.18128	2.49242	2.21179	2.03295	3.10642	2.34785	2.32727	1.20428	1	3.8404	2.68643	1.71314	2.02567	1.29172	1.61526	3.12318	2.11413	16	21	7	0	0
AVPR2	1.34838	1.39335	2.0018	1.56011	1.3735	1.24943	2.25337	2.40978	3.71546	3.11153	2.54201	2.10446	2.17221	2.59484	1	1.60952	1.8041	1.97624	0.67507	3.33938	2.94427	3.12318	2.11413	2	5	1	0	0
DRD5	2.75029	2.01683	1.29856	1.7785	1.3735	1.24943	1.92469	1.5301	1.26442	0.9871	1.60984	1.97963	2.32727	1.20428	1	2.14627	2.05826	1.97624	0.67507	1.29172	1.61526	1.57316	1.88262	6	5	5	3	0
GPBAR1	2.47108	2.87836	1.29856	1.7785	3.50686	3.07233	1.28512	1.92568	2.21179	2.03295	2.03773	1.12776	1.15455	1.4657	1	2.14627	2.05826	1.73301	1.63901	5.35338	5.17147	5.25306	5.46784	8	11	5	3	0
PTGER2	5.47377	5.634	5.59488	5.25083	2.41182	1.59728	4.18128	2.49242	3.601	2.98013	2.03773	1.12776	2.32727	1.20428	1	3.20811	2.53295	1.97624	0.67507	1.6553	1.56644	3.12318	2.11413	0	6	4	0	0
DRD1	2.75029	2.01683	1.36251	1.2661	2.41182	1.59728	1.88839	1.99645	1.26442	0.9871	1.60984	1.97963	2.32727	1.20428	1	2.14627	2.05826	1.97624	0.67507	1.29172	1.61526	1.33789	1.63075	6	11	3	3	0
ADRB2	1.55096	1.19103	1.29856	1.7785	1.3735	1.24943	2.26562	2.47126	1.26442	0.9871	1.60984	1.97963	1.76098	1.92428	1	2.14627	2.05826	1.97624	0.67507	3.11003	2.63194	1.83157	1.24751	9	9	5	3	0
GPR65	1.34838	1.39335	4.09068	3.09381	1.39744	1.11963	4.53494	3.40494	3.01293	2.4109	2.03773	1.12776	2.32727	1.20428	0	3.20811	2.53295	1.97624	0.67507	2.72866	2.49681	1.33789	1.63075	2	4	2	1	0
HTR2A	1.55096	1.19103	1.36251	1.2661	1.39744	1.11963	1.92469	1.5301	1.26442	0.9871	2.03773	1.12776	2.32727	1.20428	1	2.90444	2.01945	1.97624	0.67507	1.62642	1.71045	1.83157	1.24751	3	7	8	4	0
MC3R	1.55096	1.19103	1.36251	1.2661	1.39744	1.11963	1.88839	1.99645	1.26442	0.9871	5.15474	5.35263	2.17221	2.59484	1	1.34999	2.20818	1.97624	0.67507	1.6553	1.56644	1.83157	1.24751	3	4	0	0	0
HTR2B	1.55096	1.19103	1.36251	1.2661	1.39744	1.11963	2.25337	2.40978	1.26442	0.9871	2.03773	1.12776	3.56488	2.86887	1	2.90444	2.01945	1.97624	0.67507	1.62642	1.71045	1.83157	1.24751	4	8	3	5	0
FFAR2	1.34838	1.39335	1.97094	3.06299	1.39744	1.11963	1.28512	1.92568	3.01293	2.4109	2.03773	1.12776	2.32727	1.20428	0	1.34999	2.20818	1.73301	1.63901	1.29172	1.61526	1.83157	1.24751	10	4	3	1	0
GNRHR	5.47377	5.634	5.59488	5.25083	1.39744	1.11963	1.92469	1.5301	3.07268	2.68797	2.22633	2.9126	2.32727	1.20428	1	2.40371	2.64512	1.73301	1.63901	3.11003	2.63194	1.83157	1.24751	1	1	0	1	0
OXTR	1.34838	1.39335	2.0018	1.56011	2.39744	3.0535	1.28512	1.92568	3.01293	2.4109	2.54201	2.10446	1.76098	1.92428	1	1.60952	1.8041	1.97624	0.67507	4.09718	3.5496	3.12318	2.11413	3	7	3	1	0
GPR84	1.34838	1.39335	2.0018	1.56011	1.3735	1.24943	1.92469	1.5301	1.26442	0.9871	2.54201	2.10446	1.15455	1.4657	1	2.90444	2.01945	1.97624	0.67507	1.6553	1.56644	1.57316	1.88262	2	2	2	1	0
MC4R	1.55096	1.19103	1.29856	1.7785	1.3735	1.24943	1.92469	1.5301	1.26442	0.9871	3.10642	2.34785	1.76098	1.92428	0	2.25283	2.36556	1.97624	0.67507	1.6553	1.56644	1.83157	1.24751	2	5	1	2	0
