#GENE	ACC	ID	NAME	PC	SC
MC4R	Q0Z8I9	MC4R_VULVU	-	Gs	G protein (identity unknown)
MC5R	P41983	MC5R_SHEEP	-	Gs	G protein (identity unknown)
MTNR1A	P48040	MTR1A_SHEEP	-	Gi/Go	Gq/G11
MTNR1B	P49286	MTR1B_HUMAN	MT2 receptor	Gi/Go	
GRM1	Q13255	GRM1_HUMAN	mGlu1 receptor	Gq/G11	Gs, Gi/Go, G protein independent mechanism
GRM2	Q14416	GRM2_HUMAN	mGlu2 receptor	Gi/Go	
GRM3	Q5RAL3	GRM3_PONAB	-	Gi/Go	
GRM4	Q1ZZH0	GRM4_MACFA	-	Gi/Go	
GRM5	P41594	GRM5_HUMAN	mGlu5 receptor	Gq/G11	Gs, Gi/Go
GRM6	Q863I4	GRM6_RABIT	-	Gi/Go	Gi/Go
GRM7	Q5RDQ8	GRM7_PONAB	-	Gi/Go	Gi/Go
GRM8	O00222	GRM8_HUMAN	mGlu8 receptor	Gi/Go	
MLNR	O43193	MTLR_HUMAN	motilin receptor	Gq/G11, G12/G13	
NMUR1	Q9HB89	NMUR1_HUMAN	NMU1 receptor	Gq/G11	
NMUR2	Q9GZQ4	NMUR2_HUMAN	NMU2 receptor	Gq/G11	
NPFFR1	Q9GZQ6	NPFF1_HUMAN	NPFF1 receptor	Gi/Go	
NPFFR2	Q9Y5X5	NPFF2_HUMAN	NPFF2 receptor	Gi/Go	
NPSR1	Q56H79	NPSR1_MACMU	-	Gq/G11	Gs
NPBWR1	P48145	NPBW1_HUMAN	NPBW1 receptor	Gi/Go	
NPBWR2	P48146	NPBW2_HUMAN	NPBW2 receptor	Gi/Go	
NPY1R	Q28602	NPY1R_SHEEP	-	Gi/Go	
NPY2R	P79211	NPY2R_SHEEP	-	Gi/Go	Gq/G11
NPY4R	P50391	NPY4R_HUMAN	Y4 receptor	Gi/Go	Gq/G11
NPY5R	O97969	NPY5R_PIG	-	Gi/Go	
NTSR1	P30989	NTR1_HUMAN	NTS1 receptor	Gq/G11	Gs, Gi/Go
NTSR2	O95665	NTR2_HUMAN	NTS2 receptor	Gq/G11	
HCAR1	Q9BXC0	HCAR1_HUMAN	HCA1 receptor	Gi/Go	
HCAR2	Q8TDS4	HCAR2_HUMAN	HCA2 receptor	Gi/Go	
HCAR3	P49019	HCAR3_HUMAN	HCA3 receptor	Gi/Go	
OPRD1	P79291	OPRD_PIG	-	Gi/Go	
OPRK1	P41145	OPRK_HUMAN	&kappa; receptor	Gi/Go	Gi/Go, G12/G13
OPRM1	Q5IS84	OPRM_SAIBB	-	Gi/Go	Gq/G11
OPRL1	P79292	OPRX_PIG	-	Gi/Go	Gi/Go
HCRTR1	O97661	OX1R_PIG	-	Gs, Gi/Go, Gq/G11	
HCRTR2	O62809	OX2R_PIG	-	Gs, Gi/Go, Gq/G11	
P2RY1	P49652	P2RY1_MELGA	-	Gq/G11	Gi/Go
P2RY2	Q5YA25	P2RY2_PIG	-	Gq/G11	Gi/Go, G12/G13
P2RY4	Q99PE4	P2RY4_MERUN	-	Gq/G11	
P2RY6	Q15077	P2RY6_HUMAN	P2Y6 receptor	Gq/G11	G12/G13
P2RY11	Q96G91	P2Y11_HUMAN	P2Y11 receptor	Gq/G11	Gs
P2RY12	Q95KC3	P2Y12_MACFA	-		
P2RY13	Q9BE53	P2Y13_MACFA	-	Gi/Go	
P2RY14	Q15391	P2Y14_HUMAN	P2Y14 receptor	Gi/Go	Gi/Go
PTH1R	Q5RAQ1	PTH1R_PONAB	-	Gs	Gq/G11
QRFPR	Q96P65	QRFPR_HUMAN	QRFP receptor	Gi/Go, Gq/G11	
PTAFR	Q9XSD4	PTAFR_PIG	-	Gi/Go, Gq/G11, G protein independent mechanism	
PROKR1	Q8TCW9	PKR1_HUMAN	PKR1	Gq/G11	Gs
PROKR2	Q8NFJ6	PKR2_HUMAN	PKR2	Gq/G11	Gs, Gi/Go
PTGDR	Q13258	PD2R_HUMAN	DP1 receptor	Gs	
PTGDR2	Q9Y5Y4	PD2R2_HUMAN	DP2 receptor	Gi/Go	
PTGER1	P34995	PE2R1_HUMAN	EP1 receptor	Gq/G11	Gi/Go
PTGER2	P43116	PE2R2_HUMAN	EP2 receptor	Gs	
PTGER3	Q28550	PE2R3_SHEEP	-	Gi/Go	Gq/G11
PTGER4	Q28691	PE2R4_RABIT	-	Gs	Gi/Go
PTGFR	Q28905	PF2R_SHEEP	-	Gq/G11	Gs
PTGIR	P43119	PI2R_HUMAN	IP receptor	Gs	Gi/Go, Gq/G11
TBXA2R	P21731	TA2R_HUMAN	TP receptor	Gq/G11	
RXFP1	Q5R5V8	RXFP1_PONAB	-	Gs, Gi/Go	Gs, Gi/Go
RXFP2	Q8WXD0	RXFP2_HUMAN	RXFP2	Gs, Gi/Go	
RXFP3	Q9NSD7	RL3R1_HUMAN	RXFP3	Gi/Go	
RXFP4	Q8TDU9	RL3R2_HUMAN	RXFP4	Gi/Go	Gi/Go
SSTR1	P30872	SSR1_HUMAN	SST1 receptor	Gi/Go	G protein (identity unknown)
SSTR2	P34994	SSR2_PIG	-	Gi/Go, G protein independent mechanism, G protein (identity unknown)	Gi/Go, Gq/G11, G protein independent mechanism, G protein (identity unknown)
SSTR3	P32745	SSR3_HUMAN	SST3 receptor	Gi/Go	Gq/G11, G protein (identity unknown)
SSTR4	P31391	SSR4_HUMAN	SST4 receptor	Gi/Go	Gi/Go, G protein (identity unknown)
SSTR5	P35346	SSR5_HUMAN	SST5 receptor	Gi/Go	Gi/Go, Gq/G11
TACR1	Q5DUB1	NK1R_MERUN	-	Gs, Gq/G11	
TACR2	P79218	NK2R_RABIT	-	Gs, Gq/G11	
TACR3	O97512	NK3R_RABIT	-	Gq/G11	
TRHR	Q28596	TRHR_SHEEP	-	Gq/G11	
TAAR1	Q5QD29	TAAR1_PANTR	-	Gs	Gq/G11
UTS2R	Q8HYC3	UR2R_MACMU	-	Gq/G11	
AVPR1A	P48043	V1AR_SHEEP	-	Gq/G11	
AVPR1B	P47901	V1BR_HUMAN	V1B receptor	Gq/G11	
AVPR2	P32307	V2R_PIG	-	Gs	
OXTR	Q28756	OXYR_SHEEP	-	Gq/G11	Gi/Go
ADCYAP1R1	P41586	PACR_HUMAN	PAC1 receptor	Gs, Gq/G11	G protein (identity unknown)
VIPR1	Q91085	VIPR_MELGA	-	Gs	Gi/Go, Gq/G11, G protein (identity unknown)
VIPR2	P41587	VIPR2_HUMAN	VPAC2 receptor	Gs	G protein (identity unknown)
