#GENE	ACC	ID	NAME	GNAS	GNAL	GNAI1	GNAI3	GNAO1	GNAZ	GNAQ	GNA14	GNA15	GNA12	GNA13
DRD4	Q6TLJ0	DRD4_MUSPF	-	-2.00000	-2.00000	-0.42642	0.00000	-0.48391	-0.38653	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
DRD5	Q95195	DRD5_MACMU	-	-0.03414	0.00000	-0.45799	-0.61187	-0.41597	-0.88439	-0.24088	-0.11900	-1.85059	-0.59274	-0.57531
EDNRA	Q95L55	EDNRA_SHEEP	-	-0.60978	-0.80233	-0.01976	-0.12175	-0.59388	-0.34189	-0.12482	0.00000	-0.63507	-0.03439	-0.50938
EDNRB	Q9N0W7	EDNRB_RABIT	-	-0.90170	-0.97912	0.00000	-0.01599	-0.58184	-0.41713	-0.64804	-0.47648	-0.41020	-0.05182	-0.48085
F2R	P56488	PAR1_PAPHA	-	-2.00000	-2.00000	-0.01509	-0.09276	-0.34689	-0.66831	-0.20379	-0.47284	0.00000	-0.01933	-0.21679
F2RL1	P55085	PAR2_HUMAN	PAR2	-0.99296	-1.09287	0.00000	-0.08868	-0.32386	-0.42488	-0.12112	-0.19247	-0.23932	-0.09800	-0.13944
F2RL2	O00254	PAR3_HUMAN	PAR3	-0.57820	-0.78877	-0.48789	-0.14516	-0.75148	-1.28972	-1.35600	-0.69769	-0.24882	0.00000	-0.64797
F2RL3	Q96RI0	PAR4_HUMAN	PAR4	-0.62413	-0.65353	-0.09549	0.00000	-0.43363	-0.99356	-0.11211	-0.34041	-1.16999	-0.17126	-0.00296
FFAR1	Q76JU8	FFAR1_MESAU	-	-0.33747	-0.31796	-0.40774	-2.00000	-0.35187	-1.04288	0.00000	-2.00000	-1.25291	-0.91188	-1.14906
FFAR2	O15552	FFAR2_HUMAN	FFA2 receptor	-0.56904	-0.62901	-2.00000	-1.34467	-0.61633	-1.63035	-0.07402	-2.00000	-0.15375	0.00000	-0.06484
FFAR3	O14843	FFAR3_HUMAN	FFA3 receptor	-2.00000	-2.00000	0.00000	-0.15895	-1.05005	-1.11411	-2.00000	-1.92133	-1.93413	-0.41889	-1.03584
FFAR4	C8YUV0	FFAR4_MACFA	-	-0.46563	-0.64311	0.00000	-0.08270	-0.34676	-0.38244	-0.53213	-0.38919	-1.49496	-0.65820	-0.76965
FPR1	Q05394	FPR1_RABIT	-	-2.00000	-2.00000	-0.92480	0.00000	-1.84148	-2.00000	-1.93606	-0.77280	-2.00000	-2.00000	-2.00000
FPR2	P79236	FPR2_PONPY	-	-2.00000	-1.92165	-1.01685	-0.18374	-1.30214	-1.44066	-1.40928	0.00000	-1.90229	-1.73311	-1.58952
GALR1	P47211	GALR1_HUMAN	GAL1 receptor	-1.99464	-1.90210	-0.36209	0.00000	-0.82745	-1.49690	-1.44263	-1.47781	-1.94473	-1.64084	-1.87373
GALR2	O43603	GALR2_HUMAN	GAL2 receptor	-2.00000	-2.00000	-0.86135	-0.22468	-1.06708	-1.93482	0.00000	-0.34256	-0.86787	-0.32421	-0.81602
GALR3	O60755	GALR3_HUMAN	GAL3 receptor	-2.00000	-2.00000	-0.30325	0.00000	-0.10511	-0.17536	-1.84103	-0.58584	-1.86702	-2.00000	-2.00000
GHSR	A5A4K9	GHSR_RABIT	-	-0.37257	-0.52465	-0.69100	-0.33731	-0.22003	-0.47850	-0.45328	0.00000	-0.11672	-0.16924	-0.20448
GIPR	P43218	GIPR_MESAU	-	0.00000	-0.11137	-1.69615	-1.57278	-1.94622	-1.84416	-1.49024	-1.08620	-2.00000	-1.65959	-1.92393
GNRHR	Q9TTI8	GNRHR_TRIVU	-	-0.11871	-0.19714	-0.97968	-0.49990	-1.44019	-1.11904	0.00000	-0.21608	-1.98760	-1.97244	-2.00000
GPR17	Q13304	GPR17_HUMAN	GPR17	-2.00000	-2.00000	0.00000	-0.09046	-0.91543	-1.88713	-0.22968	-1.37092	-2.00000	-1.61330	-1.79789
GPR34	P60019	GPR34_PANTR	-	-1.32419	-2.00000	0.00000	-0.32803	-0.16659	-1.31058	-2.00000	-2.00000	-1.83484	-1.52051	-2.00000
GPR35	Q9HC97	GPR35_HUMAN	GPR35	-2.00000	-2.00000	-0.22216	-0.17500	0.00000	-0.84730	-2.00000	-2.00000	-2.00000	-0.12814	-0.33622
GPR55	Q9Y2T6	GPR55_HUMAN	GPR55	-2.00000	-2.00000	-2.00000	-1.45152	-1.93937	-2.00000	-1.98107	-1.94686	-1.98866	-2.00000	0.00000
GPR84	Q9NQS5	GPR84_HUMAN	GPR84	-2.00000	-1.80805	-0.51717	0.00000	-0.30917	-0.87711	-1.84460	-1.68528	-1.47253	-1.46137	-1.81144
GPR119	Q8TDV5	GP119_HUMAN	GPR119	0.00000	-0.15099	-0.99605	-0.73894	-0.52647	-0.08035	-0.20795	-0.03056	-1.77020	-1.49979	-1.41084
GPR132	Q9UNW8	GP132_HUMAN	GPR132	-0.00833	-0.20766	-1.82740	-0.81384	-0.68301	-0.54873	0.00000	-0.12921	-0.38145	-0.73055	-0.71479
GPR174	Q9BXC1	GP174_HUMAN	GPR174	0.00000	-0.47884	-1.84194	-1.68837	-1.92388	-1.86990	-1.74294	-2.00000	-2.00000	-1.99738	-0.63076
GPR183	P32249	GP183_HUMAN	GPR183	-2.00000	-2.00000	-0.14279	0.00000	-0.15597	-0.87489	-1.26447	-1.23828	-1.12376	-0.91274	-2.00000
GRPR	P30550	GRPR_HUMAN	BB2 receptor	-0.58050	-0.65884	-0.72924	-0.54161	-0.79003	-0.73405	0.00000	-0.19181	-1.56452	-0.33466	-0.19000
HCRTR1	O97661	OX1R_PIG	-	-1.32518	-1.30260	-0.25526	-0.33302	-0.83059	-0.39063	-0.24008	0.00000	-0.06027	-0.05300	-0.15703
HCRTR2	O62809	OX2R_PIG	-	-1.27328	-1.26291	-0.76190	-0.48296	-0.97299	-0.74450	-0.00365	0.00000	-1.39832	-1.04539	-0.48714
HRH1	Q9N2B0	HRH1_PONPY	-	-0.53948	-0.52803	0.00000	-0.19263	-0.55083	-0.40692	-0.18848	-0.47447	-0.56121	-1.40341	-2.00000
HRH2	P61752	HRH2_PONPY	-	0.00000	-0.14746	-0.91868	-0.60619	-0.57294	-0.85616	-0.93496	-0.83037	-2.00000	-2.00000	-0.83404
HRH3	Q9Y5N1	HRH3_HUMAN	H3 receptor	-2.00000	-2.00000	0.00000	-0.16606	-0.71192	-1.48308	-1.69784	-1.35198	-1.99025	-1.88416	-2.00000
HRH4	Q9H3N8	HRH4_HUMAN	H4 receptor	-1.68869	-1.85308	0.00000	-0.14446	-1.19283	-1.61679	-1.76263	-1.32398	-1.05490	-1.66402	-2.00000
HTR1A	Q6XXY0	5HT1A_VULVU	-	-1.37607	-1.43273	-0.63417	-0.10388	-0.47960	-1.05718	-0.96011	0.00000	-1.27763	-1.32110	-1.47478
HTR1B	Q6XXX8	5HT1B_VULVU	-	-1.83485	-2.00000	-0.37639	0.00000	-0.79405	-0.62848	-1.19873	-0.61574	-2.00000	-1.23981	-2.00000
HTR1D	P49145	5HT1D_RABIT	-	-1.77814	-1.83413	0.00000	-0.03860	-0.06800	-0.23778	-1.23121	-0.51111	-1.90705	-1.62389	-1.44835
HTR1E	Q29003	5HT1E_PIG	-	-2.00000	-2.00000	-0.43163	0.00000	-0.38194	-0.71575	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
HTR1F	Q9N2D9	5HT1F_PANTR	-	-2.00000	-2.00000	-0.41685	0.00000	-1.38279	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
HTR2A	Q5R4Q6	5HT2A_PONPY	-	-2.00000	-2.00000	-0.68738	-0.22235	-1.30123	-0.48775	-0.32642	0.00000	-1.14943	-1.83513	-1.79025
HTR2B	Q29005	5HT2B_PIG	-	-1.77785	-1.91034	-0.90132	-0.72364	-1.16452	-0.19569	0.00000	-0.05847	-1.80612	-1.99840	-1.87448
HTR2C	Q5IS66	5HT2C_PANTR	-	-1.62536	-1.77440	-0.09206	-0.51046	-0.07148	0.00000	-0.34664	-0.21511	-0.12604	-0.59033	-0.61940
HTR4	G4MM89	HTR4_MAGO7	-	-0.59619	-0.68471	-0.01507	0.00000	-0.33751	-0.16556	-0.45961	-0.24870	-1.11897	-0.99656	-1.03978
HTR6	G4MS67	HTR6_MAGO7	-	0.00000	-0.05943	-0.98064	-1.30045	-0.89940	-0.38789	-0.53786	-0.78606	-1.53644	-1.53654	-0.38640
HTR7	G4N3F6	HTR7_MAGO7	-	-0.06685	-0.06888	-0.40221	-0.28753	-0.19849	-0.17131	-0.24061	0.00000	-0.37615	-0.21735	-0.06124
KISS1R	Q969F8	KISSR_HUMAN	kisspeptin receptor	-1.60854	-1.69401	-1.44786	-1.02168	-1.89081	-2.00000	0.00000	-0.08473	-2.00000	-1.80206	-1.98802
LPAR1	P46628	LPAR1_SHEEP	-	-1.89584	-2.00000	-0.18291	-0.12056	-0.47646	-2.00000	-0.35818	-0.01569	0.00000	-0.28284	-0.08721
LPAR2	Q95KH4	LPAR2_MACFA	-	-0.42731	-0.51401	-0.36844	-0.37299	-0.35028	-0.53713	-0.01445	-0.40835	-0.09445	0.00000	-0.21327
LPAR3	Q9UBY5	LPAR3_HUMAN	LPA3 receptor	-1.02587	-0.89973	-0.23189	-0.07203	-0.09104	0.00000	-0.46257	-0.37515	-0.59304	-0.72558	-0.45764
LPAR4	Q99677	LPAR4_HUMAN	LPA4 receptor	0.00000	-0.08240	-0.19488	-0.28662	-0.16497	-0.32148	-0.66869	-0.33452	-0.27267	-0.50910	-0.21603
LPAR5	Q9H1C0	LPAR5_HUMAN	LPA5 receptor	-2.00000	-2.00000	-0.05508	-0.16264	0.00000	-0.10779	-1.51797	-1.33970	-1.60194	-0.63855	-0.71422
LPAR6	P43657	LPAR6_HUMAN	LPA6 receptor	-1.18466	-1.53548	-0.31768	-0.11763	-0.21484	-0.69301	-1.14329	-0.72119	-1.15613	0.00000	-0.01064
LTB4R	Q15722	LT4R1_HUMAN	BLT1 receptor	-1.04301	-1.15384	-0.43557	0.00000	-0.92629	-1.24894	-1.17280	-0.74456	-1.23060	-0.99651	-1.13556
LTB4R2	Q9NPC1	LT4R2_HUMAN	BLT2 receptor	-2.00000	-2.00000	-0.48577	0.00000	-1.93555	-2.00000	-1.54694	-1.73284	-2.00000	-1.52486	-2.00000
MC1R	Q29154	MSHR_VULVU	-	-0.69243	-1.37486	-1.40346	-1.27583	-1.48349	-1.05698	-0.50808	0.00000	-2.00000	-2.00000	-2.00000
MC3R	P41968	MC3R_HUMAN	MC3 receptor	-1.16803	-0.69747	-1.11335	-0.48653	-0.84286	-0.37275	-0.52275	-0.19194	-0.19699	-0.07583	-0.44692
MC4R	Q0Z8I9	MC4R_VULVU	-	-0.64439	-0.40247	-0.74068	-0.38220	-1.44680	-0.42044	-0.37908	0.00000	-1.87838	-0.88063	-1.13380
MC5R	P41983	MC5R_SHEEP	-	-0.80949	-0.88405	-0.87566	-0.57613	-1.72202	-0.78675	-0.67938	0.00000	-1.22991	-0.69697	-0.74562
MCHR1	Q9MZ01	MCHR1_PIG	-	-0.95527	-0.94041	-0.50237	0.00000	-0.81512	-1.87364	-0.08657	-1.53876	-1.99808	-1.55809	-1.40023
MCHR2	Q8MJ88	MCHR2_MACMU	-	-0.82233	-0.79450	-0.65835	-0.10075	-1.39852	-1.46773	0.00000	-0.73917	-0.86439	-0.90893	-1.06714
MLNR	O43193	MTLR_HUMAN	motilin receptor	-1.18949	-1.25275	-0.81689	-0.39773	-1.36952	-1.29758	0.00000	-0.56322	-1.64970	-0.87772	-1.15860
MRGPRX1	Q96LB2	MRGX1_HUMAN	MRGPRX1	-0.01810	0.00000	-0.53229	-0.47090	-0.19004	-0.35585	-0.19761	-0.49021	-0.18044	-0.06582	-0.16119
MRGPRX2	Q4QXU4	MRGX2_TRAFR	-	-0.23624	-0.22363	0.00000	-0.05658	-0.13044	-0.46969	-0.10033	-0.06916	-0.59007	-0.35891	-0.66696
MTNR1A	P48040	MTR1A_SHEEP	-	-2.00000	-2.00000	-0.12076	0.00000	-0.40881	-0.03522	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
MTNR1B	P49286	MTR1B_HUMAN	MT2 receptor	-2.00000	-2.00000	0.00000	-0.00195	-0.88847	-0.28980	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
NMBR	P28336	NMBR_HUMAN	BB1 receptor	-0.92927	-0.86057	-0.71284	-0.44801	-0.88195	-0.67880	0.00000	-0.18668	-2.00000	-0.89612	-0.43004
NMUR1	Q9HB89	NMUR1_HUMAN	NMU1 receptor	-1.46269	-1.40215	-1.46462	-1.06390	-2.00000	-1.96655	0.00000	-0.16472	-2.00000	-1.92455	-1.86596
NMUR2	Q9GZQ4	NMUR2_HUMAN	NMU2 receptor	-1.73245	-1.76764	-0.42540	0.00000	-0.98618	-0.95583	-0.05300	-0.12711	-0.25682	-0.65420	-1.61754
NPBWR1	P48145	NPBW1_HUMAN	NPBW1 receptor	-2.00000	-2.00000	-0.10184	0.00000	-1.43384	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
NPFFR1	Q9GZQ6	NPFF1_HUMAN	NPFF1 receptor	-2.00000	-2.00000	-0.65960	0.00000	-0.88772	-0.77284	-1.94896	-2.00000	-2.00000	-2.00000	-2.00000
NPFFR2	Q9Y5X5	NPFF2_HUMAN	NPFF2 receptor	-2.00000	-2.00000	-0.15783	0.00000	-0.27867	-0.26506	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
OPRD1	P79291	OPRD_PIG	-	-2.00000	-2.00000	-0.36619	0.00000	-1.23575	-1.60469	-1.89587	-0.47248	-1.92712	-1.81378	-2.00000
OPRK1	P41145	OPRK_HUMAN	&kappa; receptor	-2.00000	-2.00000	-0.26721	0.00000	-0.87163	-0.72419	-1.86545	-1.28482	-1.96357	-1.65376	-2.00000
OPRL1	P79292	OPRX_PIG	-	-2.00000	-2.00000	-0.55615	0.00000	-0.85276	-0.63098	-2.00000	-0.72955	-2.00000	-1.87128	-2.00000
OPRM1	Q5IS84	OPRM_SAIBB	-	-2.00000	-2.00000	-0.20949	0.00000	-0.90626	-0.77596	-2.00000	-1.20968	-2.00000	-1.93039	-2.00000
OXGR1	Q96P68	OXGR1_HUMAN	oxoglutarate receptor	-0.65849	-0.82082	-0.44208	-0.33867	-0.48362	-0.45198	0.00000	-0.19058	-2.00000	-0.91733	-1.53493
OXTR	Q28756	OXYR_SHEEP	-	-0.64520	-0.70529	-0.75368	-0.75082	-1.86521	-1.83311	0.00000	-0.88449	-2.00000	-1.92756	-2.00000
P2RY1	P49652	P2RY1_MELGA	-	-0.00561	0.00000	-0.20907	-1.50521	-0.03515	-0.13261	-2.00000	-2.00000	-0.16995	-0.13597	-0.28808
P2RY2	Q5YA25	P2RY2_PIG	-	-0.45192	-0.26402	-2.00000	-2.00000	-2.00000	-1.13447	-2.00000	-1.83799	0.00000	-0.12165	-0.08862
P2RY4	Q99PE4	P2RY4_MERUN	-	-1.34435	-1.61857	0.00000	-0.22298	-0.11220	-0.68780	-2.00000	-2.00000	-0.88646	-1.49764	-0.45342
P2RY6	Q15077	P2RY6_HUMAN	P2Y6 receptor	0.00000	-0.08827	-1.23451	-2.00000	-0.90325	-0.15587	-2.00000	-2.00000	-0.14524	-0.01382	-0.17986
P2RY10	O00398	P2Y10_HUMAN	P2RY10	-2.00000	-2.00000	-0.53148	-0.38074	-0.90511	-0.68447	-1.17254	-0.53299	-2.00000	-0.27508	0.00000
P2RY11	Q96G91	P2Y11_HUMAN	P2Y11 receptor	-0.27380	-0.32981	-0.07104	0.00000	-0.20473	-0.55423	-0.16947	-0.35443	-0.82019	-0.11229	-0.06331
P2RY12	Q95KC3	P2Y12_MACFA	-	-1.92643	-1.93787	-0.16311	0.00000	-0.10223	-0.75353	-1.38597	-1.05789	-2.00000	-1.07993	-1.23260
P2RY13	Q9BE53	P2Y13_MACFA	-	-1.99413	-2.00000	-1.27226	-1.38148	-0.79881	-1.48638	-0.04036	0.00000	-0.71132	-0.42219	-0.44717
P2RY14	Q15391	P2Y14_HUMAN	P2Y14 receptor	-2.00000	-2.00000	0.00000	-0.29700	-0.04560	-0.14056	-1.64848	-0.77841	-2.00000	-2.00000	-2.00000
PRLHR	P49683	PRLHR_HUMAN	PrRP receptor	-1.96943	-1.87311	-0.81799	-0.42868	-0.70695	-2.00000	0.00000	-0.07389	-2.00000	-2.00000	-0.83459
PTAFR	Q9XSD4	PTAFR_PIG	-	-0.07704	-0.09246	-0.13707	-0.33735	-0.01855	-0.12400	0.00000	-0.37814	-0.06191	-0.46437	-0.22582
PTGDR	Q13258	PD2R_HUMAN	DP1 receptor	0.00000	-0.15553	-2.00000	-2.00000	-2.00000	-2.00000	-1.32796	-1.88309	-2.00000	-1.98019	-1.96431
PTGER1	P34995	PE2R1_HUMAN	EP1 receptor	-0.56439	-0.67219	-1.10391	-1.65912	-1.70376	-1.87594	0.00000	-0.40194	-1.68564	-0.55762	-1.04477
PTGER2	P43116	PE2R2_HUMAN	EP2 receptor	0.00000	-0.53376	-2.00000	-2.00000	-2.00000	-2.00000	-1.49087	-1.77113	-2.00000	-2.00000	-2.00000
PTGER3	Q28550	PE2R3_SHEEP	-	-1.82120	-1.92080	-0.49461	-0.76345	-0.57953	-0.85890	-2.00000	-1.36133	-2.00000	0.00000	-1.22873
PTGER4	Q28691	PE2R4_RABIT	-	0.00000	-0.10220	-0.31866	-2.00000	-2.00000	-2.00000	-1.71385	-1.78360	-2.00000	-1.97791	-1.82363
PTGFR	Q28905	PF2R_SHEEP	-	-0.04182	-0.16486	-1.87832	-1.45049	-1.98286	-1.95661	0.00000	-0.33933	-1.45994	-1.67564	-1.02069
PTGIR	P43119	PI2R_HUMAN	IP receptor	0.00000	-0.24990	-2.00000	-2.00000	-2.00000	-2.00000	-0.84516	-1.94118	-2.00000	-1.97946	-2.00000
PTH1R	Q5RAQ1	PTH1R_PONAB	-	0.00000	-0.19669	-1.87222	-1.88568	-2.00000	-1.73791	-0.93468	-1.02272	-1.82771	-1.71522	-2.00000
PTH2R	P49190	PTH2R_HUMAN	PTH2 receptor	0.00000	-0.14151	-0.75781	-0.72897	-1.05149	-0.91102	-0.19137	-0.15895	-0.21842	-0.67910	-0.89358
S1PR1	P21453	S1PR1_HUMAN	S1P1 receptor	-1.68683	-1.98936	-0.47981	0.00000	-0.88997	-0.48938	-1.74583	-1.77106	-1.86176	-1.19105	-1.59183
S1PR2	O95136	S1PR2_HUMAN	S1P2 receptor	-1.76735	-1.83514	-0.62896	-0.20487	-0.40922	-0.16448	-0.84730	-0.40497	-1.08652	0.00000	-0.27738
S1PR3	Q99500	S1PR3_HUMAN	S1P3 receptor	-0.94046	-0.97687	-0.09311	0.00000	-0.04520	-0.24301	-0.31542	-0.24093	-0.05919	-0.01488	-0.18447
S1PR5	Q684M3	S1PR5_PIG	-	-2.00000	-2.00000	-0.39027	0.00000	-1.95322	-1.60109	-1.99111	-1.79741	-1.66223	-1.91266	-1.39171
SSTR1	P30872	SSR1_HUMAN	SST1 receptor	-2.00000	-2.00000	-0.300554286	0.00000	-1.09357761	-1.806457914	-1.941930055	-1.515653069	-1.765411524	-0.757450857	-1.934597325
SSTR2	P34994	SSR2_PIG	-	-2.00000	-2.00000	-0.76686	0.00000	-1.16009	-1.59464	-2.00000	-0.80919	-1.64601	-2.00000	-2.00000
SSTR3	P32745	SSR3_HUMAN	SST3 receptor	-2.00000	-2.00000	-0.24873	0.00000	-1.30792	-1.64266	-1.93359	-1.47237	-1.93171	-2.00000	-2.00000
SSTR4	P31391	SSR4_HUMAN	SST4 receptor	-2.00000	-2.00000	-0.46786	0.00000	-1.26406	-1.81748	-2.00000	-1.39420	-1.64940	-0.89782	-1.88497
SSTR5	P35346	SSR5_HUMAN	SST5 receptor	-2.00000	-2.00000	-0.46712	0.00000	-0.76930	-1.01884	-2.00000	-1.21131	-1.90405	-1.70851	-2.00000
TACR1	Q5DUB1	NK1R_MERUN	-	-0.56478	-0.60233	-0.38002	-0.50198	-0.67582	-0.75359	-0.05612	0.00000	-1.10288	-0.62921	-0.31077
TACR2	P79218	NK2R_RABIT	-	-1.41835	-1.40807	-0.60831	-0.53624	-1.23807	-1.27671	0.00000	-0.00927	-1.57282	-1.12922	-1.23680
TACR3	O97512	NK3R_RABIT	-	-0.67002	-0.77403	-0.54994	-0.64234	-1.29780	-1.26371	-0.02433	0.00000	-1.33337	-0.87124	-0.50297
TBXA2R	P21731	TA2R_HUMAN	TP receptor	-1.09583	-1.25540	-0.93250	-1.72459	-2.00000	-2.00000	0.00000	-0.06465	-2.00000	-1.08855	-0.44148
UTS2R	Q8HYC3	UR2R_MACMU	-	-0.35446	-0.38742	0.00000	-0.23425	-0.25388	-0.16555	-0.30004	-0.26470	-0.88026	-0.29643	-1.00251
