"## GtoPdb Version: 2022.1 - published: 2022-03-31"
"UniProtKB ID"	"Species"	"GtoPdb IUPHAR Name"	"GtoPdb IUPHAR ID"	"GtP URL"
"P30939"	"Human"	"5-HT<sub>1F</sub> receptor"	"5"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=5"
"Q02284"	"Mouse"	"5-HT<sub>1F</sub> receptor"	"5"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=5"
"P30940"	"Rat"	"5-HT<sub>1F</sub> receptor"	"5"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=5"
"P28223"	"Human"	"5-HT<sub>2A</sub> receptor"	"6"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=6"
"P35363"	"Mouse"	"5-HT<sub>2A</sub> receptor"	"6"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=6"
"P14842"	"Rat"	"5-HT<sub>2A</sub> receptor"	"6"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=6"
"P41595"	"Human"	"5-HT<sub>2B</sub> receptor"	"7"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=7"
"Q02152"	"Mouse"	"5-HT<sub>2B</sub> receptor"	"7"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=7"
"P30994"	"Rat"	"5-HT<sub>2B</sub> receptor"	"7"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=7"
"P28335"	"Human"	"5-HT<sub>2C</sub> receptor"	"8"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=8"
"P34968"	"Mouse"	"5-HT<sub>2C</sub> receptor"	"8"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=8"
"P08909"	"Rat"	"5-HT<sub>2C</sub> receptor"	"8"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=8"
"P46098"	"Human"	"5-HT<sub>3</sub>A"	"373"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=373"
"P23979"	"Mouse"	"5-HT<sub>3</sub>A"	"373"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=373"
"P35563"	"Rat"	"5-HT<sub>3</sub>A"	"373"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=373"
"O95264"	"Human"	"5-HT<sub>3</sub>B"	"374"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=374"
"Q9JHJ5"	"Mouse"	"5-HT<sub>3</sub>B"	"374"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=374"
"Q9JJ16"	"Rat"	"5-HT<sub>3</sub>B"	"374"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=374"
"Q8WXA8"	"Human"	"5-HT<sub>3</sub>C"	"375"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=375"
"Q70Z44"	"Human"	"5-HT<sub>3</sub>D"	"376"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=376"
"A5X5Y0"	"Human"	"5-HT<sub>3</sub>E"	"377"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=377"
"Q13639"	"Human"	"5-HT<sub>4</sub> receptor"	"9"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=9"
"P97288"	"Mouse"	"5-HT<sub>4</sub> receptor"	"9"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=9"
"Q62758"	"Rat"	"5-HT<sub>4</sub> receptor"	"9"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=9"
"P47898"	"Human"	"5-HT<sub>5A</sub> receptor"	"10"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=10"
"P30966"	"Mouse"	"5-HT<sub>5A</sub> receptor"	"10"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=10"
"P35364"	"Rat"	"5-HT<sub>5A</sub> receptor"	"10"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=10"
"P31387"	"Mouse"	"5-ht<sub>5b</sub> receptor"	"648"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=648"
"P35365"	"Rat"	"5-ht<sub>5b</sub> receptor"	"648"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=648"
"P50406"	"Human"	"5-HT<sub>6</sub> receptor"	"11"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=11"
"Q9R1C8"	"Mouse"	"5-HT<sub>6</sub> receptor"	"11"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=11"
"P31388"	"Rat"	"5-HT<sub>6</sub> receptor"	"11"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=11"
"P34969"	"Human"	"5-HT<sub>7</sub> receptor"	"12"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=12"
"P32304"	"Mouse"	"5-HT<sub>7</sub> receptor"	"12"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=12"
"P32305"	"Rat"	"5-HT<sub>7</sub> receptor"	"12"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=12"
"P09917"	"Human"	"5-LOX"	"1385"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1385"
"P48999"	"Mouse"	"5-LOX"	"1385"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1385"
"P12527"	"Rat"	"5-LOX"	"1385"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1385"
"Q99707"	"Human"	"5-methyltetrahydrofolate-homocysteine methyltransferase"	"3099"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3099"
"A6H5Y3"	"Mouse"	"5-methyltetrahydrofolate-homocysteine methyltransferase"	"3099"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3099"
"Q9Z2Q4"	"Rat"	"5-methyltetrahydrofolate-homocysteine methyltransferase"	"3099"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3099"
"Q9BXI3"	"Human"	"5'-nucleotidase IA"	"1234"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1234"
"A3KFX0"	"Mouse"	"5'-nucleotidase IA"	"1234"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1234"
"Q96P26"	"Human"	"5'-nucleotidase IB"	"1235"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1235"
"Q91YE9"	"Mouse"	"5'-nucleotidase IB"	"1235"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1235"
"P49902"	"Human"	"5'-nucleotidase II"	"1236"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1236"
"Q3V1L4"	"Mouse"	"5'-nucleotidase II"	"1236"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1236"
"Q9H0P0"	"Human"	"5'-nucleotidase III"	"1237"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1237"
"Q9D020"	"Mouse"	"5'-nucleotidase III"	"1237"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1237"
"Q16875"	"Human"	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"	"2937"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2937"
"O35552"	"Rat"	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"	"2937"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2937"
"O15527"	"Human"	"8-oxoguanine DNA glycosylase"	"3060"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3060"
"O08760"	"Mouse"	"8-oxoguanine DNA glycosylase"	"3060"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3060"
"O70249"	"Rat"	"8-oxoguanine DNA glycosylase"	"3060"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3060"
"Q86TW2"	"Human"	"aarF domain containing kinase 1"	"1925"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1925"
"Q9D0L4"	"Mouse"	"aarF domain containing kinase 1"	"1925"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1925"
"Q7Z695"	"Human"	"aarF domain containing kinase 2"	"1926"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1926"
"Q6NSR3"	"Mouse"	"aarF domain containing kinase 2"	"1926"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1926"
"Q3MIX3"	"Human"	"aarF domain containing kinase 5"	"1929"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1929"
"Q80V03"	"Mouse"	"aarF domain containing kinase 5"	"1929"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1929"
"O95477"	"Human"	"ABCA1"	"756"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=756"
"P41233"	"Mouse"	"ABCA1"	"756"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=756"
"Q8WWZ4"	"Human"	"ABCA10"	"765"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=765"
"Q86UK0"	"Human"	"ABCA12"	"766"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=766"
"Q86UQ4"	"Human"	"ABCA13"	"767"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=767"
"Q5SSE9"	"Mouse"	"ABCA13"	"767"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=767"
"Q9BZC7"	"Human"	"ABCA2"	"757"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=757"
"P41234"	"Mouse"	"ABCA2"	"757"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=757"
"Q9ESR9"	"Rat"	"ABCA2"	"757"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=757"
"Q99758"	"Human"	"ABCA3"	"758"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=758"
"Q8R420"	"Mouse"	"ABCA3"	"758"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=758"
"P78363"	"Human"	"ABCA4"	"759"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=759"
"O35600"	"Mouse"	"ABCA4"	"759"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=759"
"Q8WWZ7"	"Human"	"ABCA5"	"760"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=760"
"Q8K448"	"Mouse"	"ABCA5"	"760"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=760"
"Q8CF82"	"Rat"	"ABCA5"	"760"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=760"
"Q8N139"	"Human"	"ABCA6"	"761"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=761"
"Q8K441"	"Mouse"	"ABCA6"	"761"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=761"
"Q8IZY2"	"Human"	"ABCA7"	"762"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=762"
"Q91V24"	"Mouse"	"ABCA7"	"762"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=762"
"Q7TNJ2"	"Rat"	"ABCA7"	"762"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=762"
"O94911"	"Human"	"ABCA8"	"763"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=763"
"Q8K440"	"Mouse"	"ABCA8"	"763"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=763"
"Q8IUA7"	"Human"	"ABCA9"	"764"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=764"
"Q8K449"	"Mouse"	"ABCA9"	"764"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=764"
"P08183"	"Human"	"ABCB1"	"768"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=768"
"P21447"	"Mouse"	"ABCB1"	"768"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=768"
"Q9NRK6"	"Human"	"ABCB10"	"777"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=777"
"Q9JI39"	"Mouse"	"ABCB10"	"777"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=777"
"O95342"	"Human"	"ABCB11"	"778"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=778"
"Q9QY30"	"Mouse"	"ABCB11"	"778"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=778"
"O70127"	"Rat"	"ABCB11"	"778"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=778"
"Q03518"	"Human"	"ABCB2"	"769"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=769"
"P21958"	"Mouse"	"ABCB2"	"769"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=769"
"P36370"	"Rat"	"ABCB2"	"769"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=769"
"Q03519"	"Human"	"ABCB3"	"770"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=770"
"P36371"	"Mouse"	"ABCB3"	"770"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=770"
"P36372"	"Rat"	"ABCB3"	"770"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=770"
"P21439"	"Human"	"ABCB4"	"771"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=771"
"P21440"	"Mouse"	"ABCB4"	"771"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=771"
"Q08201"	"Rat"	"ABCB4"	"771"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=771"
"Q2M3G0"	"Human"	"ABCB5"	"772"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=772"
"Q9NP58"	"Human"	"ABCB6"	"773"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=773"
"Q9DC29"	"Mouse"	"ABCB6"	"773"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=773"
"O70595"	"Rat"	"ABCB6"	"773"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=773"
"O75027"	"Human"	"ABCB7"	"774"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=774"
"Q61102"	"Mouse"	"ABCB7"	"774"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=774"
"Q704E8"	"Rat"	"ABCB7"	"774"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=774"
"Q9NUT2"	"Human"	"ABCB8"	"775"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=775"
"Q9CXJ4"	"Mouse"	"ABCB8"	"775"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=775"
"Q5RKI8"	"Rat"	"ABCB8"	"775"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=775"
"Q9NP78"	"Human"	"ABCB9"	"776"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=776"
"Q9JJ59"	"Mouse"	"ABCB9"	"776"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=776"
"Q9QYJ4"	"Rat"	"ABCB9"	"776"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=776"
"P33527"	"Human"	"ABCC1"	"779"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=779"
"O35379"	"Mouse"	"ABCC1"	"779"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=779"
"Q8CG09"	"Rat"	"ABCC1"	"779"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=779"
"Q5T3U5"	"Human"	"ABCC10"	"785"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=785"
"Q8R4P9"	"Mouse"	"ABCC10"	"785"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=785"
"Q96J66"	"Human"	"ABCC11"	"786"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=786"
"Q96J65"	"Human"	"ABCC12"	"787"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=787"
"Q80WJ6"	"Mouse"	"ABCC12"	"787"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=787"
"Q6Y306"	"Rat"	"ABCC12"	"787"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=787"
"Q92887"	"Human"	"ABCC2"	"780"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=780"
"Q8VI47"	"Mouse"	"ABCC2"	"780"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=780"
"Q63120"	"Rat"	"ABCC2"	"780"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=780"
"O15438"	"Human"	"ABCC3"	"781"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=781"
"B2RX12"	"Mouse"	"ABCC3"	"781"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=781"
"O88563"	"Rat"	"ABCC3"	"781"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=781"
"O15439"	"Human"	"ABCC4"	"782"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=782"
"O15440"	"Human"	"ABCC5"	"783"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=783"
"Q9R1X5"	"Mouse"	"ABCC5"	"783"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=783"
"Q9QYM0"	"Rat"	"ABCC5"	"783"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=783"
"O95255"	"Human"	"ABCC6"	"784"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=784"
"Q9R1S7"	"Mouse"	"ABCC6"	"784"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=784"
"O88269"	"Rat"	"ABCC6"	"784"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=784"
"O60706"	"Human"	"ABCC9"	"2746"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2746"
"P70170"	"Mouse"	"ABCC9"	"2746"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2746"
"Q63563"	"Rat"	"ABCC9"	"2746"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2746"
"P33897"	"Human"	"ABCD1"	"788"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=788"
"P48410"	"Mouse"	"ABCD1"	"788"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=788"
"Q9UBJ2"	"Human"	"ABCD2"	"789"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=789"
"Q61285"	"Mouse"	"ABCD2"	"789"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=789"
"Q9QY44"	"Rat"	"ABCD2"	"789"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=789"
"P28288"	"Human"	"ABCD3"	"790"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=790"
"P55096"	"Mouse"	"ABCD3"	"790"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=790"
"P16970"	"Rat"	"ABCD3"	"790"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=790"
"P45844"	"Human"	"ABCG1"	"791"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=791"
"Q64343"	"Mouse"	"ABCG1"	"791"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=791"
"Q9UNQ0"	"Human"	"ABCG2"	"792"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=792"
"Q7TMS5"	"Mouse"	"ABCG2"	"792"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=792"
"Q80W57"	"Rat"	"ABCG2"	"792"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=792"
"Q9H172"	"Human"	"ABCG4"	"793"	"http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=793"
