Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28
BDKRB2	Coupled	-	Coupled	-	Bradykinin receptors	classA	0.3859105203070329	-0.01406522211069915	0.19722160912674502	-0.06053164007241294	0.5698322702060811	-0.19584262930807395	0.08304402693023769	0.02843207434267258	0.3704830918189788	0.2969306822047455	0.043290417446457126	0.0618655620144181	-0.051371541380125514	-0.029419593623877846	-0.12964942023990117	0.3516299228064655	0.00992431962069514	0.03879380366755912	0.14253395005812483	0.05708019752293248	0.8720465365935178	-0.24388159123981926	-0.43616773870615605	0.22298139869143874	0.13697846144061698	0.30211461111173843	-0.3638662752164648	0.5487435081821774
C5AR1	Coupled	-	Coupled	-	Complement peptide receptors	classA	-0.12768366563883077	0.4374218878334192	-0.2180473983921218	-0.2433729840411469	0.29511273956784473	0.17773163404157535	-0.4053697697893359	-0.24048792940595112	0.017171679817533796	-0.19290972073525453	0.23824043733546468	0.08048857138534049	-0.08991497978083395	0.2583224047529343	-0.04356667793092375	0.20110231406732657	-0.17580918902520445	0.37875168397717307	0.07674796637382973	-0.044804150181115054	-0.10056089411392408	0.08444691483846688	0.015413553575503837	0.1253443977946174	0.10584816067365056	-0.04753069325345379	-0.13417787749922372	-0.17092010177845166
CALCR	Not-coupled	-	Coupled	-	Calcitonin receptors	classB	-0.015094556577496475	-0.11745056266873852	-0.3218444379720744	0.11934049882423445	0.02624438336301337	-0.29485091134191643	-0.1058499283996551	-0.26369053285388006	-0.4296078365157684	0.25058390841453365	0.003171307607500979	-0.09760533554546634	0.2675667312342824	0.5277645451436775	-0.2467709942642858	0.0002287028792051711	0.6537376184627341	-0.056686087273702244	-0.03077119743724961	0.19996283414637891	0.12402233881107372	-0.4233504284107309	-0.11346560007387668	0.31025487515588646	-0.028463303339062353	0.0058911403211727035	-0.1355270527095947	0.08993386340068396
CCKAR	Not-coupled	-	Coupled	-	Cholecystokinin receptors	classA	0.4565269025527083	-0.18676132944075405	0.11742195324368765	-0.09895934892474159	-0.09077446154068729	0.2954584839193344	-0.0788109877515163	-0.08054903700087872	-0.21273291086756593	0.07173003378118785	0.18331532246641338	-0.15009874886398317	-0.20056260493775757	-0.07823333278304197	-0.025474712588817963	0.2397927748029341	-0.059261436669054646	-0.28077998168575014	-0.15578705754291453	0.013554997218539238	-0.035873164507221396	-0.2569375627825221	-0.104538945030921	0.04743350393147525	0.22540944636295082	0.08594512755952043	0.13144070611748135	-0.24572346213919774
CCR5	Coupled	-	Coupled	-	Chemokine receptors	classA	0.45404801984295334	-0.21102064142359914	0.08862783714539312	-0.07313791014039084	0.05534229398236586	0.15471562214781404	-0.10639663520233503	-0.09188101464818678	0.20503630320179897	-0.19400666805487993	0.13829803807878296	-0.1978604921562477	-0.006417998310578862	-0.13304576001523652	-0.19459565240074664	0.1083016561137799	0.04565156609873409	-0.3327263072423272	-0.2056050046405587	0.07664996800859966	-0.011290972101733158	-0.20347060083746138	-0.10906734891162621	0.0084226536374517	0.15097397155192627	0.08013285269263343	0.032911643249136154	-0.3353236786144724
CCR6	Coupled	-	Coupled	-	Chemokine receptors	classA	-0.25498217692628566	-0.24336926384842394	-0.020501151184679715	0.1735239605790514	-0.12006917653319371	-0.25466386128421015	0.2294995124205953	-0.03709004500704097	-0.24925706536618678	-0.13332482142395027	0.1072616905856548	-0.12729418042182328	0.059419218482567954	0.02499154875831999	-0.1193181748910838	0.004351772270658485	0.2791593444843143	0.07343365199656468	-0.16783065567556457	-0.01669976738656838	0.1316114518843103	0.13228006945013768	0.19656399692409157	0.12333071287799237	0.5193012695769086	-0.15153762579695357	0.3214932906995619	0.24705835233884166
CHRM1	Not-coupled	-	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-0.34864449356449484	-0.3475153166079926	0.2887260718454096	0.03859369609965478	0.3071686936169647	-0.011215778470223146	-0.11130194319919995	-0.0039044199438313873	0.15590310810665686	-0.22185817699001853	0.003643444940900033	-0.21545223285947362	-0.2409740994658307	-0.02895016269655754	0.16868248785452009	-0.1305475321694743	0.18424342379247896	0.09957765696676531	-0.0734570821365994	-0.05757194335254258	0.11169653658705214	0.08560369907132502	0.34776977300751805	0.022507605598455983	0.5157804207023979	-0.14722676091285425	0.14587334517388337	0.16288827764167782
CHRM2	Coupled	-	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-0.4197220189471835	-0.17850123763448963	-0.2796176986223009	0.14197923973973012	0.09263922263446368	-0.19973811773262418	-0.05521854992145713	0.01197707673253919	-0.05954959824990554	-0.3770989306805048	-0.10192690585568134	0.0997083222931876	-0.11466292015975586	-0.08995206881639947	0.0389010802264179	-0.01613267361582026	0.15352543765043278	-0.06483453899620584	-0.37052712210486644	0.10331049360218937	0.21503685251198904	0.029881925435914364	0.13547246647029315	0.0633505313708521	0.4122552254086818	-0.18082346328006332	0.01984233881187651	0.07764119941233773
CHRM3	Not-coupled	-	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-0.32190503935432413	-0.2697106604920423	0.055510980808033024	0.12556492587947066	0.2467792688671135	-0.14805343157392323	0.009048404624543715	-0.018716576609062095	-0.07893951983757425	-0.37263144886975297	0.028330415891427936	-0.08651982014449072	-0.24686773891146663	-0.05410423430392277	-0.06341382063686526	-0.12080570270772087	0.13918290348032583	0.09849528465185484	-0.024884476191768336	0.14901504711642072	0.17309318465719056	0.08749894115493172	0.1455268388172797	0.1330965178645176	0.4515391246763043	-0.17421334802891547	0.29384266997203945	0.1320601541578822
CHRM4	Coupled	-	Coupled	-	Acetylcholine receptors (muscarinic)	classA	-0.39271538070295076	0.0681570508174515	0.28705607769306807	0.053758120688061364	0.3674076330945568	0.09082170511939958	-0.30643998435465447	0.03886056251760228	0.3590246477266516	-0.22433543079210463	-0.4756613550611654	-0.23038130993782707	-0.3054544465691693	0.14484962319914477	-0.19699097756776845	-0.18946246708472952	-0.4223166428292857	-0.04147884523236202	-0.4118773156895772	0.04815571409709185	0.06440855324367015	0.17198103056569655	0.0445048222949581	-0.10433807875332277	-0.19365585378499914	0.15083885454693982	-0.09178415839945833	-0.059656612309564164
CNR1	Coupled	-	Coupled	-	Cannabinoid receptors	classA	-0.23092651649990714	0.08401351290033732	0.10639592849583938	0.026765909214727965	-0.0894293590150165	-0.38615440533140133	0.036865254453374546	0.05214771586055681	0.2808003287772974	0.2810120306648433	-0.23799416099415097	-0.3254796893454067	0.3713727130019572	-0.08513647215358479	-0.2972102776611627	-0.10565916136169111	-0.2325966865777185	0.019212796300825837	-0.29271438138945044	-0.12593333045185698	-0.09635947891048825	-0.05886400112250747	0.1139346174089383	-0.10687636095750538	-0.02443113094122933	-0.05664776701287927	-0.07559518927972868	-0.02997014693959698
CNR2	Coupled	-	Coupled	-	Cannabinoid receptors	classA	-0.06300480737964002	0.5298144480698699	0.020056215409032463	-0.2765964307843299	0.24224407887285193	0.07807219242971015	-0.22971253158043953	-0.33375157016427504	-0.41660674859620217	-0.0324940359097088	0.26834718272278496	0.2433313231640533	-0.3940230911723018	0.1064832603752433	-0.37297971660098267	0.051388071587262815	-0.18781973573041097	0.19742417851797997	0.16503924394332603	-0.11409422452663745	0.0005400400097808118	0.06788005444109528	0.10404964731629643	0.21500626948333593	0.09333335045258695	-0.038148293748409445	0.0415714036801798	-0.1861825829314031
CRHR1	Not-coupled	-	Coupled	-	Corticotropin-releasing factor receptors	classB	-0.05181774702138456	0.5104713084129143	-0.17170765330935794	-0.40589905984904534	0.2150950705477625	0.03849880628510073	-0.3297678053516675	-0.3371716739865863	-0.2555532807341513	-0.05390017910988057	0.3689260224672358	0.233634934237731	-0.25332736486377117	0.06840888677589492	-0.2958664812834801	0.11961363962109743	-0.24815101407219495	0.3766149049270797	0.2044807903148987	-0.04734408344037014	0.030553546032683825	0.0638642306552647	0.05740481191426487	0.21206953900695968	0.09490174036589667	-0.12352167372079928	-0.008106771719597342	-0.22550300916632998
CRHR2	Not-coupled	-	Coupled	-	Corticotropin-releasing factor receptors	classB	0.44717201073104323	-0.2066036148495264	0.07182755920381738	-0.05893808876319186	-0.2465078778275137	0.04709120221356207	0.11790694400882198	-0.08297937505115098	0.13167556102363326	-0.1186555212865525	0.23836755765693865	0.007026354432398351	0.015591247027447151	-0.22826456485275695	-0.1434867543425126	0.20496465023090435	-0.05892914910566453	-0.31002863809538	-0.2033875160477311	0.045725998383378326	0.04444848583564156	-0.13923873317607863	-0.16939926730425792	-0.04732609272526441	0.14752434611707002	0.13220283797082794	0.059014930942169336	-0.17027169277888216
CXCR2	Coupled	-	Coupled	-	Chemokine receptors	classA	0.4922783685987401	-0.2522809694673945	0.19356852761568066	-0.11794775301375804	0.04107977519240648	0.26469764751604125	-0.08240117806714801	-0.08120646805564771	0.20378181407340606	-0.21161233944128446	0.20015629147074984	-0.23835879058573142	-0.026000056777571192	0.04976118233431755	-0.15579073729715384	0.0938077095652105	-0.13229506485931022	-0.26048887845866164	-0.11395108940381193	0.13280384887666474	-0.018534981114799877	-0.2793260649505748	-0.020603556349605635	-0.06740412505013067	0.22409285747837318	0.21358578066231734	0.07544225666052908	-0.27460839590225594
CXCR4	Coupled	-	Not-coupled	-	Chemokine receptors	classA	0.44196010652065304	-0.13912184180202475	-0.13273142936383056	0.026589428360935037	-0.25009809240587944	0.015998542066884665	0.1284171637921559	-0.09908671733285071	0.39126871412803127	-0.19047711599300127	0.1554043833913712	-0.03968187269880167	-0.18777687812166913	-0.4114206225977401	-0.3523301547312815	0.14456742210176501	-0.08139061550551288	-0.2146593074006158	-0.21885173018624987	0.03793061496821069	-0.04418653498129385	-0.1272881518055008	-0.1541165336382771	0.05179052137448306	0.10413612098656166	0.17846797569959813	0.10156418791359755	-0.2931049245184429
CXCR5	Coupled	-	Coupled	-	Chemokine receptors	classA	0.5728218798152147	-0.04390757495889185	0.5175375035370774	-0.25758709363057325	0.11311630003203567	0.023448821841370055	-0.0792969071377233	0.28057153613214575	-0.2968440528841715	-0.2616108206907178	-0.02989255230292666	0.10689237498611948	0.1444793595782523	-0.06358196735067553	0.10762596664232771	-0.4580207163762308	0.13765725270678686	0.011106296061397198	0.20013630780665043	0.17800660962124434	-0.11656869424725018	-0.06859788971123931	0.18730340880752197	-0.0869593634814051	-0.0675477782896596	-0.001224252895448661	-0.0726296633371582	0.044528039785944676
CYSLTR1	Coupled	-	Coupled	-	Leukotriene receptors	classA	0.5744808463208011	0.007025091047166061	0.35324240934595	-0.21788674738015898	0.034030348209772	-0.06400224329867679	0.007721412842039694	0.26546035002996093	-0.49683319827793904	-0.16034822083438025	-0.06914671812093148	0.09180288108211254	0.06482081186973028	0.001651781353551633	-0.06695301342714285	-0.26444154121792274	0.14272913497414458	0.03561762756423513	-0.04261458785748026	0.21814448816029403	-0.05565605125853979	0.10848314845961983	0.11760522525295071	-0.09499219102075157	-0.06514662196889814	0.07925587616689055	-0.15281236246832905	0.09542610931746003
CYSLTR2	Coupled	-	Coupled	-	Leukotriene receptors	classA	-0.40600864390174596	-0.16206591235108878	0.28576886474361046	-0.18486313039167301	-0.1808835372102269	0.32439696157175485	0.1610752004099389	0.0972057511386717	-0.023688851599839526	-0.1697128055973229	-0.07908809890521419	0.16479973336158962	-0.4046745362784506	0.16375136385961875	0.1705895490373865	-0.14138168701559942	-0.17018664041402268	-0.030734924462226823	0.10012007104057451	-0.2441084388998024	-0.05424937223286012	-0.17395102213594438	-0.28252721029491396	0.00042920027734443976	0.008861587595206003	-0.10344420653212796	-0.13785196946052639	0.05074358157286789
DRD1	Not-coupled	-	Coupled	-	Dopamine receptors	classA	-0.3763213908390873	-0.21357779479312505	-0.21349328698615708	-0.2602525612040251	0.08253302419265414	-0.2028709815224593	0.05290306144581168	0.08984223108365301	-0.09253996350742827	-0.0719480024686962	-0.01386443969914362	0.6471557597674867	0.14054569352620536	-0.27695832640601026	0.1506705780558353	0.1649556758917926	-0.1144865925577446	0.10501033150837713	0.08381361714613943	0.04926714145380025	-0.12447929936356378	-0.07748951516713441	-0.026348483429723592	-0.025511694581978002	0.08039934170380762	-0.10591627646116422	-0.014271898781512197	-0.09631102585007723
DRD2	Coupled	-	Coupled	-	Dopamine receptors	classA	-0.38083646020788675	-0.05611677671330629	-0.019958333134405374	-0.09339126245129989	-0.4020774381669252	0.2034308150019123	0.305878839066518	0.07306389500092882	-0.07701199378392065	-0.19559903697091308	-0.09257305606322225	0.22402044753769734	-0.47558418586754947	0.32704352274092197	0.1133342043267481	-0.16875019529816962	-0.3309501179555382	-0.11663795944472599	-0.09447610401280727	-0.163647207924607	-0.018103416269189848	0.005013234121132715	-0.4452180132196141	0.013029995428441531	-0.08809487595130525	-0.18089422415925135	-0.11597322634506801	0.11135446644134893
DRD5	Not-coupled	-	Coupled	-	Dopamine receptors	classA	0.09205845692115158	-0.23510169463954939	0.16490379414013873	0.14666501359610085	-0.11341954580459637	-0.16825090957131986	-0.38943751095691476	-0.10327685024379393	0.16559860932076942	-0.25266209553415964	-0.06297895204960147	-0.11096394744760385	-0.10590222984088447	0.0507140930512778	0.6958391696492349	0.047074284678615644	0.177354133125345	-0.05697809857252597	-0.07068117914361538	-0.15855166207523352	-0.11587703800910139	0.21426439298414005	-0.30778992955940665	0.3581772176192681	-0.2232423569471561	0.031147842868101995	0.14131589836733072	-0.09182374156553813
EDNRA	Not-coupled	-	Coupled	-	Endothelin receptors	classA	0.3553068330887242	0.2581731335296266	-0.2601672565730664	-0.151954878718239	-0.061604035315818054	-0.2020229079445491	0.06974168425375742	0.3735591902702026	0.05856474100953459	-0.2978609274669643	-0.22602432133713618	0.16857508368399157	-0.30459606323513594	-0.2139842877264759	-0.0047969785630194335	0.36419533041072705	-0.04539629918841339	-0.2879281521471348	-0.3116338736106324	0.6406374455324787	-0.004321686738468439	0.3078305518365427	-0.07562519752073786	0.039098446051120506	-0.10714444552218286	-0.12177882338966305	-0.276329662971526	0.22556250709066286
F2R	-	-	Coupled	-	NA	classA	0.3248845572770972	0.14047558687023973	-0.10773061214739327	-0.10588754123130194	0.1823802357407185	-0.15145184197305533	-0.14477555902212733	0.2836756858089495	0.0562309169817444	-0.1882008201895279	-0.1644465736174568	0.45718296330622726	-0.019938310538620756	-0.28103533568885747	0.0890025739197309	0.07532984108369331	0.006832861016447118	-0.10115449248069122	0.0923346477174976	0.378288050725773	0.037203910422802196	0.14702467586762838	-0.09109950193487154	0.04788624140487035	-0.07274569220242638	-0.09637061099375119	-0.13801703155071834	0.1547611301906564
F2RL1	-	-	Coupled	-	NA	classA	0.4344428694993481	0.20673718842963562	0.18919277746255628	-0.03339015027841483	-0.10000263624587402	-0.12705341820028407	0.10609709354612049	0.3083956647431296	0.2228417438282196	0.41371540380257954	-0.17038205704749462	0.054304161203874116	-0.58407954985265	0.028401471567075537	0.15170446976487553	0.4376660790984773	-0.1518631808213444	0.09930529943869504	0.1424875302889733	-0.10897117773684806	-0.1997554959579762	-0.1752083803590032	0.25592806117758427	0.16579584231845887	0.10683196260194466	-0.14927638653558137	0.1385406350119662	0.13775797017749233
FFAR2	Coupled	-	Not-coupled	-	Free fatty acid receptors	classA	0.43663336350456283	0.26810673925822304	-0.08279489024945075	-0.008075913174663595	0.015059519445582717	-0.21240729086530494	0.23808095411595917	0.3041281774234906	0.3497481011698306	0.5013947290229446	-0.19682579310722673	-0.08681677516917526	-0.45965791669196965	0.17024116110536053	0.03467156557955146	0.4718118039514777	-0.09556415895707357	0.13579353210224906	-0.061483971795330175	-0.15982795336611674	-0.23922419503442646	-0.13510932056360844	0.19382457824303356	0.17223028953349967	0.1362947489621175	-0.016218156932372656	0.07390381416500105	0.20127104010928543
FFAR3	Coupled	-	Not-coupled	-	Free fatty acid receptors	classA	0.10214721433584659	-0.006077542555829198	-0.3525915115430782	0.15335948936558227	-0.14567367175762685	-0.13592980762081883	-0.09297120100867473	-0.14839342333369565	0.02609682067834927	0.17630749605197504	-0.10230357232571807	0.07816007641242236	-0.14390800054821692	-0.07803114524273518	-0.02096096460111008	-0.2571644218325118	-0.21163573712661018	0.377648542670737	0.07436062646276217	0.09996689352812914	0.14624625954845086	0.21053729039999153	-0.2716105443663981	-0.12961726086578193	-0.05438616667909149	0.2871932275170908	-0.033384740173004426	-0.020723116903829504
FFAR4	Not-coupled	-	-	-	Free fatty acid receptors	classA	-0.09828982246282143	0.5623710587972315	0.2761252238138647	-0.16339548479900054	-0.1902076400687163	-0.03918700388110115	0.13295681892556135	-0.30412532100043455	0.21652673477871598	0.03444859710942701	0.2945473380103444	-0.17992100876255082	0.1387173965946429	-0.022536612879689555	0.1650883315987114	-0.07653926305986411	0.25555557804430695	-0.035112372603369704	-0.19415787363936768	-0.001666429941743919	0.02237602600611451	-0.0015605995272267692	-0.004246928108526833	-0.006402595752917227	-0.0038180933766745325	0.005942357237578352	0.005858844462213012	0.09381521328648193
GCGR	Not-coupled	-	Coupled	-	Glucagon receptor family	classB	0.2358882844271625	-0.3553619210709537	0.4446321945824978	0.11658000317592496	-0.19584675249038397	-0.5214213293880063	-0.15060379926909417	-0.19469453436835255	0.21683064007566794	-0.09838248094182049	0.026772454966250792	0.22198033051776164	-0.309780972588225	0.07978377746036054	-0.2352658405147616	-0.11745549288156691	0.2586120993591258	0.1557319517967859	0.1828479708384308	-0.07101400541437765	0.01994337461947399	0.049541014368253165	-0.05412561307053071	0.4437510121989705	-0.4830500494644371	-0.14078496484095915	0.33512900830278136	-0.0398408463752588
GHSR	Coupled	-	Coupled	-	Ghrelin receptor	classA	-0.09233934093468837	0.5834327863628255	0.4512895228374223	-0.15541738247194495	-0.245407967777097	-0.08850379271431655	0.22926472848595292	-0.29664942314751364	0.1732658027157269	0.0016264131604881507	0.27621169586657734	-0.12800588627506945	0.10010303411164856	-0.11391118716436881	0.2316568679343395	0.0026662085182606746	0.2253121765816098	0.010122219682008844	-0.19709021755451725	0.002982688229090816	0.02016383491036862	-0.0021293336096166646	0.06625641802678096	-0.08893289162536158	-0.03730472658329086	0.04736285376699583	-0.005580415274223359	0.06583588356504687
