#Gene	GNAS	GNAL	GNAI1	GNAI3	GNAO1	GNAZ	GNAQ	GNA14	GNA15	GNA12	GNA13
HTR4	-0.59619	-0.68471	-0.01507	0.00000	-0.33751	-0.16556	-0.45961	-0.24870	-1.11897	-0.99656	-1.03978
HTR6	0.00000	-0.05943	-0.98064	-1.30045	-0.89940	-0.38789	-0.53786	-0.78606	-1.53644	-1.53654	-0.38640
HTR7	-0.06685	-0.06888	-0.40221	-0.28753	-0.19849	-0.17131	-0.24061	0.00000	-0.37615	-0.21735	-0.06124
KISS1R	-1.60854	-1.69401	-1.44786	-1.02168	-1.89081	-2.00000	0.00000	-0.08473	-2.00000	-1.80206	-1.98802
LPAR1	-1.89584	-2.00000	-0.18291	-0.12056	-0.47646	-2.00000	-0.35818	-0.01569	0.00000	-0.28284	-0.08721
LPAR2	-0.42731	-0.51401	-0.36844	-0.37299	-0.35028	-0.53713	-0.01445	-0.40835	-0.09445	0.00000	-0.21327
LPAR3	-1.02587	-0.89973	-0.23189	-0.07203	-0.09104	0.00000	-0.46257	-0.37515	-0.59304	-0.72558	-0.45764
LPAR4	0.00000	-0.08240	-0.19488	-0.28662	-0.16497	-0.32148	-0.66869	-0.33452	-0.27267	-0.50910	-0.21603
LPAR5	-2.00000	-2.00000	-0.05508	-0.16264	0.00000	-0.10779	-1.51797	-1.33970	-1.60194	-0.63855	-0.71422
LPAR6	-1.18466	-1.53548	-0.31768	-0.11763	-0.21484	-0.69301	-1.14329	-0.72119	-1.15613	0.00000	-0.01064
LTB4R	-1.04301	-1.15384	-0.43557	0.00000	-0.92629	-1.24894	-1.17280	-0.74456	-1.23060	-0.99651	-1.13556
LTB4R2	-2.00000	-2.00000	-0.48577	0.00000	-1.93555	-2.00000	-1.54694	-1.73284	-2.00000	-1.52486	-2.00000
MC1R	-0.69243	-1.37486	-1.40346	-1.27583	-1.48349	-1.05698	-0.50808	0.00000	-2.00000	-2.00000	-2.00000
MC3R	-1.16803	-0.69747	-1.11335	-0.48653	-0.84286	-0.37275	-0.52275	-0.19194	-0.19699	-0.07583	-0.44692
MC4R	-0.64439	-0.40247	-0.74068	-0.38220	-1.44680	-0.42044	-0.37908	0.00000	-1.87838	-0.88063	-1.13380
MC5R	-0.80949	-0.88405	-0.87566	-0.57613	-1.72202	-0.78675	-0.67938	0.00000	-1.22991	-0.69697	-0.74562
MCHR1	-0.95527	-0.94041	-0.50237	0.00000	-0.81512	-1.87364	-0.08657	-1.53876	-1.99808	-1.55809	-1.40023
MCHR2	-0.82233	-0.79450	-0.65835	-0.10075	-1.39852	-1.46773	0.00000	-0.73917	-0.86439	-0.90893	-1.06714
MLNR	-1.18949	-1.25275	-0.81689	-0.39773	-1.36952	-1.29758	0.00000	-0.56322	-1.64970	-0.87772	-1.15860
MRGPRX1	-0.01810	0.00000	-0.53229	-0.47090	-0.19004	-0.35585	-0.19761	-0.49021	-0.18044	-0.06582	-0.16119
MRGPRX2	-0.23624	-0.22363	0.00000	-0.05658	-0.13044	-0.46969	-0.10033	-0.06916	-0.59007	-0.35891	-0.66696
MTNR1A	-2.00000	-2.00000	-0.12076	0.00000	-0.40881	-0.03522	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
MTNR1B	-2.00000	-2.00000	0.00000	-0.00195	-0.88847	-0.28980	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
NMBR	-0.92927	-0.86057	-0.71284	-0.44801	-0.88195	-0.67880	0.00000	-0.18668	-2.00000	-0.89612	-0.43004
NMUR1	-1.46269	-1.40215	-1.46462	-1.06390	-2.00000	-1.96655	0.00000	-0.16472	-2.00000	-1.92455	-1.86596
NMUR2	-1.73245	-1.76764	-0.42540	0.00000	-0.98618	-0.95583	-0.05300	-0.12711	-0.25682	-0.65420	-1.61754
NPBWR1	-2.00000	-2.00000	-0.10184	0.00000	-1.43384	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
NPFFR1	-2.00000	-2.00000	-0.65960	0.00000	-0.88772	-0.77284	-1.94896	-2.00000	-2.00000	-2.00000	-2.00000
NPFFR2	-2.00000	-2.00000	-0.15783	0.00000	-0.27867	-0.26506	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
OPRD1	-2.00000	-2.00000	-0.36619	0.00000	-1.23575	-1.60469	-1.89587	-0.47248	-1.92712	-1.81378	-2.00000
OPRK1	-2.00000	-2.00000	-0.26721	0.00000	-0.87163	-0.72419	-1.86545	-1.28482	-1.96357	-1.65376	-2.00000
OPRL1	-2.00000	-2.00000	-0.55615	0.00000	-0.85276	-0.63098	-2.00000	-0.72955	-2.00000	-1.87128	-2.00000
OPRM1	-2.00000	-2.00000	-0.20949	0.00000	-0.90626	-0.77596	-2.00000	-1.20968	-2.00000	-1.93039	-2.00000
OXGR1	-0.65849	-0.82082	-0.44208	-0.33867	-0.48362	-0.45198	0.00000	-0.19058	-2.00000	-0.91733	-1.53493
OXTR	-0.64520	-0.70529	-0.75368	-0.75082	-1.86521	-1.83311	0.00000	-0.88449	-2.00000	-1.92756	-2.00000
P2RY1	-0.00561	0.00000	-0.20907	-1.50521	-0.03515	-0.13261	-2.00000	-2.00000	-0.16995	-0.13597	-0.28808
P2RY2	-0.45192	-0.26402	-2.00000	-2.00000	-2.00000	-1.13447	-2.00000	-1.83799	0.00000	-0.12165	-0.08862
P2RY4	-1.34435	-1.61857	0.00000	-0.22298	-0.11220	-0.68780	-2.00000	-2.00000	-0.88646	-1.49764	-0.45342
P2RY6	0.00000	-0.08827	-1.23451	-2.00000	-0.90325	-0.15587	-2.00000	-2.00000	-0.14524	-0.01382	-0.17986
P2RY10	-2.00000	-2.00000	-0.53148	-0.38074	-0.90511	-0.68447	-1.17254	-0.53299	-2.00000	-0.27508	0.00000
P2RY11	-0.27380	-0.32981	-0.07104	0.00000	-0.20473	-0.55423	-0.16947	-0.35443	-0.82019	-0.11229	-0.06331
P2RY12	-1.92643	-1.93787	-0.16311	0.00000	-0.10223	-0.75353	-1.38597	-1.05789	-2.00000	-1.07993	-1.23260
P2RY13	-1.99413	-2.00000	-1.27226	-1.38148	-0.79881	-1.48638	-0.04036	0.00000	-0.71132	-0.42219	-0.44717
P2RY14	-2.00000	-2.00000	0.00000	-0.29700	-0.04560	-0.14056	-1.64848	-0.77841	-2.00000	-2.00000	-2.00000
PRLHR	-1.96943	-1.87311	-0.81799	-0.42868	-0.70695	-2.00000	0.00000	-0.07389	-2.00000	-2.00000	-0.83459
PTAFR	-0.07704	-0.09246	-0.13707	-0.33735	-0.01855	-0.12400	0.00000	-0.37814	-0.06191	-0.46437	-0.22582
PTGDR	0.00000	-0.15553	-2.00000	-2.00000	-2.00000	-2.00000	-1.32796	-1.88309	-2.00000	-1.98019	-1.96431
PTGER1	-0.56439	-0.67219	-1.10391	-1.65912	-1.70376	-1.87594	0.00000	-0.40194	-1.68564	-0.55762	-1.04477
PTGER2	0.00000	-0.53376	-2.00000	-2.00000	-2.00000	-2.00000	-1.49087	-1.77113	-2.00000	-2.00000	-2.00000
PTGER3	-1.82120	-1.92080	-0.49461	-0.76345	-0.57953	-0.85890	-2.00000	-1.36133	-2.00000	0.00000	-1.22873
PTGER4	0.00000	-0.10220	-0.31866	-2.00000	-2.00000	-2.00000	-1.71385	-1.78360	-2.00000	-1.97791	-1.82363
PTGFR	-0.04182	-0.16486	-1.87832	-1.45049	-1.98286	-1.95661	0.00000	-0.33933	-1.45994	-1.67564	-1.02069
PTGIR	0.00000	-0.24990	-2.00000	-2.00000	-2.00000	-2.00000	-0.84516	-1.94118	-2.00000	-1.97946	-2.00000
PTH1R	0.00000	-0.19669	-1.87222	-1.88568	-2.00000	-1.73791	-0.93468	-1.02272	-1.82771	-1.71522	-2.00000
PTH2R	0.00000	-0.14151	-0.75781	-0.72897	-1.05149	-0.91102	-0.19137	-0.15895	-0.21842	-0.67910	-0.89358
S1PR1	-1.68683	-1.98936	-0.47981	0.00000	-0.88997	-0.48938	-1.74583	-1.77106	-1.86176	-1.19105	-1.59183
S1PR2	-1.76735	-1.83514	-0.62896	-0.20487	-0.40922	-0.16448	-0.84730	-0.40497	-1.08652	0.00000	-0.27738
S1PR3	-0.94046	-0.97687	-0.09311	0.00000	-0.04520	-0.24301	-0.31542	-0.24093	-0.05919	-0.01488	-0.18447
S1PR5	-2.00000	-2.00000	-0.39027	0.00000	-1.95322	-1.60109	-1.99111	-1.79741	-1.66223	-1.91266	-1.39171
SSTR1	-2.00000	-2.00000	-0.300554286	0.00000	-1.09357761	-1.806457914	-1.941930055	-1.515653069	-1.765411524	-0.757450857	-1.934597325
SSTR2	-2.00000	-2.00000	-0.76686	0.00000	-1.16009	-1.59464	-2.00000	-0.80919	-1.64601	-2.00000	-2.00000
SSTR3	-2.00000	-2.00000	-0.24873	0.00000	-1.30792	-1.64266	-1.93359	-1.47237	-1.93171	-2.00000	-2.00000
SSTR4	-2.00000	-2.00000	-0.46786	0.00000	-1.26406	-1.81748	-2.00000	-1.39420	-1.64940	-0.89782	-1.88497
SSTR5	-2.00000	-2.00000	-0.46712	0.00000	-0.76930	-1.01884	-2.00000	-1.21131	-1.90405	-1.70851	-2.00000
TACR1	-0.56478	-0.60233	-0.38002	-0.50198	-0.67582	-0.75359	-0.05612	0.00000	-1.10288	-0.62921	-0.31077
TACR2	-1.41835	-1.40807	-0.60831	-0.53624	-1.23807	-1.27671	0.00000	-0.00927	-1.57282	-1.12922	-1.23680
TACR3	-0.67002	-0.77403	-0.54994	-0.64234	-1.29780	-1.26371	-0.02433	0.00000	-1.33337	-0.87124	-0.50297
TBXA2R	-1.09583	-1.25540	-0.93250	-1.72459	-2.00000	-2.00000	0.00000	-0.06465	-2.00000	-1.08855	-0.44148
UTS2R	-0.35446	-0.38742	0.00000	-0.23425	-0.25388	-0.16555	-0.30004	-0.26470	-0.88026	-0.29643	-1.00251
