GPCR	401bip	401bin	428bip	428bin	439pos	507bip	507bin	599pos	640bip	640bin	655bip	655bin	674pos	886pos	920bip	920bin	925bip	925bin	932bip	932bin	967pos	1000bip	1000bin	V_CTL	O
GNRHR	5.53007	5.80056	3.52435	2.78984	1	0.70504	1.25879	1	3.56816	3.64901	1.35689	1.8432	1	1	3.01459	2.64061	1.53036	1.00343	1.75052	1.62316	1	1.48781	2.12137	0	1
CNR1	1.36205	1.51664	1.10964	1.61401	1	0.70504	1.25879	0	1.71172	2.05179	1.61226	1.26761	1	1	1.43762	1.44671	1.52296	1.64069	2.78085	1.6701	0	1.18283	1.61808	4	1
P2RY14	5.53007	5.80056	1.39994	1.50474	0	0.70504	1.25879	1	1.83358	2.41664	2.14505	2.38356	0	0	0.99279	1.90923	1.53036	1.00343	1.24404	1.85439	1	1.18283	1.61808	0	1
S1PR2	1.48185	1.21398	1.39994	1.50474	1	0.70504	1.25879	0	2.97985	3.08898	1.61226	1.26761	0	0	1.43762	1.44671	1.53036	1.00343	3.21966	3.27767	1	2.01105	1.53619	5	1
P2RY10	1.90028	1.64452	1.39994	1.50474	0	2.33229	2.29197	0	1.83358	2.41664	1.61226	1.26761	0	0	3.01459	2.64061	1.52296	1.64069	1.24404	1.85439	1	1.18283	1.61808	1	1
P2RY11	1.87635	2.09126	3.09636	3.16685	1	0.70504	1.25879	1	2.06254	1.6982	2.45039	1.89548	0	0	0.99279	1.90923	3.35267	4.40788	1.24404	1.85439	0	5.47651	5.13416	4	1
P2RY13	1.87635	2.09126	1.39994	1.50474	0	0.70504	1.25879	1	2.2162	2.28997	1.35689	1.8432	1	0	0.99279	1.90923	1.53036	1.00343	3.08815	2.61202	1	1.48781	2.12137	0	1
MRGPRX1	1.90028	1.64452	1.39994	1.50474	1	1.14033	0.90283	1	1.83358	2.41664	2.14505	2.38356	0	0	0.99279	1.90923	1.37604	1.4109	1.24404	1.85439	1	1.18283	1.61808	3	1
MRGPRX2	1.90028	1.64452	1.10964	1.61401	1	1.14033	0.90283	1	2.15094	2.35421	3.03547	4.25424	0	0	0.99279	1.90923	1.37604	1.4109	1.24404	1.85439	0	1.18283	1.61808	3	1
OXGR1	4.04255	4.64858	1.39994	1.50474	0	0.70504	1.25879	0	2.97985	3.08898	2.51077	1.71134	0	0	1.43762	1.44671	1.53036	1.00343	1.24404	1.85439	1	1.48781	2.12137	6	1
TBXA2R	1.90028	1.64452	3.4824	2.76166	1	0.70504	1.25879	1	2.15094	2.35421	3.03547	4.25424	0	1	2.16168	1.81508	1.53036	1.00343	1.75052	1.62316	1	3.54489	2.33353	1	1
GHSR	1.48185	1.21398	1.10964	1.61401	0	0.70504	1.25879	1	2.2162	2.28997	2.14505	2.38356	1	0	0.99279	1.90923	1.37604	1.4109	1.75052	1.62316	1	1.18283	1.61808	2	1
MC5R	1.36205	1.51664	1.10964	1.61401	1	0.70504	1.25879	0	3.03762	2.99121	2.14505	2.38356	1	1	1.43762	1.44671	1.53036	1.00343	1.84886	2.04214	1	1.48781	2.12137	0	1
BDKRB1	1.87635	2.09126	1.39994	1.50474	0	2.33229	2.29197	1	2.06254	1.6982	1.61226	1.26761	0	1	0.99279	1.90923	1.53036	1.00343	3.08815	2.61202	1	2.01105	1.53619	3	1
BDKRB2	1.87635	2.09126	1.39994	1.50474	0	2.33229	2.29197	1	1.71172	2.05179	1.61226	1.26761	0	0	1.43762	1.44671	1.52296	1.64069	1.24404	1.85439	1	1.48781	2.12137	5	1
CCKAR	1.90028	1.64452	1.10964	1.61401	1	0.70504	1.25879	1	2.2162	2.28997	1.35689	1.8432	1	1	0.99279	1.90923	1.37604	1.4109	3.21966	3.27767	1	1.18283	1.61808	2	1
ADRB1	1.36205	1.51664	1.10964	1.61401	1	0.70504	1.25879	1	1.71172	2.05179	1.35689	1.8432	1	1	2.16168	1.81508	1.37604	1.4109	1.84886	2.04214	0	1.18283	1.61808	3	1
ADRB2	1.36205	1.51664	1.10964	1.61401	1	0.70504	1.25879	1	1.71172	2.05179	1.35689	1.8432	1	1	2.16168	1.81508	1.37604	1.4109	1.24404	1.85439	0	1.48781	2.12137	3	1
SSTR2	1.36205	1.51664	1.39994	1.50474	0	1.14033	0.90283	1	2.06254	1.6982	1.61226	1.26761	0	1	0.99279	1.90923	3.1503	4.19884	1.24404	1.85439	1	1.18283	1.61808	3	1
OXTR	1.90028	1.64452	3.52435	2.78984	1	0.70504	1.25879	1	1.83358	2.41664	2.14505	2.38356	1	1	0.99279	1.90923	1.53036	1.00343	3.08815	2.61202	0	3.54489	2.33353	2	1
LPAR2	1.36205	1.51664	1.39994	1.50474	1	1.14033	0.90283	0	3.03762	2.99121	1.35689	1.8432	1	0	1.43762	1.44671	1.53036	1.00343	1.75052	1.62316	0	3.37343	2.61418	1	1
LPAR3	1.48185	1.21398	1.39994	1.50474	1	0.70504	1.25879	0	3.03762	2.99121	1.35689	1.8432	1	1	1.43762	1.44671	1.53036	1.00343	1.75052	1.62316	1	1.18283	1.61808	2	1
F2RL1	1.87635	2.09126	1.39994	1.50474	0	0.70504	1.25879	1	1.83358	2.41664	2.45039	1.89548	0	0	1.43762	1.44671	1.52296	1.64069	1.84886	2.04214	1	2.4153	2.47763	1	1
MLNR	1.36205	1.51664	1.10964	1.61401	0	0.70504	1.25879	1	1.83358	2.41664	2.14505	2.38356	1	1	0.99279	1.90923	1.52296	1.64069	1.75052	1.62316	1	1.18283	1.61808	3	1
LPAR6	1.87635	2.09126	1.39994	1.50474	0	0.70504	1.25879	1	1.71172	2.05179	4.05564	5.06289	0	0	1.43762	1.44671	3.1503	4.19884	1.24404	1.85439	1	1.18283	1.61808	2	1
LPAR4	1.87635	2.09126	1.39994	1.50474	0	0.70504	1.25879	0	1.71172	2.05179	4.05564	5.06289	0	0	2.16168	1.81508	1.53036	1.00343	3.21966	3.27767	1	2.4153	2.47763	1	1
OPRL1	1.36205	1.51664	1.39994	1.50474	0	0.70504	1.25879	0	2.15094	2.35421	1.61226	1.26761	0	1	0.99279	1.90923	4.28057	4.52462	1.75052	1.62316	1	1.18283	1.61808	5	1
PRLHR	1.36205	1.51664	1.39994	1.50474	1	2.33229	2.29197	1	1.71172	2.05179	1.61226	1.26761	1	0	0.99279	1.90923	1.53036	1.00343	1.75052	1.62316	1	2.4153	2.47763	4	1
KISS1R	1.36205	1.51664	1.39994	1.50474	1	4.20071	2.98301	0	1.83358	2.41664	2.45039	1.89548	1	1	0.99279	1.90923	2.91744	3.02731	1.84886	2.04214	1	1.48781	2.12137	2	1
CHRM5	1.87635	2.09126	1.10964	1.61401	1	0.70504	1.25879	1	1.83358	2.41664	1.35689	1.8432	1	1	1.43762	1.44671	1.52296	1.64069	1.24404	1.85439	0	1.18283	1.61808	1	1
CHRM3	1.87635	2.09126	1.10964	1.61401	1	0.70504	1.25879	1	1.83358	2.41664	1.35689	1.8432	1	1	1.43762	1.44671	1.52296	1.64069	1.24404	1.85439	0	2.01105	1.53619	1	1
CHRM1	1.87635	2.09126	1.10964	1.61401	1	1.14033	0.90283	1	1.83358	2.41664	1.35689	1.8432	1	1	1.43762	1.44671	1.37604	1.4109	1.24404	1.85439	0	3.02889	3.59693	1	1
GRPR	1.87635	2.09126	1.10964	1.61401	1	0.70504	1.25879	1	1.71172	2.05179	1.61226	1.26761	1	1	0.99279	1.90923	3.1503	4.19884	1.75052	1.62316	1	2.4153	2.47763	2	1
FFAR4	1.48185	1.21398	1.39994	1.50474	0	0.70504	1.25879	1	2.06254	1.6982	1.61226	1.26761	1	1	2.16168	1.81508	1.52296	1.64069	1.24404	1.85439	1	1.18283	1.61808	3	1
NMUR2	1.36205	1.51664	1.10964	1.61401	1	0.70504	1.25879	1	2.15094	2.35421	1.61226	1.26761	0	1	0.99279	1.90923	1.52296	1.64069	1.24404	1.85439	1	1.18283	1.61808	2	1
NMUR1	1.36205	1.51664	1.10964	1.61401	1	1.14033	0.90283	1	2.06254	1.6982	1.35689	1.8432	1	1	0.99279	1.90923	1.52296	1.64069	2.78085	1.6701	1	2.01105	1.53619	2	1
DRD5	1.36205	1.51664	1.10964	1.61401	1	0.70504	1.25879	1	2.2162	2.28997	1.35689	1.8432	1	1	2.16168	1.81508	3.74246	5.0079	1.24404	1.85439	1	2.01105	1.53619	8	1
DRD1	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	1	2.2162	2.28997	1.35689	1.8432	1	1	2.16168	1.81508	3.74246	5.0079	1.24404	1.85439	1	1.18283	1.61808	5	1
OPRD1	1.36205	1.51664	1.39994	1.50474	0	1.14033	0.90283	0	2.15094	2.35421	1.61226	1.26761	0	1	0.99279	1.90923	1.53036	1.00343	1.24404	1.85439	1	2.01105	1.53619	1	1
GPR132	3.0223	3.20886	4.14274	5.47172	0	1.14033	0.90283	0	1.71172	2.05179	1.61226	1.26761	0	0	0.99279	1.90923	1.53036	1.00343	1.84886	2.04214	1	1.18283	1.61808	5	1
HTR1D	1.36205	1.51664	1.10964	1.61401	1	0.70504	1.25879	0	3.02833	2.67957	2.14505	2.38356	1	1	1.43762	1.44671	1.52296	1.64069	1.75052	1.62316	1	1.18283	1.61808	2	1
HTR1A	1.36205	1.51664	1.10964	1.61401	1	0.70504	1.25879	1	3.02833	2.67957	1.35689	1.8432	1	1	2.16168	1.81508	1.37604	1.4109	1.24404	1.85439	1	2.01105	1.53619	0	1
HTR1B	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	0	3.02833	2.67957	2.14505	2.38356	1	1	1.43762	1.44671	1.53036	1.00343	1.24404	1.85439	1	1.18283	1.61808	0	1
AVPR1B	1.90028	1.64452	3.52435	2.78984	1	1.14033	0.90283	1	1.83358	2.41664	2.14505	2.38356	0	1	0.99279	1.90923	2.91744	3.02731	3.21966	3.27767	1	3.54489	2.33353	0	0
GPR17	1.87635	2.09126	3.52435	2.78984	0	0.70504	1.25879	0	1.71172	2.05179	2.45039	1.89548	0	0	1.43762	1.44671	1.53036	1.00343	1.75052	1.62316	1	1.18283	1.61808	1	0
AVPR1A	1.90028	1.64452	3.52435	2.78984	1	1.14033	0.90283	1	3.02833	2.67957	2.14505	2.38356	1	0	0.99279	1.90923	1.53036	1.00343	1.24404	1.85439	1	3.54489	2.33353	2	0
AVPR2	1.90028	1.64452	3.52435	2.78984	1	0.70504	1.25879	1	3.69616	2.80031	1.61226	1.26761	1	1	0.99279	1.90923	1.37604	1.4109	1.84886	2.04214	0	5.47651	5.13416	2	0
ADORA1	1.48185	1.21398	1.10964	1.61401	1	1.14033	0.90283	1	2.15094	2.35421	1.35689	1.8432	1	1	1.43762	1.44671	1.37604	1.4109	1.24404	1.85439	0	1.18283	1.61808	1	0
ADORA3	1.48185	1.21398	1.10964	1.61401	1	1.14033	0.90283	1	2.06254	1.6982	1.35689	1.8432	1	1	1.43762	1.44671	1.37604	1.4109	1.24404	1.85439	0	1.18283	1.61808	2	0
MTNR1B	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	0	2.2162	2.28997	2.51077	1.71134	1	1	3.15338	3.10564	1.52296	1.64069	2.62602	4.17571	1	1.18283	1.61808	1	0
P2RY12	5.53007	5.80056	1.39994	1.50474	0	4.20071	2.98301	1	2.2162	2.28997	2.51077	1.71134	1	0	2.71441	2.474	1.52296	1.64069	3.08815	2.61202	1	2.4153	2.47763	0	0
GPR55	5.53007	5.80056	1.39994	1.50474	0	0.70504	1.25879	0	2.15094	2.35421	1.35689	1.8432	0	0	1.43762	1.44671	1.53036	1.00343	1.84886	2.04214	1	2.4153	2.47763	3	0
PTGDR	5.53007	5.80056	3.4824	2.76166	1	2.33229	2.29197	1	3.69616	2.80031	2.45039	1.89548	1	1	3.66202	2.78269	3.80208	3.48337	4.1601	3.50618	1	3.54489	2.33353	1	0
PTGER3	1.48185	1.21398	6.17953	4.03057	1	0.70504	1.25879	1	2.15094	2.35421	2.45039	1.89548	1	1	2.16168	1.81508	1.53036	1.00343	1.24404	1.85439	1	3.54489	2.33353	0	0
GPR35	1.87635	2.09126	1.39994	1.50474	0	1.14033	0.90283	0	2.06254	1.6982	2.51077	1.71134	0	0	1.43762	1.44671	1.53036	1.00343	1.75052	1.62316	1	1.18283	1.61808	2	0
GPR34	1.87635	2.09126	1.39994	1.50474	0	0.70504	1.25879	0	1.71172	2.05179	1.61226	1.26761	1	0	1.43762	1.44671	1.52296	1.64069	2.78085	1.6701	1	2.01105	1.53619	2	0
PTGER2	5.53007	5.80056	3.06125	2.66225	1	0.70504	1.25879	1	2.06254	1.6982	2.51077	1.71134	1	1	3.66202	2.78269	1.53036	1.00343	1.24404	1.85439	1	3.54489	2.33353	2	0
CNR2	1.36205	1.51664	1.10964	1.61401	1	2.33229	2.29197	0	2.15094	2.35421	1.61226	1.26761	1	1	1.43762	1.44671	1.52296	1.64069	2.78085	1.6701	0	2.01105	1.53619	2	0
P2RY2	1.87635	2.09126	3.52435	2.78984	0	1.14033	0.90283	0	2.06254	1.6982	1.61226	1.26761	1	0	1.43762	1.44671	1.37604	1.4109	1.75052	1.62316	1	2.01105	1.53619	2	0
PTGER4	1.90028	1.64452	3.4824	2.76166	1	0.70504	1.25879	1	3.03762	2.99121	2.45039	1.89548	1	1	4.21928	3.11187	1.52296	1.64069	1.75052	1.62316	1	3.54489	2.33353	5	0
S1PR1	1.36205	1.51664	1.39994	1.50474	1	3.89831	3.33678	0	1.71172	2.05179	1.61226	1.26761	1	0	1.43762	1.44671	2.91744	3.02731	1.24404	1.85439	1	1.18283	1.61808	1	0
GPR183	1.36205	1.51664	1.39994	1.50474	0	1.14033	0.90283	0	2.2162	2.28997	1.61226	1.26761	1	0	2.71441	2.474	1.37604	1.4109	1.75052	1.62316	1	2.4153	2.47763	4	0
ADRA2A	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	1	3.02833	2.67957	1.35689	1.8432	1	1	2.71441	2.474	1.53036	1.00343	3.08815	2.61202	0	2.01105	1.53619	1	0
ADRA2B	1.48185	1.21398	1.10964	1.61401	1	1.14033	0.90283	1	3.02833	2.67957	1.35689	1.8432	1	1	2.71441	2.474	1.37604	1.4109	3.08815	2.61202	1	2.01105	1.53619	0	0
ADRA2C	1.48185	1.21398	1.10964	1.61401	1	1.14033	0.90283	1	3.02833	2.67957	1.35689	1.8432	1	1	2.16168	1.81508	1.37604	1.4109	3.08815	2.61202	1	2.01105	1.53619	1	0
SSTR3	1.48185	1.21398	1.39994	1.50474	0	1.14033	0.90283	0	2.06254	1.6982	1.61226	1.26761	0	1	0.99279	1.90923	1.37604	1.4109	1.75052	1.62316	1	1.18283	1.61808	5	0
LTB4R2	1.90028	1.64452	3.52435	2.78984	1	1.14033	0.90283	0	2.97985	3.08898	1.35689	1.8432	0	0	0.99279	1.90923	1.37604	1.4109	2.78085	1.6701	1	2.01105	1.53619	5	0
HRH4	1.87635	2.09126	1.39994	1.50474	1	1.14033	0.90283	0	2.06254	1.6982	2.51077	1.71134	1	1	1.43762	1.44671	1.53036	1.00343	1.84886	2.04214	1	1.48781	2.12137	1	0
HRH3	1.87635	2.09126	1.39994	1.50474	1	1.14033	0.90283	1	2.06254	1.6982	2.51077	1.71134	1	1	0.99279	1.90923	1.37604	1.4109	1.84886	2.04214	0	2.01105	1.53619	0	0
GPR84	1.90028	1.64452	1.39994	1.50474	1	0.70504	1.25879	0	2.2162	2.28997	2.51077	1.71134	1	1	3.15338	3.10564	1.37604	1.4109	1.84886	2.04214	1	2.01105	1.53619	0	0
S1PR5	1.90028	1.64452	1.10964	1.61401	1	3.89831	3.33678	0	2.06254	1.6982	1.61226	1.26761	1	1	1.43762	1.44671	2.91744	3.02731	1.84886	2.04214	1	1.18283	1.61808	2	0
OPRK1	1.36205	1.51664	1.39994	1.50474	0	1.14033	0.90283	1	2.15094	2.35421	1.61226	1.26761	0	1	0.99279	1.90923	1.53036	1.00343	1.24404	1.85439	1	1.18283	1.61808	3	0
PTGIR	1.90028	1.64452	3.4824	2.76166	1	2.33229	2.29197	1	4.02321	3.47135	1.61226	1.26761	1	1	3.66202	2.78269	1.53036	1.00343	1.24404	1.85439	1	3.54489	2.33353	7	0
CHRM4	1.36205	1.51664	1.10964	1.61401	1	1.14033	0.90283	1	1.83358	2.41664	1.35689	1.8432	1	1	1.43762	1.44671	1.37604	1.4109	1.75052	1.62316	0	3.37343	2.61418	0	0
NPFFR2	1.48185	1.21398	1.39994	1.50474	1	1.14033	0.90283	1	4.5224	3.84142	1.61226	1.26761	1	1	3.01459	2.64061	1.37604	1.4109	3.34855	3.1111	1	1.18283	1.61808	9	0
CHRM2	1.36205	1.51664	1.10964	1.61401	1	1.14033	0.90283	1	1.83358	2.41664	1.35689	1.8432	1	1	1.43762	1.44671	1.52296	1.64069	1.75052	1.62316	0	3.37343	2.61418	0	0
MCHR1	1.48185	1.21398	1.39994	1.50474	0	4.20071	2.98301	1	2.06254	1.6982	1.61226	1.26761	1	0	4.98193	3.61292	1.53036	1.00343	1.75052	1.62316	1	2.4153	2.47763	4	0
NPFFR1	1.48185	1.21398	1.39994	1.50474	1	0.70504	1.25879	1	4.69983	3.93909	1.61226	1.26761	1	1	3.01459	2.64061	1.37604	1.4109	2.78085	1.6701	1	1.18283	1.61808	5	0
OPRM1	1.36205	1.51664	1.39994	1.50474	0	1.14033	0.90283	0	2.15094	2.35421	1.61226	1.26761	0	1	0.99279	1.90923	1.53036	1.00343	1.24404	1.85439	1	2.01105	1.53619	1	0
FFAR2	1.87635	2.09126	1.10964	1.61401	0	1.14033	0.90283	1	1.71172	2.05179	2.45039	1.89548	0	0	1.43762	1.44671	1.53036	1.00343	1.75052	1.62316	0	1.48781	2.12137	4	0
