GPCR	398bip	398bin	401bip	401bin	424bip	424bin	426bip	426bin	493bip	493bin	655bip	655bin	657bip	657bin	919bip	919bin	967pos	G_TIL	N_CTL	O
P2RY14	5.54793	6.08165	5.57093	5.77656	1.9469	1.91409	1.44821	1.27459	0.82743	1.58645	2.26407	2.19774	1.82716	1.48993	1.63514	1.29494	1	0	2	1
GPR35	1.25915	1.42875	2.0118	1.83163	1.9469	1.91409	2.48397	2.7677	0.82743	1.58645	2.26321	2.12634	2.30016	2.39708	3.9963	4.73823	1	1	0	1
S1PR1	1.25915	1.42875	1.44824	1.28153	1.84463	1.61004	1.13809	1.58896	1.17203	1.48141	1.74083	1.43354	1.87766	1.89489	1.35103	1.44656	1	0	5	1
GPR183	1.25915	1.42875	1.44824	1.28153	1.76449	1.87586	3.18655	3.66497	1.17203	1.48141	1.74083	1.43354	1.87766	1.89489	1.63514	1.29494	1	1	2	1
P2RY10	1.25915	1.42875	2.30458	1.46368	1.9469	1.91409	2.48397	2.7677	0.82743	1.58645	1.74083	1.43354	3.51643	5.1398	4.25605	4.27981	1	1	0	1
ADRA2A	1.52613	1.06392	1.11777	1.87355	1.76449	1.87586	1.44821	1.27459	0.82743	1.58645	1.48675	1.47062	1.82541	1.92111	1.35103	1.44656	0	24	1	1
ADRA2B	1.52613	1.06392	1.11777	1.87355	1.76449	1.87586	1.44821	1.27459	0.82743	1.58645	1.48675	1.47062	1.82541	1.92111	1.35103	1.44656	1	22	1	1
ADRA2C	2.39208	1.77651	1.11777	1.87355	1.76449	1.87586	1.44821	1.27459	0.82743	1.58645	1.48675	1.47062	1.82541	1.92111	1.35103	1.44656	1	23	1	1
UTS2R	1.25915	1.42875	3.52191	3.93662	1.9794	2.04343	2.07137	2.07502	0.82743	1.58645	1.74083	1.43354	1.82541	1.92111	1.63514	1.29494	1	0	1	1
HRH2	2.13723	4.29469	1.11777	1.87355	3.52902	3.99738	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	1.87766	1.89489	1.35103	1.44656	0	0	4	1
P2RY4	1.25915	1.42875	2.0118	1.83163	3.14122	2.73181	2.48397	2.7677	1.17203	1.48141	2.05684	2.52411	1.82716	1.48993	1.35103	1.44656	1	1	0	1
HTR2C	1.52613	1.06392	1.11777	1.87355	1.84463	1.61004	1.44821	1.27459	0.82743	1.58645	1.48675	1.47062	1.87766	1.89489	1.35103	1.44656	1	3	9	1
HRH1	1.25915	1.42875	1.11777	1.87355	1.76449	1.87586	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	3.51643	5.1398	1.63514	1.29494	0	15	2	1
PTGER3	2.29388	2.0755	1.11777	1.87355	1.76449	1.87586	1.13809	1.58896	2.48943	1.97952	2.05684	2.52411	2.9254	3.62163	1.63514	1.29494	1	1	2	1
HTR2A	1.52613	1.06392	1.11777	1.87355	1.84463	1.61004	1.44821	1.27459	0.82743	1.58645	1.48675	1.47062	1.87766	1.89489	1.35103	1.44656	1	3	7	1
OXGR1	1.52613	1.06392	4.01879	4.63665	1.9469	1.91409	2.48397	2.7677	0.82743	1.58645	2.26321	2.12634	1.82541	1.92111	1.52045	1.66659	1	1	4	1
GPR84	1.25915	1.42875	2.30458	1.46368	1.76449	1.87586	1.13809	1.58896	0.82743	1.58645	2.26321	2.12634	1.87766	1.89489	1.35103	1.44656	1	7	1	1
MC3R	1.52613	1.06392	1.11777	1.87355	2.73534	2.59719	1.44821	1.27459	0.82743	1.58645	1.48675	1.47062	3.10764	2.72385	1.52045	1.66659	1	1	3	1
OPRK1	2.29388	2.0755	1.44824	1.28153	1.9469	1.91409	1.13809	1.58896	0.82743	1.58645	1.74083	1.43354	1.82716	1.48993	1.35103	1.44656	1	1	3	1
S1PR3	1.25915	1.42875	1.44824	1.28153	2.73534	2.59719	1.13809	1.58896	3.59479	2.52519	1.74083	1.43354	1.87766	1.89489	1.35103	1.44656	1	0	6	1
NPFFR2	2.13723	4.29469	1.11777	1.87355	1.76449	1.87586	1.13809	1.58896	1.17203	1.48141	1.74083	1.43354	1.87766	1.89489	1.35103	1.44656	1	1	11	1
CHRM5	2.29388	2.0755	2.0118	1.83163	1.84463	1.61004	1.44821	1.27459	1.17203	1.48141	1.48675	1.47062	1.87766	1.89489	1.63514	1.29494	0	8	2	1
HTR2B	1.52613	1.06392	1.11777	1.87355	1.84463	1.61004	1.44821	1.27459	0.82743	1.58645	1.48675	1.47062	1.82716	1.48993	1.35103	1.44656	1	3	7	1
MRGPRX1	1.25915	1.42875	2.30458	1.46368	1.9469	1.91409	1.13809	1.58896	2.48943	1.97952	2.26407	2.19774	3.47069	3.92118	3.11664	3.03279	1	0	2	1
NPFFR1	2.13723	4.29469	1.11777	1.87355	3.26275	3.3531	1.13809	1.58896	1.17203	1.48141	1.74083	1.43354	1.82716	1.48993	1.35103	1.44656	1	3	3	1
HTR6	1.52613	1.06392	1.44824	1.28153	2.73534	2.59719	1.44821	1.27459	0.82743	1.58645	1.74083	1.43354	2.30016	2.39708	1.52045	1.66659	0	2	3	1
HCRTR1	2.13723	4.29469	1.11777	1.87355	1.84463	1.61004	1.13809	1.58896	1.17203	1.48141	1.48675	1.47062	3.4651	3.63235	1.35103	1.44656	1	5	1	1
HTR4	2.29388	2.0755	1.11777	1.87355	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	1.82541	1.92111	1.63514	1.29494	0	1	2	1
LPAR3	1.52613	1.06392	1.11777	1.87355	1.84463	1.61004	1.44821	1.27459	2.48943	1.97952	1.48675	1.47062	1.82716	1.48993	1.35103	1.44656	1	1	2	1
MTNR1B	1.52613	1.06392	1.11777	1.87355	1.76449	1.87586	1.44821	1.27459	1.17203	1.48141	2.26321	2.12634	2.30016	2.39708	1.35103	1.44656	1	0	3	1
GRPR	1.52613	1.06392	2.0118	1.83163	1.76449	1.87586	1.13809	1.58896	1.17203	1.48141	1.74083	1.43354	1.82716	1.48993	3.4236	3.56553	1	1	4	1
GHSR	2.29388	2.0755	1.11777	1.87355	1.76449	1.87586	1.44821	1.27459	1.17203	1.48141	2.26407	2.19774	1.82716	1.48993	1.35103	1.44656	1	2	2	1
MTNR1A	1.52613	1.06392	1.11777	1.87355	1.9469	1.91409	2.07137	2.07502	0.82743	1.58645	2.26321	2.12634	2.30016	2.39708	1.35103	1.44656	1	0	6	1
P2RY6	1.52613	1.06392	1.44824	1.28153	1.9794	2.04343	3.26439	3.41363	0.82743	1.58645	2.26407	2.19774	2.49996	2.33331	1.35103	1.44656	1	1	0	1
MC5R	1.52613	1.06392	1.44824	1.28153	2.73534	2.59719	2.07137	2.07502	3.65267	3.20489	2.26407	2.19774	2.9254	3.62163	1.52045	1.66659	1	1	0	1
FFAR4	1.25915	1.42875	1.11777	1.87355	3.52902	3.99738	2.07137	2.07502	0.82743	1.58645	1.74083	1.43354	1.87766	1.89489	1.52045	1.66659	1	0	5	1
LPAR2	1.52613	1.06392	1.44824	1.28153	1.84463	1.61004	1.44821	1.27459	1.17203	1.48141	1.48675	1.47062	2.49996	2.33331	1.63514	1.29494	0	0	1	1
NMUR2	2.13723	4.29469	1.44824	1.28153	1.84463	1.61004	1.44821	1.27459	0.82743	1.58645	1.74083	1.43354	1.82716	1.48993	1.52045	1.66659	1	1	6	1
HTR7	2.39208	1.77651	1.11777	1.87355	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	2.30016	2.39708	1.63514	1.29494	1	2	4	1
P2RY1	1.52613	1.06392	2.0118	1.83163	1.9794	2.04343	2.48397	2.7677	0.82743	1.58645	1.74083	1.43354	3.47069	3.92118	1.35103	1.44656	1	0	3	1
DRD4	2.13723	4.29469	1.11777	1.87355	3.24247	3.65716	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	1.82541	1.92111	1.35103	1.44656	0	19	2	1
DRD5	2.13723	4.29469	1.44824	1.28153	1.9794	2.04343	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	1.82716	1.48993	1.63514	1.29494	1	0	8	1
DRD2	2.13723	4.29469	1.11777	1.87355	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	2.05684	2.52411	1.82541	1.92111	1.35103	1.44656	0	5	1	1
DRD3	2.13723	4.29469	1.11777	1.87355	1.84463	1.61004	2.07137	2.07502	0.82743	1.58645	2.05684	2.52411	1.82541	1.92111	1.35103	1.44656	0	9	1	1
DRD1	2.13723	4.29469	1.11777	1.87355	2.73534	2.59719	2.07137	2.07502	0.82743	1.58645	1.48675	1.47062	1.82716	1.48993	1.63514	1.29494	1	2	8	1
GALR3	1.25915	1.42875	2.30458	1.46368	1.76449	1.87586	1.13809	1.58896	4.0491	3.21743	2.26321	2.12634	1.82541	1.92111	1.35103	1.44656	1	2	0	1
F2R	1.52613	1.06392	2.0118	1.83163	1.9794	2.04343	2.48397	2.7677	0.82743	1.58645	3.18871	3.27606	1.82716	1.48993	1.35103	1.44656	1	0	4	1
NMBR	2.39208	1.77651	2.0118	1.83163	1.9469	1.91409	1.13809	1.58896	1.17203	1.48141	1.74083	1.43354	1.87766	1.89489	3.4236	3.56553	1	1	5	1
LPAR4	1.25915	1.42875	2.0118	1.83163	1.9469	1.91409	1.13809	1.58896	3.65267	3.20489	3.94106	4.63485	2.9254	3.62163	4.13065	4.92763	1	1	3	1
GPR119	3.10203	3.92774	1.11777	1.87355	3.52902	3.99738	3.26439	3.41363	1.17203	1.48141	3.44106	3.76052	2.30016	2.39708	1.52045	1.66659	0	3	1	1
GPR132	3.10203	3.92774	3.21605	2.94465	1.9794	2.04343	1.44821	1.27459	0.82743	1.58645	1.74083	1.43354	2.30016	2.39708	1.35103	1.44656	1	1	0	1
F2RL3	1.25915	1.42875	2.30458	1.46368	3.26275	3.3531	1.44821	1.27459	1.17203	1.48141	1.48675	1.47062	1.82541	1.92111	1.35103	1.44656	1	1	0	1
HTR1E	1.52613	1.06392	1.44824	1.28153	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	1.74083	1.43354	1.87766	1.89489	1.63514	1.29494	0	2	1	1
F2RL1	1.25915	1.42875	2.0118	1.83163	1.9469	1.91409	2.48397	2.7677	0.82743	1.58645	2.05684	2.52411	2.9254	3.62163	1.35103	1.44656	1	0	0	1
HCRTR2	2.13723	4.29469	1.11777	1.87355	1.84463	1.61004	1.13809	1.58896	1.17203	1.48141	1.48675	1.47062	1.82541	1.92111	1.35103	1.44656	1	3	5	1
LPAR6	1.52613	1.06392	2.0118	1.83163	3.14122	2.73181	2.48397	2.7677	0.82743	1.58645	3.94106	4.63485	3.10764	2.72385	4.13065	4.92763	1	0	5	1
HTR1B	1.52613	1.06392	1.11777	1.87355	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	2.26407	2.19774	2.49996	2.33331	1.63514	1.29494	1	3	1	1
LPAR5	1.25915	1.42875	2.0118	1.83163	1.9794	2.04343	2.48397	2.7677	4.43655	4.18261	2.26321	2.12634	3.07493	3.06712	3.9963	4.73823	1	0	2	1
AVPR1B	1.25915	1.42875	2.30458	1.46368	1.76449	1.87586	2.07137	2.07502	3.59479	2.52519	2.26407	2.19774	2.49996	2.33331	1.63514	1.29494	1	5	1	0
GPR17	1.25915	1.42875	2.0118	1.83163	1.9794	2.04343	1.44821	1.27459	0.82743	1.58645	2.05684	2.52411	3.10764	2.72385	1.35103	1.44656	1	1	4	0
PTGFR	5.54793	6.08165	5.57093	5.77656	1.76449	1.87586	3.40292	2.8706	2.48943	1.97952	3.18871	3.27606	1.82541	1.92111	1.63514	1.29494	1	1	2	0
AVPR1A	1.25915	1.42875	2.30458	1.46368	1.76449	1.87586	1.13809	1.58896	3.76079	2.6661	2.26407	2.19774	3.10764	2.72385	1.63514	1.29494	1	4	5	0
KISS1R	1.52613	1.06392	1.44824	1.28153	2.73534	2.59719	1.13809	1.58896	4.43655	4.18261	2.05684	2.52411	2.49996	2.33331	1.35103	1.44656	1	3	1	0
LTB4R2	2.39208	1.77651	2.30458	1.46368	3.14122	2.73181	2.07137	2.07502	1.17203	1.48141	1.48675	1.47062	3.47069	3.92118	1.63514	1.29494	1	3	2	0
ADORA3	1.52613	1.06392	1.11777	1.87355	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	2.49996	2.33331	1.35103	1.44656	0	2	1	0
PTGER1	5.54793	6.08165	5.57093	5.77656	1.76449	1.87586	2.07137	2.07502	2.48943	1.97952	3.14452	3.12237	1.82716	1.48993	1.63514	1.29494	0	6	0	0
LTB4R	2.39208	1.77651	1.44824	1.28153	1.76449	1.87586	2.07137	2.07502	1.17203	1.48141	2.26321	2.12634	2.49996	2.33331	1.63514	1.29494	1	0	2	0
GNRHR	5.54793	6.08165	5.57093	5.77656	1.76449	1.87586	1.44821	1.27459	3.76079	2.6661	1.48675	1.47062	1.87766	1.89489	3.4236	3.56553	1	0	0	0
S1PR5	1.25915	1.42875	2.30458	1.46368	1.76449	1.87586	1.44821	1.27459	1.17203	1.48141	1.74083	1.43354	2.49996	2.33331	1.35103	1.44656	1	2	1	0
GPR55	5.54793	6.08165	5.57093	5.77656	1.9469	1.91409	2.48397	2.7677	1.17203	1.48141	1.48675	1.47062	2.30016	2.39708	3.69319	3.60831	1	1	1	0
PTGDR	5.54793	6.08165	5.57093	5.77656	3.26275	3.3531	2.07137	2.07502	3.59479	2.52519	2.05684	2.52411	1.82541	1.92111	3.70887	3.10874	1	1	2	0
MLNR	2.39208	1.77651	1.44824	1.28153	1.76449	1.87586	1.44821	1.27459	2.48943	1.97952	2.26407	2.19774	1.87766	1.89489	1.35103	1.44656	1	3	2	0
GPR34	1.25915	1.42875	2.0118	1.83163	1.9469	1.91409	1.44821	1.27459	0.82743	1.58645	1.74083	1.43354	1.82541	1.92111	1.35103	1.44656	1	1	1	0
CYSLTR1	1.25915	1.42875	2.30458	1.46368	1.9794	2.04343	2.48397	2.7677	0.82743	1.58645	1.74083	1.43354	1.82716	1.48993	1.35103	1.44656	1	0	1	0
CCKBR	1.52613	1.06392	2.30458	1.46368	2.91346	3.03601	1.44821	1.27459	3.59479	2.52519	1.48675	1.47062	1.82716	1.48993	1.63514	1.29494	1	12	0	0
P2RY2	1.25915	1.42875	2.0118	1.83163	3.14122	2.73181	2.48397	2.7677	0.82743	1.58645	1.74083	1.43354	1.82716	1.48993	1.35103	1.44656	1	3	1	0
GALR2	1.25915	1.42875	2.30458	1.46368	1.76449	1.87586	1.13809	1.58896	4.0491	3.21743	2.26407	2.19774	1.82541	1.92111	1.35103	1.44656	1	2	0	0
PTGER4	1.52613	1.06392	2.30458	1.46368	3.14122	2.73181	2.07137	2.07502	2.48943	1.97952	2.05684	2.52411	1.82541	1.92111	3.11664	3.03279	1	3	3	0
TACR2	1.52613	1.06392	1.44824	1.28153	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	1.82716	1.48993	1.35103	1.44656	1	2	2	0
GALR1	1.52613	1.06392	2.30458	1.46368	1.76449	1.87586	1.13809	1.58896	0.82743	1.58645	1.74083	1.43354	2.30016	2.39708	1.35103	1.44656	1	0	2	0
PTGER2	5.54793	6.08165	5.57093	5.77656	1.9794	2.04343	2.07137	2.07502	3.65267	3.20489	2.26321	2.12634	2.49996	2.33331	3.70887	3.10874	1	7	0	0
P2RY13	1.25915	1.42875	2.0118	1.83163	1.9469	1.91409	1.44821	1.27459	0.82743	1.58645	1.48675	1.47062	1.82716	1.48993	1.35103	1.44656	1	0	3	0
SSTR3	1.52613	1.06392	1.11777	1.87355	1.9794	2.04343	1.13809	1.58896	0.82743	1.58645	1.74083	1.43354	1.82541	1.92111	1.35103	1.44656	1	1	1	0
PTGIR	1.25915	1.42875	2.30458	1.46368	1.9794	2.04343	2.07137	2.07502	3.65267	3.20489	1.74083	1.43354	1.82541	1.92111	3.70887	3.10874	1	3	0	0
HRH4	1.52613	1.06392	2.0118	1.83163	1.84463	1.61004	3.82448	3.35864	1.17203	1.48141	2.26321	2.12634	3.07493	3.06712	1.52045	1.66659	1	4	0	0
SSTR2	1.52613	1.06392	1.44824	1.28153	1.9469	1.91409	1.13809	1.58896	0.82743	1.58645	1.74083	1.43354	1.82541	1.92111	1.35103	1.44656	1	2	4	0
HRH3	2.29388	2.0755	2.0118	1.83163	2.73534	2.59719	1.44821	1.27459	3.76079	2.6661	2.26321	2.12634	2.30016	2.39708	1.63514	1.29494	0	20	0	0
SSTR4	1.52613	1.06392	1.44824	1.28153	1.9469	1.91409	1.44821	1.27459	1.17203	1.48141	1.74083	1.43354	1.82541	1.92111	1.35103	1.44656	0	1	1	0
PRLHR	2.39208	1.77651	1.44824	1.28153	2.73534	2.59719	1.13809	1.58896	1.17203	1.48141	1.74083	1.43354	1.82541	1.92111	1.63514	1.29494	1	1	1	0
BDKRB1	1.25915	1.42875	2.0118	1.83163	1.9469	1.91409	1.44821	1.27459	0.82743	1.58645	1.74083	1.43354	2.30016	2.39708	1.52045	1.66659	1	2	1	0
MC1R	2.39208	1.77651	1.44824	1.28153	3.52902	3.99738	1.13809	1.58896	2.48943	1.97952	1.48675	1.47062	1.82716	1.48993	1.52045	1.66659	1	2	0	0
FPR1	1.52613	1.06392	3.21605	2.94465	1.9469	1.91409	4.29281	3.21469	1.17203	1.48141	2.26321	2.12634	1.82716	1.48993	1.35103	1.44656	1	1	1	0
FPR2	1.52613	1.06392	3.21605	2.94465	1.9469	1.91409	4.29281	3.21469	1.17203	1.48141	2.26321	2.12634	1.87766	1.89489	1.35103	1.44656	1	1	2	0
CHRM4	2.29388	2.0755	1.44824	1.28153	1.84463	1.61004	1.44821	1.27459	1.17203	1.48141	1.48675	1.47062	1.82716	1.48993	1.63514	1.29494	0	6	2	0
CHRM3	1.52613	1.06392	2.0118	1.83163	1.84463	1.61004	1.44821	1.27459	1.17203	1.48141	1.48675	1.47062	1.87766	1.89489	1.63514	1.29494	0	10	1	0
CHRM2	2.29388	2.0755	1.44824	1.28153	1.84463	1.61004	1.44821	1.27459	1.17203	1.48141	1.48675	1.47062	1.82716	1.48993	1.63514	1.29494	0	9	2	0
CHRM1	1.25915	1.42875	2.0118	1.83163	1.84463	1.61004	1.44821	1.27459	1.17203	1.48141	1.48675	1.47062	3.10764	2.72385	1.63514	1.29494	0	15	1	0
MCHR2	2.39208	1.77651	1.44824	1.28153	1.9469	1.91409	1.13809	1.58896	4.0491	3.21743	1.74083	1.43354	1.82716	1.48993	1.52045	1.66659	1	0	4	0
BDKRB2	1.25915	1.42875	2.0118	1.83163	1.9469	1.91409	1.44821	1.27459	0.82743	1.58645	1.74083	1.43354	2.30016	2.39708	1.35103	1.44656	1	0	1	0
MCHR1	1.52613	1.06392	1.11777	1.87355	1.9469	1.91409	1.13809	1.58896	3.59479	2.52519	1.74083	1.43354	2.49996	2.33331	1.63514	1.29494	1	0	1	0
FFAR2	1.25915	1.42875	2.0118	1.83163	1.9469	1.91409	1.44821	1.27459	3.59479	2.52519	2.05684	2.52411	2.30016	2.39708	3.11664	3.03279	0	1	2	0
FFAR3	1.25915	1.42875	2.0118	1.83163	1.9794	2.04343	1.44821	1.27459	3.76079	2.6661	2.05684	2.52411	3.07493	3.06712	3.11664	3.03279	1	3	0	0
FFAR1	1.52613	1.06392	3.21605	2.94465	1.9794	2.04343	3.40292	2.8706	5.18523	3.80428	2.05684	2.52411	2.30016	2.39708	3.21294	3.13837	0	1	2	0
TACR3	1.52613	1.06392	1.44824	1.28153	1.84463	1.61004	1.44821	1.27459	0.82743	1.58645	1.48675	1.47062	1.87766	1.89489	1.35103	1.44656	1	3	5	0
HTR1F	1.52613	1.06392	1.44824	1.28153	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	1.74083	1.43354	1.87766	1.89489	1.63514	1.29494	0	3	1	0
TBXA2R	1.25915	1.42875	2.30458	1.46368	3.14122	2.73181	1.44821	1.27459	2.48943	1.97952	3.18871	3.27606	1.82541	1.92111	1.63514	1.29494	1	1	0	0
ADRA1A	1.52613	1.06392	1.11777	1.87355	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	1.74083	1.43354	1.82716	1.48993	1.35103	1.44656	0	5	3	0
NMUR1	2.13723	4.29469	1.44824	1.28153	1.84463	1.61004	1.44821	1.27459	1.17203	1.48141	1.48675	1.47062	1.82716	1.48993	1.52045	1.66659	1	3	1	0
ADRA1B	1.52613	1.06392	1.11777	1.87355	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	1.74083	1.43354	1.82716	1.48993	1.35103	1.44656	0	2	3	0
APLNR	1.25915	1.42875	1.11777	1.87355	1.9469	1.91409	1.13809	1.58896	1.17203	1.48141	1.48675	1.47062	3.10764	2.72385	1.52045	1.66659	1	2	1	0
ADRA1D	1.52613	1.06392	1.11777	1.87355	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	1.74083	1.43354	1.82716	1.48993	1.35103	1.44656	0	7	1	0
AVPR2	1.25915	1.42875	2.30458	1.46368	1.9794	2.04343	1.13809	1.58896	4.0491	3.21743	1.74083	1.43354	2.49996	2.33331	1.63514	1.29494	0	7	2	0
CCKAR	1.52613	1.06392	2.30458	1.46368	1.9469	1.91409	1.44821	1.27459	3.59479	2.52519	1.48675	1.47062	1.82716	1.48993	1.63514	1.29494	1	3	2	0
HTR1A	2.39208	1.77651	1.44824	1.28153	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	1.82716	1.48993	1.63514	1.29494	1	12	2	0
SSTR1	1.52613	1.06392	1.44824	1.28153	1.9469	1.91409	1.13809	1.58896	0.82743	1.58645	1.74083	1.43354	1.82541	1.92111	1.35103	1.44656	0	1	4	0
ADRB1	1.52613	1.06392	1.44824	1.28153	1.76449	1.87586	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	2.30016	2.39708	1.63514	1.29494	0	5	1	0
ADRB2	1.52613	1.06392	1.44824	1.28153	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	2.30016	2.39708	1.63514	1.29494	0	4	7	0
ADRB3	1.52613	1.06392	1.44824	1.28153	1.9794	2.04343	2.07137	2.07502	0.82743	1.58645	1.48675	1.47062	2.30016	2.39708	1.63514	1.29494	0	5	0	0
SSTR5	1.52613	1.06392	1.11777	1.87355	1.9469	1.91409	1.13809	1.58896	1.17203	1.48141	1.74083	1.43354	1.82541	1.92111	1.35103	1.44656	1	2	2	0
OPRD1	2.29388	2.0755	1.44824	1.28153	1.9469	1.91409	1.13809	1.58896	0.82743	1.58645	1.74083	1.43354	1.82716	1.48993	1.35103	1.44656	1	1	1	0
NPBWR1	1.25915	1.42875	2.30458	1.46368	1.76449	1.87586	1.13809	1.58896	2.48943	1.97952	1.74083	1.43354	1.82716	1.48993	1.63514	1.29494	1	0	1	0
OXTR	1.25915	1.42875	2.30458	1.46368	2.73534	2.59719	2.48397	2.7677	3.59479	2.52519	2.26407	2.19774	2.49996	2.33331	1.63514	1.29494	0	4	1	0
F2RL2	1.25915	1.42875	2.30458	1.46368	1.9794	2.04343	4.29281	3.21469	0.82743	1.58645	1.74083	1.43354	3.07493	3.06712	1.63514	1.29494	1	0	1	0
AGTR1	2.39208	1.77651	1.44824	1.28153	1.9794	2.04343	1.44821	1.27459	1.17203	1.48141	1.74083	1.43354	3.10764	2.72385	1.63514	1.29494	1	0	2	0
LPAR1	2.29388	2.0755	1.44824	1.28153	1.84463	1.61004	2.48397	2.7677	1.17203	1.48141	1.48675	1.47062	1.82716	1.48993	1.35103	1.44656	0	1	3	0
GPR174	1.25915	1.42875	2.0118	1.83163	1.9469	1.91409	2.48397	2.7677	0.82743	1.58645	2.26321	2.12634	3.07493	3.06712	4.25605	4.27981	1	1	2	0
