GPCR	398bip	398bin	401bip	401bin	493bip	493bin	675pos	910bip	910bin	917bip	917bin	919bip	919bin	925bip	925bin	966pos	967pos	CTLL	G_TIL	C_CTL	D_CTL	G_CTL	L_CTL	N_CTL	P_CTL	R_CTL	S_CTL	O
MTNR1A	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	3.27547	3.53133	2.0458	2.93228	1.3794	1.47049	1.62059	1.41521	1	1	55	0	1	4	1	4	6	2	5	5	1
TACR1	2.11517	2.86488	1.33063	1.36457	1.05717	1.51545	0	2.27439	1.88375	2.36273	2.63733	1.3794	1.47049	1.62059	1.41521	1	1	102	1	5	5	6	8	3	4	6	17	1
S1PR3	1.19321	1.48552	1.33063	1.36457	2.82789	2.88505	1	1.9392	1.42266	2.19672	2.38179	1.3794	1.47049	2.81042	3.16866	0	1	80	0	4	3	3	6	6	6	7	13	1
LTB4R	2.31631	1.79218	1.33063	1.36457	1.20455	1.48964	0	3.82159	3.94497	2.19672	2.38179	1.40116	1.44361	2.81042	3.16866	1	1	67	0	1	0	12	10	2	4	4	10	1
PTAFR	1.19321	1.48552	1.96836	1.7342	1.20455	1.48964	0	1.9392	1.42266	3.88863	4.65515	1.3794	1.47049	1.62059	1.41521	1	1	49	0	2	1	1	3	3	2	4	5	1
PTGER3	2.11517	2.86488	1.29138	1.72328	2.51667	1.88842	1	1.37107	1.44686	3.01505	3.24368	1.40116	1.44361	1.71298	1.09613	1	1	44	1	3	1	0	8	2	1	4	7	1
CNR1	1.19321	1.48552	1.33063	1.36457	1.20455	1.48964	1	1.37107	1.44686	2.19672	2.38179	1.40116	1.44361	1.62059	1.41521	0	0	75	2	3	5	2	5	3	2	4	11	1
CNR2	1.19321	1.48552	1.33063	1.36457	1.20455	1.48964	1	1.37107	1.44686	2.57503	2.60577	1.3794	1.47049	1.62059	1.41521	0	0	61	2	3	5	4	5	0	3	5	8	1
P2RY14	5.6027	6.07949	5.57286	5.8103	1.05717	1.51545	0	3.29289	3.29043	2.0458	2.93228	1.40116	1.44361	1.71298	1.09613	1	1	43	0	2	3	1	7	2	2	3	2	1
S1PR2	1.19321	1.48552	1.29138	1.72328	1.20455	1.48964	0	1.9392	1.42266	3.04865	2.86931	1.3794	1.47049	1.71298	1.09613	0	1	65	0	1	1	8	8	1	6	11	6	1
S1PR1	1.19321	1.48552	1.33063	1.36457	1.20455	1.48964	1	1.9392	1.42266	2.36273	2.63733	1.3794	1.47049	2.81042	3.16866	0	1	71	0	3	4	5	1	5	4	5	13	1
P2RY10	1.19321	1.48552	2.16758	1.49726	1.05717	1.51545	0	1.9392	1.42266	2.0458	2.93228	4.25802	4.20613	1.62059	1.41521	1	1	34	1	0	1	3	2	0	0	4	9	1
P2RY11	1.19321	1.48552	1.96836	1.7342	1.20455	1.48964	0	1.37107	1.44686	1.95615	2.18805	3.59216	4.61436	3.22818	4.47344	0	0	80	1	5	2	6	10	2	10	4	6	1
P2RY12	5.6027	6.07949	5.57286	5.8103	1.05717	1.51545	1	3.82654	4.58234	2.0458	2.93228	1.40116	1.44361	1.62059	1.41521	1	1	44	2	2	3	2	4	4	3	2	6	1
P2RY13	1.19321	1.48552	1.96836	1.7342	1.05717	1.51545	1	3.96261	4.57865	2.0458	2.93228	1.3794	1.47049	1.71298	1.09613	1	1	58	0	3	2	2	6	3	2	1	4	1
MRGPRX1	1.19321	1.48552	2.16758	1.49726	2.51667	1.88842	0	3.65097	4.09463	1.97671	1.35721	3.09499	2.96945	1.30001	1.47202	1	1	50	0	0	2	5	8	2	1	5	4	1
FFAR4	1.19321	1.48552	1.29138	1.72328	1.05717	1.51545	1	3.27547	3.53133	2.0458	2.93228	1.85367	1.43526	1.62059	1.41521	1	1	56	0	3	2	2	5	5	2	2	4	1
MRGPRX2	1.19321	1.48552	2.16758	1.49726	2.51667	1.88842	0	3.65097	4.09463	1.97671	1.35721	3.09499	2.96945	1.30001	1.47202	0	0	51	0	1	2	3	6	0	2	5	5	1
OXGR1	1.60173	0.8871	4.08371	4.67108	1.05717	1.51545	0	3.92586	4.39578	2.36273	2.63733	1.85367	1.43526	1.71298	1.09613	1	1	37	1	2	1	1	2	4	1	1	5	1
GPR84	1.19321	1.48552	2.16758	1.49726	1.05717	1.51545	1	2.06187	2.59461	2.0458	2.93228	1.3794	1.47049	1.30001	1.47202	0	1	26	7	0	0	2	2	1	1	5	2	1
OPRM1	2.11517	2.86488	1.33063	1.36457	1.05717	1.51545	0	2.06187	2.59461	1.97671	1.35721	1.3794	1.47049	1.71298	1.09613	1	1	62	1	2	3	0	4	7	4	6	4	1
GHSR	2.11517	2.86488	1.29138	1.72328	1.20455	1.48964	1	2.27439	1.88375	1.95615	2.18805	1.3794	1.47049	1.30001	1.47202	1	1	43	2	0	1	1	4	2	1	4	7	1
BDKRB1	1.19321	1.48552	1.96836	1.7342	1.05717	1.51545	0	2.06187	2.59461	1.97671	1.35721	1.85367	1.43526	1.71298	1.09613	1	1	41	2	1	0	1	4	1	2	4	4	1
BDKRB2	1.19321	1.48552	1.96836	1.7342	1.05717	1.51545	0	2.06187	2.59461	1.97671	1.35721	1.3794	1.47049	1.62059	1.41521	1	1	59	0	2	1	6	2	1	1	6	6	1
CCKAR	1.60173	0.8871	2.16758	1.49726	2.82789	2.88505	1	2.69865	2.80837	2.36273	2.63733	1.40116	1.44361	1.30001	1.47202	1	1	58	3	3	0	8	2	2	7	4	6	1
SSTR5	1.60173	0.8871	1.29138	1.72328	1.20455	1.48964	0	2.06187	2.59461	1.97671	1.35721	1.3794	1.47049	4.02866	5.12799	1	1	60	2	1	4	4	5	2	4	6	4	1
LPAR2	1.60173	0.8871	1.33063	1.36457	1.20455	1.48964	1	2.27439	1.88375	2.19672	2.38179	1.40116	1.44361	1.71298	1.09613	0	0	56	0	4	2	3	6	1	2	8	7	1
LPAR3	1.60173	0.8871	1.29138	1.72328	2.51667	1.88842	0	3.26693	3.41228	3.01505	3.24368	1.3794	1.47049	1.71298	1.09613	0	1	60	1	3	4	3	1	2	3	4	11	1
F2RL1	1.19321	1.48552	1.96836	1.7342	1.05717	1.51545	0	2.69865	2.80837	2.19672	2.38179	1.3794	1.47049	1.62059	1.41521	1	1	13	0	0	0	0	0	0	0	0	6	1
LPAR1	2.11517	2.86488	1.33063	1.36457	1.20455	1.48964	1	1.9392	1.42266	2.19672	2.38179	1.3794	1.47049	1.62059	1.41521	0	0	53	1	2	3	3	3	3	2	4	9	1
LPAR6	1.60173	0.8871	1.96836	1.7342	1.05717	1.51545	0	1.9392	1.42266	2.0458	2.93228	4.1448	4.96649	3.14373	3.67378	1	1	53	0	0	3	1	2	5	0	3	7	1
LPAR4	1.19321	1.48552	1.96836	1.7342	3.75062	3.00363	0	1.9392	1.42266	3.04865	2.86931	4.1448	4.96649	1.71298	1.09613	1	1	59	1	0	1	2	6	3	3	1	6	1
LPAR5	1.19321	1.48552	1.96836	1.7342	4.38958	4.10135	0	2.27439	1.88375	1.97671	1.35721	4.01441	4.78024	1.30001	1.47202	1	1	75	0	1	4	5	7	2	4	8	11	1
OPRL1	2.11517	2.86488	1.33063	1.36457	2.82789	2.88505	0	2.06187	2.59461	1.97671	1.35721	1.3794	1.47049	4.02866	5.12799	1	1	51	2	4	4	0	3	1	2	6	4	1
FFAR2	1.19321	1.48552	1.96836	1.7342	2.82789	2.88505	0	2.27439	1.88375	2.19672	2.38179	3.09499	2.96945	1.71298	1.09613	0	0	58	1	0	3	10	4	2	1	7	7	1
CHRM5	2.11517	2.86488	1.96836	1.7342	1.20455	1.48964	1	1.37107	1.44686	2.68934	2.03474	1.40116	1.44361	1.62059	1.41521	0	0	37	8	2	0	1	6	2	1	3	1	1
CHRM4	2.11517	2.86488	1.33063	1.36457	1.20455	1.48964	1	2.06187	2.59461	2.0458	2.93228	1.40116	1.44361	1.30001	1.47202	0	0	26	6	2	0	1	4	2	0	3	0	1
CHRM2	2.11517	2.86488	1.33063	1.36457	1.20455	1.48964	1	2.06187	2.59461	1.97671	1.35721	1.40116	1.44361	1.62059	1.41521	0	0	26	9	2	0	1	3	2	0	1	0	1
OPRK1	2.11517	2.86488	1.33063	1.36457	1.05717	1.51545	0	2.06187	2.59461	1.97671	1.35721	1.3794	1.47049	1.71298	1.09613	1	1	50	1	2	5	1	3	3	3	7	2	1
GRPR	1.60173	0.8871	1.96836	1.7342	1.20455	1.48964	1	1.37107	1.44686	1.97671	1.35721	3.40621	3.51871	3.14373	3.67378	1	1	64	1	4	0	3	8	4	2	4	9	1
FFAR1	1.60173	0.8871	3.08939	3.11372	4.10857	4.34391	0	1.37107	1.44686	2.57503	2.60577	3.02144	3.41018	1.30001	1.47202	0	0	52	1	1	0	10	8	2	3	3	3	1
P2RY6	1.60173	0.8871	1.33063	1.36457	1.05717	1.51545	0	1.37107	1.44686	2.19672	2.38179	1.3794	1.47049	1.62059	1.41521	1	1	28	1	0	0	1	3	0	1	5	0	1
P2RY4	1.19321	1.48552	1.96836	1.7342	1.20455	1.48964	0	1.9392	1.42266	1.95615	2.18805	1.3794	1.47049	1.71298	1.09613	1	1	59	1	3	4	4	8	0	5	7	8	1
NMUR2	2.30951	3.60256	1.33063	1.36457	1.05717	1.51545	0	3.82654	4.58234	2.0458	2.93228	1.85367	1.43526	1.62059	1.41521	1	1	88	1	2	2	1	7	6	6	4	11	1
DRD4	2.30951	3.60256	1.29138	1.72328	1.05717	1.51545	0	3.26693	3.41228	4.03458	4.78681	1.3794	1.47049	1.30001	1.47202	0	0	19	19	2	0	0	1	2	0	3	0	1
DRD5	2.30951	3.60256	1.33063	1.36457	1.05717	1.51545	1	1.9392	1.42266	2.68934	2.03474	1.40116	1.44361	3.66651	4.21579	1	1	118	0	3	9	6	5	8	8	3	7	1
DRD2	2.30951	3.60256	1.29138	1.72328	1.05717	1.51545	1	2.06187	2.59461	1.95615	2.18805	1.3794	1.47049	1.62059	1.41521	0	0	17	5	1	0	0	2	1	0	1	0	1
DRD3	2.30951	3.60256	1.29138	1.72328	1.05717	1.51545	1	2.06187	2.59461	1.95615	2.18805	1.3794	1.47049	1.71298	1.09613	0	0	17	9	1	0	0	2	1	0	1	1	1
PRLHR	2.31631	1.79218	1.33063	1.36457	1.20455	1.48964	1	3.27547	3.53133	2.19672	2.38179	1.40116	1.44361	1.71298	1.09613	1	1	35	1	0	1	1	4	1	2	3	2	1
GPR132	3.1942	3.86577	3.08939	3.11372	1.05717	1.51545	0	3.70811	4.37285	2.36273	2.63733	1.3794	1.47049	1.71298	1.09613	1	1	72	1	2	4	2	5	0	6	6	8	1
HTR1D	1.19321	1.48552	1.33063	1.36457	1.05717	1.51545	1	2.06187	2.59461	2.57503	2.60577	1.40116	1.44361	1.62059	1.41521	0	1	21	5	0	0	0	0	1	1	2	1	1
HTR1E	1.60173	0.8871	1.33063	1.36457	1.05717	1.51545	1	1.37107	1.44686	2.57503	2.60577	1.40116	1.44361	1.30001	1.47202	0	0	21	2	1	1	0	2	1	0	2	1	1
HTR1A	2.31631	1.79218	1.33063	1.36457	1.05717	1.51545	1	2.27439	1.88375	2.57503	2.60577	1.40116	1.44361	1.30001	1.47202	0	1	22	12	2	1	0	0	2	0	1	0	1
P2RY1	1.60173	0.8871	1.96836	1.7342	1.05717	1.51545	0	2.69865	2.80837	2.36273	2.63733	1.3794	1.47049	1.71298	1.09613	1	1	49	0	0	3	2	6	3	1	7	6	1
AVPR1B	1.19321	1.48552	2.16758	1.49726	2.82789	2.88505	0	2.27439	1.88375	2.0458	2.93228	1.40116	1.44361	2.81042	3.16866	1	1	86	5	3	3	7	15	1	8	11	12	0
PTGFR	5.6027	6.07949	5.57286	5.8103	2.51667	1.88842	0	2.27439	1.88375	1.97671	1.35721	1.40116	1.44361	1.62059	1.41521	1	1	55	1	2	0	1	8	2	1	1	9	0
AVPR1A	1.19321	1.48552	2.16758	1.49726	3.24319	2.73348	1	2.27439	1.88375	2.0458	2.93228	1.40116	1.44361	1.71298	1.09613	1	1	70	4	3	4	2	2	5	4	3	12	0
MC1R	2.31631	1.79218	1.33063	1.36457	2.51667	1.88842	0	1.37107	1.44686	3.04865	2.86931	1.85367	1.43526	1.30001	1.47202	1	1	19	2	1	0	0	3	0	0	2	2	0
LTB4R2	2.31631	1.79218	2.16758	1.49726	1.20455	1.48964	0	3.82159	3.94497	2.68934	2.03474	1.40116	1.44361	1.30001	1.47202	1	1	101	3	0	4	20	11	2	6	9	5	0
ADORA3	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	1.37107	1.44686	2.0458	2.93228	1.3794	1.47049	1.30001	1.47202	0	0	36	2	2	2	0	4	1	1	0	4	0
GNRHR	5.6027	6.07949	5.57286	5.8103	3.24319	2.73348	1	1.9392	1.42266	2.19672	2.38179	3.40621	3.51871	1.71298	1.09613	1	1	5	0	0	0	1	1	0	0	0	1	0
S1PR5	1.19321	1.48552	2.16758	1.49726	1.20455	1.48964	1	1.9392	1.42266	2.68934	2.03474	1.3794	1.47049	2.81042	3.16866	0	1	92	2	4	6	12	10	1	7	10	15	0
GPR55	5.6027	6.07949	5.57286	5.8103	1.20455	1.48964	0	2.69865	2.80837	1.95615	2.18805	3.63972	3.58417	1.71298	1.09613	1	1	31	1	0	1	1	2	1	1	5	2	0
PTGDR	5.6027	6.07949	5.57286	5.8103	2.82789	2.88505	1	1.9392	1.42266	1.95615	2.18805	3.65911	3.06189	3.68365	3.60935	1	1	37	1	1	0	0	2	2	2	6	6	0
CYSLTR2	1.60173	0.8871	1.96836	1.7342	1.05717	1.51545	0	1.9392	1.42266	2.36273	2.63733	3.09499	2.96945	1.30001	1.47202	1	1	41	1	1	1	2	3	1	2	4	2	0
MC4R	1.60173	0.8871	1.33063	1.36457	1.05717	1.51545	0	1.37107	1.44686	3.04865	2.86931	1.85367	1.43526	1.71298	1.09613	1	1	30	3	3	1	2	5	0	1	3	3	0
CYSLTR1	1.19321	1.48552	2.16758	1.49726	1.05717	1.51545	0	2.69865	2.80837	3.01505	3.24368	1.3794	1.47049	1.71298	1.09613	1	1	42	0	1	0	3	3	1	2	4	6	0
ADRB1	1.60173	0.8871	1.33063	1.36457	1.05717	1.51545	1	1.9392	1.42266	2.57503	2.60577	1.40116	1.44361	1.30001	1.47202	0	0	100	5	6	11	9	6	1	12	13	9	0
PTGER4	1.60173	0.8871	2.16758	1.49726	2.51667	1.88842	1	2.27439	1.88375	2.36273	2.63733	3.09499	2.96945	1.62059	1.41521	1	1	159	3	4	7	16	21	3	7	12	28	0
TACR2	1.60173	0.8871	1.33063	1.36457	1.05717	1.51545	1	2.27439	1.88375	2.19672	2.38179	1.3794	1.47049	1.62059	1.41521	1	1	91	2	5	3	8	9	2	6	7	6	0
PTGER1	5.6027	6.07949	5.57286	5.8103	2.51667	1.88842	1	2.27439	1.88375	2.19672	2.38179	1.40116	1.44361	1.62059	1.41521	0	0	51	6	0	0	6	11	0	4	6	7	0
PTGER2	5.6027	6.07949	5.57286	5.8103	3.75062	3.00363	1	1.9392	1.42266	1.95615	2.18805	3.65911	3.06189	1.71298	1.09613	0	1	44	7	3	3	0	6	0	2	5	6	0
MC5R	1.60173	0.8871	1.33063	1.36457	3.75062	3.00363	1	1.37107	1.44686	3.04865	2.86931	1.85367	1.43526	1.71298	1.09613	1	1	30	1	3	1	1	0	0	1	6	2	0
SSTR3	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	0	2.06187	2.59461	2.19672	2.38179	1.3794	1.47049	1.30001	1.47202	1	1	105	1	0	2	11	6	1	8	12	12	0
HRH4	1.60173	0.8871	1.96836	1.7342	1.20455	1.48964	1	1.37107	1.44686	1.95615	2.18805	1.85367	1.43526	1.71298	1.09613	0	1	32	4	2	0	0	3	0	3	2	5	0
SSTR2	1.60173	0.8871	1.33063	1.36457	1.05717	1.51545	0	2.06187	2.59461	2.68934	2.03474	1.3794	1.47049	3.14373	3.67378	1	1	57	2	1	6	3	7	4	0	3	7	0
HTR2A	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	4.58528	4.06003	2.57503	2.60577	1.3794	1.47049	1.71298	1.09613	1	1	91	3	3	5	3	7	7	2	2	10	0
HTR2B	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	3.29289	3.29043	2.57503	2.60577	1.3794	1.47049	1.30001	1.47202	1	1	101	3	1	3	4	8	7	3	9	11	0
SSTR4	1.60173	0.8871	1.33063	1.36457	1.20455	1.48964	0	2.06187	2.59461	1.97671	1.35721	1.3794	1.47049	1.30001	1.47202	0	0	77	1	6	2	8	10	1	7	7	2	0
KISS1R	1.60173	0.8871	1.33063	1.36457	4.38958	4.10135	1	3.29289	3.29043	1.95615	2.18805	1.3794	1.47049	2.81042	3.16866	1	1	75	3	3	2	7	8	1	12	12	5	0
FPR1	1.60173	0.8871	3.08939	3.11372	1.20455	1.48964	0	1.9392	1.42266	2.68934	2.03474	1.3794	1.47049	1.30001	1.47202	1	1	49	1	0	3	1	6	1	2	3	5	0
FPR2	1.60173	0.8871	3.08939	3.11372	1.20455	1.48964	0	1.9392	1.42266	3.04865	2.86931	1.3794	1.47049	1.62059	1.41521	1	1	49	1	0	3	1	5	2	4	3	6	0
CHRM3	1.60173	0.8871	1.96836	1.7342	1.20455	1.48964	1	1.37107	1.44686	2.68934	2.03474	1.40116	1.44361	1.62059	1.41521	0	0	46	10	3	1	0	5	1	1	5	1	0
MCHR2	2.31631	1.79218	1.33063	1.36457	3.75151	3.11908	1	2.06187	2.59461	1.97671	1.35721	1.85367	1.43526	1.30001	1.47202	0	1	34	0	0	0	2	4	4	1	3	2	0
CHRM1	1.19321	1.48552	1.96836	1.7342	1.20455	1.48964	1	1.37107	1.44686	2.68934	2.03474	1.40116	1.44361	1.30001	1.47202	0	0	42	15	3	2	1	5	1	3	9	2	0
PTGIR	1.19321	1.48552	2.16758	1.49726	3.75062	3.00363	1	1.9392	1.42266	1.95615	2.18805	3.65911	3.06189	1.71298	1.09613	1	1	95	3	6	2	9	10	0	9	5	13	0
P2RY2	1.19321	1.48552	1.96836	1.7342	1.05717	1.51545	1	2.27439	1.88375	1.95615	2.18805	1.3794	1.47049	1.30001	1.47202	1	1	71	3	0	6	5	6	1	6	13	7	0
FFAR3	1.19321	1.48552	1.96836	1.7342	3.24319	2.73348	0	1.37107	1.44686	1.95615	2.18805	3.09499	2.96945	1.71298	1.09613	1	1	70	3	3	2	9	5	0	1	5	8	0
TACR3	1.60173	0.8871	1.33063	1.36457	1.05717	1.51545	0	2.27439	1.88375	2.36273	2.63733	1.3794	1.47049	1.62059	1.41521	1	1	109	3	4	6	2	3	5	6	13	18	0
HTR1F	1.60173	0.8871	1.33063	1.36457	1.05717	1.51545	1	1.37107	1.44686	2.57503	2.60577	1.40116	1.44361	1.62059	1.41521	0	0	19	3	2	1	0	1	1	0	2	0	0
TBXA2R	1.19321	1.48552	2.16758	1.49726	2.51667	1.88842	0	3.26693	3.41228	1.97671	1.35721	1.40116	1.44361	1.71298	1.09613	1	1	35	1	0	0	1	8	0	3	8	4	0
ADRA1A	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	1.37107	1.44686	2.57503	2.60577	1.3794	1.47049	1.30001	1.47202	0	0	140	5	8	4	7	7	3	8	9	19	0
NMUR1	2.30951	3.60256	1.33063	1.36457	1.20455	1.48964	1	2.06187	2.59461	2.0458	2.93228	1.85367	1.43526	1.62059	1.41521	1	1	70	3	4	3	6	8	1	4	6	11	0
ADRA1B	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	1.37107	1.44686	2.57503	2.60577	1.3794	1.47049	1.30001	1.47202	0	0	172	2	7	6	24	15	3	20	22	18	0
APLNR	1.19321	1.48552	1.29138	1.72328	1.20455	1.48964	0	1.9392	1.42266	2.19672	2.38179	1.85367	1.43526	1.30001	1.47202	1	1	71	2	4	2	9	2	1	4	3	13	0
ADRA1D	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	1.37107	1.44686	1.95615	2.18805	1.3794	1.47049	1.30001	1.47202	0	0	170	7	6	6	10	15	1	18	25	14	0
