GPCR	428bip	428bin	468bip	468bin	497bip	497bin	532bip	532bin	599pos	604bip	604bin	655bip	655bin	908bip	908bin	919bip	919bin	920bip	920bin	967neg	CTLL	C_CTL	G_CTL	L_CTL	S_CTL	V_CTL	Y_CTL	O
GALR2	1.50477	1.43785	1.37319	1.33249	2.61094	2.48168	1.05473	1.64367	0	2.22193	2.71027	2.1546	2.39637	1.82716	1.82353	1.55621	1.22798	3.22592	2.35523	1	95	5	12	9	10	5	0	1
S1PR3	1.50477	1.43785	1.35066	1.65032	1.71296	1.90597	1.05473	1.64367	0	2.22193	2.71027	1.65355	1.35503	1.50658	2.08289	1.55621	1.22798	1.17895	1.76599	1	80	4	3	6	13	3	0	1
S1PR2	1.50477	1.43785	1.35066	1.65032	1.71296	1.90597	1.05473	1.64367	0	3.76805	4.06896	1.65355	1.35503	1.50658	2.08289	1.55621	1.22798	1.58519	1.30412	1	65	1	8	8	6	5	0	1
TACR2	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	1.05473	1.64367	0	2.55737	2.60109	1.3286	1.87835	3.65643	2.83651	1.55621	1.22798	1.17895	1.76599	1	91	5	8	9	6	3	1	1
OXTR	3.16746	3.22038	3.6929	3.05704	1.71296	1.90597	2.24129	2.36599	1	2.55737	2.60109	2.1546	2.39637	2.40678	2.48868	1.45514	1.50524	1.17895	1.76599	0	60	3	3	7	15	2	1	1
MC5R	1.18025	1.50891	2.67064	2.64644	1.71296	1.90597	1.05473	1.64367	0	6.03663	6.04766	2.1546	2.39637	3.56027	4.21958	1.37131	2.46909	1.58519	1.30412	1	30	3	1	0	2	0	0	1
UTS2R	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.89606	2.74932	0	2.41926	2.31344	1.65355	1.35503	1.39433	1.85051	1.45514	1.50524	1.17895	1.76599	1	74	2	9	7	8	3	1	1
PTAFR	1.50477	1.43785	1.35066	1.65032	3.56268	3.07794	2.72217	2.65955	1	2.22193	2.71027	1.65355	1.35503	1.39433	1.85051	1.55621	1.22798	1.58519	1.30412	1	49	2	1	3	5	4	1	1
HRH2	1.18025	1.50891	1.37319	1.33249	2.55537	2.87256	1.96708	1.4235	1	3.03433	2.8364	1.3286	1.87835	1.39433	1.85051	1.55621	1.22798	1.65533	2.74505	0	71	2	3	7	7	2	1	1
TACR1	1.50477	1.43785	2.97743	3.58468	1.79268	1.93528	1.05473	1.64367	0	2.7342	2.97015	1.65355	1.35503	1.82716	1.82353	1.55621	1.22798	1.17895	1.76599	1	102	5	6	8	17	5	3	1
HTR2C	1.18025	1.50891	1.35066	1.65032	1.91366	1.87816	1.05473	1.64367	1	2.22193	2.71027	1.3286	1.87835	1.39433	1.85051	1.55621	1.22798	3.14987	3.05748	1	90	1	2	6	8	10	4	1
HRH1	1.18025	1.50891	1.35066	1.65032	2.55537	2.87256	1.05473	1.64367	1	2.79766	2.82706	1.3286	1.87835	1.39433	1.85051	1.45514	1.50524	1.65533	2.74505	0	19	1	0	2	1	0	0	1
LPAR1	1.50477	1.43785	1.35066	1.65032	1.71296	1.90597	1.05473	1.64367	0	2.07513	2.519	1.3286	1.87835	1.50658	2.08289	1.55621	1.22798	1.58519	1.30412	0	53	2	3	3	9	3	1	1
HTR2A	1.18025	1.50891	1.35066	1.65032	1.91366	1.87816	1.05473	1.64367	1	2.68732	2.73766	1.3286	1.87835	1.39433	1.85051	1.55621	1.22798	3.14987	3.05748	1	91	3	3	7	10	5	4	1
OXGR1	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.69795	2.71861	0	2.22193	2.71027	2.74246	1.70824	1.39433	1.85051	1.37131	2.46909	1.58519	1.30412	1	37	2	1	2	5	6	2	1
BDKRB1	1.50477	1.43785	1.37319	1.33249	2.45646	2.25674	2.69795	2.71861	1	2.22193	2.71027	1.65355	1.35503	2.40678	2.48868	1.37131	2.46909	1.17895	1.76599	1	41	1	1	4	4	3	1	1
MC3R	1.18025	1.50891	1.37319	1.33249	1.71296	1.90597	1.05473	1.64367	0	4.30118	4.65507	1.3286	1.87835	3.56027	4.21958	1.37131	2.46909	1.58519	1.30412	1	24	2	3	4	1	0	0	1
MC1R	4.13185	5.47953	2.67064	2.64644	3.56268	3.07794	2.24129	2.36599	0	6.03663	6.04766	1.3286	1.87835	3.56027	4.21958	1.37131	2.46909	1.58519	1.30412	1	19	1	0	3	2	1	0	1
CHRM5	1.18025	1.50891	1.35066	1.65032	1.71296	1.90597	1.05473	1.64367	1	2.41926	2.31344	1.3286	1.87835	1.39433	1.85051	1.45514	1.50524	1.58519	1.30412	0	37	2	1	6	1	1	1	1
HTR2B	1.18025	1.50891	1.35066	1.65032	1.91366	1.87816	1.05473	1.64367	1	2.22193	2.71027	1.3286	1.87835	1.39433	1.85051	1.55621	1.22798	3.14987	3.05748	1	101	1	4	8	11	3	5	1
CHRM3	1.18025	1.50891	1.35066	1.65032	1.71296	1.90597	1.05473	1.64367	1	2.41926	2.31344	1.3286	1.87835	1.39433	1.85051	1.45514	1.50524	1.58519	1.30412	0	46	3	0	5	1	1	1	1
MCHR2	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	4.24251	3.31359	1	2.55737	2.60109	1.65355	1.35503	1.50658	2.08289	1.37131	2.46909	1.17895	1.76599	1	34	0	2	4	2	0	0	1
CHRM1	1.18025	1.50891	1.35066	1.65032	1.71296	1.90597	1.05473	1.64367	1	3.27091	3.34103	1.3286	1.87835	1.39433	1.85051	1.45514	1.50524	1.58519	1.30412	0	42	3	1	5	2	1	0	1
PTGIR	3.23946	2.86342	1.35066	1.65032	2.55537	2.87256	1.96708	1.4235	1	2.41926	2.31344	1.65355	1.35503	4.22837	3.45981	3.56814	3.02002	3.33031	2.86136	1	95	6	9	10	13	7	0	1
HTR6	1.18025	1.50891	1.35066	1.65032	1.91366	1.87816	2.24129	2.36599	1	3.70162	3.67707	1.65355	1.35503	1.39433	1.85051	1.37131	2.46909	1.58519	1.30412	0	120	2	9	18	12	2	0	1
HCRTR1	1.50477	1.43785	1.37319	1.33249	3.03535	3.05524	1.05473	1.64367	1	3.27091	3.34103	1.3286	1.87835	2.40678	2.48868	1.55621	1.22798	1.58519	1.30412	1	67	4	4	8	14	4	0	1
HTR4	1.18025	1.50891	2.97743	3.58468	1.91366	1.87816	1.96708	1.4235	1	2.22193	2.71027	1.3286	1.87835	1.39433	1.85051	1.45514	1.50524	1.65533	2.74505	0	76	5	4	6	7	4	1	1
BDKRB2	1.50477	1.43785	1.37319	1.33249	3.37367	3.41088	2.72217	2.65955	1	2.22193	2.71027	1.65355	1.35503	1.39433	1.85051	1.55621	1.22798	1.58519	1.30412	1	59	2	6	2	6	5	1	1
MCHR1	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	1.05473	1.64367	1	2.55737	2.60109	1.65355	1.35503	1.82716	1.82353	1.45514	1.50524	4.12638	4.46665	1	42	1	2	4	3	4	0	1
FFAR2	1.18025	1.50891	1.35066	1.65032	2.61094	2.48168	2.89606	2.74932	1	2.22193	2.71027	2.28041	2.13219	1.39433	1.85051	3.12453	2.68707	1.58519	1.30412	0	58	0	10	4	7	4	1	1
GRPR	1.18025	1.50891	1.37319	1.33249	1.79268	1.93528	2.89606	2.74932	1	3.03433	2.8364	1.65355	1.35503	1.50658	2.08289	3.36598	3.56115	1.17895	1.76599	1	64	4	3	8	9	2	2	1
GHSR	1.18025	1.50891	1.37319	1.33249	1.79268	1.93528	1.05473	1.64367	1	2.07513	2.519	2.1546	2.39637	2.40678	2.48868	1.55621	1.22798	1.17895	1.76599	1	43	0	1	4	7	2	1	1
FFAR1	1.50477	1.43785	1.35066	1.65032	2.61094	2.48168	2.69795	2.71861	1	2.55737	2.60109	2.28041	2.13219	1.39433	1.85051	3.16906	3.08198	1.58519	1.30412	0	52	1	10	8	3	4	2	1
TACR3	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	1.05473	1.64367	0	2.55737	2.60109	1.3286	1.87835	1.82716	1.82353	1.55621	1.22798	1.17895	1.76599	1	109	4	2	3	18	5	4	1
F2RL1	1.50477	1.43785	2.97743	3.58468	1.79268	1.93528	2.72217	2.65955	1	2.22193	2.71027	2.28041	2.13219	1.39433	1.85051	1.55621	1.22798	1.58519	1.30412	1	13	0	0	0	6	1	2	1
FFAR4	1.50477	1.43785	1.35066	1.65032	2.61094	2.48168	1.96708	1.4235	1	2.67633	1.60631	1.65355	1.35503	1.50658	2.08289	1.37131	2.46909	1.65533	2.74505	1	56	3	2	5	4	3	1	1
ADRA1A	1.50477	1.43785	1.37319	1.33249	1.91366	1.87816	1.96708	1.4235	0	2.07513	2.519	1.65355	1.35503	1.39433	1.85051	1.55621	1.22798	1.17895	1.76599	0	140	8	7	7	19	12	2	1
NMUR2	1.18025	1.50891	1.37319	1.33249	1.79268	1.93528	1.96708	1.4235	1	2.55737	2.60109	1.65355	1.35503	1.82716	1.82353	1.37131	2.46909	1.17895	1.76599	1	88	2	1	7	11	2	1	1
NMUR1	1.18025	1.50891	1.37319	1.33249	1.79268	1.93528	1.96708	1.4235	1	2.07513	2.519	1.3286	1.87835	1.82716	1.82353	1.37131	2.46909	1.17895	1.76599	1	70	4	6	8	11	2	0	1
ADRA1B	1.50477	1.43785	1.35066	1.65032	1.91366	1.87816	1.96708	1.4235	0	2.07513	2.519	1.65355	1.35503	1.39433	1.85051	1.55621	1.22798	1.17895	1.76599	0	172	7	24	15	18	3	3	1
ADRA1D	1.50477	1.43785	1.37319	1.33249	1.91366	1.87816	1.96708	1.4235	0	2.07513	2.519	1.65355	1.35503	1.39433	1.85051	1.55621	1.22798	1.17895	1.76599	0	170	6	10	15	14	7	3	1
HTR7	1.18025	1.50891	1.37319	1.33249	1.91366	1.87816	1.05473	1.64367	0	2.07513	2.519	1.3286	1.87835	1.39433	1.85051	1.45514	1.50524	1.17895	1.76599	1	95	2	1	12	4	7	2	1
P2RY13	1.50477	1.43785	1.35066	1.65032	3.56268	3.07794	2.72217	2.65955	1	2.7342	2.97015	1.3286	1.87835	1.50658	2.08289	1.55621	1.22798	1.17895	1.76599	1	58	3	2	6	4	0	1	1
DRD5	1.18025	1.50891	1.37319	1.33249	1.91366	1.87816	2.24129	2.36599	1	2.22193	2.71027	1.3286	1.87835	1.82716	1.82353	1.45514	1.50524	1.65533	2.74505	1	118	3	6	5	7	8	3	1
TBXA2R	3.23946	2.86342	2.70225	3.06267	2.61094	2.48168	2.24129	2.36599	1	2.41926	2.31344	2.97809	3.8493	3.23174	2.93295	1.45514	1.50524	1.65533	2.74505	1	35	0	1	8	4	1	0	1
CCKAR	1.18025	1.50891	1.37319	1.33249	2.45646	2.25674	1.05473	1.64367	1	3.03433	2.8364	1.3286	1.87835	1.82716	1.82353	1.45514	1.50524	1.17895	1.76599	1	58	3	8	2	6	2	1	1
LPAR2	1.50477	1.43785	1.35066	1.65032	1.71296	1.90597	1.05473	1.64367	0	2.9005	2.62017	1.3286	1.87835	1.50658	2.08289	1.45514	1.50524	1.58519	1.30412	0	56	4	3	6	7	1	1	1
DRD1	1.18025	1.50891	1.37319	1.33249	1.91366	1.87816	1.05473	1.64367	1	2.41926	2.31344	1.3286	1.87835	1.82716	1.82353	1.45514	1.50524	1.65533	2.74505	1	115	3	6	11	11	5	3	1
F2R	3.16746	3.22038	1.37319	1.33249	1.79268	1.93528	2.69795	2.71861	1	2.22193	2.71027	2.97809	3.8493	1.39433	1.85051	1.55621	1.22798	3.14987	3.05748	1	54	4	1	5	13	1	6	1
ADRB2	1.18025	1.50891	1.37319	1.33249	1.91366	1.87816	1.05473	1.64367	1	2.67633	1.60631	1.3286	1.87835	1.39433	1.85051	1.45514	1.50524	1.65533	2.74505	0	87	4	9	9	10	3	3	1
NMBR	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.89606	2.74932	1	2.7342	2.97015	1.65355	1.35503	1.50658	2.08289	3.36598	3.56115	1.17895	1.76599	1	68	2	3	10	12	3	3	1
PRLHR	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.24129	2.36599	1	2.07513	2.519	1.65355	1.35503	2.40678	2.48868	1.45514	1.50524	1.17895	1.76599	1	35	0	1	4	2	4	0	1
GPR119	1.50477	1.43785	3.15687	3.07853	3.37367	3.41088	1.05473	1.64367	0	3.47794	4.63773	3.494	3.78644	1.39433	1.85051	1.37131	2.46909	2.85365	2.34655	0	56	2	3	7	7	4	2	1
GPR132	4.13185	5.47953	1.35066	1.65032	1.91366	1.87816	1.96708	1.4235	0	2.07513	2.519	1.65355	1.35503	1.82716	1.82353	1.55621	1.22798	1.17895	1.76599	1	72	2	2	5	8	5	1	1
F2RL3	1.50477	1.43785	1.37319	1.33249	2.61094	2.48168	2.69795	2.71861	1	2.07513	2.519	1.3286	1.87835	1.39433	1.85051	1.55621	1.22798	1.58519	1.30412	1	45	0	6	3	7	3	2	1
LPAR3	1.50477	1.43785	1.35066	1.65032	1.71296	1.90597	1.05473	1.64367	0	2.22193	2.71027	1.3286	1.87835	1.50658	2.08289	1.55621	1.22798	1.58519	1.30412	1	60	3	3	1	11	2	3	1
AGTR1	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.69795	2.71861	1	2.22193	2.71027	1.65355	1.35503	3.05642	2.31379	1.45514	1.50524	1.17895	1.76599	1	57	1	2	6	9	2	3	1
HCRTR2	1.50477	1.43785	1.37319	1.33249	3.03535	3.05524	1.05473	1.64367	1	3.27091	3.34103	1.3286	1.87835	2.40678	2.48868	1.55621	1.22798	1.58519	1.30412	1	80	3	5	8	10	3	0	1
HTR1A	1.18025	1.50891	1.35066	1.65032	1.91366	1.87816	1.05473	1.64367	1	2.07513	2.519	1.3286	1.87835	2.40678	2.48868	1.45514	1.50524	1.65533	2.74505	1	22	2	0	0	0	0	1	1
LPAR4	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.69795	2.71861	0	2.9005	2.62017	4.20376	4.19465	1.82716	1.82353	4.46869	4.16881	1.65533	2.74505	1	59	0	2	6	6	1	2	1
ADORA1	1.18025	1.50891	1.37319	1.33249	1.71296	1.90597	1.05473	1.64367	1	2.41926	2.31344	1.3286	1.87835	3.05642	2.31379	1.45514	1.50524	1.58519	1.30412	0	38	1	0	2	0	1	0	0
ADORA3	1.18025	1.50891	2.54972	2.76083	1.71296	1.90597	1.96708	1.4235	1	3.03433	2.8364	1.3286	1.87835	2.40678	2.48868	1.55621	1.22798	1.58519	1.30412	0	36	2	0	4	4	2	2	0
LTB4R	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	1.96708	1.4235	1	2.22193	2.71027	2.74246	1.70824	2.40678	2.48868	1.45514	1.50524	2.85365	2.34655	1	67	1	12	10	10	2	0	0
P2RY12	1.50477	1.43785	1.35066	1.65032	3.56268	3.07794	2.72217	2.65955	1	2.22193	2.71027	2.74246	1.70824	1.82716	1.82353	1.45514	1.50524	2.85365	2.34655	1	44	2	2	4	6	0	0	0
GPR55	1.50477	1.43785	1.37319	1.33249	1.91366	1.87816	2.69795	2.71861	0	2.67633	1.60631	1.3286	1.87835	1.39433	1.85051	3.82495	3.33242	1.58519	1.30412	1	31	0	1	2	2	3	1	0
PTGDR	3.23946	2.86342	1.35066	1.65032	1.71296	1.90597	2.89606	2.74932	1	2.41926	2.31344	2.28041	2.13219	4.22837	3.45981	3.56814	3.02002	3.33031	2.86136	1	37	1	0	2	6	1	1	0
PTGER3	6.12552	4.27966	4.699	3.76678	3.03535	3.05524	1.96708	1.4235	1	2.41926	2.31344	2.28041	2.13219	2.40678	2.48868	1.45514	1.50524	1.65533	2.74505	1	44	3	0	8	7	0	2	0
GPR35	1.50477	1.43785	3.67763	3.32591	1.79268	1.93528	2.69795	2.71861	0	2.67633	1.60631	2.74246	1.70824	1.39433	1.85051	4.67524	3.78587	1.58519	1.30412	1	33	1	0	3	4	2	2	0
GPR34	1.50477	1.43785	1.35066	1.65032	3.56268	3.07794	2.69795	2.71861	0	2.22193	2.71027	1.65355	1.35503	2.40678	2.48868	1.55621	1.22798	1.58519	1.30412	1	54	1	2	4	12	2	1	0
CNR1	1.18025	1.50891	5.13012	3.31789	2.55537	2.87256	3.72207	3.12698	0	3.27091	3.34103	1.65355	1.35503	1.50658	2.08289	1.45514	1.50524	1.58519	1.30412	0	75	3	2	5	11	4	0	0
SSTR1	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	4.24251	3.31359	1	2.55737	2.60109	1.65355	1.35503	3.05642	2.31379	1.55621	1.22798	1.17895	1.76599	0	68	2	4	6	7	3	3	0
PTGER2	2.98093	2.67458	2.67064	2.64644	2.55537	2.87256	1.96708	1.4235	1	2.41926	2.31344	2.74246	1.70824	4.22837	3.45981	3.56814	3.02002	3.33031	2.86136	1	44	3	0	6	6	2	0	0
CNR2	1.18025	1.50891	5.13012	3.31789	1.71296	1.90597	1.96708	1.4235	0	4.33074	4.72915	1.65355	1.35503	1.50658	2.08289	1.55621	1.22798	1.58519	1.30412	0	61	3	4	5	8	2	0	0
P2RY2	3.16746	3.22038	1.37319	1.33249	1.79268	1.93528	2.89606	2.74932	0	2.55737	2.60109	1.65355	1.35503	3.76668	2.87863	1.55621	1.22798	1.58519	1.30412	1	71	0	5	6	7	2	0	0
P2RY14	1.50477	1.43785	1.35066	1.65032	3.56268	3.07794	2.72217	2.65955	1	3.03433	2.8364	2.1546	2.39637	3.76668	2.87863	1.45514	1.50524	1.17895	1.76599	1	43	2	1	7	2	0	0	0
S1PR1	1.50477	1.43785	1.35066	1.65032	1.71296	1.90597	1.05473	1.64367	0	2.9005	2.62017	1.65355	1.35503	1.50658	2.08289	1.55621	1.22798	1.58519	1.30412	1	71	3	5	1	13	1	0	0
GPR183	1.50477	1.43785	2.54972	2.76083	1.79268	1.93528	2.69795	2.71861	0	2.67633	1.60631	1.65355	1.35503	1.39433	1.85051	1.45514	1.50524	2.85365	2.34655	1	53	1	2	1	9	4	1	0
P2RY10	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.72217	2.65955	0	2.22193	2.71027	1.65355	1.35503	1.39433	1.85051	4.7075	3.80409	3.22592	2.35523	1	34	0	3	2	9	1	1	0
ADRA2A	1.18025	1.50891	1.37319	1.33249	1.91366	1.87816	1.05473	1.64367	1	2.9005	2.62017	1.3286	1.87835	3.65643	2.83651	1.55621	1.22798	2.85365	2.34655	0	24	1	1	1	0	1	0	0
ADRA2B	1.18025	1.50891	1.37319	1.33249	1.91366	1.87816	1.05473	1.64367	1	2.55737	2.60109	1.3286	1.87835	3.65643	2.83651	1.55621	1.22798	2.85365	2.34655	1	24	1	0	1	0	0	0	0
ADRA2C	1.18025	1.50891	1.37319	1.33249	1.91366	1.87816	1.05473	1.64367	1	2.9005	2.62017	1.3286	1.87835	3.65643	2.83651	1.55621	1.22798	1.65533	2.74505	1	25	0	1	1	1	1	0	0
SSTR3	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.72217	2.65955	0	2.55737	2.60109	1.65355	1.35503	1.82716	1.82353	1.55621	1.22798	1.17895	1.76599	1	105	0	11	6	12	5	2	0
LTB4R2	3.16746	3.22038	1.35066	1.65032	3.56268	3.07794	1.96708	1.4235	0	2.79766	2.82706	1.3286	1.87835	1.82716	1.82353	1.45514	1.50524	1.17895	1.76599	1	101	0	20	11	5	5	1	0
HRH4	1.50477	1.43785	1.37319	1.33249	2.45646	2.25674	3.74083	3.23687	0	2.67633	1.60631	2.74246	1.70824	1.50658	2.08289	1.37131	2.46909	1.58519	1.30412	1	32	2	0	3	5	1	0	0
SSTR2	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.97274	3.17147	1	2.55737	2.60109	1.65355	1.35503	1.82716	1.82353	1.55621	1.22798	1.17895	1.76599	1	57	1	3	7	7	3	0	0
HRH3	1.50477	1.43785	1.37319	1.33249	2.45646	2.25674	3.74083	3.23687	1	2.41926	2.31344	2.74246	1.70824	1.82716	1.82353	1.45514	1.50524	1.17895	1.76599	0	33	3	0	5	3	0	0	0
GPR84	1.50477	1.43785	3.15687	3.07853	1.91366	1.87816	1.96708	1.4235	0	3.70162	3.67707	2.74246	1.70824	1.82716	1.82353	1.55621	1.22798	3.14987	3.05748	1	26	0	2	2	2	0	1	0
SSTR4	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	4.24251	3.31359	1	2.9908	3.08818	1.65355	1.35503	3.05642	2.31379	1.55621	1.22798	1.17895	1.76599	0	77	6	8	10	2	1	2	0
S1PR5	1.18025	1.50891	1.35066	1.65032	1.71296	1.90597	2.89606	2.74932	0	2.79766	2.82706	1.65355	1.35503	1.50658	2.08289	1.55621	1.22798	1.58519	1.30412	1	92	4	12	10	15	2	0	0
OPRK1	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	4.24251	3.31359	1	2.07513	2.519	1.65355	1.35503	3.05642	2.31379	1.55621	1.22798	1.17895	1.76599	1	50	2	1	3	2	3	1	0
OPRL1	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	4.24251	3.31359	0	2.67633	1.60631	1.65355	1.35503	3.05642	2.31379	1.55621	1.22798	1.17895	1.76599	1	51	4	0	3	4	5	0	0
FPR1	1.50477	1.43785	1.37319	1.33249	2.61094	2.48168	1.05473	1.64367	1	2.55737	2.60109	2.74246	1.70824	4.82578	3.74316	1.55621	1.22798	3.22592	2.35523	1	49	0	1	6	5	2	0	0
FPR2	1.50477	1.43785	1.37319	1.33249	3.56268	3.07794	1.05473	1.64367	1	2.55737	2.60109	2.74246	1.70824	4.82578	3.74316	1.55621	1.22798	1.17895	1.76599	1	49	0	1	5	6	2	0	0
CHRM4	1.18025	1.50891	1.35066	1.65032	1.71296	1.90597	1.05473	1.64367	1	2.41926	2.31344	1.3286	1.87835	1.82716	1.82353	1.45514	1.50524	1.58519	1.30412	0	26	2	1	4	0	0	1	0
NPFFR2	1.50477	1.43785	1.37319	1.33249	2.45646	2.25674	1.05473	1.64367	1	2.41926	2.31344	1.65355	1.35503	3.05642	2.31379	1.55621	1.22798	3.22592	2.35523	1	189	1	7	24	14	9	7	0
CHRM2	1.18025	1.50891	1.35066	1.65032	1.71296	1.90597	1.05473	1.64367	1	2.67633	1.60631	1.3286	1.87835	1.82716	1.82353	1.45514	1.50524	1.58519	1.30412	0	26	2	1	3	0	0	1	0
NPFFR1	1.50477	1.43785	1.37319	1.33249	2.45646	2.25674	1.05473	1.64367	1	2.41926	2.31344	1.65355	1.35503	1.82716	1.82353	1.55621	1.22798	3.22592	2.35523	1	101	2	13	9	10	5	2	0
OPRM1	1.50477	1.43785	1.37319	1.33249	1.91366	1.87816	4.24251	3.31359	0	2.55737	2.60109	1.65355	1.35503	3.05642	2.31379	1.55621	1.22798	1.17895	1.76599	1	62	2	0	4	4	1	0	0
HTR1E	1.18025	1.50891	1.35066	1.65032	1.91366	1.87816	1.05473	1.64367	1	2.41926	2.31344	1.65355	1.35503	1.39433	1.85051	1.45514	1.50524	1.58519	1.30412	0	21	1	0	2	1	0	0	0
