#Receptor	UniProt	Gene	Class	ligand	GNAS	GNAI1	GNAI2	GoA	GoB	GNAZ	GNA12	GNA13	GNAQ	GNA11	GNA14	GNA15	Barr1-GRK2	Barr2	Barr2-GRK2
H2	P25021	HRH2	Class A	Histamine	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1
HCA2	Q8TDS4	HCAR2	Class A	Nicotinic acid	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1
HCA3	P49019	HCAR3	Class A	3-HOA	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1
κOR	P41145	OPRK1	Class A	Dynorphin A	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1
LPA1	Q92633	LPAR1	Class A	O-LPA	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1
LPA2	Q9HBW0	LPAR2	Class A	O-LPA	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1
M1	P11229	CHRM1	Class A	Acetylcholine	1	0	0	1	0	1	0	0	1	1	1	1	0	0	0
M2	P08172	CHRM2	Class A	Acetylcholine	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1
M3	P20309	CHRM3	Class A	Acetylcholine	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0
M4	P08173	CHRM4	Class A	Acetylcholine	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1
MC3R	P41968	MC3R	Class A	γ-MSH	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1
MC4R	P32245	MC4R	Class A	α-MSH	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mGluR2	Q14416	GRM2	Class C	Glutamate	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
mGluR4	Q14833	GRM4	Class C	Glutamate	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
mGluR5	P41594	GRM5	Class C	Glutamate	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0
mGluR6	O15303	GRM6	Class C	Glutamate	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
mGluR8	O00222	GRM8	Class C	Glutamate	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
μOR	P35372	OPRM1	Class A	DAMGO	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1
MT1	P48039	MTNR1A	Class A	Melatonin	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0
MT2	P49286	MTNR1B	Class A	Melatonin	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
NOP	P41146	OPRL1	Class A	Nociceptin	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1
NPFF1	Q9GZQ6	NPFFR1	Class A	RFRP3	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1
NPFF2	Q9Y5X5	NPFFR2	Class A	NPFF	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
OT	P30559	OXTR	Class A	Oxytocin	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1
OX2	O43614	HCRTR2	Class A	Orexin-A	0	0	0	1	0	1	0	0	1	1	1	1	0	1	1
P2Y2	P41231	P2RY2	Class A	UTP	0	0	0	1	0	1	1	1	1	1	0	1	0	1	0
PAR1	P25116	F2R	Class A	TFLLR-NH2	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1
PAR2	P55085	F2RL1	Class A	SLIGKV-NH2	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1
PTH1	Q03431	PTH1R	Class B	PTH (1-34)	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1
S1P1	P21453	S1PR1	Class A	Sphingosine 1-phosphate	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1
SST2A	P30874	SSTR2	Class A	Somatostatin-14	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1
V1A	P37288	AVPR1A	Class A	AVP	0	0	0	1	0	1	0	0	1	1	1	1	0	1	1
V2	P30518	AVPR2	Class A	AVP	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1
VPAC1	P25929	NPY1R	Class B	VIP	1	0	0	1	0	1	0	0	1	1	0	1	1	1	1
Y1	Q15761	NPY5R	Class A	NPY	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Y5	P32241	VIPR1	Class A	NPY	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
