#Receptor	UniProt	Gene	Class	ligand	Gs		Gi1		Gi2		GoA		GoB		Gz		G12		G13		Gq		G11		G14		G15		Barr1-GRK2		Barr2		Barr2-GRK2
APJ	P35414	APLNR	Class A	[Pyr1]-Apelin 13	0.00 		1.00 		0.82 		0.73 		0.96 		0.63 		0.00 		0.00 		0.00 		0.00 		0.00 		0.06 		0.14 		0.28 		0.17 
AT1	P30556	AGTR1	Class A	Angiotensin Ⅱ	0.00 		0.07 		0.12 		0.23 		0.14 		0.16 		0.00 		0.35 		0.63 		1.00 		0.48 		0.40 		0.14 		0.12 		0.23 
B1	P46663	BDKRB1	Class A	Kallidin	0.00 		0.32 		0.29 		0.67 		1.00 		0.29 		0.00 		0.00 		0.70 		0.73 		0.54 		0.23 		0.00 		0.00 		0.00 
B2	P30411	BDKRB2	Class A	Kallidin	0.00 		0.52 		0.38 		0.40 		0.73 		0.59 		0.69 		1.00 		0.77 		0.94 		0.94 		0.98 		0.61 		0.62 		0.65 
BLT1	Q15722	LTB4R	Class A	LTB4	0.00 		0.98 		0.73 		0.68 		0.90 		0.69 		0.33 		0.23 		0.12 		0.00 		0.52 		0.83 		0.58 		1.00 		0.98 
BLT2	Q9NPC1	LTB4R2	Class A	LTB4	0.00 		0.75 		0.60 		0.91 		1.00 		0.51 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 
C5a1	P21730	C5AR1	Class A	C5a	0.00 		0.65 		0.48 		0.43 		0.65 		0.46 		0.00 		0.00 		0.00 		0.00 		0.00 		0.53 		0.83 		0.66 		1.00 
CB1	P21554	CNR1	Class A	WIN55,212-2	0.00 		0.83 		0.63 		0.79 		0.84 		0.27 		0.50 		1.00 		0.00 		0.00 		0.00 		0.54 		0.00 		0.24 		0.18 
CB2	P34972	CNR2	Class A	WIN55,212-2	0.00 		0.66 		0.49 		0.93 		1.00 		0.40 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.10 		0.07 		0.13 
CCK1	P32238	CCKAR	Class A	CCK8	0.48 		0.65 		0.39 		0.76 		0.58 		0.58 		0.51 		0.68 		0.73 		0.77 		0.78 		0.95 		0.57 		0.69 		1.00 
CCR5	P51681	CCR5	Class A	CCL-3 (MIP-1a)	0.00 		0.85 		0.74 		0.83 		0.96 		0.49 		0.00 		0.00 		0.00 		0.00 		0.00 		0.09 		0.54 		0.33 		1.00 
CCR6	P51684	CCR6	Class A	CCL20	0.00 		1.00 		0.70 		0.34 		0.60 		0.79 		0.00 		0.00 		0.00 		0.00 		0.00 		0.29 		0.11 		0.08 		0.24 
CRFR1	Q13324	CRHR2	Class B	CRF	1.00 		0.08 		0.16 		0.00 		0.16 		0.48 		0.00 		0.00 		0.00 		0.00 		0.00 		0.41 		0.26 		0.46 		0.68 
CRFR2	P34998-2	CRHR1	Class B	Urocortin II	1.00 		0.55 		0.34 		0.49 		0.61 		0.24 		0.00 		0.10 		0.00 		0.00 		0.00 		0.77 		0.56 		0.87 		0.90 
CTR	P30988-2	CALCR	Class B	Calcitonin	0.64 		0.53 		0.48 		0.79 		1.00 		0.41 		0.00 		0.45 		0.32 		0.18 		0.33 		0.72 		0.02 		0.08 		0.12 
CXCR2	P25025	CXCR2	Class A	CXCL8	0.00 		0.91 		0.65 		0.91 		1.00 		0.91 		0.00 		0.00 		0.00 		0.00 		0.00 		0.88 		0.84 		0.79 		0.60 
CXCR4	P61073	CXCR4	Class A	CXCL12	0.00 		0.98 		0.76 		0.97 		1.00 		0.87 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.03 		0.00 		0.00 
CXCR5	P32302	CXCR5	Class A	CXCL13	0.00 		0.88 		1.00 		0.66 		1.00 		0.60 		0.00 		0.07 		0.00 		0.00 		0.00 		0.00 		0.46 		0.46 		0.71 
CysLT1	Q9Y271	CYSLTR1	Class A	LTD4	0.00 		1.00 		0.48 		0.85 		0.89 		0.57 		0.00 		0.00 		0.88 		0.93 		0.50 		0.73 		0.14 		0.18 		0.25 
CysLT2	Q9NS75	CYSLTR2	Class A	LTD4	0.00 		0.56 		0.31 		0.68 		0.91 		0.56 		0.61 		0.72 		0.54 		1.00 		0.73 		0.51 		0.05 		0.00 		0.06 
D1	P21728	DRD1	Class A	Dopamine	1.00 		0.00 		0.00 		0.00 		0.49 		0.78 		0.00 		0.00 		0.00 		0.00 		0.00 		0.93 		0.23 		0.61 		0.58 
D2	P14416	DRD2	Class A	Dopamine	0.00 		1.00 		0.74 		0.86 		0.89 		0.54 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.05 		0.06 		0.15 
D5	P21918	DRD5	Class A	Dopamine	1.00 		0.00 		0.00 		0.00 		0.26 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.95 		0.05 		0.24 		0.20 
δOR	P41143	OPRD1	Class A	SNC-80	0.00 		1.00 		0.67 		0.83 		0.83 		0.47 		0.00 		0.00 		0.00 		0.00 		0.06 		0.46 		0.45 		0.56 		0.88 
EP1	P34995	PTGER1	Class A	PGE2	0.00 		0.08 		0.06 		0.15 		0.13 		0.00 		0.54 		0.00 		0.42 		0.51 		0.23 		1.00 		0.00 		0.03 		0.00 
EP2	P43116	PTGER2	Class A	PGE2	1.00 		0.00 		0.00 		0.00 		0.00 		0.12 		0.00 		0.00 		0.00 		0.00 		0.00 		0.12 		0.05 		0.06 		0.08 
EP3	P43115	PTGER3	Class A	PGE2	0.00 		0.84 		0.63 		1.00 		0.97 		0.43 		0.00 		0.47 		0.00 		0.00 		0.00 		0.86 		0.00 		0.00 		0.00 
EP4	P35408	PTGER4	Class A	PGE2	1.00 		0.77 		0.50 		0.00 		0.17 		0.36 		0.31 		0.16 		0.00 		0.00 		0.00 		0.89 		0.12 		0.39 		0.11 
ETA	P25101	EDNRA	Class A	Endothelin-1	0.35 		0.91 		0.57 		1.00 		0.94 		0.81 		0.37 		0.78 		0.66 		0.75 		0.84 		0.36 		0.21 		0.30 		0.87 
FFA2	O15552	FFAR2	Class A	Propionate	0.00 		0.82 		0.61 		0.00 		0.00 		0.00 		0.00 		0.00 		1.00 		0.50 		0.14 		0.00 		0.00 		0.00 		0.00 
FFA3	O14843	FFAR3	Class A	Propionate	0.00 		0.87 		0.77 		0.85 		0.90 		1.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 
FFA4	Q5NUL3	FFAR4	Class A	α-linolenic acid	0.00 		0.05 		0.05 		0.25 		0.09 		0.00 		0.00 		0.00 		0.38 		0.49 		0.46 		0.64 		0.55 		1.00 		0.79 
FP	P43088	PTGFR	Class A	PGD2	0.00 		0.00 		0.00 		0.36 		0.37 		0.57 		0.00 		0.89 		0.65 		0.86 		1.00 		0.66 		0.00 		0.00 		0.00 
GCGR	P47871	GCGR	Class B	Glucagon	0.92 		0.79 		0.61 		0.73 		1.00 		0.73 		0.00 		0.00 		0.16 		0.08 		0.08 		0.74 		0.44 		0.58 		0.64 
GHSR	Q92847	GHSR	Class A	Ghrelin	0.00 		0.33 		0.23 		0.48 		0.60 		0.59 		0.90 		1.00 		0.25 		0.08 		0.45 		0.17 		0.04 		0.19 		0.14 
GIP	P48546	GIPR	Class B	GIP	1.00 		0.24 		0.35 		0.39 		0.65 		0.46 		0.00 		0.00 		0.00 		0.00 		0.00 		0.66 		0.03 		0.02 		0.09 
GLP-1	P43220	GLP1R	Class B	GLP-1 (7-36)	1.00 		0.05 		0.03 		0.26 		0.38 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.47 		0.21 		0.50 		0.55 
GLP-2	O95838	GLP2R	Class B	GLP-2 (1-33)	1.00 		0.12 		0.07 		0.40 		0.41 		0.14 		0.00 		0.00 		0.00 		0.00 		0.00 		0.24 		0.22 		0.17 		0.39 
GnRHR	P30968	GNRHR	Class A	GnRH	0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.82 		1.00 		0.44 		0.54 		0.00 		0.00 		0.00 
GPBA	Q8TDU6	GPBAR1	Class A	Litocholic acid	1.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 
GPR39	O43194	GPR39	Class A	Zn2+	0.00 		0.69 		0.30 		0.92 		1.00 		0.00 		0.73 		0.89 		0.38 		0.40 		0.57 		0.09 		0.00 		0.11 		0.06 
GPR4	P46093	GPR4	Class A	pH (proton)	0.94 		0.00 		0.00 		0.00 		0.00 		0.00 		1.00 		0.74 		0.28 		0.27 		0.09 		0.14 		0.02 		0.17 		0.00 
GPR65	Q8IYL9	GPR65	Class A	pH (proton)	1.00 		0.00 		0.00 		0.00 		0.36 		0.00 		0.00 		0.94 		0.00 		0.00 		0.00 		0.00 		0.04 		0.10 		0.00 
GPR68	Q15743	GPR68	Class A	pH (proton)	0.69 		0.63 		0.66 		0.80 		0.86 		0.00 		1.00 		0.51 		1.00 		1.00 		0.94 		0.42 		0.03 		0.07 		0.08 
GPR84	Q9NQS5	GPR84	Class A	Undecanoic acid	0.00 		1.00 		0.96 		0.00 		0.00 		0.70 		0.00 		0.54 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 
GPR183	P32249	GPR183	Class A	7α-25 dihydroxycholesterol	0.00 		0.33 		0.47 		1.00 		0.86 		0.80 		0.00 		0.00 		0.00 		0.00 		0.00 		0.08 		0.87 		0.79 		0.71 
H1	P35367	HRH1	Class A	Histamine	0.49 		1.00 		0.67 		0.87 		0.99 		1.00 		0.81 		0.12 		0.63 		0.63 		0.46 		0.35 		0.13 		0.68 		0.56 
H2	P25021	HRH2	Class A	Histamine	1.00 		0.00 		0.00 		0.00 		0.12 		0.29 		0.00 		0.00 		0.00 		0.00 		0.00 		0.81 		0.20 		0.00 		0.29 
HCA2	Q8TDS4	HCAR2	Class A	Nicotinic acid	0.00 		0.39 		0.44 		0.91 		0.85 		1.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.08 		0.28 		0.43 
HCA3	P49019	HCAR3	Class A	3-HOA	0.00 		0.70 		0.43 		0.79 		1.00 		0.80 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.33 		0.13 		0.42 
κOR	P41145	OPRK1	Class A	Dynorphin A	0.00 		1.00 		0.58 		0.80 		0.80 		0.13 		0.00 		0.00 		0.00 		0.00 		0.00 		0.22 		0.10 		0.16 		0.17 
LPA1	Q92633	LPAR1	Class A	O-LPA	0.00 		0.49 		0.00 		0.98 		0.00 		0.00 		0.00 		0.80 		0.18 		0.18 		0.38 		1.00 		0.35 		0.94 		0.44 
LPA2	Q9HBW0	LPAR2	Class A	O-LPA	0.00 		0.62 		0.92 		1.00 		0.91 		0.00 		0.00 		0.32 		0.73 		0.87 		0.66 		0.84 		0.46 		0.64 		0.94 
M1	P11229	CHRM1	Class A	Acetylcholine	0.63 		0.35 		0.28 		0.40 		0.53 		0.72 		0.00 		0.00 		0.87 		0.86 		0.99 		1.00 		0.00 		0.09 		0.13 
M2	P08172	CHRM2	Class A	Acetylcholine	0.38 		0.81 		0.64 		0.73 		0.76 		0.84 		0.00 		0.00 		0.00 		0.00 		0.14 		1.00 		0.56 		0.64 		0.71 
M3	P20309	CHRM3	Class A	Acetylcholine	0.00 		0.36 		0.17 		0.30 		0.34 		0.34 		0.00 		0.00 		0.82 		0.91 		1.00 		1.00 		0.01 		0.04 		0.12 
M4	P08173	CHRM4	Class A	Acetylcholine	0.00 		0.86 		1.00 		0.84 		0.78 		0.50 		0.00 		0.00 		0.11 		0.00 		0.18 		0.92 		0.26 		0.18 		0.44 
MC3R	P41968	MC3R	Class A	γ-MSH	1.00 		0.00 		0.00 		0.00 		0.08 		0.41 		0.00 		0.00 		0.00 		0.00 		0.00 		0.62 		0.02 		0.32 		0.39 
MC4R	P32245	MC4R	Class A	α-MSH	0.86 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		1.00 		0.00 		0.05 		0.07 
mGluR2	Q14416	GRM2	Class C	Glutamate	0.00 		0.73 		0.37 		0.40 		0.27 		0.25 		0.00 		0.00 		0.00 		0.00 		0.00 		1.00 		0.00 		0.00 		0.00 
mGluR4	Q14833	GRM4	Class C	Glutamate	0.00 		0.36 		0.00 		0.64 		1.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 
mGluR5	P41594	GRM5	Class C	Glutamate	0.00 		1.00 		0.66 		0.80 		0.87 		0.63 		0.00 		0.00 		0.41 		0.58 		0.51 		0.87 		0.00 		0.00 		0.00 
mGluR6	O15303	GRM6	Class C	Glutamate	0.00 		1.00 		0.87 		0.75 		0.84 		0.82 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 
mGluR8	O00222	GRM8	Class C	Glutamate	0.00 		1.00 		0.62 		0.41 		0.37 		0.81 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 
μOR	P35372	OPRM1	Class A	DAMGO	0.00 		1.00 		0.76 		0.83 		0.92 		0.31 		0.00 		0.00 		0.00 		0.00 		0.00 		0.30 		0.48 		0.36 		0.90 
MT1	P48039	MTNR1A	Class A	Melatonin	0.00 		0.37 		0.26 		0.37 		0.32 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		1.00 		0.04 		0.19 		0.13 
MT2	P49286	MTNR1B	Class A	Melatonin	0.00 		0.83 		0.74 		0.81 		1.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.05 		0.00 		0.00 		0.00 
NOP	P41146	OPRL1	Class A	Nociceptin	0.00 		1.00 		0.56 		0.82 		0.90 		1.00 		0.00 		0.00 		0.00 		0.00 		0.25 		0.99 		0.07 		0.07 		0.19 
NPFF1	Q9GZQ6	NPFFR1	Class A	RFRP3	0.00 		0.81 		0.66 		0.74 		1.00 		0.46 		0.00 		0.19 		0.00 		0.00 		0.00 		0.53 		0.12 		0.15 		0.36 
NPFF2	Q9Y5X5	NPFFR2	Class A	NPFF	0.00 		0.58 		0.37 		0.73 		1.00 		0.90 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.05 
OT	P30559	OXTR	Class A	Oxytocin	0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.75 		1.00 		0.19 		0.58 		0.14 		0.37 		0.41 
OX2	O43614	HCRTR2	Class A	Orexin-A	0.00 		0.21 		0.10 		0.47 		0.50 		0.61 		0.56 		0.45 		0.83 		1.00 		0.97 		0.54 		0.43 		0.64 		0.69 
P2Y2	P41231	P2RY2	Class A	UTP	0.00 		0.11 		0.07 		0.40 		0.19 		0.46 		1.00 		0.61 		0.07 		0.05 		0.05 		0.32 		0.11 		0.42 		0.09 
PAR1	P25116	F2R	Class A	TFLLR-NH2	0.00 		1.00 		0.42 		0.32 		0.72 		0.67 		0.00 		0.83 		0.51 		0.72 		0.71 		0.50 		0.25 		0.49 		0.42 
PAR2	P55085	F2RL1	Class A	SLIGKV-NH2	0.00 		1.00 		0.71 		0.87 		0.96 		0.81 		0.48 		0.52 		0.60 		0.85 		0.67 		0.69 		0.45 		0.80 		0.40 
PTH1	Q03431	PTH1R	Class B	PTH (1-34)	0.64 		0.36 		0.23 		0.38 		0.64 		0.43 		0.00 		0.16 		0.46 		0.17 		0.12 		0.61 		1.00 		0.68 		0.92 
S1P1	P21453	S1PR1	Class A	Sphingosine 1-phosphate	0.00 		0.41 		0.41 		0.52 		0.34 		0.00 		0.60 		0.00 		0.00 		0.00 		0.00 		1.00 		0.47 		0.45 		0.87 
SST2A	P30874	SSTR2	Class A	Somatostatin-14	0.00 		0.95 		0.47 		0.71 		0.91 		0.68 		0.00 		0.00 		0.17 		0.00 		0.53 		0.60 		1.00 		1.00 		1.00 
V1A	P37288	AVPR1A	Class A	AVP	0.00 		0.11 		0.09 		0.16 		0.11 		0.28 		0.00 		0.00 		0.85 		1.00 		0.94 		0.83 		0.32 		0.49 		0.53 
V2	P30518	AVPR2	Class A	AVP	0.91 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.23 		0.34 		0.11 		1.00 		0.17 		0.69 		0.26 
VPAC1	P25929	NPY1R	Class B	VIP	1.00 		0.28 		0.19 		0.21 		0.45 		0.35 		0.00 		0.00 		0.47 		0.25 		0.07 		0.78 		0.65 		0.66 		0.79 
Y1	Q15761	NPY5R	Class A	NPY	0.00 		0.72 		0.60 		0.49 		0.86 		1.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.05 
Y5	P32241	VIPR1	Class A	NPY	0.00 		0.00 		0.00 		1.00 		0.72 		0.60 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 
