GPCR	393neg	426bip	426bin	493bip	493bin	497bip	497bin	535bip	535bin	654bip	654bin	656bip	656bin	675neg	925bip	925bin	928bip	928bin	966neg	967neg	K_TIL	L_CTL	S_CTL	V_CTL	Y_CTL	O
UTS2R	1	1.86884	2.53491	1.10324	1.08184	1.9768	1.67701	2.86045	2.86494	1.42697	1.73632	3.28694	3.00038	0	2.92242	2.9724	1.42114	1.53942	1	1	1	7	8	3	1	1
MC4R	1	1.20417	1.32235	1.10324	1.08184	2.07472	1.71511	1.73829	1.67939	1.42697	1.73632	1.9861	2.64942	0	1.24836	1.56243	2.2302	2.22439	1	1	0	5	3	0	2	1
CCKBR	1	1.87146	1.07696	2.37964	3.68979	2.29757	2.42111	2.86045	2.86494	1.78609	1.70001	1.9861	2.64942	1	1.24808	1.46495	1.42114	1.53942	1	1	1	5	5	0	1	1
ADORA2A	1	1.86884	2.53491	1.10324	1.08184	2.07472	1.71511	3.50432	3.51242	1.42697	1.73632	1.25028	2.0304	1	1.24808	1.46495	1.42114	1.53942	0	1	2	12	10	8	2	1
ADORA2B	1	1.87146	1.07696	1.10324	1.08184	2.07472	1.71511	2.21161	2.23833	1.53461	1.46916	1.25028	2.0304	0	1.24808	1.46495	1.42114	1.53942	1	1	0	4	2	3	3	1
P2RY1	1	2.70665	2.3626	1.10324	1.08184	1.9768	1.67701	1.75272	1.42238	1.42697	1.73632	1.25028	2.0304	0	1.24836	1.56243	1.39616	2.73422	1	1	1	6	6	0	0	1
PTGER4	1	1.86884	2.53491	2.23145	2.1618	1.79446	2.21495	1.75272	1.42238	2.25204	2.62863	1.87958	1.77275	1	2.05672	1.18842	1.39616	2.73422	1	1	0	21	28	5	0	1
TACR3	1	1.87146	1.07696	1.10324	1.08184	1.9768	1.67701	1.73829	1.67939	1.53461	1.46916	3.28694	3.00038	0	2.05672	1.18842	1.42114	1.53942	1	1	2	3	18	5	4	1
P2RY11	0	3.12633	3.77253	1.89624	1.07335	1.9768	1.67701	2.37152	4.27298	1.42697	1.73632	1.25028	2.0304	0	3.28872	4.05567	2.4513	2.36036	0	0	0	10	6	4	4	1
PTGER2	0	1.86884	2.53491	2.98854	4.06752	1.97475	2.99873	1.73829	1.67939	3.28656	3.11163	1.25028	2.0304	1	1.24836	1.56243	1.42114	1.53942	0	1	0	6	6	2	0	1
NMBR	1	1.20417	1.32235	1.89624	1.07335	1.9768	1.67701	1.73829	1.67939	1.53461	1.46916	3.32326	2.46895	1	3.50013	3.17441	2.96181	2.82521	1	1	3	10	12	3	3	1
HRH2	1	1.20417	1.32235	1.10324	1.08184	1.97475	2.99873	1.73829	1.67939	1.53461	1.46916	3.52253	2.90744	1	2.05672	1.18842	2.96181	2.82521	0	0	2	7	7	2	1	1
TACR1	1	1.87146	1.07696	1.10324	1.08184	1.9768	1.67701	1.73829	1.67939	1.78609	1.70001	3.28694	3.00038	0	2.05672	1.18842	1.42114	1.53942	1	1	0	8	17	5	3	1
S1PR3	1	1.20417	1.32235	2.37964	3.68979	2.07472	1.71511	3.50432	3.51242	3.30655	3.08321	1.87958	1.77275	1	2.92242	2.9724	3.0761	3.12596	0	1	2	6	13	3	0	1
HRH1	0	1.20417	1.32235	1.10324	1.08184	1.97475	2.99873	1.68081	2.15101	1.42697	1.73632	1.25028	2.0304	1	1.24808	1.46495	1.39616	2.73422	0	0	17	2	1	0	0	1
MRGPRX1	1	1.20417	1.32235	2.23145	2.1618	3.13953	2.95953	2.21161	2.23833	1.78609	1.70001	3.52253	2.90744	0	1.24808	1.46495	1.42114	1.53942	1	1	0	8	4	3	0	1
OXGR1	1	2.70665	2.3626	1.10324	1.08184	1.9768	1.67701	1.75272	1.42238	1.53461	1.46916	2.79252	2.06592	0	1.24836	1.56243	1.42114	1.53942	1	1	0	2	5	6	2	1
BDKRB1	1	1.87146	1.07696	1.10324	1.08184	2.29757	2.42111	1.73829	1.67939	2.25204	2.62863	1.87958	1.77275	0	1.24836	1.56243	2.2302	2.22439	1	1	1	4	4	3	1	1
OXTR	1	2.70665	2.3626	2.37964	3.68979	2.07472	1.71511	2.86045	2.86494	1.78609	1.70001	1.9861	2.64942	1	1.24836	1.56243	2.85224	1.99387	0	0	3	7	15	2	1	1
PTAFR	0	2.70665	2.3626	1.89624	1.07335	3.62427	3.15433	1.73829	1.67939	1.53461	1.46916	1.25028	2.0304	0	2.05672	1.18842	2.4513	2.36036	1	1	0	3	5	4	1	1
MRGPRX2	1	1.86884	2.53491	2.23145	2.1618	3.13953	2.95953	2.21161	2.23833	3.28656	3.11163	1.25028	2.0304	0	1.24808	1.46495	1.42114	1.53942	0	0	0	6	5	3	0	1
MCHR2	1	1.20417	1.32235	3.34588	3.68911	1.9768	1.67701	2.21161	2.23833	1.42697	1.73632	1.25028	2.0304	1	1.24808	1.46495	2.2302	2.22439	0	1	2	4	2	0	0	1
MCHR1	1	1.20417	1.32235	2.37964	3.68979	1.9768	1.67701	2.21161	2.23833	1.78609	1.70001	2.79252	2.06592	1	1.24836	1.56243	2.2302	2.22439	0	1	0	4	3	4	0	1
PTGIR	1	1.86884	2.53491	2.98854	4.06752	1.97475	2.99873	1.73829	1.67939	2.25204	2.62863	3.3986	2.97661	1	1.24836	1.56243	1.42114	1.53942	1	1	1	10	13	7	0	1
HTR6	0	1.87146	1.07696	1.10324	1.08184	1.79446	2.21495	1.68081	2.15101	2.25204	2.62863	3.52253	2.90744	1	1.24836	1.56243	1.42114	1.53942	0	0	2	18	12	2	0	1
HTR7	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.78609	1.70001	1.25028	2.0304	1	1.24836	1.56243	1.42114	1.53942	1	1	8	12	4	7	2	1
HTR4	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	3.50432	3.51242	1.42697	1.73632	1.87958	1.77275	1	1.24808	1.46495	2.2302	2.22439	0	0	1	6	7	4	1	1
FFAR2	0	1.87146	1.07696	2.37964	3.68979	2.59061	2.56332	1.68081	2.15101	1.78609	1.70001	2.44525	2.17439	0	1.24836	1.56243	3.48458	2.66384	0	0	0	4	7	4	1	1
GRPR	1	1.20417	1.32235	1.89624	1.07335	1.9768	1.67701	1.73829	1.67939	1.53461	1.46916	3.32326	2.46895	1	3.50013	3.17441	1.42114	1.53942	1	1	2	8	9	2	2	1
GHSR	1	1.87146	1.07696	1.89624	1.07335	1.9768	1.67701	1.73829	1.67939	3.6126	3.28877	2.79252	2.06592	1	1.24808	1.46495	1.42114	1.53942	1	1	0	4	7	2	1	1
FFAR1	0	2.88926	3.48259	3.84927	4.95223	2.59061	2.56332	1.73829	1.67939	1.53461	1.46916	1.9861	2.64942	0	1.24808	1.46495	3.48458	2.66384	0	0	0	8	3	4	2	1
P2RY6	0	3.08426	3.71015	1.10324	1.08184	1.9768	1.67701	1.75272	1.42238	2.25204	2.62863	1.25028	2.0304	0	2.05672	1.18842	1.42114	1.53942	1	1	0	3	0	0	1	1
MC5R	1	1.86884	2.53491	2.98854	4.06752	2.07472	1.71511	1.73829	1.67939	1.42697	1.73632	1.87958	1.77275	1	1.24836	1.56243	2.2302	2.22439	1	1	1	0	2	0	0	1
FFAR4	1	1.86884	2.53491	1.10324	1.08184	2.59061	2.56332	1.73829	1.67939	1.78609	1.70001	1.87958	1.77275	1	2.05672	1.18842	3.0761	3.12596	1	1	2	5	4	3	1	1
ADRA1A	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.53461	1.46916	1.25028	2.0304	1	1.24808	1.46495	1.42114	1.53942	0	0	8	7	19	12	2	1
ADRA1B	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.78609	1.70001	1.25028	2.0304	1	1.24808	1.46495	1.42114	1.53942	0	0	9	15	18	3	3	1
ADRA1D	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	2.21161	2.23833	1.78609	1.70001	1.87958	1.77275	1	1.24808	1.46495	2.96181	2.82521	0	0	4	15	14	7	3	1
AVPR2	0	1.20417	1.32235	3.34588	3.68911	2.07472	1.71511	1.68081	2.15101	4.04727	3.97893	1.9861	2.64942	1	1.24808	1.46495	2.2302	2.22439	0	0	0	11	16	2	1	1
DRD5	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	1.68081	2.15101	1.53461	1.46916	2.44525	2.17439	1	3.53392	4.77925	1.42114	1.53942	1	1	2	5	7	8	3	1
CCKAR	1	1.87146	1.07696	2.37964	3.68979	2.29757	2.42111	2.86045	2.86494	1.78609	1.70001	3.41659	3.60073	1	1.24808	1.46495	3.54587	2.8669	1	1	8	2	6	2	1	1
LPAR2	1	1.87146	1.07696	1.89624	1.07335	2.07472	1.71511	1.75272	1.42238	1.42697	1.73632	1.87958	1.77275	1	1.24836	1.56243	2.85224	1.99387	0	0	0	6	7	1	1	1
DRD1	1	1.86884	2.53491	1.10324	1.08184	1.79446	2.21495	1.68081	2.15101	1.53461	1.46916	2.44525	2.17439	1	3.53392	4.77925	1.42114	1.53942	1	1	5	11	11	5	3	1
ADRB1	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.53461	1.46916	1.9861	2.64942	1	1.24808	1.46495	1.42114	1.53942	0	0	4	6	9	3	0	1
ADRB2	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.53461	1.46916	1.87958	1.77275	1	1.24808	1.46495	1.42114	1.53942	0	0	5	9	10	3	3	1
ADRB3	1	1.86884	2.53491	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.78609	1.70001	1.25028	2.0304	1	1.24808	1.46495	1.42114	1.53942	0	0	0	6	7	2	0	1
GPR119	0	3.08426	3.71015	1.89624	1.07335	3.46407	3.34231	2.21161	2.23833	1.42697	1.73632	1.87958	1.77275	1	1.24808	1.46495	2.85224	1.99387	0	0	1	7	7	4	2	1
GPR132	0	1.87146	1.07696	1.10324	1.08184	1.79446	2.21495	1.68081	2.15101	1.53461	1.46916	1.9861	2.64942	0	1.24836	1.56243	2.2302	2.22439	1	1	1	5	8	5	1	1
F2RL3	0	1.87146	1.07696	1.89624	1.07335	2.59061	2.56332	1.68081	2.15101	2.25204	2.62863	1.25028	2.0304	0	2.92242	2.9724	2.4513	2.36036	1	1	0	3	7	3	2	1
F2RL2	0	3.66153	3.61872	1.10324	1.08184	2.59061	2.56332	1.75272	1.42238	1.42697	1.73632	2.44525	2.17439	0	2.05672	1.18842	2.2302	2.22439	1	1	0	2	2	0	1	1
F2RL1	0	2.70665	2.3626	1.10324	1.08184	1.9768	1.67701	1.73829	1.67939	1.42697	1.73632	1.9861	2.64942	0	2.05672	1.18842	2.85224	1.99387	1	1	6	0	6	1	2	1
GPR174	1	2.70665	2.3626	1.10324	1.08184	2.29757	2.42111	2.37152	4.27298	1.53461	1.46916	1.25028	2.0304	0	2.05672	1.18842	2.2302	2.22439	1	1	1	4	6	1	1	1
LPAR4	1	1.20417	1.32235	2.98854	4.06752	1.9768	1.67701	1.75272	1.42238	1.42697	1.73632	1.87958	1.77275	0	1.24836	1.56243	2.4513	2.36036	1	1	1	6	6	1	2	1
GPR17	1	1.87146	1.07696	1.10324	1.08184	1.9768	1.67701	2.21161	2.23833	3.30655	3.08321	1.87958	1.77275	0	1.24836	1.56243	2.4513	2.36036	1	1	1	11	7	1	1	0
NPFFR2	1	1.20417	1.32235	1.89624	1.07335	2.29757	2.42111	1.73829	1.67939	1.42697	1.73632	1.87958	1.77275	1	1.24808	1.46495	1.42114	1.53942	1	1	2	24	14	9	7	0
SSTR4	1	1.87146	1.07696	1.89624	1.07335	1.9768	1.67701	1.75272	1.42238	2.25204	2.62863	3.28694	3.00038	0	1.24808	1.46495	3.54587	2.8669	0	0	0	10	2	1	2	0
ADORA1	1	1.20417	1.32235	1.10324	1.08184	2.07472	1.71511	3.50432	3.51242	1.42697	1.73632	1.87958	1.77275	1	1.24808	1.46495	1.42114	1.53942	0	0	5	2	0	1	0	0
ADORA3	1	1.20417	1.32235	1.10324	1.08184	2.07472	1.71511	3.50432	3.51242	1.78609	1.70001	3.52253	2.90744	1	1.24808	1.46495	1.42114	1.53942	0	0	2	4	4	2	2	0
LTB4R	1	1.86884	2.53491	1.89624	1.07335	1.9768	1.67701	1.73829	1.67939	2.25204	2.62863	1.87958	1.77275	0	2.92242	2.9724	1.42114	1.53942	1	1	0	10	10	2	0	0
P2RY12	0	1.87146	1.07696	1.10324	1.08184	3.62427	3.15433	1.73829	1.67939	1.53461	1.46916	2.44525	2.17439	1	2.05672	1.18842	2.4513	2.36036	1	1	1	4	6	0	0	0
GPR55	0	2.70665	2.3626	1.89624	1.07335	1.79446	2.21495	1.73829	1.67939	1.53461	1.46916	3.28694	3.00038	0	1.24836	1.56243	1.42114	1.53942	1	1	0	2	2	3	1	0
MLNR	1	1.87146	1.07696	2.23145	2.1618	1.9768	1.67701	2.21161	2.23833	3.6126	3.28877	3.32326	2.46895	0	2.05672	1.18842	1.42114	1.53942	1	1	0	4	4	3	2	0
CYSLTR2	1	2.70665	2.3626	1.10324	1.08184	1.9768	1.67701	1.73829	1.67939	3.30655	3.08321	3.32326	2.46895	0	1.24808	1.46495	1.42114	1.53942	1	1	1	3	2	4	1	0
GPR34	1	1.87146	1.07696	1.10324	1.08184	3.62427	3.15433	1.75272	1.42238	1.42697	1.73632	2.44525	2.17439	1	2.05672	1.18842	2.4513	2.36036	1	1	3	4	12	2	1	0
CYSLTR1	1	2.70665	2.3626	1.10324	1.08184	1.9768	1.67701	1.73829	1.67939	1.53461	1.46916	2.44525	2.17439	0	1.24836	1.56243	3.54587	2.8669	1	1	4	3	6	3	1	0
CNR1	1	1.20417	1.32235	1.89624	1.07335	1.97475	2.99873	3.78545	2.90743	3.72723	2.98934	1.87958	1.77275	1	2.05672	1.18842	3.48458	2.66384	0	0	2	5	11	4	0	0
SSTR1	1	1.20417	1.32235	1.10324	1.08184	1.9768	1.67701	1.75272	1.42238	2.25204	2.62863	3.52253	2.90744	0	2.05672	1.18842	3.54587	2.8669	0	0	2	6	7	3	3	0
LPAR1	0	2.70665	2.3626	1.89624	1.07335	2.07472	1.71511	1.73829	1.67939	1.78609	1.70001	1.87958	1.77275	1	2.05672	1.18842	2.85224	1.99387	0	0	0	3	9	3	1	0
CNR2	1	1.20417	1.32235	1.89624	1.07335	2.07472	1.71511	3.78545	2.90743	4.04727	3.97893	2.44525	2.17439	1	2.05672	1.18842	2.96181	2.82521	0	0	0	5	8	2	0	0
TBXA2R	0	1.87146	1.07696	2.23145	2.1618	2.59061	2.56332	1.75272	1.42238	1.42697	1.73632	3.3986	2.97661	0	1.24836	1.56243	1.42114	1.53942	1	1	0	8	4	1	0	0
GALR2	1	1.20417	1.32235	3.34588	3.68911	2.59061	2.56332	1.73829	1.67939	1.78609	1.70001	3.28694	3.00038	1	1.24808	1.46495	3.54587	2.8669	1	1	0	9	10	5	0	0
P2RY14	0	1.87146	1.07696	1.10324	1.08184	3.62427	3.15433	1.75272	1.42238	1.42697	1.73632	2.44525	2.17439	0	1.24836	1.56243	2.4513	2.36036	1	1	2	7	2	0	0	0
GPR35	0	2.70665	2.3626	1.10324	1.08184	1.9768	1.67701	2.21161	2.23833	1.78609	1.70001	1.87958	1.77275	0	1.24836	1.56243	1.42114	1.53942	1	1	0	3	4	2	2	0
S1PR1	1	1.20417	1.32235	1.89624	1.07335	2.07472	1.71511	3.50432	3.51242	3.28656	3.11163	1.87958	1.77275	1	2.92242	2.9724	2.2302	2.22439	0	1	3	1	13	1	0	0
GPR183	1	3.12633	3.77253	1.89624	1.07335	1.9768	1.67701	1.75272	1.42238	1.53461	1.46916	1.25028	2.0304	0	1.24808	1.46495	2.85224	1.99387	1	1	2	1	9	4	1	0
P2RY10	0	2.70665	2.3626	1.10324	1.08184	1.9768	1.67701	1.73829	1.67939	1.53461	1.46916	1.9861	2.64942	0	2.05672	1.18842	2.85224	1.99387	1	1	0	2	9	1	1	0
ADRA2A	1	1.87146	1.07696	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.53461	1.46916	2.44525	2.17439	1	1.24836	1.56243	2.96181	2.82521	0	0	5	1	0	1	0	0
ADRA2B	1	1.87146	1.07696	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.53461	1.46916	2.44525	2.17439	1	1.24808	1.46495	2.96181	2.82521	0	1	7	1	0	0	0	0
ADRA2C	1	1.87146	1.07696	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.53461	1.46916	3.28694	3.00038	1	1.24808	1.46495	2.96181	2.82521	0	1	3	1	1	1	0	0
SSTR3	1	1.20417	1.32235	1.10324	1.08184	1.9768	1.67701	1.75272	1.42238	1.78609	1.70001	3.52253	2.90744	0	1.24808	1.46495	3.54587	2.8669	1	1	0	6	12	5	2	0
LTB4R2	1	1.86884	2.53491	1.89624	1.07335	3.62427	3.15433	1.75272	1.42238	1.42697	1.73632	1.25028	2.0304	0	1.24808	1.46495	2.2302	2.22439	1	1	0	11	5	5	1	0
HRH4	1	3.69339	3.46421	1.89624	1.07335	2.29757	2.42111	1.75272	1.42238	1.42697	1.73632	1.9861	2.64942	1	1.24836	1.56243	2.2302	2.22439	0	1	4	3	5	1	0	0
SSTR2	1	1.20417	1.32235	1.10324	1.08184	1.9768	1.67701	1.75272	1.42238	1.53461	1.46916	3.52253	2.90744	0	3.50013	3.17441	1.42114	1.53942	1	1	4	7	7	3	0	0
HTR2A	1	1.87146	1.07696	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.53461	1.46916	1.87958	1.77275	1	1.24836	1.56243	4.70961	3.47723	1	1	3	7	10	5	4	0
HRH3	1	1.87146	1.07696	2.93746	3.22321	2.29757	2.42111	1.75272	1.42238	3.28656	3.11163	2.79252	2.06592	1	1.24808	1.46495	2.2302	2.22439	0	0	5	5	3	0	0	0
HTR2C	1	1.87146	1.07696	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.53461	1.46916	1.87958	1.77275	1	2.05672	1.18842	4.70961	3.47723	1	1	5	6	8	10	4	0
HTR2B	1	1.87146	1.07696	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.53461	1.46916	2.44525	2.17439	1	1.24808	1.46495	4.70961	3.47723	1	1	9	8	11	3	5	0
PTGER3	0	1.20417	1.32235	2.23145	2.1618	3.13953	2.95953	1.75272	1.42238	1.78609	1.70001	3.3986	2.97661	1	1.24836	1.56243	3.0761	3.12596	1	1	1	8	7	0	2	0
S1PR5	1	1.87146	1.07696	1.89624	1.07335	2.07472	1.71511	1.68081	2.15101	2.25204	2.62863	3.52253	2.90744	1	2.92242	2.9724	3.48458	2.66384	0	1	1	10	15	2	0	0
GPR84	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	2.86045	2.86494	3.28656	3.11163	3.28694	3.00038	1	1.24808	1.46495	1.39616	2.73422	0	1	7	2	2	0	1	0
FPR2	1	3.66153	3.61872	1.89624	1.07335	3.62427	3.15433	4.29051	3.85565	1.53461	1.46916	1.9861	2.64942	0	2.05672	1.18842	2.96181	2.82521	1	1	3	5	6	2	0	0
PRLHR	1	1.20417	1.32235	1.89624	1.07335	1.9768	1.67701	1.73829	1.67939	1.78609	1.70001	1.25028	2.0304	1	1.24836	1.56243	1.42114	1.53942	1	1	0	4	2	4	0	0
KISS1R	1	1.20417	1.32235	4.60569	4.0798	1.9768	1.67701	1.73829	1.67939	2.25204	2.62863	3.52253	2.90744	1	2.92242	2.9724	3.48458	2.66384	1	1	0	8	5	2	0	0
MC3R	1	1.87146	1.07696	1.10324	1.08184	2.07472	1.71511	1.73829	1.67939	1.42697	1.73632	3.28694	3.00038	1	3.50013	3.17441	2.2302	2.22439	1	1	1	4	1	0	0	0
OPRK1	1	1.20417	1.32235	1.10324	1.08184	1.9768	1.67701	1.73829	1.67939	1.53461	1.46916	2.44525	2.17439	0	1.24836	1.56243	2.85224	1.99387	1	1	2	3	2	3	1	0
OPRL1	1	1.20417	1.32235	2.37964	3.68979	1.9768	1.67701	1.73829	1.67939	1.78609	1.70001	3.32326	2.46895	0	4.61825	4.17869	2.85224	1.99387	1	1	1	3	4	5	0	0
FPR1	1	3.66153	3.61872	1.89624	1.07335	2.59061	2.56332	4.29051	3.85565	1.53461	1.46916	1.9861	2.64942	0	1.24808	1.46495	3.0761	3.12596	1	1	2	6	5	2	0	0
CHRM5	1	1.87146	1.07696	1.89624	1.07335	2.07472	1.71511	1.68081	2.15101	1.78609	1.70001	2.79252	2.06592	1	2.05672	1.18842	2.85224	1.99387	0	0	23	6	1	1	1	0
CHRM4	1	1.87146	1.07696	1.89624	1.07335	2.07472	1.71511	1.68081	2.15101	1.53461	1.46916	2.79252	2.06592	1	1.24808	1.46495	2.85224	1.99387	0	0	17	4	0	0	1	0
CHRM3	1	1.87146	1.07696	1.89624	1.07335	2.07472	1.71511	1.68081	2.15101	1.53461	1.46916	2.79252	2.06592	1	2.05672	1.18842	2.85224	1.99387	0	0	21	5	1	1	1	0
CHRM2	1	1.87146	1.07696	1.89624	1.07335	2.07472	1.71511	1.68081	2.15101	1.53461	1.46916	2.79252	2.06592	1	2.05672	1.18842	2.2302	2.22439	0	0	20	3	0	0	1	0
CHRM1	1	1.87146	1.07696	1.89624	1.07335	2.07472	1.71511	1.68081	2.15101	1.78609	1.70001	3.52253	2.90744	1	1.24808	1.46495	2.85224	1.99387	0	0	13	5	2	1	0	0
NPFFR1	1	1.20417	1.32235	1.89624	1.07335	2.29757	2.42111	1.73829	1.67939	1.42697	1.73632	1.87958	1.77275	1	1.24808	1.46495	1.42114	1.53942	1	1	0	9	10	5	2	0
HTR1D	0	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.42697	1.73632	2.44525	2.17439	1	2.05672	1.18842	1.42114	1.53942	0	1	4	0	1	2	0	0
OPRM1	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	4.58833	4.06911	1.53461	1.46916	2.79252	2.06592	0	1.24836	1.56243	2.85224	1.99387	1	1	3	4	4	1	0	0
TACR2	1	1.20417	1.32235	1.10324	1.08184	1.9768	1.67701	1.73829	1.67939	1.78609	1.70001	3.3986	2.97661	1	2.05672	1.18842	1.42114	1.53942	1	1	0	9	6	3	1	0
LPAR3	0	1.87146	1.07696	2.23145	2.1618	2.07472	1.71511	1.75272	1.42238	1.53461	1.46916	1.87958	1.77275	0	1.24836	1.56243	2.85224	1.99387	0	1	2	1	11	2	3	0
MTNR1B	1	1.87146	1.07696	1.89624	1.07335	1.9768	1.67701	1.73829	1.67939	1.78609	1.70001	3.32326	2.46895	0	2.05672	1.18842	2.2302	2.22439	1	1	3	7	3	1	1	0
FFAR3	0	1.87146	1.07696	2.93746	3.22321	2.59061	2.56332	3.50432	3.51242	1.53461	1.46916	3.32326	2.46895	0	1.24836	1.56243	3.48458	2.66384	1	1	0	5	8	1	1	0
MTNR1A	1	1.86884	2.53491	1.10324	1.08184	1.9768	1.67701	1.73829	1.67939	1.53461	1.46916	2.44525	2.17439	1	2.05672	1.18842	2.2302	2.22439	1	1	4	4	5	9	1	0
HTR1F	0	1.20417	1.32235	1.10324	1.08184	3.13953	2.95953	1.75272	1.42238	1.42697	1.73632	1.25028	2.0304	1	2.05672	1.18842	1.42114	1.53942	0	0	10	1	0	1	0	0
P2RY4	0	2.70665	2.3626	1.89624	1.07335	1.9768	1.67701	1.75272	1.42238	1.78609	1.70001	1.25028	2.0304	0	1.24836	1.56243	2.4513	2.36036	1	1	0	8	8	1	1	0
NMUR2	1	1.87146	1.07696	1.10324	1.08184	1.9768	1.67701	1.75272	1.42238	1.78609	1.70001	3.32326	2.46895	0	2.05672	1.18842	2.2302	2.22439	1	1	3	7	11	2	1	0
NMUR1	1	1.87146	1.07696	1.89624	1.07335	1.9768	1.67701	1.75272	1.42238	1.53461	1.46916	3.32326	2.46895	1	2.05672	1.18842	2.2302	2.22439	1	1	1	8	11	2	0	0
BDKRB2	1	1.87146	1.07696	1.10324	1.08184	3.46407	3.34231	1.73829	1.67939	1.78609	1.70001	2.79252	2.06592	0	2.05672	1.18842	1.42114	1.53942	1	1	2	2	6	5	1	0
APLNR	1	1.20417	1.32235	1.89624	1.07335	1.9768	1.67701	2.21161	2.23833	1.53461	1.46916	1.25028	2.0304	0	1.24808	1.46495	3.54587	2.8669	1	1	2	2	13	2	2	0
DRD4	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	2.86045	2.86494	1.42697	1.73632	1.25028	2.0304	0	1.24808	1.46495	2.85224	1.99387	0	0	2	1	0	2	0	0
DRD2	1	1.20417	1.32235	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.78609	1.70001	1.25028	2.0304	1	2.05672	1.18842	1.42114	1.53942	0	0	14	2	0	0	0	0
DRD3	1	1.86884	2.53491	1.10324	1.08184	1.79446	2.21495	1.75272	1.42238	1.78609	1.70001	1.87958	1.77275	1	1.24836	1.56243	1.42114	1.53942	0	0	8	2	1	0	0	0
GALR3	1	1.20417	1.32235	3.34588	3.68911	2.59061	2.56332	1.75272	1.42238	1.78609	1.70001	3.32326	2.46895	0	1.24808	1.46495	3.48458	2.66384	1	1	0	5	4	2	0	0
F2R	0	2.70665	2.3626	1.10324	1.08184	1.9768	1.67701	1.73829	1.67939	1.53461	1.46916	2.79252	2.06592	0	2.05672	1.18842	3.48458	2.66384	1	1	1	5	13	1	6	0
