GPCR	393neg	401bip	401bin	426bip	426bin	493bip	493bin	497bip	497bin	535bip	535bin	654bip	654bin	656bip	656bin	675neg	925bip	925bin	928bip	928bin	966neg	967neg	1000bip	1000bin	CTLL	K_TIL	G_CTL	L_CTL	S_CTL	V_CTL	Y_CTL	O
OXGR1	1	3.86915	4.79034	2.82129	2.27089	1.1079	1.09432	2.02813	1.65196	1.69706	1.45543	1.48601	1.50767	2.79405	2.07857	0	1.22316	1.58643	1.42008	1.54274	1	1	1.33106	1.76423	37	0	1	2	5	6	2	1
BDKRB1	1	2.29514	1.78288	1.77154	1.13408	1.1079	1.09432	2.29744	2.4228	1.78581	1.6331	2.24709	2.62738	1.82003	1.8025	0	1.22316	1.58643	2.18334	2.304	1	1	2.23342	1.65028	41	1	1	4	4	3	1	1
OXTR	1	1.70607	2.03855	2.82129	2.27089	2.38182	3.68506	1.96131	1.78584	2.86215	2.86458	1.7867	1.69306	2.09988	2.44709	1	1.22316	1.58643	2.81544	1.9746	0	0	2.44286	3.7168	60	3	3	7	15	2	1	1
PTAFR	0	2.29514	1.78288	2.82129	2.27089	1.89795	1.07251	3.93628	2.97149	1.78581	1.6331	1.48601	1.50767	1.24991	2.03777	0	2.11884	1.14143	2.44965	2.36767	1	1	2.23342	1.65028	49	0	1	3	5	4	1	1
MC3R	1	1.2512	1.34561	1.77154	1.13408	1.1079	1.09432	1.96131	1.78584	1.78581	1.6331	1.46751	1.69455	3.13246	3.18186	1	3.32853	3.45694	2.18334	2.304	1	1	1.33106	1.76423	24	1	3	4	1	0	0	1
MCHR2	1	1.63151	1.23241	1.2306	1.29435	3.34639	3.68676	2.02813	1.65196	2.21448	2.23833	1.46751	1.69455	1.24991	2.03777	1	1.27461	1.42004	2.18334	2.304	0	1	2.19175	2.69385	34	2	2	4	2	0	0	1
MCHR1	1	1.2512	1.34561	1.2306	1.29435	2.38182	3.68506	2.02813	1.65196	2.21448	2.23833	1.7867	1.69306	2.79405	2.07857	1	1.22316	1.58643	2.18334	2.304	0	1	2.19175	2.69385	42	0	2	4	3	4	0	1
PTGIR	1	1.70607	2.03855	1.8702	2.53095	2.9883	4.06073	1.97408	3.01608	1.78581	1.6331	2.24709	2.62738	3.39139	2.97843	1	1.22316	1.58643	1.42008	1.54274	1	1	2.44286	3.7168	95	1	9	10	13	7	0	1
HTR6	0	1.63151	1.23241	1.77154	1.13408	1.1079	1.09432	1.79356	2.22515	1.6812	2.15312	2.24709	2.62738	3.52957	2.90934	1	1.22316	1.58643	1.42008	1.54274	0	0	1.42711	1.30575	120	2	9	18	12	2	0	1
HTR7	1	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.7867	1.69306	1.24991	2.03777	1	1.22316	1.58643	1.42008	1.54274	1	1	2.19175	2.69385	95	8	1	12	4	7	2	1
HTR4	1	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	3.51766	3.51431	1.46751	1.69455	1.82003	1.8025	1	1.27461	1.42004	2.18334	2.304	0	0	2.19175	2.69385	76	1	4	6	7	4	1	1
LPAR3	0	1.2512	1.34561	1.77154	1.13408	2.20735	2.1381	1.96131	1.78584	1.69706	1.45543	1.48601	1.50767	1.82003	1.8025	0	1.22316	1.58643	2.81544	1.9746	0	1	1.42711	1.30575	60	2	3	1	11	2	3	1
FFAR2	0	2.29514	1.78288	1.77154	1.13408	2.38182	3.68506	2.58491	2.56313	1.6812	2.15312	1.7867	1.69306	2.44577	2.17537	0	1.22316	1.58643	3.71368	2.56863	0	0	1.33106	1.76423	58	0	10	4	7	4	1	1
GRPR	1	2.29514	1.78288	1.2306	1.29435	1.89795	1.07251	2.02813	1.65196	1.78581	1.6331	1.48601	1.50767	3.32873	2.47194	1	3.32853	3.45694	1.42008	1.54274	1	1	2.19175	2.69385	64	2	3	8	9	2	2	1
GHSR	1	1.2512	1.34561	1.77154	1.13408	1.89795	1.07251	2.02813	1.65196	1.78581	1.6331	3.60989	3.2922	2.79405	2.07857	1	1.27461	1.42004	1.42008	1.54274	1	1	1.42711	1.30575	43	0	1	4	7	2	1	1
FFAR1	0	2.92742	3.26992	2.89128	3.47073	3.84531	4.94367	2.58491	2.56313	1.78581	1.6331	1.48601	1.50767	2.09988	2.44709	0	1.27461	1.42004	3.71368	2.56863	0	0	5.50281	5.21829	52	0	10	8	3	4	2	1
P2RY6	0	1.63151	1.23241	3.0883	3.69849	1.1079	1.09432	2.02813	1.65196	1.69706	1.45543	2.24709	2.62738	1.24991	2.03777	0	2.11884	1.14143	1.42008	1.54274	1	1	1.42711	1.30575	28	0	1	3	0	0	1	1
MC5R	1	1.63151	1.23241	1.8702	2.53095	2.9883	4.06073	1.96131	1.78584	1.78581	1.6331	1.46751	1.69455	1.82003	1.8025	1	1.22316	1.58643	2.18334	2.304	1	1	1.33106	1.76423	30	1	1	0	2	0	0	1
FFAR4	1	1.2512	1.34561	1.8702	2.53095	1.1079	1.09432	2.58491	2.56313	1.78581	1.6331	1.7867	1.69306	1.82003	1.8025	1	2.11884	1.14143	3.08563	3.12777	1	1	1.42711	1.30575	56	2	2	5	4	3	1	1
ADRA1A	1	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.48601	1.50767	1.24991	2.03777	1	1.27461	1.42004	1.42008	1.54274	0	0	1.42711	1.30575	140	8	7	7	19	12	2	1
ADRA1B	1	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.7867	1.69306	1.24991	2.03777	1	1.27461	1.42004	1.42008	1.54274	0	0	1.42711	1.30575	172	9	24	15	18	3	3	1
ADRA1D	1	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	2.21448	2.23833	1.7867	1.69306	1.82003	1.8025	1	1.27461	1.42004	2.96154	2.82285	0	0	1.33106	1.76423	170	4	10	15	14	7	3	1
AVPR2	0	1.70607	2.03855	1.2306	1.29435	3.34639	3.68676	1.96131	1.78584	1.6812	2.15312	4.05136	3.9667	2.09988	2.44709	1	1.27461	1.42004	2.18334	2.304	0	0	5.50281	5.21829	72	0	3	11	16	2	1	1
DRD5	1	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	1.6812	2.15312	1.48601	1.50767	2.44577	2.17537	1	3.53787	4.81811	1.42008	1.54274	1	1	2.23342	1.65028	118	2	6	5	7	8	3	1
CCKAR	1	1.70607	2.03855	1.77154	1.13408	2.38182	3.68506	2.29744	2.4228	2.86215	2.86458	1.7867	1.69306	3.42023	3.5983	1	1.27461	1.42004	3.54954	2.86728	1	1	1.42711	1.30575	58	8	8	2	6	2	1	1
LPAR2	1	1.63151	1.23241	1.77154	1.13408	1.89795	1.07251	1.96131	1.78584	1.69706	1.45543	1.46751	1.69455	1.82003	1.8025	1	1.22316	1.58643	2.81544	1.9746	0	0	3.32544	2.86272	56	0	3	6	7	1	1	1
DRD1	1	1.2512	1.34561	1.8702	2.53095	1.1079	1.09432	1.79356	2.22515	1.6812	2.15312	1.48601	1.50767	2.44577	2.17537	1	3.53787	4.81811	1.42008	1.54274	1	1	1.42711	1.30575	115	5	6	11	11	5	3	1
ADRB1	1	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.48601	1.50767	2.09988	2.44709	1	1.27461	1.42004	1.42008	1.54274	0	0	1.42711	1.30575	100	4	9	6	9	3	0	1
ADRB2	1	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.48601	1.50767	1.82003	1.8025	1	1.27461	1.42004	1.42008	1.54274	0	0	1.33106	1.76423	87	5	9	9	10	3	3	1
ADRB3	1	1.63151	1.23241	1.8702	2.53095	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.7867	1.69306	1.24991	2.03777	1	1.27461	1.42004	1.42008	1.54274	0	0	1.33106	1.76423	62	0	4	6	7	2	0	1
GPR119	0	1.2512	1.34561	3.0883	3.69849	1.89795	1.07251	3.46944	3.34447	2.21448	2.23833	1.46751	1.69455	1.82003	1.8025	1	1.27461	1.42004	2.81544	1.9746	0	0	1.33106	1.76423	56	1	3	7	7	4	2	1
GPR132	0	2.92742	3.26992	1.77154	1.13408	1.1079	1.09432	1.79356	2.22515	1.6812	2.15312	1.48601	1.50767	2.09988	2.44709	0	1.22316	1.58643	2.18334	2.304	1	1	1.42711	1.30575	72	1	2	5	8	5	1	1
F2RL3	0	1.70607	2.03855	1.77154	1.13408	1.89795	1.07251	2.58491	2.56313	1.6812	2.15312	2.24709	2.62738	1.24991	2.03777	0	2.91687	2.99564	2.44965	2.36767	1	1	2.19175	2.69385	45	0	6	3	7	3	2	1
F2RL2	0	1.70607	2.03855	3.65692	3.61611	1.1079	1.09432	2.58491	2.56313	1.69706	1.45543	1.46751	1.69455	2.44577	2.17537	0	2.11884	1.14143	2.18334	2.304	1	1	2.19175	2.69385	16	0	0	2	2	0	1	1
GPR174	1	2.29514	1.78288	2.82129	2.27089	1.1079	1.09432	2.29744	2.4228	2.3714	4.27129	1.48601	1.50767	1.24991	2.03777	0	2.11884	1.14143	2.18334	2.304	1	1	2.23342	1.65028	41	1	0	4	6	1	1	1
LPAR4	1	2.29514	1.78288	1.2306	1.29435	2.9883	4.06073	2.02813	1.65196	1.69706	1.45543	1.46751	1.69455	1.82003	1.8025	0	1.22316	1.58643	2.44965	2.36767	1	1	2.19175	2.69385	59	1	2	6	6	1	2	1
GPR17	1	2.29514	1.78288	1.77154	1.13408	1.1079	1.09432	2.02813	1.65196	2.21448	2.23833	3.31849	3.08373	1.82003	1.8025	0	1.22316	1.58643	2.44965	2.36767	1	1	1.42711	1.30575	70	1	4	11	7	1	1	0
NPFFR2	1	1.2512	1.34561	1.2306	1.29435	1.89795	1.07251	2.29744	2.4228	1.78581	1.6331	1.46751	1.69455	1.82003	1.8025	1	1.27461	1.42004	1.42008	1.54274	1	1	1.42711	1.30575	189	2	7	24	14	9	7	0
KISS1R	1	1.63151	1.23241	1.2306	1.29435	4.60966	4.07835	2.02813	1.65196	1.78581	1.6331	2.24709	2.62738	3.52957	2.90934	1	2.91687	2.99564	3.71368	2.56863	1	1	1.33106	1.76423	75	0	7	8	5	2	0	0
ADORA1	1	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	1.96131	1.78584	3.51766	3.51431	1.46751	1.69455	1.82003	1.8025	1	1.27461	1.42004	1.42008	1.54274	0	0	1.42711	1.30575	38	5	0	2	0	1	0	0
ADORA3	1	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	1.96131	1.78584	3.51766	3.51431	1.7867	1.69306	3.52957	2.90934	1	1.27461	1.42004	1.42008	1.54274	0	0	1.42711	1.30575	36	2	0	4	4	2	2	0
LTB4R	1	1.63151	1.23241	1.8702	2.53095	1.89795	1.07251	2.02813	1.65196	1.78581	1.6331	2.24709	2.62738	1.82003	1.8025	0	2.91687	2.99564	1.42008	1.54274	1	1	2.23342	1.65028	67	0	12	10	10	2	0	0
P2RY12	0	5.44148	5.95346	1.77154	1.13408	1.1079	1.09432	3.93628	2.97149	1.78581	1.6331	1.48601	1.50767	2.44577	2.17537	1	2.11884	1.14143	2.44965	2.36767	1	1	2.19175	2.69385	44	1	2	4	6	0	0	0
GPR55	0	5.44148	5.95346	2.82129	2.27089	1.89795	1.07251	1.79356	2.22515	1.78581	1.6331	1.48601	1.50767	3.13246	3.18186	0	1.22316	1.58643	1.42008	1.54274	1	1	2.19175	2.69385	31	0	1	2	2	3	1	0
MLNR	1	1.63151	1.23241	1.77154	1.13408	2.20735	2.1381	2.02813	1.65196	2.21448	2.23833	3.60989	3.2922	3.32873	2.47194	0	2.11884	1.14143	1.42008	1.54274	1	1	1.42711	1.30575	57	0	7	4	4	3	2	0
CYSLTR2	1	2.29514	1.78288	2.82129	2.27089	1.1079	1.09432	2.02813	1.65196	1.78581	1.6331	3.31849	3.08373	3.32873	2.47194	0	1.27461	1.42004	1.42008	1.54274	1	1	1.33106	1.76423	41	1	2	3	2	4	1	0
GPR34	1	2.29514	1.78288	1.77154	1.13408	1.1079	1.09432	3.93628	2.97149	1.69706	1.45543	1.46751	1.69455	2.44577	2.17537	1	2.11884	1.14143	2.44965	2.36767	1	1	2.23342	1.65028	54	3	2	4	12	2	1	0
CYSLTR1	1	1.70607	2.03855	2.82129	2.27089	1.1079	1.09432	2.02813	1.65196	1.78581	1.6331	1.48601	1.50767	2.44577	2.17537	0	1.22316	1.58643	3.54954	2.86728	1	1	1.33106	1.76423	42	4	3	3	6	3	1	0
CNR1	1	1.63151	1.23241	1.2306	1.29435	1.89795	1.07251	1.97408	3.01608	3.78999	2.91788	3.73347	3.00416	1.82003	1.8025	1	2.11884	1.14143	3.71368	2.56863	0	0	1.42711	1.30575	75	2	2	5	11	4	0	0
SSTR1	1	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	2.02813	1.65196	1.69706	1.45543	2.24709	2.62738	3.52957	2.90934	0	2.11884	1.14143	3.54954	2.86728	0	0	1.42711	1.30575	68	2	4	6	7	3	3	0
LPAR1	0	1.63151	1.23241	2.82129	2.27089	1.89795	1.07251	1.96131	1.78584	1.78581	1.6331	1.7867	1.69306	1.82003	1.8025	1	2.11884	1.14143	2.81544	1.9746	0	0	1.42711	1.30575	53	0	3	3	9	3	1	0
CNR2	1	1.63151	1.23241	1.2306	1.29435	1.89795	1.07251	1.96131	1.78584	3.78999	2.91788	4.05136	3.9667	2.44577	2.17537	1	2.11884	1.14143	2.96154	2.82285	0	0	2.23342	1.65028	61	0	4	5	8	2	0	0
TBXA2R	0	1.70607	2.03855	1.77154	1.13408	2.20735	2.1381	2.58491	2.56313	1.69706	1.45543	1.46751	1.69455	3.39139	2.97843	0	1.22316	1.58643	1.42008	1.54274	1	1	2.44286	3.7168	35	0	1	8	4	1	0	0
GALR2	1	1.70607	2.03855	1.2306	1.29435	3.34639	3.68676	2.58491	2.56313	1.78581	1.6331	1.7867	1.69306	3.13246	3.18186	1	1.27461	1.42004	3.54954	2.86728	1	1	1.42711	1.30575	95	0	12	9	10	5	0	0
P2RY14	0	5.44148	5.95346	1.77154	1.13408	1.1079	1.09432	3.93628	2.97149	1.69706	1.45543	1.46751	1.69455	2.44577	2.17537	0	1.22316	1.58643	2.44965	2.36767	1	1	1.42711	1.30575	43	2	1	7	2	0	0	0
GPR35	0	2.29514	1.78288	2.82129	2.27089	1.1079	1.09432	2.02813	1.65196	2.21448	2.23833	1.7867	1.69306	1.82003	1.8025	0	1.22316	1.58643	1.42008	1.54274	1	1	1.42711	1.30575	33	0	0	3	4	2	2	0
S1PR1	1	1.63151	1.23241	1.2306	1.29435	1.89795	1.07251	1.96131	1.78584	3.51766	3.51431	3.29186	3.1113	1.82003	1.8025	1	2.91687	2.99564	2.18334	2.304	0	1	1.42711	1.30575	71	3	5	1	13	1	0	0
GPR183	1	1.63151	1.23241	3.12829	3.76363	1.89795	1.07251	2.02813	1.65196	1.69706	1.45543	1.48601	1.50767	1.24991	2.03777	0	1.27461	1.42004	2.81544	1.9746	1	1	2.19175	2.69385	53	2	2	1	9	4	1	0
P2RY10	0	1.70607	2.03855	2.82129	2.27089	1.1079	1.09432	2.02813	1.65196	1.78581	1.6331	1.48601	1.50767	2.09988	2.44709	0	2.11884	1.14143	2.81544	1.9746	1	1	1.42711	1.30575	34	0	3	2	9	1	1	0
ADRA2A	1	1.2512	1.34561	1.77154	1.13408	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.48601	1.50767	2.44577	2.17537	1	1.22316	1.58643	2.96154	2.82285	0	0	2.23342	1.65028	24	5	1	1	0	1	0	0
ADRA2B	1	1.2512	1.34561	1.77154	1.13408	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.48601	1.50767	2.44577	2.17537	1	1.27461	1.42004	2.96154	2.82285	0	1	2.23342	1.65028	24	7	0	1	0	0	0	0
ADRA2C	1	1.2512	1.34561	1.77154	1.13408	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.48601	1.50767	3.13246	3.18186	1	1.27461	1.42004	2.96154	2.82285	0	1	2.23342	1.65028	25	3	1	1	1	1	0	0
SSTR3	1	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	2.02813	1.65196	1.69706	1.45543	1.7867	1.69306	3.52957	2.90934	0	1.27461	1.42004	3.54954	2.86728	1	1	1.42711	1.30575	105	0	11	6	12	5	2	0
LTB4R2	1	1.70607	2.03855	1.8702	2.53095	1.89795	1.07251	3.93628	2.97149	1.69706	1.45543	1.46751	1.69455	1.24991	2.03777	0	1.27461	1.42004	2.18334	2.304	1	1	2.23342	1.65028	101	0	20	11	5	5	1	0
HRH4	1	2.29514	1.78288	3.69753	3.46146	1.89795	1.07251	2.29744	2.4228	1.69706	1.45543	1.46751	1.69455	2.09988	2.44709	1	1.22316	1.58643	2.18334	2.304	0	1	1.33106	1.76423	32	4	0	3	5	1	0	0
SSTR2	1	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	2.02813	1.65196	1.69706	1.45543	1.48601	1.50767	3.52957	2.90934	0	3.32853	3.45694	1.42008	1.54274	1	1	1.42711	1.30575	57	4	3	7	7	3	0	0
HTR2A	1	1.2512	1.34561	1.77154	1.13408	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.48601	1.50767	1.82003	1.8025	1	1.22316	1.58643	4.71398	3.49146	1	1	1.33106	1.76423	91	3	3	7	10	5	4	0
HRH3	1	2.29514	1.78288	1.77154	1.13408	2.93907	3.22001	2.29744	2.4228	1.69706	1.45543	3.29186	3.1113	2.79405	2.07857	1	1.27461	1.42004	2.18334	2.304	0	0	2.23342	1.65028	33	5	0	5	3	0	0	0
HTR2C	1	1.2512	1.34561	1.77154	1.13408	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.48601	1.50767	1.82003	1.8025	1	2.11884	1.14143	4.71398	3.49146	1	1	1.33106	1.76423	90	5	2	6	8	10	4	0
HTR2B	1	1.2512	1.34561	1.77154	1.13408	1.1079	1.09432	1.79356	2.22515	1.69706	1.45543	1.48601	1.50767	2.44577	2.17537	1	1.27461	1.42004	4.71398	3.49146	1	1	1.33106	1.76423	101	9	4	8	11	3	5	0
PTGER3	0	1.2512	1.34561	1.2306	1.29435	2.20735	2.1381	3.14841	2.9607	1.69706	1.45543	1.7867	1.69306	3.39139	2.97843	1	1.22316	1.58643	3.08563	3.12777	1	1	2.44286	3.7168	44	1	0	8	7	0	2	0
SSTR4	1	1.63151	1.23241	1.77154	1.13408	1.89795	1.07251	2.02813	1.65196	1.69706	1.45543	2.24709	2.62738	3.13246	3.18186	0	1.27461	1.42004	3.54954	2.86728	0	0	1.42711	1.30575	77	0	8	10	2	1	2	0
GPR84	1	1.70607	2.03855	1.2306	1.29435	1.1079	1.09432	1.79356	2.22515	2.86215	2.86458	3.29186	3.1113	3.13246	3.18186	1	1.27461	1.42004	1.39757	2.73387	0	1	2.23342	1.65028	26	7	2	2	2	0	1	0
FPR2	1	2.92742	3.26992	3.65692	3.61611	1.89795	1.07251	3.93628	2.97149	4.29607	3.85672	1.48601	1.50767	2.09988	2.44709	0	2.11884	1.14143	2.96154	2.82285	1	1	3.70229	3.10064	49	3	1	5	6	2	0	0
PRLHR	1	1.63151	1.23241	1.2306	1.29435	1.89795	1.07251	2.02813	1.65196	1.78581	1.6331	1.7867	1.69306	1.24991	2.03777	1	1.22316	1.58643	1.42008	1.54274	1	1	2.19175	2.69385	35	0	1	4	2	4	0	0
HTR1F	0	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	3.14841	2.9607	1.69706	1.45543	1.46751	1.69455	1.24991	2.03777	1	2.11884	1.14143	1.42008	1.54274	0	0	1.33106	1.76423	19	10	0	1	0	1	0	0
S1PR5	1	1.70607	2.03855	1.77154	1.13408	1.89795	1.07251	1.96131	1.78584	1.6812	2.15312	2.24709	2.62738	3.52957	2.90934	1	2.91687	2.99564	3.71368	2.56863	0	1	1.42711	1.30575	92	1	12	10	15	2	0	0
OPRK1	1	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	2.02813	1.65196	1.78581	1.6331	1.48601	1.50767	2.44577	2.17537	0	1.22316	1.58643	2.81544	1.9746	1	1	1.42711	1.30575	50	2	1	3	2	3	1	0
MC1R	1	1.63151	1.23241	1.2306	1.29435	2.20735	2.1381	3.93628	2.97149	1.78581	1.6331	1.46751	1.69455	2.09988	2.44709	0	1.27461	1.42004	3.71368	2.56863	1	1	1.33106	1.76423	19	1	0	3	2	1	0	0
