GPCR	401bip	401bin	655bip	655bin	919bip	919bin	966pos	967pos	TILL	A_TIL	C_TIL	E_TIL	F_TIL	G_TIL	K_TIL	L_TIL	P_TIL	R_TIL	S_TIL	M_CTL	T_CTL	O
FFAR4	1.52791	1.30788	1.52361	1.47491	1.40172	1.57085	1	1	24	2	0	1	0	0	2	2	0	3	5	1	4	1
ADRA1A	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	0	0	55	4	0	2	2	5	8	5	1	6	8	2	9	1
BDKRB2	1.64441	2.30656	1.52361	1.47491	1.38992	1.20265	1	1	13	0	0	2	1	0	2	0	0	1	0	2	2	1
HTR7	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	1	1	55	4	1	5	3	2	8	5	3	5	4	3	5	1
DRD5	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	1	1	38	7	2	2	0	0	2	2	1	5	7	3	6	1
LPAR2	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	0	20	1	1	2	0	0	0	0	1	6	1	3	5	1
GALR2	1.79869	1.76651	2.25998	2.15492	1.38992	1.20265	1	1	16	5	0	0	0	2	0	0	1	3	1	1	3	1
NMBR	1.64441	2.30656	1.52361	1.47491	3.31643	3.94176	1	1	21	1	0	3	0	1	3	1	1	0	1	4	3	1
PRLHR	1.25678	1.48779	1.52361	1.47491	1.92308	1.19234	1	1	20	2	1	0	0	1	0	0	1	4	1	1	1	1
GPR132	3.35082	2.91766	1.52361	1.47491	1.38992	1.20265	1	1	10	2	0	0	0	1	1	1	0	0	2	1	6	1
HCRTR1	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	1	1	50	5	0	3	1	5	2	5	4	6	3	0	3	1
F2RL2	1.79869	1.76651	1.52361	1.47491	1.92308	1.19234	1	1	2	1	0	0	0	0	0	0	0	0	0	1	3	1
F2RL1	1.64441	2.30656	2.07461	2.40793	1.38992	1.20265	1	1	29	1	0	2	0	0	6	1	0	2	8	0	3	1
HCRTR2	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	1	1	48	4	1	1	0	3	4	1	6	5	5	0	7	1
LPAR6	1.64441	2.30656	3.7469	4.68158	3.95597	5.68408	1	1	12	0	0	0	0	0	2	1	1	1	2	1	3	1
GPR174	1.64441	2.30656	2.49765	2.05813	3.85552	5.1469	1	1	12	1	0	1	0	1	1	1	1	0	0	1	4	1
LPAR4	1.64441	2.30656	3.7469	4.68158	3.95597	5.68408	1	1	12	1	0	0	0	1	1	1	1	1	1	2	8	1
LPAR5	1.64441	2.30656	2.49765	2.05813	3.81779	5.40165	1	1	10	2	0	0	0	0	0	0	1	2	1	0	9	1
AVPR1B	1.79869	1.76651	2.25998	2.15492	1.92308	1.19234	1	1	49	4	1	0	0	5	3	3	3	6	6	2	7	0
AVPR1A	1.79869	1.76651	2.25998	2.15492	1.92308	1.19234	1	1	42	6	2	1	2	4	4	2	1	3	6	4	5	0
LTB4R2	1.79869	1.76651	1.6661	1.47003	1.92308	1.19234	1	1	10	1	0	0	0	3	0	0	0	3	1	2	7	0
UTS2R	4.07055	3.47852	1.52361	1.47491	1.92308	1.19234	1	1	14	2	0	0	1	0	1	0	1	6	2	0	3	0
GPR34	1.64441	2.30656	1.52361	1.47491	1.38992	1.20265	1	1	15	0	0	0	1	1	3	1	1	3	3	2	3	0
PTGER4	1.79869	1.76651	2.07461	2.40793	2.98176	3.2982	1	1	52	11	0	1	3	3	0	3	3	11	6	2	10	0
GPR183	1.25678	1.48779	1.52361	1.47491	1.92308	1.19234	1	1	15	1	0	1	1	1	2	1	1	1	1	5	2	0
PTGER1	5.99371	5.44913	3.16326	3.18125	1.92308	1.19234	0	0	62	11	0	0	2	6	0	1	5	15	15	0	1	0
PTGER2	5.99371	5.44913	2.49765	2.05813	3.74755	3.27	0	1	33	2	1	2	0	7	0	1	2	10	5	1	4	0
ADRA2C	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	1	139	25	2	9	2	23	3	7	10	25	14	0	1	0
MC1R	1.25678	1.48779	1.6661	1.47003	1.40172	1.57085	1	1	21	2	1	0	1	2	1	1	1	3	0	0	2	0
FPR1	3.35082	2.91766	2.49765	2.05813	1.38992	1.20265	1	1	7	0	0	0	0	1	2	1	0	0	0	1	6	0
FPR2	3.35082	2.91766	2.49765	2.05813	1.38992	1.20265	1	1	7	0	0	0	0	1	3	0	0	0	0	1	4	0
HRH1	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	0	0	192	8	2	13	5	15	17	14	11	14	23	0	1	0
MCHR2	1.25678	1.48779	1.52361	1.47491	1.40172	1.57085	0	1	21	1	2	1	0	0	2	0	2	2	1	1	2	0
MCHR1	1.52791	1.30788	1.52361	1.47491	1.92308	1.19234	0	1	15	2	0	0	0	0	0	1	1	3	4	0	4	0
HTR4	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	0	0	34	4	0	2	0	1	1	1	1	4	5	0	7	0
ADRA1B	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	0	0	58	3	0	4	3	2	9	5	1	4	8	1	6	0
ADRA1D	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	0	0	61	7	1	3	2	7	4	5	0	10	8	1	7	0
AVPR2	1.79869	1.76651	1.52361	1.47491	1.92308	1.19234	0	0	33	4	0	2	0	7	0	1	4	6	4	1	5	0
GALR3	1.79869	1.76651	2.49765	2.05813	1.38992	1.20265	1	1	18	9	0	1	0	2	0	0	1	3	0	0	0	0
GALR1	1.79869	1.76651	1.52361	1.47491	1.38992	1.20265	0	1	14	1	0	1	0	0	5	1	0	0	3	0	4	0
GPR119	1.52791	1.30788	3.6572	3.57772	1.40172	1.57085	0	0	27	3	0	1	0	3	1	0	2	3	4	1	2	0
GPR17	1.64441	2.30656	2.07461	2.40793	1.38992	1.20265	1	1	10	0	0	1	0	1	1	2	0	3	0	1	4	0
ADORA1	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	0	0	21	1	0	0	0	2	5	1	1	1	3	0	1	0
ADORA3	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	0	20	1	0	1	1	2	2	3	0	2	3	0	2	0
PTGDR	5.99371	5.44913	2.07461	2.40793	3.74755	3.27	1	1	34	4	2	3	0	1	0	2	4	7	2	1	1	0
CYSLTR2	1.64441	2.30656	2.25998	2.15492	2.98176	3.2982	1	1	13	0	0	2	0	1	1	2	1	1	2	0	2	0
MC4R	1.25678	1.48779	1.6661	1.47003	1.40172	1.57085	1	1	10	2	0	0	0	3	0	0	1	1	0	0	1	0
CYSLTR1	1.79869	1.76651	1.52361	1.47491	1.38992	1.20265	1	1	11	0	0	0	0	0	4	2	0	0	3	0	2	0
ADORA2A	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	0	1	23	1	0	2	0	1	2	3	2	4	2	0	3	0
ADORA2B	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	1	1	19	0	1	1	0	0	0	3	0	4	1	0	1	0
SSTR3	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	1	1	18	2	1	0	0	1	0	0	1	7	3	2	6	0
HRH4	1.64441	2.30656	2.49765	2.05813	1.40172	1.57085	0	1	96	5	2	4	4	4	4	8	2	12	22	0	0	0
SSTR2	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	1	1	15	0	0	0	0	2	4	0	0	2	5	0	6	0
HTR2A	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	1	1	56	3	1	3	3	3	3	6	2	5	11	2	5	0
HRH3	1.64441	2.30656	2.49765	2.05813	1.92308	1.19234	0	0	127	13	2	9	2	20	5	7	14	14	18	0	1	0
HTR2B	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	1	1	74	3	1	3	1	3	9	6	5	5	8	3	9	0
S1PR5	1.79869	1.76651	1.52361	1.47491	1.38992	1.20265	0	1	26	5	0	0	0	2	1	1	3	8	1	0	6	0
NPFFR2	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	1	1	22	2	0	1	1	1	2	0	1	3	1	6	7	0
NPFFR1	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	1	1	21	5	1	2	0	3	0	0	4	3	1	0	1	0
MTNR1B	1.52791	1.30788	2.49765	2.05813	1.38992	1.20265	1	1	18	2	1	1	0	0	3	3	2	3	2	0	0	0
MTNR1A	1.52791	1.30788	2.49765	2.05813	1.38992	1.20265	1	1	18	0	0	0	0	0	4	2	3	3	0	1	2	0
TACR2	1.25678	1.48779	1.6661	1.47003	1.38992	1.20265	1	1	20	4	0	0	0	2	0	2	1	3	0	1	12	0
APLNR	1.52791	1.30788	1.6661	1.47003	1.40172	1.57085	1	1	14	1	0	2	1	2	2	1	0	3	0	3	3	0
NPBWR1	1.79869	1.76651	1.52361	1.47491	1.92308	1.19234	1	1	15	4	0	1	0	0	1	2	0	2	1	0	1	0
AGTR1	1.25678	1.48779	1.52361	1.47491	1.92308	1.19234	1	1	12	1	0	1	0	0	4	0	1	1	0	1	3	0
PTGFR	5.99371	5.44913	2.78694	3.61896	1.92308	1.19234	1	1	16	0	0	0	1	1	2	1	0	3	2	0	1	0
ADRA2A	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	0	145	19	0	11	0	24	5	6	24	22	9	0	1	0
LTB4R	1.25678	1.48779	2.49765	2.05813	1.92308	1.19234	1	1	7	1	0	0	1	0	0	0	0	4	0	0	4	0
GNRHR	5.99371	5.44913	1.6661	1.47003	3.31643	3.94176	1	1	23	1	0	1	0	0	1	3	2	2	1	0	0	0
ADRA2B	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	1	163	19	3	20	0	22	7	11	16	14	14	0	3	0
PTGER3	1.52791	1.30788	2.07461	2.40793	1.92308	1.19234	1	1	20	4	1	0	0	1	1	0	0	3	4	1	3	0
CNR2	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	0	0	23	2	0	0	0	2	0	2	1	3	2	0	3	0
P2RY14	5.99371	5.44913	2.25998	2.15492	1.92308	1.19234	1	1	14	0	0	0	1	0	2	1	0	1	5	0	4	0
S1PR1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	0	1	22	1	0	1	1	0	3	1	0	6	5	4	3	0
P2RY12	5.99371	5.44913	2.49765	2.05813	1.92308	1.19234	1	1	14	0	0	0	0	2	1	0	1	3	1	2	2	0
OXGR1	4.84622	3.9533	2.49765	2.05813	1.40172	1.57085	1	1	10	0	1	0	0	1	0	2	0	0	1	0	1	0
GPR84	1.79869	1.76651	2.49765	2.05813	1.38992	1.20265	0	1	108	16	0	9	1	7	7	5	7	8	16	1	0	0
OPRM1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	1	1	15	0	0	1	0	1	3	1	0	2	3	0	7	0
CCKAR	1.79869	1.76651	1.6661	1.47003	1.92308	1.19234	1	1	67	6	1	4	1	3	8	5	3	7	13	3	3	0
SSTR1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	0	0	15	2	0	0	0	1	2	1	0	3	1	1	5	0
ADRB1	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	0	67	12	1	1	1	5	4	4	16	9	5	0	2	0
ADRB2	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	0	41	0	1	2	2	4	5	4	0	5	4	0	4	0
ADRB3	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	0	55	6	2	4	1	5	0	8	12	9	3	0	0	0
SSTR5	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	1	1	14	2	1	0	0	2	0	0	0	5	1	1	3	0
SSTR4	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	0	0	15	3	0	0	0	1	0	1	0	5	1	1	5	0
OXTR	1.79869	1.76651	2.25998	2.15492	1.92308	1.19234	0	0	42	13	0	2	0	4	3	4	1	3	3	1	3	0
MLNR	1.25678	1.48779	2.25998	2.15492	1.38992	1.20265	1	1	18	2	0	1	0	3	0	1	2	5	3	1	6	0
OPRL1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	1	1	15	0	0	1	0	2	1	2	0	4	2	0	2	0
KISS1R	1.25678	1.48779	2.07461	2.40793	1.38992	1.20265	1	1	26	7	0	1	0	3	0	2	2	3	1	0	0	0
CHRM5	1.64441	2.30656	1.6661	1.47003	1.92308	1.19234	0	0	216	19	6	17	5	8	23	12	18	14	23	1	2	0
CHRM4	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	0	172	24	1	13	2	6	17	9	24	15	12	0	3	0
CHRM3	1.64441	2.30656	1.6661	1.47003	1.92308	1.19234	0	0	227	16	2	17	7	10	21	19	8	12	37	1	3	0
CHRM2	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	0	168	6	3	11	0	9	20	3	13	7	20	1	3	0
CHRM1	1.64441	2.30656	1.6661	1.47003	1.92308	1.19234	0	0	144	10	4	19	1	15	13	7	15	13	17	0	2	0
PTGIR	1.79869	1.76651	1.52361	1.47491	3.74755	3.27	1	1	23	0	1	1	0	3	1	1	2	5	1	0	3	0
OPRK1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	1	1	15	0	0	1	0	1	2	2	0	3	3	3	2	0
FFAR3	1.64441	2.30656	2.07461	2.40793	2.98176	3.2982	1	1	8	0	0	0	0	3	0	0	0	3	1	1	2	0
FFAR1	3.35082	2.91766	2.07461	2.40793	3.25062	3.56974	0	0	9	1	0	0	0	1	0	1	0	3	1	0	4	0
NMUR2	1.25678	1.48779	1.52361	1.47491	1.40172	1.57085	1	1	19	2	1	2	0	1	3	1	1	1	1	2	4	0
NMUR1	1.25678	1.48779	1.6661	1.47003	1.40172	1.57085	1	1	33	4	1	2	0	3	1	4	0	8	2	2	5	0
DRD4	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	0	169	23	14	1	0	19	2	9	54	16	3	0	1	0
DRD2	1.52791	1.30788	2.07461	2.40793	1.38992	1.20265	0	0	151	9	2	8	3	5	14	10	15	19	15	0	2	0
DRD3	1.52791	1.30788	2.07461	2.40793	1.38992	1.20265	0	0	108	3	2	6	2	9	8	15	10	14	10	0	2	0
DRD1	1.52791	1.30788	1.6661	1.47003	1.92308	1.19234	1	1	45	5	2	3	2	2	5	1	2	4	4	1	6	0
OPRD1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	1	1	15	0	0	1	0	1	2	2	0	3	4	0	3	0
HTR1D	1.25678	1.48779	2.25998	2.15492	1.92308	1.19234	0	1	71	7	1	2	3	5	4	9	3	6	12	0	1	0
HTR1E	1.25678	1.48779	1.52361	1.47491	1.92308	1.19234	0	0	76	2	2	3	6	2	4	4	4	6	14	0	2	0
HTR1F	1.25678	1.48779	1.52361	1.47491	1.92308	1.19234	0	0	79	2	0	7	2	3	10	6	1	7	14	0	1	0
HTR1A	1.25678	1.48779	1.6661	1.47003	1.92308	1.19234	0	1	117	16	2	10	2	12	11	6	8	12	8	0	0	0
HTR1B	1.52791	1.30788	2.25998	2.15492	1.92308	1.19234	0	1	73	4	0	2	0	3	6	6	5	8	11	1	2	0
