GPCR	393pos	398bip	398bin	401bip	401bin	507bip	507bin	535bip	535bin	658bip	658bin	662bip	662bin	674pos	885pos	886pos	887pos	888pos	967pos	998bip	998bin	1000bip	1000bin	1002pos	G_TIL	N_TIL	G_CTL	L_CTL	P_CTL	Q_CTL	R_CTL	S_CTL	O
PTAFR	0	1.29917	1.30838	1.9439	2.09205	1.02538	1.06917	1.60939	1.62111	2.05415	1.13232	0.74365	1.80905	0	0	0	0	1	1	1.68812	0.72625	1.74798	2.13053	1	0	1	1	3	2	1	4	5	1
HCRTR2	1	2.48695	3.46138	1.34305	1.80614	0.78368	1.0921	1.60939	1.62111	2.25299	3.2949	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	3	0	5	8	2	4	6	10	1
GPR17	1	1.29917	1.30838	1.9439	2.09205	0.78368	1.0921	2.1436	2.61042	2.05415	1.13232	0.74365	1.80905	0	0	0	0	0	1	1.68812	0.72625	1.25522	1.60086	1	1	0	4	11	4	1	4	7	1
ADORA1	1	1.41812	0.93938	1.34305	1.80614	1.02538	1.06917	3.27688	4.96898	2.79488	2.86774	2.17282	1.39415	1	1	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	2	1	0	2	5	2	4	0	1
ADORA3	1	1.41812	0.93938	1.34305	1.80614	1.02538	1.06917	3.27688	4.96898	2.79488	2.86774	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	2	3	0	4	1	0	0	4	1
EDNRA	1	1.29917	1.30838	1.35517	1.36726	1.02538	1.06917	1.60939	1.62111	2.34203	3.1193	2.34022	2.58002	0	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	0	1	2	1	3	1	4	1	9	1
EDNRB	1	1.29917	1.30838	1.35517	1.36726	1.02538	1.06917	1.60939	1.62111	2.34203	3.1193	2.34022	2.58002	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	0	1	1	0	0	0	0	0	0	1
CYSLTR2	1	1.41812	0.93938	1.9439	2.09205	3.64068	4.33316	1.60939	1.62111	2.05415	1.13232	0.74365	1.80905	0	0	0	0	1	1	0.42184	1.10673	1.79109	1.3388	1	1	0	2	3	2	1	4	2	1
MC4R	1	1.41812	0.93938	1.35517	1.36726	0.78368	1.0921	1.60939	1.62111	1.58598	1.97877	4.33029	4.26772	0	0	0	0	0	1	1.68812	0.72625	1.79109	1.3388	1	3	0	2	5	1	1	3	3	1
CYSLTR1	1	1.29917	1.30838	2.01542	1.34049	0.78368	1.0921	1.60939	1.62111	2.05415	1.13232	0.74365	1.80905	0	0	0	0	0	1	1.68812	0.72625	1.79109	1.3388	1	0	1	3	3	2	0	4	6	1
CCKBR	1	1.41812	0.93938	2.01542	1.34049	0.78368	1.0921	2.74052	3.88258	2.25299	3.2949	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.79109	1.3388	1	12	2	2	5	9	1	9	5	1
ADORA2A	1	2.48695	3.46138	1.34305	1.80614	0.78368	1.0921	3.27688	4.96898	2.25519	2.09407	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	2.30958	3.02864	1	1	0	16	12	11	7	10	10	1
ADORA2B	1	2.48695	3.46138	1.34305	1.80614	0.78368	1.0921	2.1436	2.61042	2.79488	2.86774	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	0	0	5	4	1	3	4	2	1
F2R	0	1.41812	0.93938	1.9439	2.09205	1.02538	1.06917	1.60939	1.62111	2.05415	1.13232	0.74365	1.80905	0	0	0	0	0	1	1.68812	0.72625	1.79109	1.3388	1	0	1	1	5	1	2	1	13	1
HRH4	1	1.41812	0.93938	1.9439	2.09205	1.02538	1.06917	1.6359	1.1165	2.34203	3.1193	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.79109	1.3388	1	4	3	0	3	3	3	2	5	1
HRH2	1	2.48695	3.46138	1.34305	1.80614	1.02538	1.06917	1.60939	1.62111	2.50317	2.98427	0.74365	1.80905	1	0	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	0	1	3	7	3	8	9	7	1
HRH3	1	2.31103	2.49797	1.9439	2.09205	1.02538	1.06917	1.6359	1.1165	2.34203	3.1193	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.74798	2.13053	1	20	0	0	5	3	2	2	3	1
HTR2C	1	1.41812	0.93938	1.34305	1.80614	0.78368	1.0921	1.6359	1.1165	2.50317	2.98427	2.60871	2.68693	1	1	1	1	1	1	0.42184	1.10673	1.79109	1.3388	1	3	7	2	6	7	2	8	8	1
HTR2B	1	1.41812	0.93938	1.34305	1.80614	0.78368	1.0921	1.6359	1.1165	2.50317	2.98427	2.60871	2.68693	1	1	1	1	1	1	0.42184	1.10673	1.79109	1.3388	1	3	3	4	8	3	3	9	11	1
MC3R	1	1.41812	0.93938	1.34305	1.80614	0.78368	1.0921	1.60939	1.62111	1.58598	1.97877	2.34022	2.58002	1	1	1	1	1	1	1.68812	0.72625	1.79109	1.3388	1	1	0	3	4	0	0	3	1	1
NPFFR2	1	2.48695	3.46138	1.34305	1.80614	1.02538	1.06917	1.60939	1.62111	3.27976	2.31606	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	1	1	7	24	8	13	8	14	1
NPFFR1	1	2.48695	3.46138	1.34305	1.80614	0.78368	1.0921	1.60939	1.62111	3.27976	2.31606	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	3	0	13	9	13	1	14	10	1
F2RL3	0	1.29917	1.30838	2.01542	1.34049	2.66959	1.81455	1.96056	2.14272	2.05415	1.13232	2.60871	2.68693	0	0	0	0	0	1	1.68812	0.72625	2.30958	3.02864	1	1	0	6	3	1	2	4	7	1
F2RL2	0	1.29917	1.30838	2.01542	1.34049	0.78368	1.0921	1.6359	1.1165	2.05415	1.13232	0.74365	1.80905	0	0	0	0	0	1	1.68812	0.72625	2.30958	3.02864	1	0	1	0	2	0	0	1	2	1
MTNR1B	1	1.41812	0.93938	1.34305	1.80614	0.78368	1.0921	1.60939	1.62111	2.05415	1.13232	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	0	0	4	7	4	5	4	3	1
MTNR1A	1	1.41812	0.93938	1.34305	1.80614	0.78368	1.0921	1.60939	1.62111	2.05415	1.13232	0.74365	1.80905	0	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	0	0	1	4	2	1	5	5	1
TACR3	1	1.41812	0.93938	1.35517	1.36726	0.78368	1.0921	1.60939	1.62111	2.50317	2.98427	2.17282	1.39415	0	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	3	0	2	3	6	1	13	18	1
TACR2	1	1.41812	0.93938	1.35517	1.36726	0.78368	1.0921	1.60939	1.62111	2.25299	3.2949	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	2	1	8	9	6	1	7	6	1
TACR1	1	2.31103	2.49797	1.35517	1.36726	0.78368	1.0921	1.60939	1.62111	2.25299	3.2949	2.17282	1.39415	0	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	1	0	6	8	4	2	6	17	1
LPAR1	0	2.31103	2.49797	1.35517	1.36726	1.02538	1.06917	1.60939	1.62111	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	1	1	3	3	2	2	4	9	1
APLNR	1	1.29917	1.30838	1.34305	1.80614	0.78368	1.0921	2.1436	2.61042	2.05415	1.13232	0.74365	1.80905	1	0	0	0	1	1	0.42184	1.10673	2.30958	3.02864	1	2	0	9	2	4	5	3	13	1
S1PR3	1	1.29917	1.30838	1.35517	1.36726	3.64068	4.33316	3.27688	4.96898	1.58598	1.97877	0.74365	1.80905	1	0	0	0	1	1	0.42184	1.10673	1.74798	2.13053	1	0	3	3	6	6	2	7	13	1
NPBWR1	1	1.29917	1.30838	2.01542	1.34049	1.02538	1.06917	1.6359	1.1165	1.58598	1.97877	2.43009	2.45045	0	0	1	1	1	1	0.42184	1.10673	2.30958	3.02864	1	0	0	0	3	0	1	4	1	1
AGTR1	1	2.02879	2.28684	1.35517	1.36726	0.78368	1.0921	1.60939	1.62111	2.99541	3.80449	0.74365	1.80905	0	0	0	0	0	1	0.42184	1.10673	1.79109	1.3388	1	0	1	2	6	5	1	2	9	1
LTB4R	1	2.02879	2.28684	1.35517	1.36726	1.02538	1.06917	1.60939	1.62111	2.99541	3.80449	0.74365	1.80905	0	0	0	0	0	1	0.42184	1.10673	1.74798	2.13053	1	0	0	12	10	4	1	4	10	1
GNRHR	0	5.6492	5.89178	5.57557	5.67631	0.78368	1.0921	1.96056	2.14272	2.05415	1.13232	0.74365	1.80905	1	1	1	1	1	1	1.68812	0.72625	1.79109	1.3388	1	0	3	1	1	0	0	0	1	1
S1PR5	1	1.29917	1.30838	2.01542	1.34049	3.64068	4.33316	1.96056	2.14272	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	2	1	12	10	7	3	10	15	1
FFAR3	0	1.29917	1.30838	1.9439	2.09205	1.02538	1.06917	3.27688	4.96898	2.05415	1.13232	2.43009	2.45045	0	0	0	0	0	1	1.68812	0.72625	2.30958	3.02864	1	3	0	9	5	1	8	5	8	1
PTGER3	0	2.31103	2.49797	1.34305	1.80614	0.78368	1.0921	1.6359	1.1165	2.05415	1.13232	2.60871	2.68693	1	0	1	1	1	1	1.68812	0.72625	3.88102	1.60601	1	1	0	0	8	1	2	4	7	1
CNR1	1	1.29917	1.30838	1.35517	1.36726	0.78368	1.0921	3.27003	4.14036	2.25299	3.2949	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	2	0	2	5	2	1	4	11	1
CNR2	1	1.29917	1.30838	1.35517	1.36726	2.66959	1.81455	3.27003	4.14036	2.50317	2.98427	2.17282	1.39415	1	1	1	1	1	0	0.42184	1.10673	1.74798	2.13053	1	2	0	4	5	3	0	5	8	1
P2RY14	0	5.6492	5.89178	5.57557	5.67631	0.78368	1.0921	1.6359	1.1165	2.34203	3.1193	0.74365	1.80905	0	0	0	1	1	1	1.68812	0.72625	1.25522	1.60086	1	0	1	1	7	2	2	3	2	1
S1PR2	1	1.29917	1.30838	1.34305	1.80614	0.78368	1.0921	3.53978	4.23985	1.58598	1.97877	0.74365	1.80905	0	0	0	0	0	1	0.42184	1.10673	1.74798	2.13053	1	0	1	8	8	6	2	11	6	1
S1PR1	1	1.29917	1.30838	1.35517	1.36726	3.64068	4.33316	3.27688	4.96898	1.58598	1.97877	0.74365	1.80905	1	0	0	0	0	1	0.42184	1.10673	1.25522	1.60086	1	0	1	5	1	4	1	5	13	1
P2RY10	0	1.29917	1.30838	2.01542	1.34049	2.66959	1.81455	1.60939	1.62111	2.05415	1.13232	2.60871	2.68693	0	0	0	0	0	1	1.68812	0.72625	1.25522	1.60086	1	1	0	3	2	0	1	4	9	1
P2RY11	0	1.29917	1.30838	1.9439	2.09205	0.78368	1.0921	3.68741	1.89148	2.25299	3.2949	2.43009	2.45045	0	0	0	0	0	0	7.51511	7.40216	5.28109	5.61684	0	1	0	6	10	10	4	4	6	1
P2RY12	0	5.6492	5.89178	5.57557	5.67631	3.6309	3.40774	1.60939	1.62111	2.05415	1.13232	0.74365	1.80905	1	0	0	0	0	1	1.68812	0.72625	2.30958	3.02864	1	2	0	2	4	3	2	2	6	1
MRGPRX1	1	1.29917	1.30838	2.01542	1.34049	1.02538	1.06917	2.1436	2.61042	2.99541	3.80449	2.43009	2.45045	0	0	0	0	0	1	0.42184	1.10673	1.25522	1.60086	1	0	0	5	8	1	7	5	4	1
P2RY4	0	1.29917	1.30838	1.9439	2.09205	0.78368	1.0921	1.6359	1.1165	2.05415	1.13232	2.34022	2.58002	0	0	0	0	0	1	1.68812	0.72625	1.74798	2.13053	1	1	0	4	8	5	4	7	8	1
MRGPRX2	1	1.29917	1.30838	2.01542	1.34049	1.02538	1.06917	2.1436	2.61042	1.58598	1.97877	0.74365	1.80905	0	0	0	0	0	0	0.42184	1.10673	1.25522	1.60086	1	0	0	3	6	2	6	5	5	1
OXGR1	1	1.41812	0.93938	4.12563	4.53495	0.78368	1.0921	1.6359	1.1165	2.05415	1.13232	0.74365	1.80905	0	0	0	0	0	1	0.42184	1.10673	1.79109	1.3388	0	1	0	1	2	1	3	1	5	1
GPR84	1	1.29917	1.30838	2.01542	1.34049	0.78368	1.0921	2.74052	3.88258	2.34203	3.1193	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.74798	2.13053	1	7	2	2	2	1	2	5	2	1
OPRM1	1	2.31103	2.49797	1.35517	1.36726	1.02538	1.06917	4.24685	5.06131	2.05415	1.13232	2.34022	2.58002	0	0	1	1	1	1	0.42184	1.10673	1.74798	2.13053	1	1	1	0	4	4	4	6	4	1
GHSR	1	2.31103	2.49797	1.34305	1.80614	0.78368	1.0921	1.60939	1.62111	1.58598	1.97877	0.74365	1.80905	1	0	0	1	1	1	0.42184	1.10673	1.25522	1.60086	1	2	1	1	4	1	1	4	7	1
MC5R	1	1.41812	0.93938	1.35517	1.36726	0.78368	1.0921	1.60939	1.62111	1.58598	1.97877	2.34022	2.58002	1	1	1	1	1	1	1.68812	0.72625	1.79109	1.3388	1	1	0	1	0	1	1	6	2	1
BDKRB1	1	1.29917	1.30838	1.9439	2.09205	2.66959	1.81455	1.60939	1.62111	2.34203	3.1193	0.74365	1.80905	0	0	1	1	1	1	0.42184	1.10673	1.74798	2.13053	1	2	0	1	4	2	2	4	4	1
BDKRB2	1	1.29917	1.30838	1.9439	2.09205	2.66959	1.81455	1.60939	1.62111	2.05415	1.13232	0.74365	1.80905	0	0	0	0	1	1	0.42184	1.10673	1.79109	1.3388	1	0	2	6	2	1	6	6	6	1
CCKAR	1	1.41812	0.93938	2.01542	1.34049	0.78368	1.0921	2.74052	3.88258	2.25299	3.2949	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	3	3	8	2	7	1	4	6	1
SSTR1	1	1.41812	0.93938	1.35517	1.36726	1.02538	1.06917	1.6359	1.1165	2.05415	1.13232	0.74365	1.80905	0	0	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	1	0	4	6	2	2	5	7	1
SSTR3	1	1.41812	0.93938	1.34305	1.80614	1.02538	1.06917	1.6359	1.1165	2.05415	1.13232	0.74365	1.80905	0	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	1	0	11	6	8	8	12	12	1
SSTR2	1	1.41812	0.93938	1.35517	1.36726	1.02538	1.06917	1.6359	1.1165	2.05415	1.13232	0.74365	1.80905	0	0	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	2	0	3	7	0	4	3	7	1
SSTR5	1	1.41812	0.93938	1.34305	1.80614	1.02538	1.06917	1.96056	2.14272	2.05415	1.13232	0.74365	1.80905	0	0	0	1	1	1	0.42184	1.10673	1.74798	2.13053	1	2	0	4	5	4	6	6	4	1
SSTR4	1	1.41812	0.93938	1.35517	1.36726	1.02538	1.06917	1.6359	1.1165	2.05415	1.13232	0.74365	1.80905	0	0	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	1	0	8	10	7	4	7	2	1
OXTR	1	1.29917	1.30838	2.01542	1.34049	0.78368	1.0921	2.74052	3.88258	2.05415	1.13232	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	3.88102	1.60601	1	4	1	3	7	1	3	5	15	1
LPAR2	1	1.41812	0.93938	1.35517	1.36726	1.02538	1.06917	1.6359	1.1165	2.25519	2.09407	0.74365	1.80905	1	0	0	1	1	0	0.42184	1.10673	2.9132	3.64719	1	0	0	3	6	2	2	8	7	1
LPAR3	0	1.41812	0.93938	1.34305	1.80614	0.78368	1.0921	1.6359	1.1165	2.25519	2.09407	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	1	1	3	1	3	3	4	11	1
F2RL1	0	1.29917	1.30838	1.9439	2.09205	0.78368	1.0921	1.60939	1.62111	2.25299	3.2949	2.34022	2.58002	0	0	0	0	0	1	1.68812	0.72625	2.30958	3.02864	1	0	1	0	0	0	0	0	6	1
MLNR	1	2.02879	2.28684	1.35517	1.36726	0.78368	1.0921	2.1436	2.61042	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	3	0	7	4	1	0	6	4	1
LPAR6	0	1.41812	0.93938	1.9439	2.09205	0.78368	1.0921	1.6359	1.1165	2.05415	1.13232	2.17282	1.39415	0	0	0	0	0	1	1.68812	0.72625	1.25522	1.60086	1	0	1	1	2	0	3	3	7	1
LPAR4	1	1.29917	1.30838	1.9439	2.09205	0.78368	1.0921	1.6359	1.1165	2.05415	1.13232	2.17282	1.39415	0	0	0	0	0	1	1.68812	0.72625	2.30958	3.02864	1	1	1	2	6	3	3	1	6	1
LPAR5	0	1.29917	1.30838	1.9439	2.09205	0.78368	1.0921	1.6359	1.1165	2.99541	3.80449	2.17282	1.39415	0	0	0	0	0	1	1.68812	0.72625	1.79109	1.3388	1	0	0	5	7	4	4	8	11	1
OPRL1	1	2.31103	2.49797	1.35517	1.36726	0.78368	1.0921	1.60939	1.62111	2.05415	1.13232	2.34022	2.58002	0	0	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	2	1	0	3	2	1	6	4	1
PRLHR	1	2.02879	2.28684	1.35517	1.36726	2.66959	1.81455	1.60939	1.62111	2.99541	3.80449	2.17282	1.39415	1	0	0	0	1	1	0.42184	1.10673	2.30958	3.02864	1	1	1	1	4	2	1	3	2	1
CHRM5	1	2.31103	2.49797	1.9439	2.09205	0.78368	1.0921	1.96056	2.14272	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	8	8	1	6	1	1	3	1	1
CHRM4	1	2.31103	2.49797	1.35517	1.36726	1.02538	1.06917	1.96056	2.14272	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	2.9132	3.64719	1	6	7	1	4	0	1	3	0	1
CHRM3	1	1.41812	0.93938	1.9439	2.09205	0.78368	1.0921	1.96056	2.14272	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.74798	2.13053	1	10	9	0	5	1	7	5	1	1
CHRM2	1	2.31103	2.49797	1.35517	1.36726	1.02538	1.06917	1.96056	2.14272	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	2.9132	3.64719	1	9	15	1	3	0	0	1	0	1
CHRM1	1	1.29917	1.30838	1.9439	2.09205	1.02538	1.06917	1.96056	2.14272	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	3.25767	3.59634	1	15	2	1	5	3	1	9	2	1
OPRK1	1	2.31103	2.49797	1.35517	1.36726	1.02538	1.06917	1.60939	1.62111	2.05415	1.13232	2.34022	2.58002	0	0	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	1	1	1	3	3	2	7	2	1
GRPR	1	1.41812	0.93938	1.9439	2.09205	0.78368	1.0921	1.60939	1.62111	3.72286	4.13473	0.74365	1.80905	1	0	1	1	1	1	0.42184	1.10673	2.30958	3.02864	0	1	2	3	8	2	3	4	9	1
FFAR4	1	1.29917	1.30838	1.34305	1.80614	0.78368	1.0921	1.60939	1.62111	2.99541	3.80449	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	0	0	2	5	2	0	2	4	1
NMUR2	1	2.48695	3.46138	1.35517	1.36726	0.78368	1.0921	1.6359	1.1165	1.58598	1.97877	2.34022	2.58002	0	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	1	2	1	7	6	10	4	11	1
DRD4	1	2.48695	3.46138	1.34305	1.80614	1.02538	1.06917	2.74052	3.88258	1.58598	1.97877	2.60871	2.68693	0	1	1	1	1	0	0.42184	1.10673	1.74798	2.13053	1	19	1	0	1	0	0	3	0	1
DRD5	1	2.48695	3.46138	1.35517	1.36726	0.78368	1.0921	1.96056	2.14272	2.50317	2.98427	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.74798	2.13053	1	0	0	6	5	8	5	3	7	1
DRD2	1	2.48695	3.46138	1.34305	1.80614	1.02538	1.06917	1.6359	1.1165	2.25519	2.09407	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.25522	1.60086	1	5	6	0	2	0	0	1	0	1
DRD3	1	2.48695	3.46138	1.34305	1.80614	1.02538	1.06917	1.6359	1.1165	2.25519	2.09407	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.74798	2.13053	1	9	4	0	2	0	0	1	1	1
DRD1	1	2.48695	3.46138	1.34305	1.80614	0.78368	1.0921	1.96056	2.14272	2.50317	2.98427	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	2	2	6	11	7	3	4	11	1
OPRD1	1	2.31103	2.49797	1.35517	1.36726	1.02538	1.06917	1.60939	1.62111	2.05415	1.13232	2.34022	2.58002	0	0	1	1	1	1	0.42184	1.10673	1.74798	2.13053	1	1	0	5	2	5	1	8	4	1
GPR132	0	3.23095	3.82613	3.08252	2.83911	1.02538	1.06917	1.96056	2.14272	2.50317	2.98427	0.74365	1.80905	0	0	0	0	0	1	1.68812	0.72625	1.25522	1.60086	1	1	0	2	5	6	2	6	8	1
HTR1D	0	1.29917	1.30838	1.35517	1.36726	0.78368	1.0921	1.6359	1.1165	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	5	4	0	0	1	2	2	1	1
HTR1E	0	1.41812	0.93938	1.35517	1.36726	0.78368	1.0921	1.6359	1.1165	1.58598	1.97877	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.79109	1.3388	1	2	3	0	2	0	0	2	1	1
